As. Pct,Blk Pct,Box +-,DRB Pct,DWS,Deff. Box +-,FG3A PerFGA%,Fta PerFGA%,GP,MP,ORB Pct,OWS,Off. Box +-,PER,Stl Pct,TO Pct,TRB Pct,TS %,Teams,Usg Pct,VORP,WS,WS Per 48,age,name,position
4.8,1.2,-7.9,10.1,0.1,-2.7,.957,.000,13,145,1.5,-0.3,-5.2,1.3,0.3,7.8,5.8,.351,Luke Babbitt,15.8,-0.2,-0.2,-0.073,28,Luke Babbitt,SF
7.5,0.2,-5.7,18.5,0.6,-0.3,.224,.130,53,713,0.6,-0.7,-5.4,5.8,1.1,10.2,9.4,.431,Dwayne Bacon,13.7,-0.7,-0.1,-0.007,22,Dwayne Bacon,SG
15.5,1.3,-1.0,7.2,0.4,0.9,.559,.441,29,385,1.4,0.1,-1.9,9.3,3.3,20.4,4.3,.504,Ron Baker,10.0,0.1,0.5,.059,24,Ron Baker,SG
9.8,1.0,0.0,9.5,0.1,-1.1,.238,.476,7,80,1.4,0.2,1.1,16.6,1.2,13.6,5.5,.748,Wade Baldwin,16.1,0.0,0.3,.187,21,Wade Baldwin,PG
29.2,2.0,1.7,17.3,2.5,2.5,.523,.126,52,1780,4.2,-0.5,-0.8,12.5,2.4,18.6,10.8,.444,Lonzo Ball,17.4,1.7,2.0,.053,20,Lonzo Ball,PG
45.1,0.2,0.1,13.4,1.0,-2.3,.454,.148,69,1603,1.0,2.3,2.4,17.8,1.1,16.3,7.0,.545,J.J. Barea,24.9,0.8,3.3,.098,33,J.J. Barea,PG
9.9,0.5,-2.1,17.1,1.9,-1.4,.276,.259,77,2634,3.1,2.0,-0.7,15.8,0.9,8.1,9.9,.539,Harrison Barnes,25.2,-0.1,3.8,.070,25,Harrison Barnes,PF
18.5,1.6,0.9,14.2,1.8,-0.6,.411,.220,81,2683,3.0,4.4,1.6,16.2,1.5,11.7,8.6,.562,Will Barton,20.7,2.0,6.2,.111,27,Will Barton,SG
26.2,1.0,1.4,13.8,1.8,0.5,.422,.200,64,1981,3.1,1.7,0.9,14.4,1.6,15.6,8.4,.523,Nicolas Batum,18.3,1.7,3.5,.084,29,Nicolas Batum,SG
8.0,0.5,-2.7,7.3,0.9,-1.0,.557,.168,39,925,1.8,0.2,-1.8,7.5,1.2,14.1,4.7,.546,Jerryd Bayless,15.1,-0.2,1.1,.055,29,Jerryd Bayless,SG
9.6,2.9,-1.7,22.1,2.5,2.1,.047,.175,81,1485,9.7,0.5,-3.8,12.0,0.7,14.3,16.0,.502,Aron Baynes,16.8,0.1,3.0,.097,31,Aron Baynes,C
20.1,2.2,0.5,13.9,2.0,1.1,.405,.297,65,1789,1.6,0.2,-0.6,14.5,2.7,17.0,7.7,.547,Kent Bazemore,22.5,1.1,2.2,.059,28,Kent Bazemore,SG
21.0,1.1,1.7,11.5,2.5,-1.0,.357,.249,82,2977,2.3,4.4,2.7,18.4,1.6,11.5,6.9,.564,Bradley Beal,27.6,2.7,6.9,.111,24,Bradley Beal,SG
7.4,1.0,-5.1,11.0,0.3,-2.4,.461,.185,62,583,2.7,0.1,-2.8,9.0,1.3,11.1,6.9,.509,Malik Beasley,16.2,-0.5,0.3,.028,21,Malik Beasley,SG
12.5,2.3,-1.5,21.2,1.5,-0.4,.107,.197,74,1653,6.5,0.9,-1.0,17.8,1.1,14.0,13.9,.556,Michael Beasley,26.9,0.2,2.4,.069,29,Michael Beasley,PF
11.9,0.5,-1.3,7.3,1.3,-2.1,.517,.213,80,1947,1.1,2.4,0.8,14.1,1.6,10.1,4.3,.581,Marco Belinelli,20.7,0.3,3.7,.092,31,Marco Belinelli,SG
13.5,0.2,-1.7,7.9,0.6,-2.3,.509,.225,52,1210,1.3,1.3,0.6,14.1,1.9,9.2,4.6,.554,Marco Belinelli,21.2,0.1,1.9,.075,31,Marco Belinelli,SG
9.3,1.0,-0.8,6.3,0.7,-1.8,.530,.194,28,737,0.9,1.1,1.1,14.2,1.3,11.7,3.7,.628,Marco Belinelli,19.8,0.2,1.8,.119,31,Marco Belinelli,SG
,,,,,,,,,,,,,,,,,,,,,,,,,
16.9,5.5,3.7,19.0,1.4,3.7,.022,.238,57,809,8.9,1.6,0.0,18.0,2.1,20.0,14.3,.641,Jordan Bell,13.9,1.2,2.9,.174,23,Jordan Bell,C
15.9,2.3,-4.4,15.7,0.5,1.5,.234,.258,26,455,2.0,-0.9,-5.9,7.6,2.3,24.8,8.8,.477,DeAndre' Bembry,18.2,-0.3,-0.4,-0.040,23,DeAndre' Bembry,SF
8.9,2.1,-2.7,16.8,0.8,0.0,.665,.105,82,2069,2.0,-0.7,-2.7,7.1,0.5,18.1,9.3,.524,Dragan Bender,12.7,-0.4,0.1,.001,20,Dragan Bender,PF
10.3,2.1,1.0,13.9,1.4,-0.3,.689,.134,77,1086,1.8,1.6,1.2,14.1,1.2,8.5,7.8,.588,Dāvis Bertāns,17.4,0.8,3.1,.135,25,Dāvis Bertāns,PF
13.8,1.3,0.9,9.4,0.3,0.4,.504,.143,11,334,5.3,0.1,0.5,12.4,2.8,16.5,7.4,.530,Patrick Beverley,19.6,0.2,0.4,.056,29,Patrick Beverley,SG
8.5,2.9,0.3,21.1,0.6,1.4,.000,.484,42,578,13.2,1.2,-1.1,16.4,1.3,12.1,17.1,.582,Khem Birch,13.2,0.3,1.8,.150,25,Khem Birch,C
10.5,0.7,-2.1,12.2,0.2,0.1,.269,.500,13,115,5.8,0.1,-2.3,12.1,1.3,20.1,9.0,.615,Jabari Bird,15.4,0.0,0.2,.098,23,Jabari Bird,SG
6.5,5.1,-1.6,24.0,1.8,2.1,.003,.446,82,1495,10.5,1.1,-3.7,14.1,0.7,16.6,17.2,.556,Bismack Biyombo,14.9,0.2,2.9,.094,25,Bismack Biyombo,C
8.7,1.0,0.5,18.8,1.1,-0.1,.493,.121,67,1371,4.4,1.7,0.6,12.6,1.8,11.7,11.5,.581,Nemanja Bjelica,14.3,0.9,2.8,.097,29,Nemanja Bjelica,PF
3.7,4.8,-1.0,20.9,1.0,2.1,.087,.496,51,536,13.4,0.5,-3.0,14.3,1.9,18.4,17.1,.582,Tarik Black,15.6,0.1,1.5,.136,26,Tarik Black,C
10.1,0.3,-6.8,10.3,0.1,-3.6,.364,.273,19,314,1.3,-0.2,-3.2,10.1,1.1,6.4,5.6,.471,Antonio Blakeney,23.7,-0.4,0.0,-0.006,21,Antonio Blakeney,SG
25.7,1.5,2.1,11.7,2.5,-0.3,.364,.321,74,2322,2.6,3.1,2.5,19.7,3.2,16.1,7.1,.582,Eric Bledsoe,26.1,2.4,5.6,.116,28,Eric Bledsoe,PG
17.9,1.9,-4.9,5.2,0.0,-2.4,.325,.350,3,83,3.8,-0.1,-2.5,13.0,2.3,17.8,4.5,.509,Eric Bledsoe,28.7,-0.1,0.0,-0.028,28,Eric Bledsoe,PG
26.0,1.5,2.4,11.9,2.4,-0.2,.366,.319,71,2239,2.5,3.2,2.6,20.0,3.2,16.0,7.2,.585,Eric Bledsoe,26.0,2.5,5.7,.121,28,Eric Bledsoe,PG
8.2,0.0,-10.0,2.3,0.0,-1.3,.400,.400,5,45,0.0,-0.1,-8.7,-1.8,1.1,33.8,1.2,.255,Vander Blue,8.4,-0.1,-0.1,-0.103,25,Vander Blue,SG
18.3,0.7,-1.0,10.5,1.1,-1.5,.426,.154,78,2175,1.6,1.8,0.5,13.5,1.7,13.2,5.8,.556,Bogdan Bogdanović,19.6,0.6,2.9,.064,25,Bogdan Bogdanović,SG
7.1,0.3,-0.7,10.9,1.6,-1.9,.453,.241,80,2464,1.4,3.8,1.1,13.9,1.1,10.1,6.2,.605,Bojan Bogdanović,19.0,0.8,5.4,.105,28,Bojan Bogdanović,SF
