APerM,BPerM,DRB PerM,FG %,FG PerM,FG2 PerM,FG2A PerM,FG3 %,FG3 PerM,FG3A PerM,FGA PerM,FTPerM,Fouls PerM,GP,GS,MPG,ORB PerM,PPerM,SPerM,TO PerM,TRB PerM,Teams,age,name,position
1.2,0.4,2.6,.357,3.4,.500,1.8,.323,2.5,7.8,9.6,0.7,3.2,31,2,588,0.3,10.1,1.0,0.9,2.9,Álex Abrines,25,Álex Abrines,SG
2.3,1.2,6.4,.222,1.2,.667,0.9,.133,0.6,4.4,5.3,2.0,7.0,10,0,123,0.9,5.0,0.3,1.2,7.3,Quincy Acy,28,Quincy Acy,PF
5.5,0.4,4.1,.345,3.2,.361,3.0,.338,2.1,6.2,9.3,0.6,3.8,34,1,428,0.9,9.1,1.2,2.4,5.0,Jaylen Adams,22,Jaylen Adams,PG
1.7,1.0,5.0,.595,6.5,.596,10.9,.000,0.0,0.0,10.9,2.0,2.8,80,80,2669,5.3,14.9,1.6,1.8,10.3,Steven Adams,25,Steven Adams,C
3.5,1.2,8.1,.576,5.3,.588,8.9,.200,0.1,0.3,9.1,3.1,3.8,82,28,1913,3.1,13.7,1.3,2.3,11.2,Bam Adebayo,21,Bam Adebayo,C
0.9,0.7,3.0,.306,2.0,.385,2.4,.261,1.1,4.3,6.7,0.7,2.4,19,3,194,0.6,5.9,0.2,1.1,3.5,Deng Adel,21,Deng Adel,SF
9.8,0.0,4.9,.300,4.9,.500,9.8,.000,0.0,6.5,16.4,1.6,6.5,7,0,22,1.6,11.5,3.3,3.3,6.5,DeVaughn Akoon-Purcell,25,DeVaughn Akoon-Purcell,SG
2.6,1.4,6.6,.519,9.2,.528,17.1,.238,0.1,0.6,17.7,4.7,2.4,81,81,2687,3.4,23.1,0.6,1.9,10.0,LaMarcus Aldridge,33,LaMarcus Aldridge,C
3.9,0.0,4.5,.333,3.9,.370,8.1,.250,0.9,3.6,11.7,2.4,2.1,10,1,120,3.3,11.1,0.3,2.4,7.8,Rawle Alkins,21,Rawle Alkins,SG
2.2,0.5,1.7,.376,5.8,.443,6.8,.323,2.8,8.6,15.4,3.9,4.1,38,2,416,0.3,18.3,0.5,2.9,2.0,Grayson Allen,23,Grayson Allen,SG
1.9,2.1,8.3,.590,5.8,.629,9.0,.133,0.1,0.8,9.8,3.4,3.2,80,80,2096,3.3,15.0,0.7,1.8,11.5,Jarrett Allen,20,Jarrett Allen,C
6.6,0.3,3.7,.461,5.6,.457,9.1,.472,1.5,3.1,12.2,3.6,4.0,19,1,416,0.7,16.4,1.4,2.3,4.4,Kadeem Allen,26,Kadeem Allen,SG
1.6,0.5,7.8,.433,4.0,.514,4.9,.343,1.5,4.4,9.3,2.4,2.2,81,81,2292,1.8,11.9,1.1,1.1,9.6,Al-Farouq Aminu,28,Al-Farouq Aminu,PF
1.8,1.0,4.7,.408,5.0,.500,6.2,.312,1.9,6.0,12.2,2.0,3.7,48,4,463,1.9,13.8,1.7,1.8,6.5,Justin Anderson,25,Justin Anderson,SF
3.6,1.0,5.7,.543,4.2,.583,6.8,.265,0.3,1.0,7.8,1.0,3.1,43,40,1281,1.3,9.7,1.5,1.6,7.1,Kyle Anderson,25,Kyle Anderson,SF
2.1,0.1,4.0,.304,2.3,.414,3.2,.225,1.0,4.5,7.7,1.3,2.8,25,8,322,2.0,7.0,0.4,1.6,6.0,Ryan Anderson,30,Ryan Anderson,PF
2.2,0.1,4.0,.317,2.5,.462,3.4,.206,0.9,4.4,7.8,1.4,3.0,15,8,278,1.8,7.3,0.4,1.6,5.8,Ryan Anderson,30,Ryan Anderson,PF
1.6,0.0,4.1,.222,1.6,.000,2.5,.333,1.6,4.9,7.4,0.8,1.6,10,0,44,3.3,5.7,0.8,1.6,7.4,Ryan Anderson,30,Ryan Anderson,PF
6.0,6.0,12.0,.000,0.0,.000,18.0,,0.0,0.0,18.0,0.0,0.0,3,0,6,6.0,0.0,0.0,6.0,18.0,Ike Anigbogu,20,Ike Anigbogu,C
6.5,1.7,11.3,.578,11.0,.641,15.9,.256,0.8,3.1,19.0,7.6,3.5,72,72,2358,2.4,30.4,1.4,4.1,13.7,Giannis Antetokounmpo,24,Giannis Antetokounmpo,PF
0.0,0.0,3.3,.000,0.0,.000,9.8,,0.0,0.0,9.8,6.5,0.0,2,0,11,0.0,6.5,6.5,3.3,3.3,Kostas Antetokounmpo,21,Kostas Antetokounmpo,PF
0.6,0.9,5.5,.405,6.0,.491,7.0,.328,2.6,7.8,14.8,1.8,3.9,10,2,294,1.1,16.4,0.5,1.0,6.6,Carmelo Anthony,34,Carmelo Anthony,PF
,,,,,,,,,,,,,,,,,,,,,,,,
1.3,0.6,3.7,.453,4.9,.574,5.4,.332,1.8,5.4,10.8,1.0,3.7,67,6,1352,1.5,12.5,1.2,1.5,5.2,OG Anunoby,21,OG Anunoby,SF
4.9,0.1,3.5,.447,3.4,.527,3.7,.373,1.5,4.0,7.7,1.6,3.1,81,32,1961,0.5,10.0,1.2,1.2,4.0,Ryan Arcidiacono,24,Ryan Arcidiacono,PG
3.9,0.3,4.9,.399,4.5,.493,4.6,.334,2.2,6.7,11.3,2.0,2.0,69,69,2349,0.8,13.2,1.4,1.6,5.7,Trevor Ariza,33,Trevor Ariza,SF
3.5,0.3,5.3,.379,3.5,.409,3.6,.360,2.0,5.7,9.2,1.5,1.8,26,26,884,0.7,10.5,1.5,1.6,5.9,Trevor Ariza,33,Trevor Ariza,SF
4.1,0.3,4.7,.409,5.1,.528,5.3,.322,2.3,7.2,12.5,2.3,2.1,43,43,1465,0.8,14.9,1.3,1.6,5.6,Trevor Ariza,33,Trevor Ariza,SF
6.8,0.1,2.6,.470,5.0,.511,5.8,.421,2.1,4.9,10.7,2.9,1.8,81,81,2269,0.7,15.0,0.8,2.0,3.2,D.J. Augustin,31,D.J. Augustin,PG
2.1,1.1,8.3,.585,8.4,.588,14.3,.000,0.0,0.1,14.3,2.3,3.4,71,70,2183,3.7,19.1,1.0,2.1,12.0,Deandre Ayton,20,Deandre Ayton,C
2.2,0.2,3.8,.475,5.8,.494,8.1,.437,1.8,4.1,12.2,1.6,3.4,43,13,759,0.4,15.0,0.6,0.9,4.2,Dwayne Bacon,23,Dwayne Bacon,SG
1.4,1.4,7.1,.504,8.2,.534,14.0,.313,0.7,2.2,16.2,4.2,2.8,62,4,1567,3.7,21.2,0.8,2.3,10.8,Marvin Bagley,19,Marvin Bagley,PF
3.6,0.2,2.4,.200,0.9,.429,1.7,.077,0.2,3.1,4.7,1.2,4.3,15,0,152,0.2,3.3,1.4,1.2,2.6,Ron Baker,25,Ron Baker,SG
4.4,0.0,2.0,.250,1.3,.429,2.4,.111,0.3,3.0,5.4,1.7,5.4,11,0,107,0.3,4.7,1.7,1.0,2.4,Ron Baker,25,Ron Baker,SG
1.6,0.8,3.2,.000,0.0,,0.0,.000,0.0,3.2,3.2,0.0,1.6,4,0,45,0.0,0.0,0.8,1.6,3.2,Ron Baker,25,Ron Baker,SG
4.6,0.8,5.0,.303,3.8,.333,9.2,.222,0.8,3.4,12.6,3.1,4.2,16,0,94,0.8,11.5,0.4,5.4,5.7,Wade Baldwin,22,Wade Baldwin,PG
6.5,0.5,5.0,.406,4.7,.482,5.8,.329,1.9,5.8,11.5,0.5,2.9,47,45,1423,1.4,11.8,1.7,2.6,6.3,Lonzo Ball,21,Lonzo Ball,PG
1.8,3.0,7.9,.481,5.5,.555,8.1,.300,1.0,3.3,11.4,1.7,4.8,47,1,766,3.0,13.7,0.6,2.0,11.0,Mohamed Bamba,20,Mohamed Bamba,C
10.1,0.0,3.9,.418,7.7,.479,12.3,.297,1.8,6.1,18.4,2.6,2.4,38,0,752,0.6,19.9,1.1,3.4,4.5,J.J. Barea,34,J.J. Barea,PG
1.6,0.2,4.3,.420,6.1,.439,8.3,.395,2.5,6.3,14.6,3.3,1.7,77,77,2533,0.8,18.0,0.7,1.4,5.1,Harrison Barnes,26,Harrison Barnes,PF-SF
1.4,0.2,3.9,.404,6.6,.416,9.2,.389,2.7,7.1,16.3,3.7,1.8,49,49,1584,0.8,19.7,0.7,1.5,4.7,Harrison Barnes,26,Harrison Barnes,PF
2.0,0.1,5.0,.455,5.3,.489,6.8,.408,2.0,4.9,11.8,2.4,1.6,28,28,949,0.8,15.1,0.6,1.1,5.8,Harrison Barnes,26,Harrison Barnes,SF
3.8,0.7,5.1,.402,5.6,.447,8.0,.342,2.0,5.9,13.9,1.7,2.5,43,38,1189,1.0,15.0,0.5,2.0,6.0,Will Barton,28,Will Barton,SG
1.2,1.0,4.8,.423,4.3,.522,6.4,.250,0.9,3.7,10.2,1.3,2.1,30,3,503,1.1,10.8,1.3,1.0,5.9,Keita Bates-Diop,23,Keita Bates-Diop,SF
3.8,0.7,4.9,.450,3.9,.519,4.0,.389,1.8,4.6,8.6,1.2,2.1,75,72,2354,1.1,10.7,1.1,1.8,6.0,Nicolas Batum,30,Nicolas Batum,SF
6.5,0.1,2.8,.357,4.5,.402,7.2,.296,1.6,5.4,12.6,0.9,3.1,34,6,657,0.6,11.5,1.0,1.8,3.4,Jerryd Bayless,30,Jerryd Bayless,PG
2.5,1.5,6.7,.471,4.6,.519,7.1,.344,0.9,2.7,9.8,2.3,5.5,51,18,821,3.9,12.5,0.5,1.8,10.5,Aron Baynes,32,Aron Baynes,C
