APerM,BPerM,DRB PerM,FG %,FG PerM,FG2 PerM,FG2A PerM,FG3 %,FG3 PerM,FG3A PerM,FGA PerM,FTPerM,Fouls PerM,GP,GS,MPG,ORB PerM,PPerM,SPerM,TO PerM,TRB PerM,Teams,age,name,position
3.3,0.9,4.9,.402,6.1,.465,8.6,.320,2.1,6.6,15.1,2.8,3.7,67,35,1643,0.8,17.1,2.0,2.7,5.7,Kent Bazemore,29,Kent Bazemore,SG
5.3,0.7,3.8,.475,9.1,.548,12.0,.351,2.5,7.1,19.1,4.3,2.7,82,82,3028,1.1,25.0,1.4,2.7,4.9,Bradley Beal,25,Bradley Beal,SG
,,,,,,,,,,,,,,,,,,,,,,,,
1.9,0.2,3.2,.474,6.7,.560,6.4,.402,3.1,7.8,14.1,1.1,2.2,81,18,1879,0.7,17.6,1.1,1.1,3.8,Malik Beasley,22,Malik Beasley,SG
3.2,1.3,6.1,.490,9.7,.529,17.7,.176,0.4,2.2,19.9,3.6,5.5,26,2,277,1.7,23.5,1.2,3.5,7.8,Michael Beasley,30,Michael Beasley,PF
2.6,0.2,3.6,.413,5.7,.468,5.9,.372,2.9,7.8,13.7,2.2,2.4,79,1,1815,0.3,16.4,0.7,1.4,3.9,Marco Belinelli,32,Marco Belinelli,SG
3.5,2.3,5.9,.516,4.5,.521,8.7,.000,0.0,0.1,8.8,1.1,3.7,68,3,788,2.5,10.2,0.9,1.9,8.4,Jordan Bell,24,Jordan Bell,C
3.8,0.8,5.7,.446,5.1,.508,8.3,.289,0.9,3.2,11.5,1.6,3.5,82,15,1931,1.0,12.8,2.0,2.6,6.7,DeAndre' Bembry,24,DeAndre' Bembry,SG
2.4,1.0,6.5,.447,3.8,.688,4.2,.218,1.0,4.4,8.6,1.4,3.9,46,27,826,1.5,10.0,0.8,1.6,8.0,Dragan Bender,21,Dragan Bender,PF
2.2,0.0,1.5,.255,2.6,.154,2.8,.294,2.2,7.3,10.1,0.0,1.5,12,0,167,0.4,7.3,0.2,0.4,1.9,Dairis Bertāns,29,Dairis Bertāns,SG
2.2,0.7,5.3,.450,4.5,.513,2.5,.429,3.2,7.5,10.0,1.2,2.9,76,12,1632,0.5,13.4,0.8,0.9,5.8,Dāvis Bertāns,26,Dāvis Bertāns,PF
5.1,0.7,5.3,.407,3.3,.421,3.3,.397,1.9,4.8,8.0,1.6,4.5,78,49,2137,1.3,10.0,1.1,1.4,6.5,Patrick Beverley,30,Patrick Beverley,PG
2.1,1.6,6.2,.603,5.1,.607,8.4,.000,0.0,0.1,8.5,3.2,4.0,50,1,643,4.4,13.4,1.0,1.1,10.6,Khem Birch,26,Khem Birch,C
1.5,1.9,7.6,.571,4.1,.571,7.2,,0.0,0.0,7.2,2.7,4.7,54,32,783,3.7,10.9,0.5,1.6,11.4,Bismack Biyombo,26,Bismack Biyombo,C
3.0,1.1,6.4,.479,5.7,.539,6.8,.401,2.1,5.2,11.9,1.4,4.0,77,70,1788,2.5,14.9,1.1,1.7,8.9,Nemanja Bjelica,30,Nemanja Bjelica,PF
1.8,0.4,4.3,.419,7.2,.426,13.2,.396,1.6,4.0,17.2,2.2,1.8,57,3,829,0.3,18.2,0.5,1.5,4.6,Antonio Blakeney,22,Antonio Blakeney,SG
6.8,0.5,4.4,.484,7.4,.582,9.4,.329,2.0,6.0,15.4,2.8,2.5,78,78,2272,1.3,19.7,1.8,2.6,5.7,Eric Bledsoe,29,Eric Bledsoe,PG
1.1,0.7,5.9,.443,3.9,.552,5.5,.256,0.8,3.2,8.7,0.8,1.6,27,4,439,2.1,9.3,0.6,0.9,8.0,Jaron Blossomgame,25,Jaron Blossomgame,SF
4.9,0.3,3.8,.418,6.7,.462,9.1,.360,2.5,6.9,16.0,2.5,2.6,70,17,1947,0.7,18.3,1.3,2.2,4.5,Bogdan Bogdanović,26,Bogdan Bogdanović,SG
2.3,0.0,4.2,.497,7.3,.538,9.3,.425,2.3,5.4,14.7,3.4,1.9,81,81,2573,0.5,20.3,1.0,1.9,4.7,Bojan Bogdanović,29,Bojan Bogdanović,SF
3.0,2.1,11.6,.500,4.8,.500,9.7,,0.0,0.0,9.7,0.8,5.9,11,5,134,3.2,10.5,0.8,2.1,14.8,Andrew Bogut,34,Andrew Bogut,C
2.3,2.2,6.6,.494,4.5,.697,3.7,.354,1.9,5.4,9.1,0.7,5.6,44,10,639,2.6,11.7,1.0,2.0,9.3,Jonah Bolden,23,Jonah Bolden,PF
4.5,1.2,4.8,.152,1.5,.200,7.5,.000,0.0,2.4,9.9,2.7,2.7,22,0,120,2.7,5.7,2.7,1.8,7.5,Isaac Bonga,19,Isaac Bonga,PG
,,,,,,,,,,,,,,,,,,,,,,,,
7.0,0.2,3.6,.467,9.4,.536,13.5,.326,2.2,6.6,20.2,6.3,3.2,64,64,2242,0.6,27.3,0.9,4.2,4.3,Devin Booker,22,Devin Booker,SG
0.4,5.3,8.8,.447,7.5,.564,8.6,.324,2.7,8.2,16.8,2.9,6.8,28,0,163,3.5,20.5,1.3,1.5,12.4,Chris Boucher,26,Chris Boucher,PF
2.9,0.3,2.5,.408,4.7,.446,6.9,.351,1.6,4.6,11.5,0.8,3.2,63,63,1905,0.8,11.8,0.8,1.7,3.3,Avery Bradley,28,Avery Bradley,SG
2.4,0.4,2.4,.383,4.0,.415,6.1,.337,1.4,4.2,10.3,0.5,3.3,49,49,1463,0.9,9.8,0.7,1.5,3.2,Avery Bradley,28,Avery Bradley,SG
4.6,0.0,2.9,.463,7.1,.513,9.4,.384,2.3,5.9,15.3,1.9,2.8,14,14,442,0.7,18.3,1.1,2.3,3.6,Avery Bradley,28,Avery Bradley,SG
1.0,2.0,6.0,.500,8.0,.500,16.0,,0.0,0.0,16.0,1.0,6.0,3,0,36,9.0,17.0,2.0,3.0,15.0,Tony Bradley,21,Tony Bradley,C
2.9,0.5,3.7,.431,3.9,.494,5.8,.318,1.0,3.2,9.0,2.3,4.6,31,3,492,1.9,11.0,2.3,1.4,5.6,Corey Brewer,32,Corey Brewer,SF
2.6,0.5,3.3,.408,5.1,.457,9.0,.286,1.0,3.6,12.6,2.3,4.1,7,3,140,1.0,13.6,3.1,2.1,4.4,Corey Brewer,32,Corey Brewer,SF
3.0,0.5,3.8,.446,3.4,.523,4.5,.333,1.0,3.1,7.6,2.3,4.8,24,0,352,2.3,10.0,2.0,1.1,6.0,Corey Brewer,32,Corey Brewer,SF
2.6,0.6,3.1,.430,3.6,.548,3.7,.335,1.6,4.7,8.4,1.4,3.0,82,56,2417,0.8,10.2,1.9,1.0,3.9,Mikal Bridges,22,Mikal Bridges,SF
2.0,1.0,5.4,.464,5.0,.553,6.6,.325,1.4,4.2,10.8,1.2,2.4,80,25,1696,1.4,12.7,1.2,1.1,6.9,Miles Bridges,20,Miles Bridges,SF
5.6,0.1,4.4,.399,3.5,.423,6.7,.324,0.7,2.2,8.9,1.0,4.3,39,0,559,0.3,8.8,0.7,2.0,4.8,Isaiah Briscoe,22,Isaiah Briscoe,PG
1.7,0.3,4.4,.452,4.5,.576,2.6,.409,3.0,7.4,10.0,1.2,2.8,42,0,453,0.6,13.3,0.5,1.3,5.0,Ryan Broekhoff,28,Ryan Broekhoff,SG
4.0,0.3,4.4,.505,7.4,.544,9.9,.426,2.0,4.8,14.7,2.8,2.0,64,64,1832,1.3,19.7,0.9,1.8,5.7,Malcolm Brogdon,26,Malcolm Brogdon,SG
1.7,0.4,2.4,.402,5.3,.415,8.9,.375,1.6,4.4,13.3,2.4,5.5,18,0,330,1.0,14.7,1.1,2.1,3.4,Dillon Brooks,23,Dillon Brooks,SF
2.3,0.4,3.1,.450,7.1,.530,10.7,.278,1.4,5.0,15.7,2.1,3.1,29,0,387,1.1,17.7,0.8,2.0,4.2,MarShon Brooks,30,MarShon Brooks,SG
2.3,0.9,3.4,.398,3.1,.457,5.5,.258,0.6,2.3,7.8,1.1,4.4,74,56,1449,1.2,7.9,1.0,1.1,4.6,Bruce Brown,22,Bruce Brown,SG
1.9,0.6,4.7,.465,6.9,.529,9.7,.344,1.8,5.2,14.9,2.5,3.5,74,25,1913,1.2,18.1,1.3,1.9,5.9,Jaylen Brown,22,Jaylen Brown,SG
4.8,0.8,4.4,.324,3.9,.395,7.3,.214,1.0,4.8,12.1,0.5,3.7,26,0,212,0.8,9.3,2.0,2.7,5.3,Lorenzo Brown,28,Lorenzo Brown,PG
2.9,0.3,5.4,.465,5.0,.558,5.7,.361,1.8,5.1,10.9,1.0,3.1,58,7,1034,1.0,13.0,0.9,1.6,6.4,Sterling Brown,23,Sterling Brown,SG
3.9,0.2,5.4,.415,4.8,.455,8.1,.319,1.1,3.4,11.5,1.6,2.8,52,10,730,1.7,12.2,1.0,1.5,7.2,Troy Brown,19,Troy Brown,SF
5.2,0.1,3.3,.467,6.0,.523,8.7,.348,1.4,4.1,12.8,2.0,2.9,73,38,1591,0.6,15.3,0.8,2.0,3.8,Jalen Brunson,22,Jalen Brunson,PG
2.2,1.6,8.2,.616,7.4,.685,9.7,.333,0.8,2.4,12.1,2.6,3.0,72,53,1496,2.7,18.2,0.6,1.4,10.9,Thomas Bryant,21,Thomas Bryant,C
2.5,0.2,2.9,.412,4.7,.483,3.9,.377,2.8,7.5,11.4,1.4,2.1,63,60,1879,0.4,13.6,0.8,1.2,3.3,Reggie Bullock,27,Reggie Bullock,SG
2.9,0.1,2.7,.413,4.8,.463,3.9,.388,3.0,7.8,11.7,1.5,2.1,44,44,1355,0.5,14.2,0.6,1.4,3.3,Reggie Bullock,27,Reggie Bullock,SG
1.4,0.5,3.3,.412,4.3,.537,3.7,.343,2.3,6.8,10.5,1.2,2.1,19,16,524,0.1,12.2,1.1,0.8,3.4,Reggie Bullock,27,Reggie Bullock,SG
,,,,,,,,,,,,,,,,,,,,,,,,
5.1,0.2,2.3,.431,7.6,.463,12.4,.352,1.8,5.1,17.5,3.3,1.9,58,8,1125,0.9,20.2,1.1,1.6,3.2,Trey Burke,26,Trey Burke,PG
4.9,0.3,2.5,.413,7.7,.434,14.2,.349,1.6,4.5,18.7,3.2,1.7,33,7,689,0.8,20.3,1.1,1.5,3.2,Trey Burke,26,Trey Burke,PG
5.4,0.2,2.0,.463,7.3,.530,9.7,.356,2.1,6.0,15.7,3.4,2.1,25,1,436,1.1,20.1,1.0,1.7,3.1,Trey Burke,26,Trey Burke,PG
3.4,0.5,5.4,.405,5.0,.428,8.0,.363,1.6,4.4,12.4,3.0,2.4,64,24,1375,0.8,14.7,1.0,1.7,6.2,Alec Burks,27,Alec Burks,SG
2.7,0.5,3.3,.412,6.3,.437,9.5,.372,2.1,5.8,15.3,4.4,2.9,17,0,269,0.3,19.1,0.8,2.0,3.6,Alec Burks,27,Alec Burks,SG
3.6,0.6,5.9,.400,5.0,.412,8.1,.378,1.7,4.4,12.5,2.9,2.3,34,24,979,1.0,14.6,0.9,1.7,6.8,Alec Burks,27,Alec Burks,SG
2.8,0.3,5.7,.450,2.6,.643,4.0,.000,0.0,1.7,5.7,1.1,2.0,13,0,127,0.6,6.2,2.3,1.1,6.2,Alec Burks,27,Alec Burks,SG
1.4,1.2,3.6,.402,5.0,.455,8.2,.296,1.2,4.1,12.3,1.2,4.6,32,0,240,0.6,12.3,0.9,1.4,4.2,Deonte Burton,25,Deonte Burton,SG
4.3,0.6,3.6,.462,6.9,.494,11.7,.347,1.1,3.2,14.9,5.1,1.8,65,65,2185,2.0,20.0,2.0,1.6,5.6,Jimmy Butler,29,Jimmy Butler,SF-SG
4.3,1.0,3.6,.471,7.4,.509,11.2,.378,1.7,4.5,15.7,4.8,1.8,10,10,361,1.6,21.2,2.4,1.4,5.2,Jimmy Butler,29,Jimmy Butler,SG
4.3,0.6,3.7,.461,6.8,.491,11.8,.338,1.0,2.9,14.7,5.2,1.8,55,55,1824,2.1,19.8,2.0,1.6,5.7,Jimmy Butler,29,Jimmy Butler,SF
2.3,1.5,5.2,.427,4.3,.505,4.3,.369,2.2,5.9,10.1,1.9,3.6,34,19,800,1.9,12.7,0.6,1.7,7.1,Bruno Caboclo,23,Bruno Caboclo,SF
6.6,0.2,2.8,.375,2.6,.492,3.6,.246,0.8,3.2,6.8,0.5,3.6,49,0,632,0.6,6.4,0.9,2.0,3.4,José Calderón,37,José Calderón,PG
1.9,0.2,3.4,.430,5.7,.542,5.7,.347,2.7,7.7,13.4,2.4,2.4,82,23,2035,0.8,16.6,1.3,1.1,4.2,Kentavious Caldwell-Pope,25,Kentavious Caldwell-Pope,SG
4.8,0.1,3.0,.390,3.7,.441,3.9,.354,1.9,5.5,9.4,1.1,3.0,30,16,629,0.3,10.4,0.8,2.0,3.3,Isaiah Canaan,27,Isaiah Canaan,PG
4.4,0.0,3.1,.395,3.7,.456,4.1,.347,1.8,5.2,9.2,1.1,3.3,19,15,503,0.4,10.2,0.9,2.1,3.5,Isaiah Canaan,27,Isaiah Canaan,PG
7.2,0.4,1.9,.379,4.2,.400,3.8,.368,2.7,7.2,11.0,1.5,1.5,7,1,95,0.0,12.5,0.8,1.5,1.9,Isaiah Canaan,27,Isaiah Canaan,PG
3.5,1.2,3.5,.333,2.3,.000,1.2,.400,2.3,5.8,7.0,0.0,2.3,4,0,31,1.2,7.0,0.0,2.3,4.6,Isaiah Canaan,27,Isaiah Canaan,PG
1.5,1.6,8.8,.648,7.6,.648,11.7,,0.0,0.0,11.7,2.7,2.7,67,67,2249,4.8,17.8,0.7,1.5,13.6,Clint Capela,24,Clint Capela,C
1.8,0.2,5.9,.395,4.8,.457,5.6,.342,2.2,6.6,12.2,3.9,2.4,67,8,1703,1.4,15.7,0.7,1.5,7.4,DeMarre Carroll,32,DeMarre Carroll,PF
4.3,0.7,3.2,.303,3.5,.265,5.2,.333,2.1,6.4,11.5,1.6,3.4,39,3,577,0.9,10.7,1.6,2.1,4.1,Jevon Carter,23,Jevon Carter,PG
2.4,0.7,4.4,.419,5.3,.480,4.1,.389,3.3,8.6,12.7,1.3,3.8,76,9,1330,0.8,15.2,1.2,1.3,5.3,Vince Carter,42,Vince Carter,SF
2.5,1.9,7.1,.485,5.8,.513,11.0,.188,0.2,1.0,12.0,2.9,4.9,44,44,1110,2.8,14.8,0.8,2.1,10.0,Wendell Carter,19,Wendell Carter,C
6.8,1.5,4.9,.374,4.5,.424,8.2,.263,1.0,3.7,11.9,3.1,4.6,28,1,372,1.8,13.0,1.9,1.9,6.8,Michael Carter-Williams,27,Michael Carter-Williams,PG
5.2,1.5,2.5,.410,6.2,.429,10.4,.368,1.7,4.7,15.1,3.0,6.7,16,1,145,0.7,17.1,2.2,2.5,3.2,Michael Carter-Williams,27,Michael Carter-Williams,PG
7.8,1.4,6.5,.339,3.3,.419,6.8,.158,0.5,3.0,9.8,3.2,3.3,12,0,227,2.5,10.3,1.7,1.6,9.0,Michael Carter-Williams,27,Michael Carter-Williams,PG
5.2,0.6,3.2,.445,5.2,.431,8.3,.480,1.6,3.4,11.7,3.5,3.7,25,4,531,1.4,15.5,1.6,2.8,4.5,Alex Caruso,24,Alex Caruso,PG
1.8,0.6,6.8,.534,6.0,.602,8.2,.349,1.0,3.0,11.1,2.7,2.4,36,0,520,1.2,15.6,1.4,1.6,8.0,Omri Casspi,30,Omri Casspi,SF
3.2,0.8,8.1,.556,6.7,.556,12.0,.500,0.0,0.0,12.1,2.3,3.7,81,81,2213,2.9,15.7,1.6,1.4,11.0,Willie Cauley-Stein,25,Willie Cauley-Stein,C
9.0,0.0,4.5,.500,9.0,.400,11.3,.667,4.5,6.8,18.0,0.0,0.0,4,0,16,2.3,22.5,2.3,0.0,6.8,Troy Caupain,23,Troy Caupain,PG
0.9,0.0,4.6,.300,2.8,.400,4.6,.200,0.9,4.6,9.2,1.8,2.8,11,0,39,2.8,8.3,0.0,0.9,7.4,Tyler Cavanaugh,24,Tyler Cavanaugh,PF
1.5,0.9,8.8,.616,2.5,.622,4.0,.000,0.0,0.0,4.1,2.1,4.5,55,6,875,3.8,7.1,0.9,1.7,12.6,Tyson Chandler,36,Tyson Chandler,C
2.4,0.4,12.9,.667,3.2,.667,4.9,,0.0,0.0,4.9,4.0,8.5,7,0,89,2.8,10.5,0.8,2.8,15.8,Tyson Chandler,36,Tyson Chandler,C
1.4,1.0,8.4,.609,2.4,.616,3.9,.000,0.0,0.0,4.0,1.9,4.1,48,6,786,3.9,6.7,0.9,1.6,12.3,Tyson Chandler,36,Tyson Chandler,C
,,,,,,,,,,,,,,,,,,,,,,,,
2.5,0.6,5.1,.418,3.5,.478,3.5,.373,1.8,4.8,8.4,0.6,3.8,51,33,1177,1.5,9.3,0.8,1.4,6.6,Wilson Chandler,31,Wilson Chandler,PF-SF
2.7,0.7,4.7,.440,3.4,.506,3.4,.390,1.7,4.5,7.8,0.5,3.6,36,32,951,1.7,9.1,0.8,1.5,6.4,Wilson Chandler,31,Wilson Chandler,PF
1.6,0.5,6.8,.348,3.7,.385,4.1,.325,2.1,6.4,10.5,0.8,4.6,15,1,226,0.6,10.2,0.5,1.1,7.5,Wilson Chandler,31,Wilson Chandler,SF
4.5,0.0,0.0,.333,4.5,.333,13.5,,0.0,0.0,13.5,0.0,4.5,1,0,8,0.0,9.0,0.0,0.0,0.0,Joe Chealey,23,Joe Chealey,PG
4.4,1.1,3.3,.250,2.2,.000,3.3,.400,2.2,5.5,8.7,0.0,2.2,7,0,33,1.1,6.5,1.1,1.1,4.4,Chris Chiozza,23,Chris Chiozza,PG
1.6,0.8,7.4,.372,4.8,.472,7.8,.222,1.2,5.2,13.0,2.3,5.8,43,2,499,2.9,13.1,1.2,2.6,10.2,Marquese Chriss,21,Marquese Chriss,PF
2.1,1.4,7.3,.324,3.8,.526,6.6,.067,0.3,5.2,11.8,2.1,5.9,16,0,104,2.4,10.0,0.7,4.2,9.7,Marquese Chriss,21,Marquese Chriss,PF
1.5,0.6,7.4,.384,5.1,.461,8.1,.263,1.4,5.2,13.3,2.4,5.8,27,2,395,3.0,13.9,1.4,2.2,10.4,Marquese Chriss,21,Marquese Chriss,PF
1.0,1.5,5.2,.331,2.8,.692,0.7,.297,2.3,7.8,8.5,0.4,2.6,51,2,641,1.3,8.3,1.1,0.4,6.5,Gary Clark,24,Gary Clark,PF
3.5,0.3,2.8,.394,5.6,.470,6.7,.327,2.4,7.5,14.2,1.2,3.5,60,6,973,0.5,14.8,0.8,2.1,3.3,Ian Clark,27,Ian Clark,SG
