name,position,age,Teams,GP,MP,PER,TS %,FG3A PerFGA%,Fta PerFGA%,VORP,Usg Pct,OWS,DWS,WS,WS Per 48,Off. Box +-,Deff. Box +-,Box +-,ORB Pct,DRB Pct,TRB Pct,As. Pct,Stl Pct,Blk Pct,TO Pct
Quincy Acy,PF,22,Quincy Acy,29,342,15.9,.632,.027,.507,0.2,14.7,0.7,0.4,1.1,.157,-0.6,1.3,0.7,10.3,16.6,13.4,5.2,2.0,3.5,15.6
Jeff Adrien,PF,26,Jeff Adrien,52,713,13.4,.493,.012,.595,-0.2,15.6,0.5,0.4,1.0,.064,-3.0,-0.2,-3.3,10.6,21.2,15.7,8.3,1.3,3.1,13.1
Arron Afflalo,SF,27,Arron Afflalo,64,2307,13.0,.527,.265,.246,-0.2,22.5,1.5,0.5,2.0,.042,-0.3,-2.0,-2.3,1.4,10.3,5.8,14.6,0.9,0.4,12.1
Josh Akognon,PG,26,Josh Akognon,3,9,15.3,.625,.500,.000,0.0,20.3,0.0,0.0,0.0,.196,4.7,-4.9,-0.2,0.0,12.1,6.2,19.4,0.0,0.0,0.0
Cole Aldrich,C,24,Cole Aldrich,45,388,11.1,.563,.000,.250,-0.2,12.7,0.1,0.4,0.6,.070,-4.8,0.7,-4.0,8.7,26.7,17.7,3.4,0.7,4.6,20.6
Cole Aldrich,C,24,Cole Aldrich,30,213,7.3,.532,.000,.209,-0.1,12.5,-0.1,0.3,0.2,.038,-5.7,1.0,-4.8,6.5,23.7,15.2,4.1,0.7,3.2,23.0
Cole Aldrich,C,24,Cole Aldrich,15,175,15.7,.598,.000,.297,-0.1,12.9,0.2,0.2,0.4,.109,-3.6,0.5,-3.1,11.5,30.4,20.7,2.6,0.6,6.3,17.7
LaMarcus Aldridge,PF,27,LaMarcus Aldridge,74,2790,20.4,.530,.011,.264,2.0,26.5,4.8,2.3,7.2,.124,0.3,0.5,0.8,7.2,20.9,14.0,13.0,1.2,2.5,8.9
Lavoy Allen,C,23,Lavoy Allen,79,1669,11.5,.474,.002,.132,-0.3,14.8,0.9,1.6,2.5,.072,-3.2,0.6,-2.6,10.5,16.5,13.4,6.7,0.8,2.6,10.3
Ray Allen,SG,37,Ray Allen,79,2035,14.7,.599,.510,.243,1.1,19.3,3.4,1.9,5.4,.126,1.7,-1.5,0.2,2.6,10.1,6.6,10.2,1.7,0.6,12.5
Tony Allen,SG,31,Tony Allen,79,2109,13.2,.489,.038,.293,1.8,17.8,1.0,4.1,5.1,.115,-1.6,2.9,1.3,6.6,13.8,10.2,7.6,3.1,1.7,11.5
Al-Farouq Aminu,SF,22,Al-Farouq Aminu,76,2066,13.7,.519,.040,.289,1.3,14.6,0.7,2.4,3.1,.073,-2.0,2.4,0.4,7.9,26.2,16.9,7.8,2.4,2.1,17.8
Lou Amundson,PF,30,Lou Amundson,39,372,9.3,.392,.000,.444,-0.1,14.2,-0.3,0.4,0.1,.019,-4.4,1.0,-3.3,14.7,18.7,16.7,4.5,2.3,2.6,16.4
Lou Amundson,PF,30,Lou Amundson,20,161,6.3,.342,.000,.526,-0.2,16.1,-0.4,0.2,-0.1,-0.038,-6.9,0.9,-5.9,15.9,17.6,16.7,2.8,2.2,2.9,19.0
