name,position,age,Teams,GP,MP,PER,TS %,FG3A PerFGA%,Fta PerFGA%,VORP,Usg Pct,OWS,DWS,WS,WS Per 48,Off. Box +-,Deff. Box +-,Box +-,ORB Pct,DRB Pct,TRB Pct,As. Pct,Stl Pct,Blk Pct,TO Pct
Mahmoud Abdul-Rauf,PG,27,Mahmoud Abdul-Rauf,75,2131,13.2,.524,.266,.147,-0.8,23.2,2.0,0.7,2.7,.060,-0.2,-3.4,-3.5,0.9,5.9,3.3,15.8,1.4,0.2,10.8
Shareef Abdur-Rahim,PF,20,Shareef Abdur-Rahim,80,2802,17.4,.518,.022,.428,0.0,27.6,1.7,1.2,2.9,.049,-0.8,-1.2,-2.0,8.8,14.2,11.5,12.1,1.5,2.2,13.5
Rafael Addison,SF,32,Rafael Addison,41,355,10.6,.476,.164,.230,-0.2,20.1,0.2,0.1,0.4,.048,-1.8,-2.5,-4.3,6.7,8.6,7.7,15.5,1.2,0.6,11.2
Cory Alexander,PG,23,Cory Alexander,80,1454,14.3,.528,.514,.263,0.2,22.2,0.5,0.6,1.1,.035,0.8,-2.1,-1.3,2.3,8.0,5.1,30.0,3.1,0.9,21.1
Jerome Allen,SG,24,Jerome Allen,76,943,8.7,.451,.421,.326,-0.4,15.6,-0.3,0.8,0.4,.021,-2.3,-1.1,-3.5,3.1,9.0,6.1,25.3,1.8,0.3,21.4
Jerome Allen,SG,24,Jerome Allen,51,692,8.7,.489,.401,.320,-0.2,14.9,-0.2,0.7,0.5,.035,-2.3,-0.6,-2.9,2.3,8.8,5.6,24.9,2.1,0.0,25.0
Jerome Allen,SG,24,Jerome Allen,25,251,8.9,.376,.459,.338,-0.2,17.4,-0.1,0.0,-0.1,-0.019,-2.5,-2.5,-5.1,5.5,9.4,7.5,26.3,0.8,1.1,13.3
Ray Allen,SG,21,Ray Allen,82,2532,14.6,.541,.328,.274,1.5,21.4,3.3,1.5,4.9,.092,1.6,-1.2,0.3,4.7,11.0,7.9,13.9,1.6,0.3,12.8
Derrick Alston,C,24,Derrick Alston,2,11,-9.0,.000,.000,.400,-0.1,25.2,-0.1,0.0,-0.1,-0.415,-17.5,-10.3,-27.8,33.3,10.6,21.7,0.0,0.0,0.0,0.0
Ashraf Amaya,PF,25,Ashraf Amaya,31,144,8.8,.382,.025,.700,-0.2,19.4,-0.2,0.3,0.1,.019,-7.0,-1.0,-8.1,15.7,26.4,21.1,2.9,2.5,1.6,16.0
Greg Anderson,C,32,Greg Anderson,82,1659,11.4,.531,.004,.355,0.2,10.5,0.7,1.5,2.2,.064,-3.1,1.4,-1.6,11.0,21.8,16.2,3.2,2.1,3.2,19.4
Kenny Anderson,PG,26,Kenny Anderson,82,3081,19.5,.540,.322,.383,5.5,22.2,8.0,4.4,12.4,.193,4.3,0.8,5.0,3.6,10.2,7.0,31.7,2.8,0.4,12.7
Nick Anderson,SG,29,Nick Anderson,63,2163,13.8,.494,.559,.130,2.5,18.2,1.3,2.9,4.2,.093,1.2,1.4,2.6,3.5,13.2,8.2,14.5,3.0,1.1,10.1
Shandon Anderson,SG,23,Shandon Anderson,65,1066,10.4,.534,.148,.311,-0.2,18.9,0.1,1.2,1.2,.056,-2.2,-0.7,-2.9,6.5,14.0,10.5,7.1,1.4,0.6,16.8
Willie Anderson,SG,30,Willie Anderson,28,303,12.6,.570,.297,.313,0.2,14.2,0.4,0.5,0.9,.142,-1.0,1.7,0.8,6.0,10.4,8.2,18.2,2.5,1.0,20.7
Greg Anthony,PG,29,Greg Anthony,65,1863,16.6,.526,.469,.351,0.8,17.8,2.3,1.2,3.5,.090,1.3,-1.5,-0.3,1.5,10.0,5.7,36.1,3.8,0.2,18.1
B.J. Armstrong,PG,29,B.J. Armstrong,49,1020,12.9,.538,.275,.242,-0.5,18.1,1.4,-0.1,1.3,.061,-0.5,-3.4,-3.9,0.8,7.8,4.3,20.3,1.3,0.2,12.8
Darrell Armstrong,PG,28,Darrell Armstrong,67,1010,14.7,.525,.525,.307,0.3,22.4,0.7,1.1,1.8,.085,0.9,-1.7,-0.7,4.0,4.9,4.4,29.7,3.3,0.7,20.2
Vincent Askew,SG,30,Vincent Askew,43,838,9.7,.532,.129,.473,0.1,14.9,0.7,0.8,1.5,.086,-1.4,0.0,-1.4,3.6,10.2,7.0,17.3,1.1,0.6,17.0
Vincent Askew,SG,30,Vincent Askew,1,7,-2.3,,,,0.0,0.0,0.0,0.0,0.0,-0.022,-6.7,-0.6,-7.3,0.0,0.0,0.0,0.0,0.0,0.0,
Vincent Askew,SG,30,Vincent Askew,41,822,9.9,.528,.131,.470,0.2,14.8,0.8,0.8,1.6,.092,-1.2,0.0,-1.1,3.7,10.4,7.1,17.7,1.1,0.6,16.0
Vincent Askew,SG,30,Vincent Askew,1,9,0.9,.773,.000,.667,0.0,39.1,-0.1,0.0,-0.1,-0.393,-15.6,-6.6,-22.2,0.0,0.0,0.0,0.0,0.0,0.0,50.8
Keith Askins,SF,29,Keith Askins,78,1773,9.1,.557,.539,.182,1.4,10.7,1.5,2.8,4.3,.116,-0.8,1.9,1.1,5.9,12.2,9.1,6.7,1.6,0.8,14.6
Stacey Augmon,SG,28,Stacey Augmon,60,942,11.3,.531,.000,.441,0.1,16.2,0.2,1.3,1.5,.076,-3.0,1.4,-1.5,6.2,11.4,8.8,9.4,2.4,1.5,19.6
Stacey Augmon,SG,28,Stacey Augmon,20,292,9.6,.473,.000,.532,-0.2,20.7,-0.4,0.4,0.0,.003,-6.1,1.2,-4.8,6.1,14.6,10.4,8.5,1.9,2.8,22.1
Stacey Augmon,SG,28,Stacey Augmon,40,650,12.1,.564,.000,.392,0.3,14.2,0.6,0.9,1.5,.109,-1.6,1.5,-0.1,6.2,9.9,8.1,9.8,2.6,0.8,18.1
Isaac Austin,C,27,Isaac Austin,82,1881,14.2,.536,.005,.354,0.2,22.5,0.3,3.7,4.0,.102,-3.2,1.6,-1.6,8.7,21.2,15.1,9.9,1.3,1.8,17.9
,,,,,,,,,,,,,,,,,,,,,,,,,
Vin Baker,PF,25,Vin Baker,78,3159,20.1,.553,.043,.416,3.7,25.3,4.9,3.4,8.3,.127,1.4,1.2,2.6,10.4,20.7,15.6,12.1,1.4,2.7,14.2
Charles Barkley,PF,33,Charles Barkley,53,2009,23.0,.581,.296,.600,4.6,23.2,5.7,3.7,9.4,.224,4.4,2.8,7.1,12.9,27.7,20.7,20.6,1.8,0.9,14.7
Dana Barros,PG,29,Dana Barros,24,708,14.0,.552,.415,.170,-0.1,18.8,0.9,0.1,1.0,.065,0.5,-3.0,-2.5,0.8,7.6,3.9,18.6,1.8,0.6,12.5
Brent Barry,SG,25,Brent Barry,59,1094,15.0,.526,.456,.245,0.6,20.3,1.2,0.9,2.1,.090,1.2,-1.1,0.0,3.1,8.9,5.9,23.1,2.5,1.1,15.3
Jon Barry,SG,27,Jon Barry,58,965,13.2,.535,.504,.187,0.5,15.9,0.9,1.5,2.4,.118,-0.2,0.4,0.2,3.3,8.8,6.1,19.7,3.2,0.2,18.1
Benoit Benjamin,C,32,Benoit Benjamin,4,44,8.9,.472,.000,.333,-0.1,16.0,0.0,0.0,0.0,.033,-5.5,-3.0,-8.4,7.8,16.5,12.0,3.7,1.2,0.0,12.7
Elmer Bennett,PG,26,Elmer Bennett,9,75,5.8,.470,.474,.526,-0.1,20.0,-0.2,0.0,-0.1,-0.075,-5.7,-2.4,-8.1,0.0,6.0,3.1,22.3,2.8,0.0,29.9
Elmer Bennett,PG,26,Elmer Bennett,4,16,32.1,.579,.500,1.000,0.0,24.6,0.1,0.0,0.1,.436,9.0,-0.7,8.3,0.0,6.9,3.6,39.1,6.5,0.0,0.0
Elmer Bennett,PG,26,Elmer Bennett,5,59,-1.3,.407,.462,.308,-0.2,18.7,-0.3,0.0,-0.3,-0.213,-9.7,-2.9,-12.6,0.0,5.7,2.9,17.8,1.8,0.0,40.4
Travis Best,PG,24,Travis Best,76,2064,13.3,.533,.250,.318,1.3,19.3,1.8,2.3,4.1,.096,0.6,-0.2,0.4,2.1,7.4,4.8,26.4,2.6,0.2,17.8
Mookie Blaylock,PG,29,Mookie Blaylock,78,3056,20.4,.548,.521,.150,7.1,21.9,7.0,5.6,12.5,.197,5.3,2.0,7.2,4.6,11.4,8.1,27.7,3.8,0.5,13.0
Corie Blount,PF,28,Corie Blount,58,1009,11.9,.559,.017,.464,0.3,11.8,1.1,1.4,2.5,.117,-2.0,1.0,-1.0,12.9,18.3,15.6,5.2,1.1,2.0,18.8
Muggsy Bogues,PG,32,Muggsy Bogues,65,1880,15.7,.554,.325,.144,0.3,14.5,3.9,1.1,5.0,.127,1.3,-2.7,-1.3,1.7,7.2,4.5,38.6,2.4,0.1,18.6
Dexter Boney,SG,26,Dexter Boney,8,48,10.2,.422,.316,.421,-0.1,22.1,0.0,0.0,0.0,.013,-4.7,-5.0,-9.7,7.3,7.2,7.3,0.0,2.1,1.5,4.3
Melvin Booker,PG,24,Melvin Booker,21,430,8.8,.536,.352,.190,-0.4,14.6,0.3,-0.1,0.1,.014,-1.8,-3.6,-5.4,1.9,6.1,4.0,19.1,0.4,0.4,19.2
Melvin Booker,PG,24,Melvin Booker,5,21,-5.1,.625,.500,.000,-0.1,23.4,-0.2,0.0,-0.2,-0.380,-14.4,-5.3,-19.7,0.0,5.4,2.7,22.3,0.0,0.0,63.6
Melvin Booker,PG,24,Melvin Booker,16,409,9.5,.533,.347,.198,-0.3,14.1,0.4,-0.1,0.3,.034,-1.1,-3.6,-4.7,2.0,6.1,4.1,18.9,0.4,0.4,15.4
Bruce Bowen,SF,25,Bruce Bowen,1,1,37.7,,,,0.0,0.0,0.0,0.0,0.0,.321,-10.6,46.8,36.2,0.0,0.0,0.0,0.0,0.0,77.8,
Donnie Boyce,SG,23,Donnie Boyce,22,154,7.0,.378,.254,.349,-0.2,27.2,-0.5,0.3,-0.3,-0.081,-6.7,0.0,-6.7,5.5,6.1,5.8,14.7,3.6,2.0,18.0
Shawn Bradley,C,24,Shawn Bradley,73,2288,16.5,.478,.009,.252,0.2,22.1,0.0,3.0,3.0,.062,-3.8,2.2,-1.6,10.4,19.8,14.9,4.2,0.9,8.3,11.8
Shawn Bradley,C,24,Shawn Bradley,40,1228,16.3,.470,.011,.268,0.2,19.9,0.2,1.6,1.8,.071,-4.2,2.8,-1.4,9.8,19.4,14.3,2.7,1.0,9.8,11.2
Shawn Bradley,C,24,Shawn Bradley,33,1060,16.7,.486,.007,.236,0.0,24.5,-0.2,1.3,1.2,.052,-3.4,1.5,-1.9,11.1,20.4,15.7,5.9,0.9,6.5,12.4
Mark Bradtke,C,28,Mark Bradtke,36,251,9.6,.463,.000,.224,-0.3,12.2,0.1,0.1,0.2,.044,-4.3,-1.8,-6.1,11.0,18.7,14.8,4.2,1.0,1.4,12.4
Terrell Brandon,PG,26,Terrell Brandon,78,2868,21.5,.526,.206,.226,4.8,28.3,6.2,4.7,10.8,.181,3.8,0.8,4.6,2.1,11.7,6.8,35.6,2.8,0.9,11.0
Frank Brickowski,PF,37,Frank Brickowski,17,255,6.9,.512,.274,.192,-0.3,16.5,-0.2,0.1,-0.1,-0.020,-4.5,-2.2,-6.7,2.5,13.7,7.7,9.1,1.0,1.2,19.4
Scott Brooks,PG,31,Scott Brooks,38,251,11.0,.625,.308,.385,0.1,11.5,0.2,0.5,0.7,.136,-1.4,1.7,0.3,3.0,5.5,4.3,17.8,4.4,0.0,27.2
,,,,,,,,,,,,,,,,,,,,,,,,,
Chucky Brown,SF,28,Chucky Brown,70,757,11.3,.552,.039,.455,-0.1,12.4,1.0,0.6,1.6,.101,-2.2,-0.4,-2.7,6.6,17.1,11.9,5.7,0.6,2.2,9.3
