APP,BPP,DRB PP,FG %,FG PP,FG2 %,FG2 PP,FG2A PP,FG3 %,FG3 PP,FG3A PP,FGA PP,FT %,FT PP,FTA PP,Fouls PP,GP,GS,MP,ORB PP,Off. Ra,PPP,SPP,TO PP,TRB PP,Teams,age,name,position
9.6,0.0,0.0,.600,28.9,.600,28.9,48.2,,0.0,0.0,48.2,,0.0,0.0,0.0,2,0,5,28.9,142,57.8,0.0,0.0,28.9,Greg Monroe,28,Greg Monroe,C
6.4,0.0,8.2,.652,13.6,.636,12.7,20.0,1.000,0.9,0.9,20.9,.909,9.1,10.0,4.5,3,0,52,3.6,154,37.2,0.9,0.9,11.8,Greg Monroe,28,Greg Monroe,C
3.2,0.3,2.9,.481,8.1,.506,5.7,11.3,.432,2.4,5.6,16.9,.763,1.4,1.9,3.6,53,36,1463,1.1,110,20.1,1.3,1.9,4.0,E'Twaun Moore,29,E'Twaun Moore,SG
4.5,1.1,17.8,.429,3.3,.333,2.2,6.7,1.000,1.1,1.1,7.8,,0.0,0.0,10.0,5,0,43,4.5,86,7.8,1.1,5.6,22.3,Eric Moreland,27,Eric Moreland,PF
0.0,0.0,28.6,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,9.5,1,0,5,0.0,,0.0,0.0,0.0,28.6,Eric Moreland,27,Eric Moreland,PF
5.0,1.3,16.4,.429,3.8,.333,2.5,7.6,1.000,1.3,1.3,8.8,,0.0,0.0,10.1,4,0,38,5.0,86,8.8,1.3,6.3,21.4,Eric Moreland,27,Eric Moreland,PF
6.4,0.0,8.0,.400,6.4,.429,4.8,11.2,.333,1.6,4.8,16.0,.500,1.6,3.2,1.6,4,0,29,0.0,100,16.0,3.2,1.6,8.0,Jaylen Morris,23,Jaylen Morris,SG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,0.6,8.8,.447,8.7,.508,5.3,10.5,.375,3.4,9.0,19.4,.844,3.4,4.0,4.2,75,53,2091,1.8,110,24.1,1.0,2.1,10.6,Marcus Morris,29,Marcus Morris,PF
2.9,0.8,7.6,.421,7.6,.484,5.0,10.4,.335,2.5,7.5,18.0,.772,2.6,3.4,6.5,58,16,1270,2.3,106,20.3,1.3,2.0,9.8,Markieff Morris,29,Markieff Morris,PF
3.2,1.1,7.1,.436,7.7,.516,5.1,9.9,.333,2.6,7.7,17.6,.781,3.1,3.9,6.3,34,15,883,2.2,106,21.0,1.3,2.5,9.3,Markieff Morris,29,Markieff Morris,PF
2.3,0.2,8.6,.391,7.4,.423,4.9,11.7,.339,2.4,7.1,18.8,.737,1.7,2.3,7.0,24,1,387,2.4,106,18.8,1.3,0.8,11.0,Markieff Morris,29,Markieff Morris,PF
7.4,0.1,4.0,.493,8.6,.531,6.3,11.8,.414,2.3,5.7,17.5,.802,1.6,2.0,2.5,82,6,1970,0.9,124,21.2,1.8,1.3,4.8,Monte Morris,23,Monte Morris,PG
3.8,3.8,3.8,.500,11.3,.500,11.3,22.5,,0.0,0.0,22.5,.000,0.0,7.5,22.5,3,0,13,7.5,72,22.5,0.0,11.3,11.3,Donatas Motiejūnas,28,Donatas Motiejūnas,PF
3.3,0.9,10.0,.534,11.8,.557,11.8,21.2,.000,0.0,0.9,22.1,.600,7.3,12.1,8.2,22,0,156,5.4,106,30.9,1.5,4.8,15.4,Johnathan Motley,23,Johnathan Motley,PF
6.8,0.6,4.9,.446,9.9,.492,7.8,15.9,.329,2.1,6.3,22.2,.774,4.3,5.6,3.1,59,42,1607,1.0,102,26.2,1.3,4.2,5.9,Emmanuel Mudiay,22,Emmanuel Mudiay,PG
7.3,0.5,5.1,.437,10.3,.476,7.2,15.2,.367,3.1,8.3,23.5,.848,3.8,4.5,3.1,75,74,2447,1.3,110,27.4,1.3,3.2,6.4,Jamal Murray,21,Jamal Murray,PG
2.4,0.0,4.9,.409,11.0,.667,9.8,14.6,.100,1.2,12.2,26.8,.000,0.0,2.4,1.2,9,0,39,1.2,75,23.2,2.4,4.9,6.1,Džanan Musa,19,Džanan Musa,SG
2.7,1.4,6.7,.402,5.2,.533,2.0,3.8,.348,3.2,9.2,13.0,.824,2.5,3.1,4.7,64,10,1306,2.1,113,16.2,0.8,1.7,8.8,Mike Muscala,27,Mike Muscala,PF
2.8,1.2,6.8,.392,4.9,.519,1.9,3.6,.342,3.1,9.0,12.6,.818,2.9,3.5,5.1,47,6,1041,2.3,112,15.8,0.8,2.0,9.1,Mike Muscala,27,Mike Muscala,PF
2.5,1.9,6.7,.434,6.3,.577,2.6,4.6,.368,3.7,10.0,14.6,.875,1.2,1.4,3.2,17,4,265,1.1,117,17.6,0.7,0.9,7.7,Mike Muscala,27,Mike Muscala,PF
3.9,0.1,2.9,.329,4.9,.333,1.8,5.4,.326,3.1,9.4,14.8,.600,1.3,2.1,2.7,42,0,440,1.0,92,14.1,1.5,2.2,3.8,Sviatoslav Mykhailiuk,21,Sviatoslav Mykhailiuk,SF
3.7,0.1,2.9,.333,4.9,.362,1.9,5.2,.318,3.0,9.4,14.6,.600,1.3,2.2,2.8,39,0,420,0.9,91,14.1,1.4,2.2,3.8,Sviatoslav Mykhailiuk,21,Sviatoslav Mykhailiuk,SF
9.9,0.0,2.5,.250,4.9,.000,0.0,9.9,.500,4.9,9.9,19.7,,0.0,0.0,0.0,3,0,20,2.5,96,14.8,2.5,2.5,4.9,Sviatoslav Mykhailiuk,21,Sviatoslav Mykhailiuk,SF
1.3,0.8,6.9,.423,6.1,.513,4.0,7.7,.320,2.2,6.7,14.5,.750,1.8,2.4,4.6,61,1,694,0.9,102,16.2,1.3,1.7,7.8,Abdel Nader,25,Abdel Nader,SF
5.9,1.1,10.6,.520,6.9,.567,6.0,10.5,.337,0.9,2.7,13.3,.716,2.7,3.7,5.3,67,30,1795,4.6,120,17.3,2.8,2.7,15.3,Larry Nance,26,Larry Nance,C
6.9,0.8,4.0,.389,8.2,.449,4.5,10.0,.333,3.7,11.0,21.1,.833,5.6,6.7,3.2,56,2,983,0.9,109,25.6,2.0,3.2,4.8,Shabazz Napier,27,Shabazz Napier,PG
9.4,0.4,5.7,.460,7.5,.535,5.5,10.2,.333,2.0,6.1,16.3,.848,2.8,3.3,4.9,37,1,474,0.6,111,19.8,1.4,3.5,6.3,Raul Neto,26,Raul Neto,PG
3.2,0.6,7.0,.475,8.0,.566,4.0,7.0,.410,4.0,9.7,16.8,.833,1.9,2.2,5.3,59,0,516,1.0,115,21.8,0.9,2.1,8.1,Georges Niang,25,Georges Niang,PF
6.4,2.2,12.9,.516,7.9,.519,7.9,15.2,.000,0.0,0.1,15.3,.716,5.6,7.8,6.9,42,1,693,4.2,113,21.4,1.4,3.6,17.1,Joakim Noah,33,Joakim Noah,C
2.0,4.2,8.8,.587,7.2,.587,7.2,12.2,,0.0,0.0,12.2,.684,2.4,3.5,7.3,77,2,1055,5.6,122,16.7,2.9,2.1,14.4,Nerlens Noel,24,Nerlens Noel,C
2.1,1.1,9.3,.359,8.2,.415,4.3,10.4,.312,3.9,12.5,22.9,.780,2.4,3.1,4.6,51,20,795,0.3,96,22.8,0.5,1.1,9.6,Dirk Nowitzki,40,Dirk Nowitzki,PF
6.5,0.7,4.0,.337,5.1,.371,3.3,8.9,.287,1.8,6.1,15.0,.767,1.2,1.6,5.5,43,16,904,0.6,88,13.1,1.6,3.0,4.6,Frank Ntilikina,20,Frank Ntilikina,PG
3.3,0.0,2.4,.353,5.7,.444,1.9,4.3,.320,3.8,11.8,16.1,1.000,1.9,1.9,4.7,15,0,102,0.0,110,17.1,0.5,0.5,2.4,James Nunnally,28,James Nunnally,SF
