name,position,age,Teams,GP,MP,PER,TS %,FG3A PerFGA%,Fta PerFGA%,VORP,Usg Pct,OWS,DWS,WS,WS Per 48,Off. Box +-,Deff. Box +-,Box +-,ORB Pct,DRB Pct,TRB Pct,As. Pct,Stl Pct,Blk Pct,TO Pct
Alex Abrines,SG,23,Alex Abrines,68,1055,10.1,.560,.724,.144,-0.1,15.9,1.2,0.9,2.1,.096,-0.3,-2.2,-2.5,1.9,7.1,4.5,5.5,1.7,0.6,8.3
Quincy Acy,PF,26,Quincy Acy,38,558,11.8,.565,.529,.353,-0.1,16.8,0.5,0.5,0.9,.082,-1.8,-1.2,-3.0,3.9,18.0,11.0,4.9,1.2,2.0,9.7
Quincy Acy,PF,26,Quincy Acy,6,48,-1.4,.355,.412,.176,-0.2,20.0,-0.2,0.0,-0.1,-0.133,-10.1,-6.0,-16.2,4.6,15.2,9.7,0.0,0.0,0.0,9.8
Quincy Acy,PF,26,Quincy Acy,32,510,13.1,.587,.542,.373,0.0,16.5,0.6,0.5,1.1,.102,-1.1,-0.7,-1.8,3.8,18.2,11.1,5.4,1.3,2.2,9.6
Steven Adams,C,23,Steven Adams,80,2389,16.5,.589,.002,.392,1.5,16.2,3.3,3.1,6.5,.130,-0.7,1.2,0.6,13.0,15.4,14.2,5.4,1.8,2.6,16.0
Arron Afflalo,SG,31,Arron Afflalo,61,1580,8.9,.559,.360,.221,-0.6,14.4,1.2,0.2,1.4,.043,-1.4,-2.1,-3.5,0.7,8.4,4.6,7.4,0.7,0.3,8.4
Alexis Ajinca,C,28,Alexis Ajinca,39,584,12.9,.529,.022,.225,-0.3,17.2,0.0,0.9,1.0,.080,-5.1,1.0,-4.1,8.3,23.8,16.0,3.1,1.7,3.1,13.7
Cole Aldrich,C,28,Cole Aldrich,62,531,12.7,.549,.000,.256,0.4,9.4,0.6,0.7,1.3,.116,-2.0,2.6,0.6,11.0,23.9,17.4,6.4,2.4,3.7,15.1
LaMarcus Aldridge,PF,31,LaMarcus Aldridge,72,2335,18.6,.532,.053,.258,1.8,24.5,3.5,3.7,7.2,.149,-0.3,1.3,1.0,8.5,16.6,12.7,9.9,1.0,3.0,7.7
Lavoy Allen,PF,27,Lavoy Allen,61,871,11.6,.485,.006,.196,0.4,10.9,0.9,0.8,1.7,.093,-1.5,1.3,-0.3,13.7,14.5,14.1,9.1,1.0,2.4,13.7
Tony Allen,SG,35,Tony Allen,71,1914,13.3,.493,.091,.218,1.3,17.9,0.2,2.9,3.1,.077,-1.8,2.4,0.6,9.6,13.8,11.7,8.4,3.1,1.4,13.3
