Player,Team,Season,Season Type,Games,AbvBrk3_Usage,MR_Usage,Paint_Usage,RA_Usage,RC3_Usage,LC3_Usage,BC_Usage,AbvBrk3%,MR%,Paint%,RA%,RC3%,LC3%,BC3%
Player,Team,Season,Season Type,Games,Above the Break 3-Usage,Mid-Range-Usage,In The Paint (Non-RA)-Usage,Restricted Area-Usage,Right Corner 3-Usage,Left Corner 3-Usage,Backcourt-Usage,Above the Break 3 %,Mid-Range %,In The Paint (Non-RA) %,Restricted Area %,Right Corner 3 %,Left Corner 3 %,Backcourt %
J.J. O'Brien,Jazz,2015-2016,REG,2,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Coty Clarke,Celtics,2015-2016,REG,3,25.00,25.00,0.00,25.00,25.00,0.00,0.00,1.000,0.000,0.000,0.000,1.000,0.000,0.000
Duje Dukan,Kings,2015-2016,REG,1,30.00,40.00,10.00,0.00,0.00,20.00,0.00,0.667,0.000,0.000,0.000,0.000,0.000,0.000
Axel Toupane,Nuggets,2015-2016,REG,21,0.00,17.14,2.86,22.86,32.86,24.29,0.00,0.000,0.250,0.000,0.563,0.391,0.235,0.000
Salah Mejri,Mavericks,2015-2016,REG,33,1.28,2.56,6.41,89.74,0.00,0.00,0.00,0.000,0.000,0.200,0.686,0.000,0.000,0.000
Cristiano Felicio,Bulls,2015-2016,REG,31,5.56,25.00,5.56,63.89,0.00,0.00,0.00,0.000,0.556,0.000,0.652,0.000,0.000,0.000
Boban Marjanovic,Spurs,2015-2016,REG,54,0.00,20.69,27.59,51.72,0.00,0.00,0.00,0.000,0.444,0.500,0.722,0.000,0.000,0.000
Alan Williams,Suns,2015-2016,REG,10,0.00,8.33,16.67,75.00,0.00,0.00,0.00,0.000,0.500,0.250,0.444,0.000,0.000,0.000
Bryce Dejean-Jones,Pelicans,2015-2016,REG,14,37.68,18.84,2.90,31.88,1.45,7.25,0.00,0.385,0.462,0.000,0.455,1.000,0.200,0.000
Luis Montero,Trail Blazers,2015-2016,REG,12,36.84,26.32,10.53,15.79,5.26,0.00,5.26,0.143,0.400,0.000,0.667,0.000,0.000,0.000
Mario Hezonja,Magic,2015-2016,REG,79,36.36,24.64,7.42,21.77,4.78,4.07,0.96,0.342,0.427,0.355,0.648,0.500,0.294,0.000
Joe Young,Pacers,2015-2016,REG,41,21.30,38.46,11.24,23.67,1.78,3.55,0.00,0.222,0.385,0.316,0.525,0.000,0.333,0.000
Larry Nance Jr.,Lakers,2015-2016,REG,63,1.00,34.33,13.00,49.33,0.00,1.67,0.67,0.000,0.388,0.436,0.676,0.000,0.200,0.000
Josh Richardson,Heat,2015-2016,REG,52,26.84,21.69,11.40,24.63,7.72,7.72,0.00,0.397,0.390,0.226,0.597,0.714,0.429,0.000
Darrun Hilliard,Pistons,2015-2016,REG,38,20.45,28.03,12.12,21.97,5.30,9.85,2.27,0.444,0.378,0.188,0.552,0.714,0.154,0.000
Justise Winslow,Heat,2015-2016,REG,78,5.84,17.53,14.50,43.07,8.01,10.61,0.43,0.333,0.346,0.343,0.568,0.270,0.265,0.000
Willie Cauley-Stein,Kings,2015-2016,REG,66,0.00,11.21,21.53,66.67,0.00,0.59,0.00,0.000,0.316,0.438,0.650,0.000,0.000,0.000
Kelly Oubre,Wizards,2015-2016,REG,63,25.59,8.53,9.95,44.08,4.74,6.64,0.47,0.333,0.222,0.286,0.591,0.400,0.214,0.000
Frank Kaminsky,Hornets,2015-2016,REG,81,33.33,9.52,16.95,35.05,1.71,3.24,0.19,0.349,0.300,0.416,0.516,0.111,0.353,0.000
Devin Booker,Suns,2015-2016,REG,76,26.64,31.60,11.42,23.64,3.58,3.00,0.12,0.338,0.376,0.424,0.600,0.387,0.346,0.000
Cameron Payne,Thunder,2015-2016,REG,57,28.42,25.54,19.06,15.47,4.68,6.47,0.36,0.316,0.479,0.472,0.442,0.462,0.278,0.000
Myles Turner,Pacers,2015-2016,REG,60,2.08,54.53,10.94,32.08,0.19,0.19,0.00,0.182,0.408,0.466,0.682,1.000,0.000,0.000
Trey Lyles,Jazz,2015-2016,REG,80,12.61,27.06,16.74,27.06,5.50,10.78,0.23,0.327,0.390,0.438,0.542,0.458,0.426,0.000
Stanley Johnson,Pistons,2015-2016,REG,73,19.40,21.07,16.56,28.43,9.87,4.18,0.50,0.267,0.310,0.333,0.529,0.390,0.360,0.000
Jerian Grant,Knicks,2015-2016,REG,76,22.51,22.51,11.25,40.66,2.05,0.77,0.26,0.193,0.398,0.318,0.522,0.375,0.667,0.000
