name,position,age,Teams,GP,MP,PER,TS %,FG3A PerFGA%,Fta PerFGA%,VORP,Usg Pct,OWS,DWS,WS,WS Per 48,Off. Box +-,Deff. Box +-,Box +-,ORB Pct,DRB Pct,TRB Pct,As. Pct,Stl Pct,Blk Pct,TO Pct
Álex Abrines,SG,24,Álex Abrines,75,1134,9.0,.567,.759,.158,-0.1,12.7,1.3,1.0,2.2,.094,-0.5,-1.7,-2.2,2.5,8.9,5.6,3.4,1.7,0.6,7.4
Quincy Acy,PF,27,Quincy Acy,70,1359,8.2,.525,.800,.164,-0.1,14.4,-0.1,1.1,1.0,.036,-2.0,-0.2,-2.2,3.1,17.1,10.0,6.0,1.2,1.6,13.3
Steven Adams,C,24,Steven Adams,76,2487,20.6,.630,.003,.402,3.3,16.7,6.7,3.0,9.7,.187,2.2,1.1,3.3,16.6,13.9,15.3,5.5,1.8,2.8,13.3
Bam Adebayo,C,20,Bam Adebayo,69,1368,15.7,.570,.021,.526,0.8,15.9,2.3,1.9,4.2,.148,-1.6,1.8,0.2,9.7,21.6,15.6,11.0,1.2,2.5,13.6
Arron Afflalo,SG,32,Arron Afflalo,53,682,5.8,.516,.432,.160,-0.7,12.5,-0.1,0.2,0.1,.009,-4.1,-1.8,-5.8,0.6,10.1,5.3,6.2,0.3,1.1,10.8
Cole Aldrich,C,29,Cole Aldrich,21,49,6.0,.340,.000,.400,-0.1,16.8,-0.1,0.1,0.0,-0.013,-7.0,0.0,-7.0,7.0,28.6,17.6,8.2,2.0,1.8,5.4
LaMarcus Aldridge,C,32,LaMarcus Aldridge,75,2509,25.0,.570,.068,.296,3.3,29.1,7.4,3.5,10.9,.209,3.0,0.3,3.3,10.8,17.3,14.0,11.3,0.9,3.0,6.8
Jarrett Allen,C,19,Jarrett Allen,72,1441,17.5,.636,.038,.370,0.8,16.3,2.7,1.5,4.2,.141,-1.3,1.4,0.2,10.5,18.1,14.3,5.4,0.9,4.6,15.1
Kadeem Allen,PG,25,Kadeem Allen,18,107,2.6,.366,.500,.409,-0.1,14.6,-0.2,0.1,-0.1,-0.038,-6.7,0.3,-6.4,4.1,7.1,5.6,15.2,1.4,1.6,25.7
Tony Allen,SF,36,Tony Allen,22,273,8.7,.514,.132,.231,-0.2,18.9,-0.2,0.2,0.1,.017,-4.0,-1.3,-5.2,8.2,10.4,9.3,4.6,1.9,0.9,15.9
