name,position,age,Teams,GP,MP,PER,TS %,FG3A PerFGA%,Fta PerFGA%,VORP,Usg Pct,OWS,DWS,WS,WS Per 48,Off. Box +-,Deff. Box +-,Box +-,ORB Pct,DRB Pct,TRB Pct,As. Pct,Stl Pct,Blk Pct,TO Pct
Tariq Abdul-Wahad,SG,25,Tariq Abdul-Wahad,61,1578,13.6,.477,.036,.299,0.2,22.5,0.4,1.8,2.2,.068,-1.6,0.1,-1.5,7.0,13.1,10.0,10.0,1.8,1.2,12.7
Tariq Abdul-Wahad,SG,25,Tariq Abdul-Wahad,46,1205,14.4,.484,.041,.293,0.4,23.3,0.4,1.6,2.0,.082,-1.3,0.4,-0.8,7.0,14.6,10.8,9.7,2.2,0.9,13.0
Tariq Abdul-Wahad,SG,25,Tariq Abdul-Wahad,15,373,10.8,.448,.015,.321,-0.2,19.7,0.0,0.2,0.2,.023,-2.8,-1.0,-3.8,6.9,8.2,7.6,11.0,0.8,2.2,11.3
Shareef Abdur-Rahim,SF,23,Shareef Abdur-Rahim,82,3223,20.2,.547,.075,.431,3.5,25.0,6.2,2.6,8.8,.132,1.8,0.5,2.3,8.0,22.7,15.3,15.5,1.5,1.9,14.1
Cory Alexander,PG,26,Cory Alexander,29,329,8.8,.381,.357,.224,-0.1,18.0,-0.5,0.4,-0.1,-0.012,-3.6,0.1,-3.5,2.6,11.3,6.9,25.7,3.7,0.4,20.6
Ray Allen,SG,24,Ray Allen,82,3070,20.6,.570,.288,.282,3.9,25.6,9.0,1.0,10.1,.157,5.0,-2.0,3.0,3.2,10.5,6.8,17.0,1.9,0.5,10.3
Rafer Alston,PG,23,Rafer Alston,27,361,4.3,.310,.147,.042,-0.7,15.5,-0.7,0.0,-0.7,-0.095,-6.0,-3.4,-9.5,1.6,5.8,3.7,26.8,1.7,0.0,23.1
John Amaechi,C,29,John Amaechi,80,1684,13.2,.505,.009,.416,-0.7,24.1,0.6,1.8,2.4,.067,-2.7,-0.9,-3.6,4.0,13.2,8.6,9.1,1.0,1.5,14.4
Derek Anderson,SG,25,Derek Anderson,64,2201,16.9,.542,.207,.359,1.0,23.4,3.1,0.3,3.3,.073,1.7,-1.9,-0.2,3.9,9.3,6.5,17.9,2.1,0.3,14.4
Kenny Anderson,PG,29,Kenny Anderson,82,2593,17.4,.524,.223,.257,2.1,20.5,5.4,1.9,7.3,.136,2.6,-1.4,1.2,2.3,7.9,4.9,26.7,2.7,0.2,10.6
Nick Anderson,SG,32,Nick Anderson,72,2094,11.8,.479,.508,.097,1.2,18.1,0.3,2.5,2.8,.064,-0.1,0.4,0.3,4.1,12.8,8.4,8.6,2.2,0.5,10.4
Shandon Anderson,SF,26,Shandon Anderson,82,2700,13.8,.567,.289,.325,2.0,17.6,3.0,1.9,4.9,.087,0.7,0.2,0.9,3.9,11.9,8.0,14.3,1.8,0.8,17.9
