Player,Team,Season,Season Type,Games,AbvBrk3_Usage,MR_Usage,Paint_Usage,RA_Usage,RC3_Usage,LC3_Usage,BC_Usage,AbvBrk3%,MR%,Paint%,RA%,RC3%,LC3%,BC3%
Player,Team,Season,Season Type,Games,Above the Break 3-Usage,Mid-Range-Usage,In The Paint (Non-RA)-Usage,Restricted Area-Usage,Right Corner 3-Usage,Left Corner 3-Usage,Backcourt-Usage,Above the Break 3 %,Mid-Range %,In The Paint (Non-RA) %,Restricted Area %,Right Corner 3 %,Left Corner 3 %,Backcourt %
Ryan Robertson,Kings,1999-2000,REG,1,16.67,33.33,0.00,33.33,16.67,0.00,0.00,0.000,0.500,0.000,0.500,0.000,0.000,0.000
A.J. Bramlett,Cavaliers,1999-2000,REG,8,0.00,9.52,19.05,71.43,0.00,0.00,0.00,0.000,0.000,0.000,0.267,0.000,0.000,0.000
Laron Profit,Wizards,1999-2000,REG,33,22.03,30.51,8.47,32.20,5.08,1.69,0.00,0.077,0.278,0.000,0.684,0.667,0.000,0.000
Obinna Ekezie,Grizzlies,1999-2000,REG,39,0.00,10.23,40.91,48.86,0.00,0.00,0.00,0.000,0.111,0.389,0.605,0.000,0.000,0.000
Calvin Booth,Wizards,1999-2000,REG,11,0.00,26.09,32.61,41.30,0.00,0.00,0.00,0.000,0.083,0.133,0.684,0.000,0.000,0.000
Evan Eschmeyer,Nets,1999-2000,REG,31,0.00,8.33,26.39,65.28,0.00,0.00,0.00,0.000,0.500,0.263,0.638,0.000,0.000,0.000
Chris Herren,Nuggets,1999-2000,REG,45,45.16,4.03,9.68,32.26,4.84,4.03,0.00,0.375,0.400,0.250,0.400,0.167,0.400,0.000
Michael Ruffin,Bulls,1999-2000,REG,71,0.00,11.59,13.77,74.64,0.00,0.00,0.00,0.000,0.188,0.263,0.485,0.000,0.000,0.000
John Celestand,Lakers,1999-2000,REG,16,20.00,33.33,15.56,31.11,0.00,0.00,0.00,0.222,0.200,0.286,0.571,0.000,0.000,0.000
Scott Padgett,Jazz,1999-2000,REG,47,22.86,32.14,14.29,22.86,1.43,6.43,0.00,0.344,0.311,0.150,0.438,0.500,0.111,0.000
Jumaine Jones,76ers,1999-2000,REG,32,5.17,58.62,6.90,27.59,0.00,1.72,0.00,0.333,0.441,0.000,0.313,0.000,1.000,0.000
Vonteego Cummings,Warriors,1999-2000,REG,74,18.47,42.90,12.52,21.53,2.60,1.83,0.15,0.322,0.381,0.366,0.560,0.235,0.500,0.000
Tim James,Heat,1999-2000,REG,4,0.00,57.14,14.29,28.57,0.00,0.00,0.00,0.000,0.375,0.000,0.500,0.000,0.000,0.000
Devean George,Lakers,1999-2000,REG,46,20.83,18.06,11.11,38.19,2.78,8.33,0.69,0.400,0.308,0.063,0.564,0.250,0.250,0.000
Kenny Thomas,Rockets,1999-2000,REG,72,19.96,20.90,15.07,41.24,1.13,1.69,0.00,0.255,0.279,0.400,0.534,0.167,0.444,0.000
Jeff Foster,Pacers,1999-2000,REG,19,4.35,21.74,13.04,60.87,0.00,0.00,0.00,0.000,0.200,1.000,0.643,0.000,0.000,0.000
Dion Glover,Hawks,1999-2000,REG,30,24.56,15.20,12.87,45.61,1.75,0.00,0.00,0.262,0.269,0.227,0.538,0.333,0.000,0.000
Quincy Lewis,Jazz,1999-2000,REG,74,14.09,43.62,9.40,26.17,3.36,3.02,0.34,0.381,0.277,0.250,0.577,0.300,0.444,0.000
James Posey,Nuggets,1999-2000,REG,81,22.20,24.44,3.73,30.78,9.51,9.14,0.19,0.353,0.328,0.050,0.630,0.510,0.286,0.000
Cal Bowdler,Hawks,1999-2000,REG,45,0.87,47.83,12.17,39.13,0.00,0.00,0.00,0.000,0.345,0.357,0.556,0.000,0.000,0.000
Metta World Peace,Bulls,1999-2000,REG,72,17.26,27.93,8.04,38.87,4.48,3.16,0.26,0.336,0.330,0.213,0.563,0.265,0.292,0.000
William Avery,Timberwolves,1999-2000,REG,58,25.97,35.91,8.84,20.44,2.21,6.08,0.55,0.298,0.292,0.375,0.351,0.250,0.273,0.000
Corey Maggette,Magic,1999-2000,REG,77,1.07,38.17,12.58,46.91,0.64,0.21,0.43,0.000,0.346,0.339,0.636,0.667,0.000,0.000
Aleksandar Radojevic,Raptors,1999-2000,REG,3,0.00,28.57,0.00,71.43,0.00,0.00,0.00,0.000,0.000,0.000,0.400,0.000,0.000,0.000
Trajan Langdon,Cavaliers,1999-2000,REG,9,40.00,30.00,5.00,17.50,5.00,2.50,0.00,0.375,0.333,0.000,0.429,0.500,1.000,0.000
Jason Terry,Hawks,1999-2000,REG,81,24.00,43.33,12.00,18.50,0.33,1.50,0.33,0.285,0.435,0.389,0.559,0.000,0.444,0.500
Shawn Marion,Suns,1999-2000,REG,51,2.12,43.74,13.80,37.79,1.70,0.85,0.00,0.100,0.354,0.323,0.697,0.250,0.250,0.000
Andre Miller,Cavaliers,1999-2000,REG,82,6.09,27.68,23.44,42.38,0.13,0.13,0.13,0.217,0.368,0.362,0.588,0.000,0.000,0.000
Richard Hamilton,Wizards,1999-2000,REG,71,9.26,52.56,15.70,19.01,0.99,2.48,0.00,0.339,0.403,0.368,0.548,0.333,0.467,0.000
Wally Szczerbiak,Timberwolves,1999-2000,REG,73,7.92,47.98,11.81,28.70,1.35,2.24,0.00,0.340,0.442,0.481,0.698,0.556,0.333,0.000
Jonathan Bender,Pacers,1999-2000,REG,24,11.43,37.14,22.86,22.86,2.86,2.86,0.00,0.250,0.269,0.375,0.500,0.000,0.000,0.000
Lamar Odom,Clippers,1999-2000,REG,76,14.26,22.17,23.73,38.09,0.98,0.49,0.29,0.370,0.313,0.350,0.600,0.200,0.600,0.000
Baron Davis,Hornets,1999-2000,REG,82,24.48,28.18,5.77,40.88,0.23,0.23,0.23,0.236,0.287,0.400,0.633,0.000,0.000,0.000
Steve Francis,Rockets,1999-2000,REG,77,24.17,26.59,10.21,35.81,1.25,1.88,0.09,0.337,0.377,0.263,0.625,0.500,0.333,0.000
Elton Brand,Bulls,1999-2000,REG,81,0.08,26.88,35.22,37.75,0.00,0.08,0.00,0.000,0.370,0.459,0.586,0.000,0.000,0.000
Randell Jackson,Mavericks,1999-2000,REG,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Charles R. Jones,Clippers,1999-2000,REG,56,49.25,16.42,6.97,18.41,4.48,4.48,0.00,0.293,0.182,0.214,0.514,0.444,0.556,0.000
Earl Boykins,"Magic, Cavaliers",1999-2000,REG,25,14.66,42.24,25.86,14.66,0.86,0.86,0.86,0.412,0.449,0.567,0.529,0.000,1.000,0.000
Anthony Carter,Heat,1999-2000,REG,79,2.95,47.54,14.93,33.20,0.00,0.39,0.98,0.133,0.322,0.316,0.574,0.000,0.000,0.000
