name,position,age,Teams,GP,GS,MP,FG PP,FGA PP,FG %,FG3 PP,FG3A PP,FG3 %,FG2 PP,FG2A PP,FG2 %,FT PP,FTA PP,FT %,ORB PP,DRB PP,TRB PP,APP,SPP,BPP,TO PP,Fouls PP,PPP,Off. Ra
Mahmoud Abdul-Rauf,PG,26,Mahmoud Abdul-Rauf,57,53,2029,10.6,24.5,.434,3.1,7.9,.392,7.5,16.6,.454,3.7,4.0,.930,0.7,2.9,3.5,10.0,1.6,0.1,3.0,3.0,28.1,114
Michael Adams,PG,33,Michael Adams,21,3,329,5.9,13.2,.446,2.2,6.5,.341,3.7,6.7,.548,4.1,5.6,.743,0.8,2.7,3.5,10.7,3.3,0.6,4.0,4.0,18.2,114
Rafael Addison,SF,31,Rafael Addison,53,0,516,7.8,16.8,.467,0.0,0.9,.000,7.8,15.9,.494,1.7,2.2,.773,2.5,6.6,9.1,3.0,0.9,0.9,2.7,7.5,17.4,99
Cory Alexander,PG,22,Cory Alexander,60,0,560,5.8,14.2,.406,2.4,6.1,.394,3.4,8.2,.416,1.5,2.3,.640,0.8,3.0,3.9,11.1,2.5,0.2,6.2,8.6,15.4,92
Jerome Allen,SG,23,Jerome Allen,41,0,362,5.1,14.9,.343,1.4,4.7,.303,3.7,10.2,.361,3.7,5.1,.722,0.7,2.8,3.5,6.9,3.0,0.7,4.8,6.0,15.3,86
Derrick Alston,C,23,Derrick Alston,73,41,1614,6.4,12.5,.512,0.0,0.1,.333,6.4,12.4,.513,1.8,3.6,.491,4.1,5.6,9.7,2.0,1.8,1.7,1.9,6.2,14.6,106
John Amaechi,PF,25,John Amaechi,28,3,357,4.7,11.4,.414,0.0,0.0,,4.7,11.4,.414,3.1,5.4,.576,2.1,6.4,8.5,1.5,1.0,1.8,5.6,8.0,12.6,74
Ashraf Amaya,PF,24,Ashraf Amaya,54,34,1104,5.8,12.0,.480,0.0,0.0,.000,5.8,12.0,.482,4.6,7.1,.651,5.4,9.0,14.5,1.6,1.1,0.5,2.7,7.2,16.2,106
Greg Anderson,PF,31,Greg Anderson,46,7,344,3.6,7.0,.511,0.0,0.1,.000,3.6,6.9,.522,0.9,3.7,.240,4.3,10.6,14.9,1.5,1.3,3.6,3.3,9.9,8.1,86
Kenny Anderson,PG,25,Kenny Anderson,69,64,2344,7.8,18.7,.418,2.1,5.7,.359,5.8,13.0,.445,5.8,7.6,.769,1.4,3.1,4.6,12.9,2.5,0.3,3.3,4.0,23.6,118
Kenny Anderson,PG,25,Kenny Anderson,31,28,1042,7.2,19.3,.376,1.8,5.0,.364,5.4,14.2,.381,7.7,9.5,.803,1.9,3.2,5.1,12.5,2.6,0.4,2.9,3.7,24.0,118
Kenny Anderson,PG,25,Kenny Anderson,38,36,1302,8.3,18.3,.454,2.3,6.3,.357,6.0,12.0,.505,4.4,6.0,.727,1.0,3.1,4.1,13.2,2.4,0.2,3.5,4.2,23.2,118
Nick Anderson,SG,28,Nick Anderson,77,77,2717,7.7,17.4,.442,3.2,8.3,.391,4.5,9.1,.489,3.2,4.6,.692,1.8,6.2,8.0,5.4,2.3,0.9,2.7,2.6,21.8,112
Willie Anderson,SG,29,Willie Anderson,76,44,2060,7.2,16.6,.436,0.9,3.0,.283,6.4,13.6,.470,3.3,4.1,.810,1.2,5.0,6.2,5.0,1.9,1.5,3.6,5.8,18.7,99
Willie Anderson,SG,29,Willie Anderson,49,42,1564,7.6,17.4,.440,1.0,3.1,.305,6.7,14.2,.470,3.7,4.3,.856,1.2,5.0,6.1,4.9,1.9,1.7,3.9,5.6,20.0,100
Willie Anderson,SG,29,Willie Anderson,27,2,496,6.0,14.1,.421,0.5,2.7,.200,5.4,11.5,.472,2.0,3.3,.613,1.4,5.0,6.4,5.1,1.8,0.9,2.6,6.3,14.5,96
Greg Anthony,PG,28,Greg Anthony,69,68,2096,8.2,19.7,.415,2.3,6.8,.332,5.9,12.8,.459,5.8,7.5,.771,0.7,3.6,4.4,12.0,2.9,0.3,4.0,3.4,24.3,109
B.J. Armstrong,PG,28,B.J. Armstrong,82,64,2262,7.7,16.5,.468,2.2,4.7,.473,5.5,11.8,.465,5.3,6.3,.839,0.5,3.7,4.2,9.1,1.5,0.1,2.9,3.3,23.0,123
Darrell Armstrong,PG,27,Darrell Armstrong,13,0,41,20.4,40.8,.500,7.7,15.3,.500,12.8,25.5,.500,5.1,5.1,1.000,0.0,2.6,2.6,6.4,7.7,0.0,7.7,5.1,53.6,104
Vincent Askew,SG,29,Vincent Askew,69,2,1725,6.4,12.9,.493,0.9,2.6,.337,5.5,10.4,.531,3.6,4.8,.764,1.9,4.5,6.5,4.8,1.4,0.4,2.8,5.3,17.3,112
Keith Askins,SF,28,Keith Askins,75,14,1897,4.4,10.9,.402,2.7,6.6,.418,1.6,4.3,.377,1.2,1.6,.789,3.1,5.9,9.0,3.4,1.3,1.7,2.3,7.5,12.7,111
Stacey Augmon,SF,27,Stacey Augmon,77,49,2294,8.4,17.2,.491,0.0,0.1,.250,8.4,17.1,.492,5.9,7.4,.792,3.2,3.9,7.1,3.2,2.5,0.7,3.2,4.4,22.8,112
Anthony Avent,PF,26,Anthony Avent,71,32,1586,6.0,15.5,.384,0.0,0.0,,6.0,15.5,.384,1.9,2.6,.740,3.6,8.2,11.8,2.3,1.0,1.4,3.6,6.7,13.8,82
Vin Baker,PF,24,Vin Baker,82,82,3319,11.2,22.9,.489,0.2,0.8,.208,11.0,22.1,.499,5.1,7.7,.670,4.2,8.7,12.9,3.4,1.1,1.5,3.5,4.4,27.7,106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Bardo,SG,27,Steve Bardo,9,0,123,4.0,10.2,.391,0.0,1.8,.000,4.0,8.5,.474,1.8,2.7,.667,0.9,8.9,9.8,6.7,1.8,0.4,2.2,7.6,9.8,97
Charles Barkley,PF,32,Charles Barkley,71,71,2632,11.3,22.7,.500,1.0,3.4,.280,10.4,19.3,.539,8.6,11.1,.777,4.8,11.3,16.1,5.1,2.2,1.1,4.3,4.1,32.3,115
Dana Barros,PG,28,Dana Barros,80,25,2328,8.1,17.3,.470,3.2,7.9,.408,4.9,9.4,.523,2.8,3.1,.884,0.4,3.7,4.1,6.6,1.2,0.1,2.6,2.5,22.2,118
Brent Barry,SG,24,Brent Barry,79,44,1898,7.7,16.2,.474,3.3,8.0,.416,4.3,8.2,.532,3.0,3.7,.810,1.0,3.5,4.6,6.2,2.6,0.6,3.3,5.3,21.7,117
Jon Barry,SG,26,Jon Barry,68,0,712,6.6,13.3,.492,3.2,6.7,.473,3.4,6.6,.511,2.2,2.7,.838,1.2,3.3,4.5,6.1,2.4,0.8,3.0,3.7,18.5,120
Corey Beck,PG,24,Corey Beck,5,0,33,3.2,12.7,.250,0.0,0.0,,3.2,12.7,.250,1.6,3.2,.500,4.8,6.4,11.1,7.9,1.6,0.0,6.4,12.7,7.9,70
Benoit Benjamin,C,31,Benoit Benjamin,83,71,1896,8.2,16.5,.498,0.0,0.1,.000,8.2,16.4,.501,3.9,5.4,.722,3.9,11.1,15.1,1.8,1.3,2.4,4.0,6.3,20.4,99
Benoit Benjamin,C,31,Benoit Benjamin,13,13,404,9.3,21.0,.441,0.0,0.0,,9.3,21.0,.441,5.1,7.3,.696,4.0,9.4,13.4,2.1,1.3,2.0,4.4,5.2,23.6,92
Benoit Benjamin,C,31,Benoit Benjamin,70,58,1492,8.0,15.3,.520,0.0,0.1,.000,8.0,15.2,.523,3.6,4.9,.732,3.9,11.6,15.5,1.7,1.2,2.5,3.9,6.6,19.5,102
Elmer Bennett,PG,25,Elmer Bennett,8,0,66,3.2,13.4,.235,0.0,0.0,,3.2,13.4,.235,2.4,3.2,.750,0.8,3.2,3.9,6.3,0.8,0.8,5.5,4.7,8.7,62
Mario Bennett,SF,22,Mario Bennett,19,14,230,6.5,14.3,.453,0.0,0.2,.000,6.5,14.1,.460,6.0,9.4,.643,4.7,6.3,11.0,1.3,2.5,2.5,2.5,10.3,19.0,107
David Benoit,SF,27,David Benoit,81,63,1961,6.9,15.8,.439,1.7,5.2,.333,5.2,10.6,.491,2.4,3.0,.777,2.4,8.0,10.4,2.2,1.2,1.3,1.9,4.5,18.0,108
Travis Best,PG,23,Travis Best,59,1,571,6.5,15.3,.423,0.8,2.4,.320,5.7,13.0,.442,7.1,8.5,.833,1.0,3.1,4.1,9.1,1.9,0.3,5.9,7.5,20.8,102
Mookie Blaylock,PG,28,Mookie Blaylock,81,81,2893,8.4,20.8,.405,4.3,11.5,.371,4.1,9.3,.448,2.4,3.1,.747,2.0,4.1,6.1,8.8,3.9,0.3,3.5,2.8,23.5,113
Corie Blount,PF,27,Corie Blount,57,2,715,5.7,12.1,.473,0.0,0.1,.000,5.7,12.0,.479,1.8,3.2,.568,5.0,7.3,12.4,3.1,1.8,2.5,3.4,7.9,13.3,98
Muggsy Bogues,PG,31,Muggsy Bogues,6,0,77,4.1,10.9,.375,0.0,0.7,.000,4.1,10.2,.400,1.4,1.4,1.000,4.1,0.7,4.8,12.9,1.4,0.0,4.1,2.7,9.5,104
Anthony Bonner,PF,27,Anthony Bonner,4,0,43,6.1,18.2,.333,0.0,0.0,,6.1,18.2,.333,3.6,8.5,.429,7.3,15.8,23.1,4.9,3.6,0.0,3.6,13.4,15.8,88
Melvin Booker,PG,23,Melvin Booker,11,0,131,6.3,19.7,.320,1.2,7.5,.158,5.1,12.2,.419,3.5,4.3,.818,0.4,3.1,3.5,8.3,2.0,0.4,4.7,7.1,17.3,84
Anthony Bowie,SG,32,Anthony Bowie,74,4,1078,6.2,13.2,.471,0.6,1.5,.387,5.6,11.7,.481,1.9,2.2,.870,1.9,4.0,6.0,5.1,1.6,0.5,2.7,5.4,14.9,106
Donnie Boyce,SG,22,Donnie Boyce,8,0,41,11.8,30.0,.391,5.2,10.4,.500,6.5,19.6,.333,2.6,5.2,.500,6.5,6.5,13.1,3.9,3.9,1.3,7.8,2.6,31.3,92
Shawn Bradley,C,23,Shawn Bradley,79,68,2329,8.8,19.8,.443,0.0,0.1,.250,8.7,19.7,.444,3.8,5.6,.687,5.0,9.4,14.4,1.4,1.1,6.5,4.0,6.5,21.4,95
Shawn Bradley,C,23,Shawn Bradley,12,11,334,6.7,15.1,.443,0.0,0.0,,6.7,15.1,.443,3.0,3.9,.760,5.3,11.2,16.5,1.2,1.2,5.9,4.8,6.5,16.4,89
Shawn Bradley,C,23,Shawn Bradley,67,57,1995,9.1,20.5,.443,0.0,0.1,.250,9.1,20.4,.444,4.0,5.8,.679,4.9,9.1,14.1,1.5,1.1,6.6,3.9,6.5,22.2,96
Marques Bragg,PF,25,Marques Bragg,53,0,369,7.5,16.7,.450,0.0,0.0,,7.5,16.7,.450,3.2,5.7,.561,5.3,5.7,11.0,1.1,2.4,1.1,3.6,9.9,18.2,93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrell Brandon,PG,25,Terrell Brandon,75,75,2570,11.6,24.9,.465,2.1,5.3,.387,9.5,19.5,.487,7.7,8.6,.887,1.1,4.6,5.6,11.0,3.0,0.7,3.2,3.3,32.9,121
Tim Breaux,SF,25,Tim Breaux,54,4,570,5.3,14.5,.366,1.4,4.2,.326,4.0,10.4,.383,2.5,4.1,.622,2.0,3.4,5.4,2.2,1.0,0.7,2.7,3.8,14.5,89
Frank Brickowski,C,36,Frank Brickowski,63,8,986,6.4,13.1,.488,1.7,4.1,.405,4.7,9.0,.526,3.2,4.5,.709,1.3,6.5,7.8,3.0,1.3,0.4,4.0,9.6,17.6,100
Scott Brooks,PG,30,Scott Brooks,69,0,716,9.4,20.6,.457,1.8,4.4,.403,7.7,16.2,.472,4.1,4.8,.855,0.8,2.1,2.9,7.0,3.0,0.2,3.0,3.7,24.7,113
Chucky Brown,PF,27,Chucky Brown,82,82,2019,7.7,14.2,.541,0.0,0.2,.125,7.6,14.0,.547,2.7,3.8,.693,3.4,7.8,11.2,2.3,1.2,1.0,2.4,4.2,18.0,110
Dee Brown,PG,27,Dee Brown,65,23,1591,7.7,19.3,.399,2.1,6.9,.309,5.6,12.4,.449,4.2,5.0,.854,1.1,3.1,4.3,4.6,2.5,0.4,2.3,3.7,21.8,106
Mike Brown,C,32,Mike Brown,9,1,162,2.9,5.1,.563,0.0,0.0,,2.9,5.1,.563,2.6,5.5,.471,4.5,7.4,11.9,1.0,1.0,0.6,1.9,7.7,8.4,107
