name,position,age,Teams,GP,MP,PER,TS %,FG3A PerFGA%,Fta PerFGA%,VORP,Usg Pct,OWS,DWS,WS,WS Per 48,Off. Box +-,Deff. Box +-,Box +-,ORB Pct,DRB Pct,TRB Pct,As. Pct,Stl Pct,Blk Pct,TO Pct
Arron Afflalo,SG,24,Arron Afflalo,82,2221,10.9,.576,.426,.168,1.3,14.0,2.8,1.4,4.3,.092,0.8,-0.5,0.3,3.1,9.9,6.5,9.3,1.0,1.0,10.5
Alexis Ajinça,C,21,Alexis Ajinça,6,30,6.3,.479,.000,.100,-0.1,19.3,-0.1,0.0,0.0,-0.013,-8.5,-2.0,-10.4,4.1,11.8,8.0,0.0,1.8,2.7,16.1
LaMarcus Aldridge,PF,24,LaMarcus Aldridge,78,2922,18.2,.535,.014,.260,2.6,22.9,5.5,3.3,8.8,.145,0.9,0.6,1.6,8.1,18.6,13.3,9.9,1.3,1.3,7.4
Joe Alexander,SF,23,Joe Alexander,8,29,2.8,.273,.167,.500,0.0,11.3,0.0,0.0,0.0,.030,-5.2,1.5,-3.7,7.8,11.3,9.6,9.3,1.8,2.6,0.0
Malik Allen,PF,31,Malik Allen,51,456,5.9,.431,.052,.112,-0.3,14.0,-0.3,0.3,0.1,.009,-4.2,-0.8,-5.0,9.2,11.5,10.4,5.1,1.2,0.8,15.3
Ray Allen,SG,34,Ray Allen,80,2819,15.2,.601,.410,.260,2.6,20.2,5.1,2.9,7.9,.135,2.3,-0.7,1.7,2.0,8.8,5.5,12.3,1.2,0.7,10.6
Tony Allen,SG,28,Tony Allen,54,889,14.2,.540,.020,.470,0.6,19.6,0.2,1.6,1.9,.100,-1.8,2.6,0.8,7.4,12.5,10.0,13.0,3.5,1.7,17.8
Rafer Alston,PG,33,Rafer Alston,52,1421,8.2,.443,.377,.182,-0.6,18.8,-1.6,1.2,-0.4,-0.013,-2.9,-0.8,-3.7,1.0,9.7,5.3,20.2,1.9,0.5,16.5
Rafer Alston,PG,33,Rafer Alston,27,766,8.7,.436,.314,.195,-0.6,21.7,-1.2,0.4,-0.8,-0.051,-3.3,-1.7,-5.0,1.3,10.4,5.6,23.1,1.9,0.5,16.9
Rafer Alston,PG,33,Rafer Alston,25,655,7.7,.456,.479,.160,0.0,15.4,-0.4,0.8,0.4,.031,-2.4,0.2,-2.3,0.7,8.9,4.8,16.7,1.9,0.6,15.8
Lou Amundson,PF,27,Lou Amundson,79,1168,14.4,.562,.004,.446,0.7,14.6,1.5,1.3,2.9,.118,-1.0,1.4,0.4,13.1,19.9,16.7,3.7,1.0,4.4,14.7
Chris Andersen,PF,31,Chris Andersen,76,1695,15.8,.631,.012,.940,1.8,10.8,3.2,2.7,5.9,.166,-1.1,3.3,2.1,10.1,22.7,16.4,2.8,1.3,6.3,14.3
David Andersen,C,29,David Andersen,63,891,12.1,.497,.229,.197,-0.4,20.2,0.4,0.9,1.3,.070,-2.5,-1.3,-3.8,6.7,20.6,13.4,8.1,0.9,1.0,9.1
Antonio Anderson,SF,24,Antonio Anderson,1,15,-1.7,.333,.000,.000,0.0,12.0,0.0,0.0,0.0,-0.104,-8.2,-3.1,-11.4,7.9,0.0,3.8,0.0,0.0,0.0,25.0
Ryan Anderson,PF,21,Ryan Anderson,63,911,18.1,.574,.544,.211,0.8,24.4,1.7,1.4,3.1,.161,2.3,-1.0,1.3,9.2,16.2,12.8,7.1,1.4,1.1,11.7
Carmelo Anthony,SF,25,Carmelo Anthony,69,2634,22.2,.548,.125,.407,2.3,33.4,5.6,2.4,7.9,.145,2.7,-1.3,1.4,6.7,13.1,9.9,15.9,1.7,0.9,10.6
Joel Anthony,C,27,Joel Anthony,80,1322,10.2,.546,.000,.579,0.8,8.7,1.0,2.0,3.1,.111,-3.1,3.5,0.4,11.0,11.1,11.1,1.3,0.8,6.7,18.4
