Player,Team,Season,Season Type,Games,AbvBrk3_Usage,MR_Usage,Paint_Usage,RA_Usage,RC3_Usage,LC3_Usage,BC_Usage,AbvBrk3%,MR%,Paint%,RA%,RC3%,LC3%,BC3%
Player,Team,Season,Season Type,Games,Above the Break 3-Usage,Mid-Range-Usage,In The Paint (Non-RA)-Usage,Restricted Area-Usage,Right Corner 3-Usage,Left Corner 3-Usage,Backcourt-Usage,Above the Break 3 %,Mid-Range %,In The Paint (Non-RA) %,Restricted Area %,Right Corner 3 %,Left Corner 3 %,Backcourt %
Chris Douglas-Roberts,Nets,2008-2009,REG,44,1.14,29.55,14.20,49.43,2.84,2.27,0.57,0.000,0.327,0.400,0.586,0.200,0.500,0.000
Sonny Weems,Nuggets,2008-2009,REG,12,12.00,48.00,20.00,20.00,0.00,0.00,0.00,0.000,0.417,0.000,0.600,0.000,0.000,0.000
Kyle Weaver,Thunder,2008-2009,REG,56,21.54,21.14,4.88,36.18,8.13,6.91,1.22,0.340,0.423,0.500,0.596,0.300,0.471,0.000
Luc Mbah a Moute,Bucks,2008-2009,REG,82,0.41,41.14,7.54,50.51,0.20,0.20,0.00,0.000,0.347,0.270,0.593,0.000,0.000,0.000
DeAndre Jordan,Clippers,2008-2009,REG,53,0.00,2.04,10.20,87.76,0.00,0.00,0.00,0.000,0.000,0.333,0.682,0.000,0.000,0.000
Mario Chalmers,Heat,2008-2009,REG,82,38.67,16.77,10.27,25.98,2.87,4.23,1.21,0.379,0.468,0.441,0.477,0.526,0.250,0.000
Joey Dorsey,Rockets,2008-2009,REG,3,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.000,0.000,0.000,0.500,0.000,0.000,0.000
Walter Sharpe,Pistons,2008-2009,REG,8,9.09,36.36,9.09,36.36,0.00,9.09,0.00,0.000,0.000,1.000,0.750,0.000,0.000,0.000
J.R. Giddens,Celtics,2008-2009,REG,6,0.00,66.67,0.00,33.33,0.00,0.00,0.00,0.000,0.500,0.000,1.000,0.000,0.000,0.000
DJ White,Thunder,2008-2009,REG,7,0.00,46.00,16.00,38.00,0.00,0.00,0.00,0.000,0.435,0.375,0.684,0.000,0.000,0.000
Donte Greene,Kings,2008-2009,REG,55,29.66,26.69,6.78,24.15,8.05,4.66,0.00,0.271,0.317,0.313,0.456,0.263,0.182,0.000
Darrell Arthur,Grizzlies,2008-2009,REG,76,0.46,42.20,17.43,39.91,0.00,0.00,0.00,0.000,0.380,0.329,0.552,0.000,0.000,0.000
George Hill,Spurs,2008-2009,REG,77,9.68,31.99,9.41,38.98,4.03,5.11,0.81,0.278,0.311,0.229,0.559,0.333,0.474,0.000
Nicolas Batum,Trail Blazers,2008-2009,REG,79,21.33,15.24,3.88,34.35,14.68,10.53,0.00,0.390,0.309,0.143,0.645,0.302,0.421,0.000
Kosta Koufos,Jazz,2008-2009,REG,48,0.00,24.32,20.00,55.68,0.00,0.00,0.00,0.000,0.289,0.432,0.631,0.000,0.000,0.000
Courtney Lee,Magic,2008-2009,REG,77,19.26,27.41,5.56,29.44,11.11,7.22,0.00,0.365,0.372,0.300,0.610,0.450,0.436,0.000
Ryan Anderson,Nets,2008-2009,REG,66,35.63,7.13,5.16,41.52,4.42,6.14,0.00,0.372,0.414,0.286,0.432,0.389,0.320,0.000
Alexis Ajinca,Bobcats,2008-2009,REG,31,2.90,65.22,14.49,17.39,0.00,0.00,0.00,0.000,0.356,0.400,0.417,0.000,0.000,0.000
JJ Hickson,Cavaliers,2008-2009,REG,62,0.00,20.10,17.53,62.37,0.00,0.00,0.00,0.000,0.410,0.176,0.645,0.000,0.000,0.000
JaVale McGee,Wizards,2008-2009,REG,75,0.00,15.25,20.16,64.60,0.00,0.00,0.00,0.000,0.356,0.269,0.596,0.000,0.000,0.000
Roy Hibbert,Pacers,2008-2009,REG,70,0.00,20.48,26.67,52.86,0.00,0.00,0.00,0.000,0.430,0.429,0.509,0.000,0.000,0.000
Marreese Speights,76ers,2008-2009,REG,79,0.80,36.65,13.55,48.21,0.40,0.00,0.40,0.500,0.370,0.441,0.628,0.000,0.000,0.000
Robin Lopez,Suns,2008-2009,REG,60,0.73,13.14,23.36,62.77,0.00,0.00,0.00,0.000,0.278,0.344,0.640,0.000,0.000,0.000
Anthony Randolph,Warriors,2008-2009,REG,63,0.46,34.57,19.95,44.55,0.46,0.00,0.00,0.000,0.329,0.337,0.630,0.000,0.000,0.000
Brandon Rush,Pacers,2008-2009,REG,75,23.48,32.17,9.22,22.26,6.43,6.26,0.17,0.370,0.416,0.396,0.523,0.432,0.333,0.000
Jason Thompson,Kings,2008-2009,REG,82,0.56,24.41,22.45,52.02,0.00,0.00,0.56,0.000,0.417,0.323,0.619,0.000,0.000,0.000
Jerryd Bayless,Trail Blazers,2008-2009,REG,53,6.88,28.57,7.41,49.74,4.23,2.65,0.53,0.308,0.222,0.286,0.489,0.375,0.000,0.000
Brook Lopez,Nets,2008-2009,REG,82,0.24,23.70,23.46,52.61,0.00,0.00,0.00,0.000,0.390,0.389,0.660,0.000,0.000,0.000
D.J. Augustin,Bobcats,2008-2009,REG,72,31.08,25.28,6.92,28.18,4.03,3.86,0.64,0.451,0.389,0.372,0.469,0.320,0.542,0.000
