APG,BPG,DRB PG,EFG %,FG %,FG PG,FG2 %,FG2 PG,FG2A PG,FG3 %,FG3 PG,FG3A PG,FGA PG,FT %,FT PG,FTA PG,Fouls PG,GP,GS,MPG,ORB PG,PPG,SPG,TO PG,TRB PG,Teams,age,name,position
4.7,0.3,4.0,.501,.432,8.4,.460,5.7,12.4,.383,2.7,7.1,19.5,.878,5.4,6.1,3.1,54,54,34.5,0.5,24.9,0.9,3.6,4.5,Devin Booker,21,Devin Booker,SG
1.2,0.3,3.0,.528,.516,2.6,.545,2.5,4.6,.242,0.1,0.5,5.0,.710,1.0,1.4,1.8,68,7,17.0,1.7,6.3,0.4,0.9,4.7,Trevor Booker,30,Trevor Booker,PF
0.0,0.0,1.0,.000,.000,0.0,,0.0,0.0,.000,0.0,1.0,1.0,,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,Chris Boucher,25,Chris Boucher,PF
2.0,0.2,2.0,.474,.414,5.6,.436,4.0,9.2,.369,1.6,4.4,13.6,.768,1.4,1.8,2.0,46,46,31.2,0.5,14.3,1.1,2.2,2.5,Avery Bradley,27,Avery Bradley,SG
0.1,0.0,0.8,.273,.273,0.3,.300,0.3,1.1,.000,0.0,0.1,1.2,1.000,0.2,0.2,0.1,9,0,3.2,0.4,0.9,0.0,0.0,1.2,Tony Bradley,20,Tony Bradley,C
0.9,0.2,1.5,.498,.449,2.0,.539,1.5,2.9,.282,0.4,1.5,4.4,.722,0.9,1.3,1.9,72,18,16.8,0.6,5.3,1.1,0.7,2.1,Corey Brewer,31,Corey Brewer,SF-SG
3.2,0.3,2.8,.547,.485,5.1,.532,3.8,7.1,.385,1.3,3.4,10.5,.882,1.6,1.8,2.7,48,20,29.9,0.5,13.0,0.9,1.4,3.3,Malcolm Brogdon,25,Malcolm Brogdon,PG
0.6,0.0,0.3,.486,.406,0.9,.447,0.5,1.2,.355,0.3,1.0,2.2,.727,0.3,0.3,0.9,32,1,5.9,0.2,2.3,0.2,0.3,0.5,Aaron Brooks,33,Aaron Brooks,PG
1.6,0.2,2.5,.501,.440,4.1,.484,3.0,6.2,.356,1.1,3.2,9.4,.747,1.5,2.0,2.8,82,74,28.7,0.6,11.0,0.9,1.5,3.1,Dillon Brooks,22,Dillon Brooks,SF
3.6,0.4,1.9,.593,.500,7.3,.457,4.6,10.0,.594,2.7,4.6,14.6,.870,2.9,3.3,0.9,7,1,27.6,1.1,20.1,1.6,2.3,3.0,MarShon Brooks,29,MarShon Brooks,SG
1.0,0.0,0.0,1.500,1.000,1.0,,0.0,0.0,1.000,1.0,1.0,1.0,,0.0,0.0,0.0,1,0,4.0,0.0,3.0,0.0,0.0,0.0,Anthony Brown,25,Anthony Brown,SF
0.6,0.0,0.4,.422,.328,1.0,.444,0.4,0.9,.275,0.6,2.0,2.9,.500,0.1,0.1,0.3,20,0,5.8,0.0,2.5,0.2,0.5,0.4,Bobby Brown,33,Bobby Brown,PG
1.6,0.4,4.0,.540,.465,5.3,.507,3.6,7.1,.395,1.7,4.4,11.5,.644,2.1,3.3,2.6,70,70,30.7,0.9,14.5,1.0,1.8,4.9,Jaylen Brown,21,Jaylen Brown,SG
0.9,0.0,1.0,.441,.412,1.0,.545,0.9,1.6,.167,0.1,0.9,2.4,1.000,0.1,0.1,0.5,14,0,9.9,0.1,2.3,0.4,0.2,1.1,Lorenzo Brown,27,Lorenzo Brown,PG
0.5,0.0,1.0,.357,.286,0.5,.500,0.3,0.5,.200,0.3,1.3,1.8,,0.0,0.0,1.5,4,0,7.8,0.3,1.3,0.0,0.5,1.3,Markel Brown,26,Markel Brown,SG
0.5,0.2,2.1,.478,.400,1.5,.439,0.9,2.1,.352,0.6,1.7,3.8,.875,0.4,0.4,1.5,54,4,14.4,0.5,4.0,0.6,0.5,2.6,Sterling Brown,22,Sterling Brown,SG
0.0,0.0,0.8,.000,.000,0.0,,0.0,0.0,.000,0.0,0.5,0.5,,0.0,0.0,0.0,4,0,2.5,0.0,0.0,0.0,0.0,0.8,Nicolás Brussino,24,Nicolás Brussino,SF
0.4,0.1,0.9,.405,.381,0.5,.636,0.5,0.7,.100,0.1,0.7,1.4,.556,0.3,0.6,0.4,15,0,4.8,0.2,1.5,0.1,0.1,1.1,Thomas Bryant,20,Thomas Bryant,C
1.5,0.2,2.0,.603,.489,4.3,.536,2.3,4.3,.445,2.0,4.5,8.8,.796,0.6,0.8,1.1,62,52,27.9,0.4,11.3,0.8,0.8,2.5,Reggie Bullock,26,Reggie Bullock,SF
4.7,0.1,1.6,.552,.503,5.4,.556,4.3,7.8,.362,1.1,2.9,10.7,.649,1.0,1.6,1.2,36,9,21.8,0.4,12.8,0.7,1.2,2.0,Trey Burke,25,Trey Burke,PG
1.0,0.1,2.7,.467,.411,2.7,.452,1.9,4.3,.331,0.7,2.2,6.5,.863,1.7,1.9,1.2,64,1,16.5,0.3,7.7,0.6,0.9,3.0,Alec Burks,26,Alec Burks,SG
4.9,0.4,4.0,.512,.474,7.4,.509,6.2,12.2,.350,1.2,3.4,15.6,.854,6.2,7.2,1.3,59,59,36.7,1.3,22.2,2.0,1.8,5.3,Jimmy Butler,28,Jimmy Butler,SG
2.0,0.1,1.0,.452,.414,2.8,.438,2.3,5.3,.333,0.5,1.6,6.8,.878,1.2,1.4,1.3,29,0,14.7,0.4,7.4,0.7,1.3,1.4,Dwight Buycks,28,Dwight Buycks,PG
0.3,0.3,1.3,.339,.290,0.8,.429,0.5,1.2,.176,0.3,1.4,2.6,.833,0.4,0.5,0.7,12,0,8.9,0.6,2.2,0.3,0.3,1.8,Bruno Caboclo,22,Bruno Caboclo,SF
2.1,0.0,1.2,.624,.503,1.6,.545,0.8,1.5,.464,0.8,1.7,3.2,.800,0.4,0.5,1.4,57,32,16.0,0.2,4.5,0.5,0.7,1.5,José Calderón,36,José Calderón,PG
2.2,0.2,4.4,.526,.426,4.6,.473,2.4,5.2,.383,2.1,5.6,10.8,.789,2.1,2.6,2.0,74,74,33.2,0.8,13.4,1.4,1.3,5.2,Kentavious Caldwell-Pope,24,Kentavious Caldwell-Pope,SG
3.8,0.1,2.0,.460,.380,2.6,.423,1.5,3.6,.333,1.1,3.3,6.9,.902,2.3,2.6,1.8,20,1,21.1,0.3,8.6,0.8,1.5,2.3,Isaiah Canaan,26,Isaiah Canaan,PG-SG
0.9,1.9,7.6,.652,.652,6.0,.653,6.0,9.1,.000,0.0,0.0,9.1,.560,1.9,3.5,2.5,74,74,27.5,3.3,13.9,0.8,1.4,10.8,Clint Capela,23,Clint Capela,C
2.0,0.4,5.1,.506,.414,4.5,.457,2.5,5.4,.371,2.0,5.4,10.8,.764,2.6,3.4,2.3,73,73,29.9,1.4,13.5,0.8,1.4,6.6,DeMarre Carroll,31,DeMarre Carroll,PF
1.2,0.4,2.2,.504,.403,2.0,.483,1.0,2.0,.345,1.0,2.8,4.9,.757,0.5,0.6,1.7,58,5,17.7,0.3,5.4,0.7,0.6,2.6,Vince Carter,41,Vince Carter,SF
2.2,0.4,1.9,.362,.332,1.5,.365,1.2,3.3,.237,0.3,1.1,4.4,.820,1.4,1.7,1.9,52,2,16.1,0.7,4.6,0.8,1.0,2.7,Michael Carter-Williams,26,Michael Carter-Williams,PG
2.0,0.3,1.4,.487,.431,1.4,.507,1.0,2.0,.302,0.4,1.2,3.1,.700,0.6,0.8,1.4,37,7,15.2,0.4,3.6,0.6,1.1,1.8,Alex Caruso,23,Alex Caruso,PG
1.0,0.4,3.2,.604,.580,2.3,.595,2.1,3.5,.455,0.2,0.4,3.9,.725,0.9,1.3,1.3,53,7,14.0,0.6,5.7,0.3,0.7,3.8,Omri Casspi,29,Omri Casspi,SF
2.4,0.9,5.2,.504,.502,5.3,.506,5.3,10.4,.250,0.0,0.2,10.6,.619,2.1,3.4,2.5,73,58,28.0,1.8,12.8,1.1,1.5,7.0,Willie Cauley-Stein,24,Willie Cauley-Stein,C
0.7,0.1,2.1,.546,.441,1.7,.556,0.9,1.6,.360,0.8,2.3,3.9,.810,0.4,0.5,1.6,39,1,13.3,1.2,4.7,0.2,0.4,3.3,Tyler Cavanaugh,23,Tyler Cavanaugh,PF
3.0,0.2,2.2,.439,.379,2.5,.456,1.7,3.8,.277,0.8,2.9,6.7,.855,1.8,2.1,2.7,66,10,21.5,0.2,7.7,1.2,1.8,2.4,Mario Chalmers,31,Mario Chalmers,PG
1.2,0.6,6.2,.647,.647,2.6,.647,2.6,4.1,,0.0,0.0,4.1,.624,1.3,2.0,2.3,46,46,25.0,2.9,6.5,0.3,1.3,9.1,Tyson Chandler,35,Tyson Chandler,C
2.1,0.5,4.0,.515,.445,3.8,.501,2.6,5.2,.358,1.2,3.3,8.5,.772,1.2,1.5,2.1,74,71,31.7,1.4,10.0,0.6,1.2,5.4,Wilson Chandler,30,Wilson Chandler,SF
1.2,1.0,4.4,.482,.423,2.8,.509,2.0,4.0,.295,0.8,2.6,6.6,.608,1.3,2.2,2.8,72,49,21.2,1.1,7.7,0.7,1.5,5.5,Marquese Chriss,20,Marquese Chriss,PF
1.5,0.1,1.6,.511,.448,3.0,.533,2.2,4.1,.318,0.8,2.6,6.7,.763,0.6,0.8,1.6,74,2,19.7,0.1,7.4,0.4,0.8,1.7,Ian Clark,26,Ian Clark,SG
2.7,0.1,2.0,.509,.451,5.3,.500,3.9,7.9,.352,1.4,3.9,11.8,.800,1.9,2.3,1.3,81,2,23.3,0.7,13.9,0.7,1.6,2.7,Jordan Clarkson,25,Jordan Clarkson,SG
0.4,0.0,0.9,.500,.333,0.9,.000,0.0,0.4,.400,0.9,2.1,2.6,1.000,0.3,0.3,1.1,7,0,9.1,0.1,2.9,0.3,0.3,1.0,Gian Clavell,24,Gian Clavell,SG
0.1,0.3,0.6,.452,.381,0.5,.294,0.3,1.0,.750,0.2,0.2,1.2,.667,0.2,0.4,1.4,17,0,7.2,0.2,1.4,0.4,0.4,0.8,Antonius Cleveland,23,Antonius Cleveland,SG
1.3,1.1,4.9,.591,.576,4.2,.598,4.0,6.7,.340,0.2,0.6,7.4,.715,1.8,2.5,2.9,74,26,24.1,2.4,10.5,0.6,1.4,7.3,John Collins,20,John Collins,PF
0.8,0.5,2.7,.458,.398,1.7,.455,1.2,2.7,.310,0.5,1.7,4.4,.643,0.4,0.6,2.0,66,1,15.8,0.7,4.4,0.3,0.9,3.3,Zach Collins,20,Zach Collins,C
1.8,0.3,2.3,.404,.384,1.2,.415,1.1,2.6,.235,0.1,0.5,3.1,.525,0.7,1.3,1.4,32,2,15.0,1.0,3.2,0.5,0.8,3.3,Kyle Collinsworth,26,Kyle Collinsworth,SF
5.3,0.2,2.0,.571,.495,4.6,.508,3.2,6.3,.468,1.4,3.0,9.2,.882,1.8,2.1,1.8,69,64,29.2,0.5,12.4,1.3,1.2,2.6,Darren Collison,30,Darren Collison,PG
0.3,0.0,0.9,.684,.684,0.9,.684,0.9,1.3,,0.0,0.0,1.3,.385,0.3,0.9,0.5,15,0,5.0,0.5,2.1,0.0,0.5,1.3,Nick Collison,37,Nick Collison,PF
4.1,0.3,2.3,.452,.381,5.3,.440,3.3,7.6,.312,2.0,6.4,14.0,.803,4.4,5.5,2.0,12,12,31.1,0.0,17.1,1.0,1.5,2.3,Mike Conley,30,Mike Conley,PG
1.1,0.3,1.5,.518,.423,2.0,.506,1.1,2.2,.352,0.9,2.6,4.8,.841,0.5,0.5,1.5,82,5,18.1,0.4,5.4,0.3,0.5,2.0,Pat Connaughton,25,Pat Connaughton,SG
2.7,0.0,2.2,.575,.484,3.7,.514,2.3,4.5,.442,1.4,3.2,7.6,.880,0.7,0.8,1.8,33,18,22.4,0.3,9.5,0.4,1.0,2.5,Quinn Cook,24,Quinn Cook,PG
0.1,0.0,0.2,.179,.143,0.2,.167,0.1,0.5,.125,0.1,0.6,1.1,.500,0.1,0.2,0.0,13,0,2.9,0.0,0.5,0.1,0.1,0.2,Charles Cooke,23,Charles Cooke,SG
0.9,0.0,2.3,.481,.481,1.9,.481,1.9,3.9,,0.0,0.0,3.9,.737,2.0,2.7,1.9,7,0,12.4,2.0,5.7,0.1,0.4,4.3,Jack Cooley,26,Jack Cooley,PF
0.5,0.5,2.0,.500,.500,0.5,.500,0.5,1.0,,0.0,0.0,1.0,,0.0,0.0,1.8,4,0,8.0,0.3,1.0,0.5,0.3,2.3,Matt Costello,24,Matt Costello,C
5.4,1.6,10.7,.530,.470,8.5,.530,6.3,11.9,.354,2.2,6.1,18.0,.746,6.1,8.2,3.8,48,48,36.2,2.2,25.2,1.6,5.0,12.9,DeMarcus Cousins,27,DeMarcus Cousins,C
2.0,0.9,4.7,.534,.413,4.3,.497,1.8,3.6,.369,2.5,6.9,10.5,.853,1.5,1.7,3.0,80,80,31.7,0.7,12.6,1.7,1.6,5.4,Robert Covington,27,Robert Covington,SF
1.6,0.5,3.9,.529,.407,4.5,.461,1.8,3.9,.378,2.7,7.1,11.0,.852,1.5,1.8,2.2,75,68,29.3,0.4,13.2,0.6,1.0,4.3,Allen Crabbe,25,Allen Crabbe,SG
0.6,0.4,2.2,.515,.453,1.6,.570,1.2,2.0,.293,0.4,1.5,3.5,.629,0.6,0.9,1.6,39,5,16.1,1.0,4.2,0.3,0.5,3.3,Torrey Craig,27,Torrey Craig,SF
2.3,0.1,1.0,.485,.415,3.9,.477,2.6,5.4,.331,1.3,3.9,9.3,.903,1.3,1.4,1.1,80,0,20.7,0.3,10.3,0.5,1.2,1.2,Jamal Crawford,37,Jamal Crawford,SG
2.6,0.2,0.4,.593,.444,2.4,.308,0.8,2.6,.571,1.6,2.8,5.4,1.000,0.2,0.2,1.4,5,0,10.6,0.4,6.6,0.2,1.0,0.8,Jordan Crawford,29,Jordan Crawford,SG
1.2,0.3,2.7,.486,.404,3.4,.488,2.0,4.1,.323,1.4,4.3,8.4,.818,1.5,1.9,2.3,80,47,26.1,0.7,9.7,0.8,0.9,3.4,Jae Crowder,27,Jae Crowder,SF
0.7,0.4,3.0,.530,.451,2.2,.541,1.5,2.7,.345,0.8,2.3,5.0,.596,0.4,0.7,1.5,73,25,21.4,1.1,5.7,0.5,0.5,4.1,Dante Cunningham,30,Dante Cunningham,SF
6.1,0.2,4.4,.618,.495,8.4,.595,4.2,7.1,.423,4.2,9.8,16.9,.921,5.5,5.9,2.2,51,51,32.0,0.7,26.4,1.6,3.0,5.1,Stephen Curry,29,Stephen Curry,PG
0.6,0.1,1.5,.563,.403,2.9,.419,0.6,1.5,.400,2.3,5.8,7.3,.875,0.7,0.8,1.7,79,15,20.5,0.2,8.9,0.3,0.7,1.6,Troy Daniels,26,Troy Daniels,SG
2.3,2.6,8.6,.552,.534,10.4,.558,9.7,17.3,.340,0.7,2.2,19.5,.828,6.6,8.0,2.1,75,75,36.4,2.5,28.1,1.5,2.2,11.1,Anthony Davis,24,Anthony Davis,PF
0.6,0.6,2.8,.608,.608,2.6,.608,2.6,4.3,,0.0,0.0,4.3,.667,0.6,0.9,2.0,62,6,15.2,1.2,5.8,0.2,0.5,4.0,Deyonta Davis,21,Deyonta Davis,C
0.5,0.7,5.0,.582,.582,2.2,.584,2.2,3.7,.000,0.0,0.0,3.7,.667,0.9,1.4,2.4,78,0,18.9,2.3,5.3,0.4,0.8,7.4,Ed Davis,28,Ed Davis,C
1.5,0.8,6.3,.577,.524,4.0,.595,3.2,5.4,.355,0.8,2.3,7.7,.779,1.1,1.4,2.6,62,46,24.9,1.6,10.0,0.6,1.4,7.9,Dewayne Dedmon,28,Dewayne Dedmon,C
0.5,0.1,1.8,.514,.494,1.8,.593,1.6,2.7,.167,0.1,0.8,3.5,.661,0.5,0.8,1.0,73,1,12.1,0.6,4.2,0.3,0.5,2.4,Sam Dekker,23,Sam Dekker,PF
3.0,0.1,1.7,.463,.382,2.0,.391,1.2,3.0,.371,0.9,2.3,5.3,.804,1.4,1.7,1.5,54,3,18.8,0.2,6.3,0.6,1.2,1.9,Malcolm Delaney,28,Malcolm Delaney,PG
3.8,0.0,1.3,.457,.362,1.4,.351,0.7,1.9,.372,0.8,2.1,4.0,.926,0.7,0.7,1.8,38,3,18.7,0.4,4.3,0.4,1.3,1.7,Matthew Dellavedova,27,Matthew Dellavedova,PG
1.0,0.0,0.0,.500,.500,1.0,.500,1.0,2.0,,0.0,0.0,2.0,,0.0,0.0,0.0,1,1,13.0,0.0,2.0,1.0,1.0,0.0,Luol Deng,32,Luol Deng,SF
5.2,0.3,3.2,.488,.456,8.1,.494,7.0,14.1,.310,1.1,3.6,17.7,.825,5.8,7.0,1.9,80,80,33.9,0.7,23.0,1.1,2.2,3.9,DeMar DeRozan,28,DeMar DeRozan,SG
0.4,0.4,3.2,.580,.580,2.0,.580,2.0,3.4,,0.0,0.0,3.4,.758,1.0,1.3,1.6,52,0,11.2,0.9,4.9,0.2,0.5,4.1,Cheick Diallo,21,Cheick Diallo,PF
0.9,0.5,3.2,.504,.479,2.4,.511,2.1,4.1,.311,0.2,0.8,4.9,.775,1.0,1.3,1.9,79,0,16.9,1.3,5.9,0.6,0.7,4.6,Gorgui Dieng,28,Gorgui Dieng,C
6.6,0.3,2.7,.471,.387,4.1,.452,2.3,5.1,.326,1.8,5.4,10.5,.813,2.7,3.4,2.3,80,58,28.8,0.5,12.6,0.9,1.6,3.2,Spencer Dinwiddie,24,Spencer Dinwiddie,PG
1.4,0.1,2.0,.471,.377,2.6,.393,1.3,3.3,.362,1.3,3.6,6.8,.714,0.8,1.1,1.1,56,5,17.4,0.3,7.2,0.3,0.7,2.3,Tyler Dorsey,21,Tyler Dorsey,SG
0.7,0.0,1.7,.516,.447,1.6,.538,1.1,2.1,.324,0.5,1.5,3.7,.696,0.4,0.5,0.8,44,2,10.8,0.2,4.1,0.3,0.4,1.9,Damyean Dotson,23,Damyean Dotson,SG
1.0,0.2,1.5,.319,.277,1.3,.375,0.9,2.4,.174,0.4,2.3,4.7,.500,0.4,0.8,1.3,10,0,12.5,0.3,3.4,0.6,0.2,1.8,Milton Doyle,24,Milton Doyle,SG
0.0,0.0,0.5,.500,.500,0.5,.500,0.5,1.0,,0.0,0.0,1.0,,0.0,0.0,0.5,2,0,1.5,0.0,1.0,0.0,0.5,0.5,PJ Dozier,21,PJ Dozier,PG
4.8,0.2,3.4,.502,.450,6.5,.481,5.0,10.3,.370,1.5,4.0,14.3,.801,2.9,3.6,2.4,75,75,31.7,0.7,17.3,0.8,2.2,4.1,Goran Dragić,31,Goran Dragić,PG
1.0,0.0,0.0,.354,.292,0.7,.267,0.4,1.5,.333,0.3,0.9,2.4,,0.0,0.0,0.6,10,0,7.0,0.3,1.7,0.0,0.3,0.3,Larry Drew,27,Larry Drew,PG
3.0,1.6,10.9,.529,.529,6.0,.536,6.0,11.2,.000,0.0,0.1,11.3,.605,3.1,5.1,3.2,78,78,33.7,5.1,15.0,1.5,2.6,16.0,Andre Drummond,24,Andre Drummond,C
1.6,0.2,1.8,.512,.393,1.0,.452,0.4,0.9,.363,0.6,1.7,2.5,.771,0.6,0.7,1.8,48,0,14.3,0.2,3.2,0.5,0.6,2.0,Jared Dudley,32,Jared Dudley,PF
6.0,0.5,3.8,.462,.429,5.5,.457,4.7,10.2,.321,0.8,2.6,12.8,.737,1.6,2.2,3.3,52,43,29.3,0.5,13.4,2.0,2.9,4.3,Kris Dunn,23,Kris Dunn,PG
5.4,1.8,6.4,.586,.516,9.3,.565,6.7,11.9,.419,2.5,6.1,18.0,.889,5.3,5.9,2.0,68,68,34.2,0.5,26.4,0.7,3.0,6.8,Kevin Durant,29,Kevin Durant,SF
0.0,0.0,0.3,.000,.000,0.0,,0.0,0.0,.000,0.0,0.7,0.7,,0.0,0.0,0.0,3,0,3.0,0.0,0.0,0.3,0.0,0.3,Jarell Eddie,26,Jarell Eddie,SF
0.5,0.0,1.9,.432,.363,1.4,.384,0.9,2.3,.333,0.5,1.6,3.8,.862,0.7,0.8,0.6,38,0,8.7,0.3,4.0,0.1,0.5,2.1,Henry Ellenson,21,Henry Ellenson,PF
1.0,0.1,2.5,.569,.407,3.7,.479,0.8,1.6,.392,2.9,7.5,9.1,.859,0.9,1.0,1.2,77,2,26.5,0.3,11.2,0.7,0.7,2.8,Wayne Ellington,30,Wayne Ellington,SG
3.2,1.8,8.7,.514,.483,8.1,.527,7.0,13.4,.308,1.0,3.4,16.8,.769,5.7,7.4,3.3,63,63,30.3,2.3,22.9,0.6,3.7,11.0,Joel Embiid,23,Joel Embiid,C
1.0,0.3,2.1,.540,.474,2.5,.567,1.8,3.2,.333,0.7,2.1,5.3,.836,1.3,1.6,1.9,72,22,22.3,1.0,7.1,0.7,0.8,3.1,James Ennis,27,James Ennis,SF
1.9,0.2,1.4,.451,.420,1.7,.476,1.5,3.1,.250,0.3,1.0,4.1,.759,0.4,0.5,1.4,54,11,12.6,0.4,4.1,0.6,0.7,1.8,Tyler Ennis,23,Tyler Ennis,PG
2.1,0.1,1.6,.381,.352,1.9,.372,1.5,4.1,.278,0.3,1.1,5.3,.776,0.8,1.0,2.0,48,4,16.2,0.2,4.8,0.8,0.9,1.8,Jawun Evans,21,Jawun Evans,PG
0.0,0.0,0.0,1.000,1.000,1.0,1.000,1.0,1.0,,0.0,0.0,1.0,,0.0,0.0,1.0,1,0,5.0,1.0,2.0,0.0,1.0,1.0,Jeremy Evans,30,Jeremy Evans,SF
5.2,0.3,4.3,.523,.452,7.0,.482,4.8,10.1,.399,2.2,5.5,15.6,.785,3.2,4.0,1.8,52,32,30.9,0.8,19.4,1.1,2.3,5.1,Tyreke Evans,28,Tyreke Evans,PG
3.1,0.2,1.6,.511,.483,3.0,.536,2.6,4.9,.278,0.4,1.3,6.2,.806,1.8,2.2,1.4,14,0,16.8,0.3,8.1,0.6,1.4,1.9,Dante Exum,22,Dante Exum,PG
0.6,0.4,2.7,.514,.514,2.4,.517,2.4,4.6,.000,0.0,0.0,4.6,.706,1.1,1.6,1.6,32,7,14.4,2.1,5.9,0.4,0.7,4.8,Kenneth Faried,28,Kenneth Faried,PF
1.3,1.1,4.6,.573,.563,5.1,.596,4.9,8.3,.222,0.2,0.8,9.1,.651,1.8,2.8,2.1,77,77,28.0,2.6,12.3,0.7,1.1,7.2,Derrick Favors,26,Derrick Favors,C
1.3,0.1,0.9,.329,.300,1.3,.333,1.1,3.2,.211,0.3,1.2,4.4,.917,0.7,0.8,0.7,16,0,8.8,0.2,3.6,0.2,1.0,1.1,Kay Felder,22,Kay Felder,PG
1.0,0.2,2.7,.591,.591,2.3,.596,2.3,3.9,.000,0.0,0.0,3.9,.667,1.0,1.5,1.9,55,16,17.8,1.5,5.6,0.3,1.0,4.2,Cristiano Felício,25,Cristiano Felício,C
2.5,0.2,1.6,.479,.406,2.7,.444,1.7,3.9,.352,1.0,2.8,6.7,.818,0.4,0.5,1.1,82,2,16.6,0.3,6.9,0.6,0.9,1.9,Raymond Felton,33,Raymond Felton,PG
0.3,0.2,0.5,.533,.414,1.1,.612,0.5,0.8,.333,0.7,2.0,2.8,.900,0.1,0.2,1.4,61,12,12.5,0.3,3.1,0.4,0.2,0.8,Terrance Ferguson,19,Terrance Ferguson,SG
2.5,0.1,2.7,.518,.426,3.8,.477,2.2,4.5,.373,1.6,4.4,8.9,.796,1.0,1.3,1.9,82,21,27.8,0.3,10.2,0.8,1.0,3.0,Yogi Ferrell,24,Yogi Ferrell,SG
1.2,0.2,2.5,.463,.380,2.2,.481,1.2,2.6,.299,1.0,3.2,5.8,.733,0.5,0.7,2.0,21,13,21.3,1.0,5.9,0.5,1.0,3.6,Dorian Finney-Smith,24,Dorian Finney-Smith,PF
1.0,0.0,1.2,.510,.421,2.6,.446,1.5,3.4,.390,1.1,2.9,6.2,.667,0.6,0.9,1.4,80,12,19.0,0.2,6.9,0.4,0.5,1.4,Bryn Forbes,24,Bryn Forbes,SG
2.9,0.3,2.8,.538,.459,6.5,.516,4.2,8.2,.379,2.2,5.9,14.1,.867,2.6,3.0,2.4,57,57,32.2,0.4,17.8,0.8,1.7,3.2,Evan Fournier,25,Evan Fournier,SF
4.4,0.3,2.3,.441,.412,4.5,.436,3.8,8.8,.307,0.6,2.1,10.9,.723,1.9,2.7,2.2,73,60,27.8,0.5,11.6,1.0,2.4,2.8,De'Aaron Fox,20,De'Aaron Fox,PG
3.3,0.1,1.6,.445,.395,1.2,.440,0.9,2.0,.304,0.3,0.9,2.9,.767,0.4,0.5,1.6,59,11,14.2,0.3,3.0,0.8,1.0,1.9,Tim Frazier,27,Tim Frazier,PG
0.7,0.2,2.3,.583,.491,2.0,.670,1.2,1.8,.339,0.7,2.2,4.0,.895,0.3,0.4,1.3,53,1,13.1,0.2,5.0,0.3,0.4,2.5,Channing Frye,34,Channing Frye,C
3.8,0.3,2.3,.405,.405,3.2,.409,3.2,7.9,.000,0.0,0.1,7.9,.476,0.7,1.5,1.6,14,0,18.1,0.8,7.1,0.9,1.2,3.1,Markelle Fultz,19,Markelle Fultz,SG
2.0,0.5,4.4,.469,.398,4.9,.455,3.1,6.9,.324,1.7,5.3,12.2,.931,3.9,4.1,1.4,21,21,32.0,0.4,15.3,0.6,1.2,4.8,Danilo Gallinari,29,Danilo Gallinari,SF
1.0,0.1,1.4,.481,.371,2.2,.418,0.9,2.1,.344,1.3,3.8,5.9,.805,0.6,0.7,0.7,58,2,14.9,0.2,6.2,0.6,0.3,1.6,Langston Galloway,26,Langston Galloway,SG
4.2,1.4,7.0,.473,.420,5.9,.456,4.5,9.8,.341,1.5,4.4,14.2,.834,3.8,4.6,2.5,73,73,33.0,1.1,17.2,0.7,2.7,8.1,Marc Gasol,33,Marc Gasol,C
3.1,1.0,6.4,.492,.458,3.7,.481,3.2,6.6,.358,0.6,1.6,8.1,.756,2.1,2.7,1.6,77,63,23.5,1.7,10.1,0.3,1.4,8.0,Pau Gasol,37,Pau Gasol,C
1.3,0.7,3.8,.506,.471,4.4,.516,3.8,7.4,.314,0.6,2.1,9.4,.772,2.0,2.5,1.7,57,6,21.6,1.3,11.5,0.8,1.4,5.1,Rudy Gay,31,Rudy Gay,PF
3.3,0.5,4.7,.521,.430,7.3,.454,4.2,9.3,.401,3.1,7.7,17.0,.822,4.3,5.2,2.9,79,79,36.6,0.9,21.9,2.0,2.7,5.7,Paul George,27,Paul George,SF
0.2,0.0,0.2,.479,.438,0.5,.515,0.4,0.8,.267,0.1,0.4,1.1,.619,0.3,0.5,0.8,42,0,5.3,0.2,1.4,0.1,0.1,0.4,Marcus Georges-Hunt,23,Marcus Georges-Hunt,SG
1.0,0.0,0.8,.739,.609,3.5,.727,2.0,2.8,.500,1.5,3.0,5.8,,0.0,0.0,1.3,4,0,10.0,0.0,8.5,0.0,0.8,0.8,Jonathan Gibson,30,Jonathan Gibson,PG
1.2,0.7,4.8,.581,.577,5.2,.595,5.1,8.6,.200,0.1,0.4,9.0,.768,1.7,2.3,2.7,82,82,33.2,2.4,12.2,0.8,1.1,7.1,Taj Gibson,32,Taj Gibson,PF
2.5,0.2,1.9,.503,.434,3.1,.506,2.1,4.2,.333,1.0,3.0,7.1,.840,1.7,2.0,1.9,65,0,20.0,0.3,8.9,0.7,1.6,2.2,Manu Ginóbili,40,Manu Ginóbili,SG
1.4,2.3,7.8,.622,.622,4.9,.622,4.9,7.9,,0.0,0.0,7.9,.682,3.6,5.3,2.7,56,56,32.4,2.9,13.5,0.8,1.9,10.7,Rudy Gobert,25,Rudy Gobert,C
2.3,0.8,6.4,.500,.434,6.5,.497,4.5,9.0,.336,2.0,5.9,14.9,.698,2.7,3.9,1.9,58,57,32.9,1.5,17.6,1.0,1.8,7.9,Aaron Gordon,22,Aaron Gordon,PF
