APG,BPG,DRB PG,EFG %,FG %,FG PG,FG2 %,FG2 PG,FG2A PG,FG3 %,FG3 PG,FG3A PG,FGA PG,FT %,FT PG,FTA PG,Fouls PG,GP,GS,MPG,ORB PG,PPG,SPG,TO PG,TRB PG,Teams,age,name,position
0.5,0.9,2.2,.578,.578,2.1,.578,2.1,3.6,,0.0,0.0,3.6,.636,0.8,1.2,1.1,28,1,13.6,1.2,5.0,0.5,0.3,3.4,Brandan Wright,30,Brandan Wright,PF
2.9,0.5,2.2,.530,.465,2.9,.520,2.1,4.0,.366,0.8,2.2,6.3,.829,1.4,1.7,1.2,69,4,20.8,0.7,8.0,1.0,1.1,2.9,Delon Wright,25,Delon Wright,PG
0.5,0.2,1.1,.525,.426,0.8,.583,0.4,0.7,.324,0.4,1.1,1.8,.682,0.5,0.7,0.7,33,4,7.1,0.5,2.4,0.1,0.4,1.6,Guerschon Yabusele,22,Guerschon Yabusele,PF
0.3,0.0,0.3,.464,.357,0.8,.500,0.3,0.7,.300,0.5,1.7,2.3,.667,0.7,1.0,0.7,6,0,10.2,0.0,2.8,0.0,0.2,0.3,James Young,22,James Young,SG
0.7,0.0,1.0,.497,.430,1.5,.458,1.0,2.3,.379,0.5,1.2,3.5,.759,0.4,0.5,0.7,53,1,10.5,0.2,3.9,0.3,0.5,1.2,Joe Young,25,Joe Young,PG
0.5,0.1,1.3,.538,.412,2.5,.481,1.0,2.0,.377,1.5,4.1,6.1,.862,0.7,0.8,1.3,80,8,17.4,0.3,7.3,0.5,0.5,1.6,Nick Young,32,Nick Young,SG
1.9,0.4,4.0,.521,.487,5.2,.531,4.5,8.4,.320,0.7,2.2,10.7,.598,0.7,1.1,2.2,81,81,32.2,2.3,11.8,1.7,1.3,6.3,Thaddeus Young,29,Thaddeus Young,PF
0.9,0.6,3.3,.551,.545,2.6,.542,2.5,4.6,.667,0.1,0.1,4.7,.718,1.8,2.6,2.5,33,0,19.0,2.0,7.1,0.4,1.0,5.4,Cody Zeller,25,Cody Zeller,C
0.7,0.5,3.0,.575,.560,2.8,.578,2.7,4.6,.357,0.2,0.4,5.1,.722,0.9,1.2,1.9,66,34,16.8,1.7,6.7,0.2,0.7,4.6,Tyler Zeller,28,Tyler Zeller,C
0.9,0.3,2.2,.425,.346,1.5,.355,0.8,2.3,.336,0.7,2.0,4.3,.760,0.4,0.5,1.6,54,12,15.3,0.2,4.0,0.4,0.8,2.4,Paul Zipser,23,Paul Zipser,SF
0.2,0.4,1.1,.731,.731,1.5,.731,1.5,2.1,,0.0,0.0,2.1,.724,0.7,0.9,0.9,32,2,6.7,0.8,3.7,0.1,0.3,1.9,Ante Žižić,21,Ante Žižić,C
0.6,0.3,1.8,.500,.500,1.4,.504,1.4,2.8,.000,0.0,0.0,2.8,.765,0.9,1.2,1.1,43,0,9.5,1.0,3.7,0.2,0.6,2.9,Ivica Zubac,20,Ivica Zubac,C
