Player,Team,Season,Season Type,Games,AbvBrk3_Usage,MR_Usage,Paint_Usage,RA_Usage,RC3_Usage,LC3_Usage,BC_Usage,AbvBrk3%,MR%,Paint%,RA%,RC3%,LC3%,BC3%
Player,Team,Season,Season Type,Games,Above the Break 3-Usage,Mid-Range-Usage,In The Paint (Non-RA)-Usage,Restricted Area-Usage,Right Corner 3-Usage,Left Corner 3-Usage,Backcourt-Usage,Above the Break 3 %,Mid-Range %,In The Paint (Non-RA) %,Restricted Area %,Right Corner 3 %,Left Corner 3 %,Backcourt %
Josh Selby,Grizzlies,2011-2012,REG,28,13.89,25.00,15.28,38.89,1.39,2.78,2.78,0.200,0.389,0.545,0.357,0.000,0.000,0.000
Keith Benson,Warriors,2011-2012,REG,3,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Travis Leslie,Clippers,2011-2012,REG,10,0.00,7.14,28.57,64.29,0.00,0.00,0.00,0.000,0.000,0.250,0.444,0.000,0.000,0.000
Andrew Goudelock,Lakers,2011-2012,REG,40,37.93,36.21,17.82,2.87,0.57,4.60,0.00,0.333,0.317,0.645,0.000,1.000,0.625,0.000
Josh Harrellson,Knicks,2011-2012,REG,37,24.16,15.44,8.72,36.24,6.04,9.40,0.00,0.306,0.348,0.308,0.574,0.556,0.286,0.000
Charles Jenkins,Warriors,2011-2012,REG,51,5.50,57.04,11.00,25.09,0.00,1.03,0.34,0.188,0.482,0.344,0.493,0.000,0.000,0.000
Malcolm Lee,Timberwolves,2011-2012,REG,19,8.47,20.34,6.78,55.93,5.08,3.39,0.00,0.400,0.250,0.000,0.545,0.000,0.000,0.000
Darius Morris,Lakers,2011-2012,REG,19,16.67,21.43,26.19,30.95,2.38,0.00,2.38,0.286,0.222,0.364,0.615,1.000,0.000,1.000
Jon Leuer,Bucks,2011-2012,REG,46,3.66,50.26,13.09,31.94,0.52,0.52,0.00,0.429,0.438,0.360,0.705,0.000,0.000,0.000
Jeremy Tyler,Warriors,2011-2012,REG,42,0.48,24.88,25.36,49.28,0.00,0.00,0.00,0.000,0.269,0.358,0.534,0.000,0.000,0.000
Chandler Parsons,Rockets,2011-2012,REG,63,19.85,14.94,9.84,42.81,6.92,5.46,0.18,0.284,0.366,0.259,0.613,0.395,0.467,0.000
Trey Thompkins,Clippers,2011-2012,REG,24,18.03,40.98,11.48,26.23,3.28,0.00,0.00,0.273,0.200,0.286,0.813,0.500,0.000,0.000
Jordan Williams,Nets,2011-2012,REG,43,0.00,20.39,5.92,73.68,0.00,0.00,0.00,0.000,0.290,0.333,0.580,0.000,0.000,0.000
Tyler Honeycutt,Kings,2011-2012,REG,15,4.17,37.50,12.50,37.50,4.17,4.17,0.00,0.000,0.222,0.000,0.556,0.000,1.000,0.000
Shelvin Mack,Wizards,2011-2012,REG,64,12.27,35.91,12.27,32.73,3.64,3.18,0.00,0.333,0.291,0.296,0.625,0.250,0.143,0.000
Justin Harper,Magic,2011-2012,REG,14,35.48,22.58,6.45,29.03,3.23,3.23,0.00,0.182,0.143,0.000,0.667,0.000,0.000,0.000
