Player,Team,Season,Season Type,Games,AbvBrk3_Usage,MR_Usage,Paint_Usage,RA_Usage,RC3_Usage,LC3_Usage,BC_Usage,AbvBrk3%,MR%,Paint%,RA%,RC3%,LC3%,BC3%
Player,Team,Season,Season Type,Games,Above the Break 3-Usage,Mid-Range-Usage,In The Paint (Non-RA)-Usage,Restricted Area-Usage,Right Corner 3-Usage,Left Corner 3-Usage,Backcourt-Usage,Above the Break 3 %,Mid-Range %,In The Paint (Non-RA) %,Restricted Area %,Right Corner 3 %,Left Corner 3 %,Backcourt %
Mark Bradtke,76ers,1996-1997,REG,32,0.00,18.97,6.90,74.14,0.00,0.00,0.00,0.000,0.182,0.750,0.465,0.000,0.000,0.000
Michael Hawkins,Celtics,1996-1997,REG,29,26.47,29.41,1.47,41.18,0.00,1.47,0.00,0.389,0.300,0.000,0.536,0.000,1.000,0.000
Chris Jent,Knicks,1996-1997,REG,2,16.67,33.33,0.00,33.33,0.00,16.67,0.00,1.000,0.000,0.000,0.000,0.000,1.000,0.000
Brett Szabo,Celtics,1996-1997,REG,67,0.00,20.66,13.22,66.12,0.00,0.00,0.00,0.000,0.560,0.563,0.388,0.000,0.000,0.000
Ike Austin,Heat,1996-1997,REG,82,0.00,29.89,23.16,46.79,0.00,0.16,0.00,0.000,0.393,0.399,0.625,0.000,0.000,0.000
Jimmy Carruth,Bucks,1996-1997,REG,3,0.00,66.67,0.00,33.33,0.00,0.00,0.00,0.000,0.500,0.000,1.000,0.000,0.000,0.000
Ruben Nembhard,"Jazz, Trail Blazers",1996-1997,REG,10,8.11,24.32,5.41,59.46,2.70,0.00,0.00,0.000,0.333,1.000,0.500,0.000,0.000,0.000
Stephen Howard,"Spurs, Jazz",1996-1997,REG,48,0.00,6.48,20.37,73.15,0.00,0.00,0.00,0.000,0.286,0.455,0.633,0.000,0.000,0.000
Donald Whiteside,Raptors,1996-1997,REG,27,29.09,45.45,3.64,12.73,1.82,7.27,0.00,0.250,0.360,0.000,0.571,0.000,0.250,0.000
Larry Stewart,SuperSonics,1996-1997,REG,68,2.78,21.43,7.94,64.29,1.19,2.38,0.00,0.143,0.259,0.400,0.531,0.000,0.500,0.000
Dominique Wilkins,Spurs,1996-1997,REG,63,7.66,35.05,8.29,46.07,1.05,1.89,0.00,0.260,0.320,0.392,0.517,0.700,0.333,0.000
Dexter Boney,Suns,1996-1997,REG,4,10.53,36.84,0.00,52.63,0.00,0.00,0.00,0.000,0.286,0.000,0.400,0.000,0.000,0.000
Elmer Bennett,"Rockets, Nuggets",1996-1997,REG,9,10.53,47.37,5.26,26.32,0.00,10.53,0.00,0.000,0.444,1.000,0.200,0.000,0.000,0.000
Tim Kempton,Spurs,1996-1997,REG,10,0.00,40.00,0.00,60.00,0.00,0.00,0.00,0.000,0.000,0.000,0.333,0.000,0.000,0.000
Jaren Jackson,Bullets,1996-1997,REG,75,17.33,35.26,2.13,26.75,11.25,6.99,0.30,0.368,0.397,0.143,0.534,0.351,0.261,0.000
Ben Wallace,Bullets,1996-1997,REG,31,0.00,4.35,10.87,84.78,0.00,0.00,0.00,0.000,0.500,0.200,0.359,0.000,0.000,0.000
Mark Strickland,Heat,1996-1997,REG,31,1.67,13.33,11.67,73.33,0.00,0.00,0.00,0.000,0.375,0.000,0.500,0.000,0.000,0.000
James Scott,Heat,1996-1997,REG,8,37.50,37.50,0.00,25.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Matt Steigenga,Bulls,1996-1997,REG,2,25.00,25.00,0.00,50.00,0.00,0.00,0.00,0.000,0.000,0.000,0.500,0.000,0.000,0.000
Ivano Newbill,Hawks,1996-1997,REG,72,0.00,10.99,2.20,86.81,0.00,0.00,0.00,0.000,0.100,0.500,0.481,0.000,0.000,0.000
Gaylon Nickerson,"Spurs, Bullets",1996-1997,REG,4,0.00,58.33,8.33,25.00,8.33,0.00,0.00,0.000,0.286,0.000,0.667,0.000,0.000,0.000
Kevin Salvadori,Kings,1996-1997,REG,21,0.00,30.30,18.18,51.52,0.00,0.00,0.00,0.000,0.400,0.000,0.471,0.000,0.000,0.000
Joe Stephens,Rockets,1996-1997,REG,2,0.00,40.00,20.00,20.00,0.00,20.00,0.00,0.000,0.500,0.000,0.000,0.000,0.000,0.000
Henry James,Hawks,1996-1997,REG,53,23.61,42.30,4.26,13.77,8.52,7.21,0.33,0.403,0.403,0.462,0.381,0.385,0.545,0.000
Ray Owes,Warriors,1996-1997,REG,57,1.11,53.33,14.44,30.56,0.56,0.00,0.00,0.000,0.365,0.538,0.455,1.000,0.000,0.000
Matt Maloney,Rockets,1996-1997,REG,82,21.79,49.11,3.58,19.51,2.28,3.74,0.00,0.388,0.427,0.364,0.558,0.286,0.478,0.000
Reggie Slater,Raptors,1996-1997,REG,26,0.00,17.45,10.07,71.81,0.00,0.67,0.00,0.000,0.346,0.533,0.607,0.000,0.000,0.000
Devin Gray,"Kings, Spurs",1996-1997,REG,6,0.00,7.69,7.69,84.62,0.00,0.00,0.00,0.000,0.000,0.000,0.364,0.000,0.000,0.000
Greg Dreiling,Mavericks,1996-1997,REG,40,1.35,47.30,16.22,35.14,0.00,0.00,0.00,1.000,0.371,0.500,0.538,0.000,0.000,0.000
Erick Strickland,Mavericks,1996-1997,REG,28,8.59,49.61,13.67,23.44,1.17,3.52,0.00,0.364,0.276,0.514,0.600,0.333,0.444,0.000
Brent Scott,Pacers,1996-1997,REG,16,0.00,23.53,5.88,70.59,0.00,0.00,0.00,0.000,0.250,0.000,0.583,0.000,0.000,0.000
Carl Thomas,Cavaliers,1996-1997,REG,17,4.17,62.50,4.17,12.50,16.67,0.00,0.00,0.000,0.267,1.000,1.000,0.250,0.000,0.000
Aleksandar Djordjevic,Trail Blazers,1996-1997,REG,8,0.00,50.00,31.25,12.50,0.00,6.25,0.00,0.000,0.625,0.200,0.500,0.000,1.000,0.000
Dean Garrett,Timberwolves,1996-1997,REG,68,0.00,22.88,22.62,54.50,0.00,0.00,0.00,0.000,0.483,0.364,0.698,0.000,0.000,0.000
Shane Heal,Timberwolves,1996-1997,REG,35,38.14,40.21,1.03,12.37,2.06,6.19,0.00,0.378,0.154,0.000,0.167,0.500,0.500,0.000
Amal McCaskill,Magic,1996-1997,REG,17,3.13,46.88,12.50,34.38,0.00,0.00,3.13,0.000,0.200,0.500,0.455,0.000,0.000,0.000
