name,position,age,Teams,GP,MP,PER,TS %,FG3A PerFGA%,Fta PerFGA%,VORP,Usg Pct,OWS,DWS,WS,WS Per 48,Off. Box +-,Deff. Box +-,Box +-,ORB Pct,DRB Pct,TRB Pct,As. Pct,Stl Pct,Blk Pct,TO Pct
Mahmoud Abdul-Rauf,PG,28,Mahmoud Abdul-Rauf,31,530,10.5,.405,.114,.059,-0.7,25.1,-0.5,0.2,-0.3,-0.025,-3.4,-3.7,-7.1,1.2,6.7,3.9,19.7,1.6,0.1,6.4
Tariq Abdul-Wahad,SG,23,Tariq Abdul-Wahad,59,959,10.1,.456,.053,.350,-0.9,22.1,-0.8,0.6,-0.2,-0.008,-4.2,-1.7,-5.9,5.0,8.6,6.7,8.9,1.9,0.9,13.6
Shareef Abdur-Rahim,SF,21,Shareef Abdur-Rahim,82,2950,21.1,.562,.038,.475,2.3,28.4,6.3,0.6,6.9,.113,2.6,-1.4,1.2,8.9,13.8,11.3,13.5,1.6,1.8,13.6
Cory Alexander,PG,24,Cory Alexander,60,1298,15.2,.548,.440,.255,0.7,19.8,1.0,1.2,2.2,.081,0.9,-0.8,0.1,1.5,11.7,6.6,28.7,2.9,0.6,20.1
Cory Alexander,PG,24,Cory Alexander,37,501,11.1,.512,.441,.255,0.1,19.5,-0.2,0.8,0.7,.065,-1.7,0.2,-1.5,1.7,8.7,5.4,23.2,2.7,0.7,22.6
Cory Alexander,PG,24,Cory Alexander,23,797,17.8,.569,.439,.255,0.6,19.9,1.2,0.3,1.5,.091,2.5,-1.5,1.1,1.4,13.6,7.3,32.1,3.0,0.6,18.6
Ray Allen,SG,22,Ray Allen,82,3287,16.2,.539,.280,.297,3.2,24.3,4.7,2.3,7.0,.102,2.6,-0.8,1.8,4.7,10.4,7.5,19.3,1.8,0.3,15.0
Derek Anderson,SF,23,Derek Anderson,66,1839,15.3,.531,.143,.538,1.4,21.4,2.6,2.8,5.3,.139,0.4,0.7,1.0,3.7,8.7,6.2,21.3,2.5,0.5,15.0
Greg Anderson,C,33,Greg Anderson,50,398,10.4,.444,.062,.506,0.0,13.5,0.0,0.7,0.7,.090,-2.8,1.3,-1.6,12.0,22.6,17.4,5.9,2.6,1.8,14.7
Kenny Anderson,PG,27,Kenny Anderson,61,1858,14.8,.491,.237,.288,0.7,21.8,1.7,2.0,3.7,.096,0.5,-1.1,-0.6,2.5,8.4,5.4,31.4,2.5,0.0,15.8
Kenny Anderson,PG,27,Kenny Anderson,45,1472,13.3,.480,.252,.275,0.4,21.7,0.8,1.6,2.3,.076,0.1,-0.9,-0.8,3.0,7.5,5.3,28.3,2.2,0.0,16.2
Kenny Anderson,PG,27,Kenny Anderson,16,386,20.4,.531,.184,.333,0.2,22.1,1.0,0.4,1.4,.171,2.4,-2.0,0.4,0.8,12.0,5.9,43.4,3.5,0.0,14.7
