APct,BPct,Box +-,DRB PCT,DWS,"Deff, Box +-",FG3A PerFGA,FTA PerFGA,GP,MP,ORB PCT,OWS,Off. Box +-,PER,SPct,TO Pct,TRB PCT,TS %,Teams,USG %,VORP,WS,WSPer48,age,name,position
8.1,1.6,-1.8,21.5,0.7,0.1,.267,.360,36,520,3.6,0.6,-2.0,15.7,1.9,11.0,12.4,.606,Omri Casspi,18.0,0.0,1.3,.119,30,Omri Casspi,SF
12.3,2.0,2.0,23.7,2.9,2.2,.003,.343,81,2213,8.2,3.8,-0.2,18.0,2.0,9.0,15.8,.566,Willie Cauley-Stein,17.5,2.3,6.7,.146,25,Willie Cauley-Stein,C
42.5,0.0,8.9,13.6,0.0,-0.4,.375,.000,4,16,6.6,0.1,9.4,30.7,3.1,0.0,10.0,.625,Troy Caupain,21.8,0.0,0.1,.347,23,Troy Caupain,PG
3.4,0.0,-6.9,13.6,0.0,-2.1,.500,.200,11,39,8.5,0.0,-4.8,5.0,0.0,8.4,11.1,.414,Tyler Cavanaugh,13.0,0.0,0.0,.026,24,Tyler Cavanaugh,PF
5.3,2.2,-1.3,25.3,1.2,1.8,.010,.879,55,875,11.1,0.9,-3.1,11.2,1.1,23.4,18.3,.630,Tyson Chandler,8.5,0.2,2.1,.114,36,Tyson Chandler,C
9.1,0.9,-5.0,40.5,0.1,0.0,.000,1.500,7,89,8.6,0.1,-5.0,11.5,1.1,26.0,24.3,.653,Tyson Chandler,13.0,-0.1,0.2,.092,36,Tyson Chandler,C
4.8,2.3,-0.9,23.6,1.1,2.0,.011,.793,48,786,11.4,0.9,-2.9,11.2,1.1,23.0,17.6,.626,Tyson Chandler,8.0,0.2,1.9,.117,36,Tyson Chandler,C
,,,,,,,,,,,,,,,,,,,,,,,,,
9.1,1.4,-1.0,14.6,1.0,0.3,.579,.092,51,1177,4.4,0.5,-1.3,8.5,1.0,13.9,9.7,.537,Wilson Chandler,11.8,0.3,1.5,.062,31,Wilson Chandler,PF-SF
9.9,1.5,-0.1,13.4,0.9,0.6,.570,.087,36,951,5.0,0.6,-0.8,9.1,1.1,15.4,9.4,.561,Wilson Chandler,11.2,0.4,1.5,.074,31,Wilson Chandler,PF
5.9,1.1,-4.8,19.5,0.2,-1.3,.606,.106,15,226,1.9,-0.1,-3.5,5.8,0.6,9.2,11.0,.463,Wilson Chandler,14.2,-0.2,0.0,.009,31,Wilson Chandler,SF
17.7,0.0,-17.2,0.0,0.0,-8.2,.000,.000,1,8,0.0,0.0,-9.0,2.0,0.0,0.0,0.0,.333,Joe Chealey,16.2,0.0,0.0,-0.080,23,Joe Chealey,PG
16.1,2.6,-4.7,10.3,0.0,-0.2,.625,.000,7,33,3.3,0.0,-4.5,7.0,1.5,11.1,6.7,.375,Chris Chiozza,11.8,0.0,0.0,.023,23,Chris Chiozza,PG
6.5,1.9,-6.2,23.6,0.4,-1.4,.400,.250,43,499,8.6,-0.6,-4.8,9.2,1.7,15.3,15.8,.455,Marquese Chriss,20.6,-0.5,-0.2,-0.023,21,Marquese Chriss,PF
8.2,3.3,-9.4,22.8,0.1,-0.2,.441,.206,16,104,7.3,-0.3,-9.2,3.4,0.9,24.4,14.9,.391,Marquese Chriss,20.5,-0.2,-0.2,-0.101,21,Marquese Chriss,PF
6.1,1.5,-5.4,23.8,0.2,-1.7,.390,.260,27,395,8.9,-0.3,-3.7,10.7,1.9,12.9,16.0,.470,Marquese Chriss,20.7,-0.3,0.0,-0.003,21,Marquese Chriss,PF
3.8,3.5,-1.8,16.2,0.7,0.6,.914,.046,51,641,4.1,0.3,-2.4,9.2,1.5,4.3,10.0,.480,Gary Clark,10.9,0.0,1.0,.071,24,Gary Clark,PF
12.9,0.7,-5.1,8.0,0.3,-2.9,.527,.097,60,973,1.4,-0.4,-2.2,8.3,1.1,12.7,4.7,.502,Ian Clark,19.3,-0.8,-0.1,-0.003,27,Ian Clark,SG
15.6,0.5,-2.0,9.9,-0.1,-3.5,.377,.163,81,2214,3.9,1.9,1.5,16.8,1.3,9.6,6.8,.539,Jordan Clarkson,27.6,0.0,1.8,.039,26,Jordan Clarkson,SG
11.0,1.8,1.4,22.1,1.0,-1.2,.190,.320,61,1829,12.3,5.0,2.6,21.8,0.6,11.2,17.1,.627,John Collins,23.7,1.6,6.0,.158,21,John Collins,PF
7.1,3.9,0.1,16.5,1.5,1.0,.303,.315,77,1356,8.8,1.4,-0.9,13.5,0.9,14.5,12.7,.562,Zach Collins,16.6,0.7,2.9,.104,21,Zach Collins,C
29.9,0.4,1.2,9.9,2.9,0.0,.294,.288,76,2143,1.9,3.9,1.2,16.7,2.5,14.4,6.0,.574,Darren Collison,17.7,1.8,6.8,.153,31,Darren Collison,PG
4.0,0.9,-4.3,21.5,0.2,-1.0,.538,.231,8,98,8.8,0.0,-3.3,12.9,2.4,6.5,15.5,.454,Bonzie Colson,19.6,-0.1,0.2,.085,23,Bonzie Colson,SF
33.4,0.9,3.4,9.7,2.3,-1.3,.380,.363,70,2342,1.9,5.7,4.8,21.4,2.0,9.1,5.7,.569,Mike Conley,27.3,3.2,8.0,.164,31,Mike Conley,PG
12.6,1.7,1.6,15.0,1.9,1.2,.571,.114,61,1261,5.2,2.0,0.4,13.6,1.2,8.2,10.4,.573,Pat Connaughton,13.3,1.2,3.9,.149,26,Pat Connaughton,SG
15.2,0.2,-2.9,13.0,0.8,-2.7,.456,.059,74,1059,2.3,1.0,-0.2,13.1,0.9,10.0,7.9,.565,Quinn Cook,20.2,-0.2,1.8,.082,25,Quinn Cook,PG
20.4,4.8,3.6,27.0,1.5,3.4,.256,.388,30,771,6.2,0.9,0.2,21.4,2.5,14.2,17.1,.562,DeMarcus Cousins,28.1,1.1,2.4,.151,28,DeMarcus Cousins,C
5.2,3.2,2.4,14.6,1.6,1.9,.622,.246,35,1203,2.5,0.9,0.4,13.3,2.9,10.5,8.5,.580,Robert Covington,15.6,1.3,2.5,.100,28,Robert Covington,SF
4.3,4.1,1.2,14.0,0.7,2.5,.658,.197,13,440,1.7,0.0,-1.2,11.0,2.6,14.8,8.1,.578,Robert Covington,14.2,0.4,0.7,.077,28,Robert Covington,SF
5.8,2.7,3.0,14.9,0.9,1.6,.604,.269,22,763,2.9,0.9,1.4,14.7,3.1,8.4,8.8,.580,Robert Covington,16.5,1.0,1.8,.114,28,Robert Covington,SF
5.8,0.9,-2.5,12.2,1.0,-0.5,.694,.150,43,1133,1.5,-0.2,-1.9,7.7,1.0,10.4,6.9,.519,Allen Crabbe,16.4,-0.1,0.8,.035,26,Allen Crabbe,SG
6.3,2.7,-0.1,12.6,1.7,0.9,.519,.193,75,1503,6.4,1.4,-1.0,10.4,1.2,10.1,9.5,.547,Torrey Craig,12.4,0.7,3.0,.096,28,Torrey Craig,SF
27.7,0.8,-6.0,7.2,0.0,-4.1,.461,.251,64,1211,0.7,0.1,-2.0,11.7,1.3,16.9,3.9,.522,Jamal Crawford,20.8,-1.2,0.2,.006,38,Jamal Crawford,SG
18.6,0.0,1.7,13.1,0.0,-0.3,.125,.438,5,48,13.2,0.1,1.9,20.2,2.0,5.0,13.2,.550,Mitch Creek,17.6,0.0,0.2,.196,26,Mitch Creek,SF
20.2,0.0,3.2,14.5,0.0,0.0,.100,.700,4,36,14.6,0.2,3.2,21.5,1.3,0.0,14.6,.573,Mitch Creek,15.3,0.0,0.2,.258,26,Mitch Creek,SF
13.6,0.0,-2.9,9.0,0.0,-0.9,.167,.000,1,12,8.8,0.0,-1.9,16.3,4.0,14.3,8.9,.500,Mitch Creek,24.5,0.0,0.0,.011,26,Mitch Creek,SF
,,,,,,,,,,,,,,,,,,,,,,,,,
8.9,1.1,0.4,15.9,3.1,0.4,.655,.247,80,2166,3.1,1.3,0.0,12.1,1.4,8.8,9.6,.538,Jae Crowder,19.1,1.3,4.4,.097,28,Jae Crowder,SF
6.8,1.2,-0.1,16.3,0.9,0.8,.411,.114,64,928,5.7,1.0,-1.0,10.2,1.4,11.7,11.0,.585,Dante Cunningham,8.9,0.4,1.9,.097,31,Dante Cunningham,PF
6.5,0.7,-1.3,6.9,0.9,-1.8,.540,.112,74,1399,2.1,1.5,0.5,11.4,1.2,11.1,4.6,.595,Seth Curry,16.6,0.2,2.4,.082,28,Seth Curry,SG
24.2,0.9,6.3,14.2,2.5,-1.4,.604,.214,69,2331,2.2,7.2,7.7,24.4,1.9,11.6,8.4,.641,Stephen Curry,30.4,4.9,9.7,.199,30,Stephen Curry,PG
5.0,0.5,-4.4,8.9,0.1,-3.4,.705,.084,51,760,1.9,0.2,-1.0,9.8,1.6,8.7,5.3,.558,Troy Daniels,17.6,-0.5,0.3,.020,27,Troy Daniels,SG
19.0,6.0,8.5,27.5,3.1,3.9,.141,.422,56,1850,9.9,6.4,4.7,30.3,2.2,8.4,18.8,.597,Anthony Davis,29.5,4.9,9.5,.247,25,Anthony Davis,C
5.8,3.7,-0.7,23.7,0.1,1.0,.045,.455,9,118,8.7,0.3,-1.7,15.6,1.2,10.2,16.0,.682,Deyonta Davis,10.1,0.0,0.4,.145,22,Deyonta Davis,C
6.0,1.8,0.4,34.6,2.5,1.7,.007,.536,81,1446,15.8,3.3,-1.4,17.3,1.2,14.6,25.2,.632,Ed Davis,12.7,0.9,5.7,.191,29,Ed Davis,C
0.0,0.0,-35.5,0.0,0.0,-20.5,.000,.000,1,1,100.0,0.0,-15.0,0.0,0.0,0.0,51.6,.000,Tyler Davis,40.7,0.0,0.0,-0.471,21,Tyler Davis,C
8.1,3.8,1.3,25.0,1.9,1.7,.413,.215,64,1609,6.7,2.1,-0.4,16.0,2.0,12.7,15.7,.602,Dewayne Dedmon,16.7,1.3,4.0,.119,29,Dewayne Dedmon,C
8.3,0.7,-2.3,13.5,0.5,-0.8,.242,.180,47,788,7.2,0.6,-1.5,13.3,2.3,8.0,10.2,.519,Sam Dekker,16.2,-0.1,1.0,.064,24,Sam Dekker,PF
7.9,0.0,-1.4,16.5,0.1,-0.4,.271,.208,9,169,5.7,0.2,-1.0,14.0,3.2,8.7,10.8,.544,Sam Dekker,14.9,0.0,0.3,.080,24,Sam Dekker,PF
8.4,1.0,-2.5,12.6,0.4,-0.9,.236,.173,38,619,7.6,0.4,-1.6,13.2,2.1,7.8,10.1,.514,Sam Dekker,16.6,-0.1,0.8,.059,24,Sam Dekker,PF
0.0,0.0,-12.7,13.7,0.0,-4.0,.000,.400,2,15,14.6,0.0,-8.7,4.3,3.1,0.0,14.1,.255,Ángel Delgado,16.5,0.0,0.0,-0.055,24,Ángel Delgado,C
31.9,0.2,-5.5,9.9,0.0,-4.1,.537,.215,48,812,0.8,0.5,-1.3,11.1,0.8,20.4,5.2,.532,Matthew Dellavedova,17.9,-0.7,0.5,.028,28,Matthew Dellavedova,PG
35.7,0.0,-8.6,9.9,0.1,-3.1,.579,.211,12,97,0.0,0.0,-5.5,7.5,1.0,34.6,5.2,.482,Matthew Dellavedova,13.7,-0.2,0.1,.043,28,Matthew Dellavedova,PG
31.3,0.2,-5.1,9.9,-0.1,-4.3,.534,.215,36,715,0.9,0.5,-0.8,11.5,0.8,18.9,5.2,.537,Matthew Dellavedova,18.4,-0.6,0.4,.026,28,Matthew Dellavedova,PG
6.5,1.7,-0.6,14.6,0.3,-0.5,.373,.297,22,392,5.4,0.5,-0.2,14.6,1.8,9.5,10.0,.588,Luol Deng,15.8,0.1,0.8,.101,33,Luol Deng,SF
27.6,1.1,0.9,16.4,2.6,0.5,.034,.336,77,2688,2.2,3.6,0.4,19.6,1.6,11.7,9.4,.542,DeMar DeRozan,27.9,2.0,6.3,.112,29,DeMar DeRozan,SG
2.2,1.3,-2.8,7.6,0.0,-6.6,.606,.152,11,67,13.3,0.2,3.9,19.4,0.0,7.9,10.4,.653,Marcus Derrickson,24.4,0.0,0.2,.155,22,Marcus Derrickson,PF
5.1,3.0,-1.6,29.3,1.2,0.5,.015,.247,64,896,8.8,1.4,-2.1,17.5,1.5,14.0,19.2,.644,Cheick Diallo,16.0,0.1,2.6,.140,22,Cheick Diallo,PF
4.4,1.6,-4.7,12.0,0.7,-0.3,.145,.358,51,526,7.2,0.1,-4.3,10.1,1.9,10.7,9.5,.497,Hamidou Diallo,16.6,-0.4,0.8,.069,20,Hamidou Diallo,SG
10.3,3.4,0.5,24.1,1.3,1.4,.149,.281,76,1031,8.3,1.5,-0.9,18.1,2.2,11.9,16.1,.572,Gorgui Dieng,19.6,0.7,2.8,.132,29,Gorgui Dieng,C
25.6,0.7,-0.2,7.6,1.4,-2.1,.447,.430,68,1914,1.4,3.5,1.9,16.3,1.0,13.4,4.6,.580,Spencer Dinwiddie,24.9,0.8,4.8,.121,25,Spencer Dinwiddie,PG
,,,,,,,,,,,,,,,,,,,,,,,,,
9.7,1.2,-1.8,11.4,0.6,0.1,.669,.097,27,411,4.2,0.0,-1.9,9.1,1.5,12.8,8.0,.507,Donte DiVincenzo,15.1,0.0,0.6,.069,22,Donte DiVincenzo,SG
31.6,0.9,4.1,21.9,2.8,1.2,.433,.409,72,2318,4.0,2.1,2.9,19.6,1.6,15.0,13.0,.545,Luka Dončić,30.5,3.6,4.9,.101,19,Luka Dončić,SG
12.4,0.3,-3.8,13.7,0.4,-2.4,.500,.231,48,698,4.2,0.2,-1.4,11.2,1.0,8.5,8.9,.509,Tyler Dorsey,19.7,-0.3,0.6,.043,22,Tyler Dorsey,SG
9.3,0.3,-6.9,14.6,0.1,-2.6,.438,.292,27,251,3.7,-0.2,-4.3,7.8,1.3,9.1,9.0,.448,Tyler Dorsey,17.9,-0.3,-0.1,-0.010,22,Tyler Dorsey,SG
14.2,0.2,-2.1,13.3,0.3,-2.3,.531,.200,21,447,4.4,0.4,0.2,13.1,0.8,8.2,8.8,.541,Tyler Dorsey,20.7,0.0,0.7,.073,22,Tyler Dorsey,SG
10.4,0.4,-2.3,12.2,0.9,-1.4,.490,.140,73,2004,1.7,0.7,-0.9,10.8,1.4,8.7,6.8,.526,Damyean Dotson,17.3,-0.2,1.5,.037,24,Damyean Dotson,SG
13.7,0.0,-1.1,23.1,0.1,-0.5,.381,.095,6,51,12.5,0.1,-0.5,16.0,1.9,0.0,17.8,.434,PJ Dozier,18.5,0.0,0.1,.125,22,PJ Dozier,SG
27.3,0.5,-1.2,9.8,1.0,-1.3,.379,.233,36,991,2.1,0.6,0.1,13.9,1.5,12.9,6.0,.517,Goran Dragić,23.7,0.2,1.6,.079,32,Goran Dragić,PG
7.2,4.4,2.9,34.7,5.9,3.6,.036,.392,79,2647,16.8,4.1,-0.7,23.4,2.5,12.4,25.4,.555,Andre Drummond,22.9,3.3,10.0,.181,25,Andre Drummond,C
9.2,1.0,-0.7,10.4,1.2,1.0,.632,.192,59,1220,2.9,0.6,-1.7,7.8,1.4,14.2,6.7,.554,Jared Dudley,10.4,0.4,1.8,.070,33,Jared Dudley,PF
30.0,1.3,-1.8,13.3,1.2,0.3,.190,.136,46,1389,1.5,-0.5,-2.0,12.4,2.4,16.2,7.3,.484,Kris Dunn,20.1,0.1,0.6,.022,24,Kris Dunn,PG
26.2,2.6,4.3,17.5,2.9,0.1,.281,.366,78,2702,1.4,8.6,4.2,24.2,1.0,12.3,9.8,.631,Kevin Durant,29.0,4.3,11.5,.204,30,Kevin Durant,SF
59.0,0.0,9.7,16.0,0.0,-4.1,.333,.000,3,6,0.0,0.1,13.8,38.3,0.0,0.0,8.5,.833,Trevon Duval,20.9,0.0,0.1,.537,20,Trevon Duval,PG
0.0,0.0,-9.8,7.1,0.0,-5.5,1.000,.000,2,16,6.8,0.0,-4.3,3.8,0.0,0.0,6.9,.375,Vince Edwards,10.9,0.0,0.0,-0.014,22,Vince Edwards,SF
9.6,0.7,-4.0,25.5,0.2,-1.6,.400,.263,19,259,2.0,0.2,-2.5,13.1,1.3,7.8,13.4,.538,Henry Ellenson,19.0,-0.1,0.4,.077,22,Henry Ellenson,PF
6.2,0.0,-6.6,40.9,0.0,-2.9,.400,.200,2,25,0.0,0.0,-3.7,14.8,0.0,0.0,19.7,.551,Henry Ellenson,18.8,0.0,0.1,.149,22,Henry Ellenson,PF
10.0,0.7,-3.8,23.8,0.2,-1.4,.400,.271,17,234,2.2,0.1,-2.3,12.9,1.4,8.6,12.7,.536,Henry Ellenson,19.0,-0.1,0.3,.070,22,Henry Ellenson,PF
8.3,0.4,0.2,7.9,1.4,-1.0,.814,.107,53,1297,1.1,1.3,1.2,11.8,2.0,7.7,4.5,.569,Wayne Ellington,17.2,0.7,2.6,.097,31,Wayne Ellington,SG
7.8,0.5,-0.4,8.2,0.6,-0.9,.842,.087,25,533,1.2,0.4,0.5,10.8,2.2,6.8,4.7,.547,Wayne Ellington,16.5,0.2,1.0,.091,31,Wayne Ellington,SG
8.6,0.3,0.6,7.7,0.7,-1.1,.795,.121,28,764,1.1,0.9,1.7,12.5,1.9,8.3,4.3,.584,Wayne Ellington,17.7,0.5,1.6,.102,31,Wayne Ellington,SG
18.4,4.4,4.1,34.0,3.8,2.1,.219,.541,64,2154,8.1,4.9,2.0,26.1,1.0,13.2,21.4,.593,Joel Embiid,33.3,3.3,8.7,.194,24,Joel Embiid,C
4.7,1.6,-0.7,10.9,1.0,-0.2,.531,.276,58,1230,5.3,1.6,-0.5,11.0,1.6,9.3,8.1,.590,James Ennis,12.7,0.4,2.6,.103,28,James Ennis,SF
4.1,1.4,0.1,9.5,0.8,0.2,.569,.275,40,949,4.2,1.4,-0.1,11.3,2.0,8.9,6.8,.622,James Ennis,11.9,0.5,2.2,.112,28,James Ennis,SF
6.7,2.0,-3.2,15.4,0.2,-1.2,.434,.277,18,281,8.9,0.2,-2.0,9.9,0.5,10.6,12.2,.510,James Ennis,15.5,-0.1,0.4,.071,28,James Ennis,SF
8.3,3.7,-2.3,26.8,0.2,1.3,.000,.500,23,113,5.8,0.1,-3.6,15.1,0.9,20.1,16.4,.646,Drew Eubanks,15.5,0.0,0.3,.120,21,Drew Eubanks,PF
13.7,1.2,-6.9,9.5,0.2,-0.9,.283,.019,30,204,3.3,-0.3,-5.9,3.5,1.2,17.1,6.5,.374,Jacob Evans,13.5,-0.3,-0.1,-0.030,21,Jacob Evans,SG
19.7,0.0,-10.5,19.0,0.0,-0.1,.214,.000,8,65,1.7,-0.2,-10.4,0.1,2.2,30.0,10.2,.214,Jawun Evans,13.2,-0.1,-0.2,-0.151,22,Jawun Evans,PG
20.0,0.0,-10.0,19.3,0.0,0.1,.154,.000,7,64,1.7,-0.2,-10.1,0.7,2.2,31.6,10.4,.231,Jawun Evans,12.7,-0.1,-0.2,-0.139,22,Jawun Evans,PG
0.0,0.0,-38.9,0.0,0.0,-13.6,1.000,.000,1,1,0.0,0.0,-25.2,-38.1,0.0,0.0,0.0,.000,Jawun Evans,40.7,0.0,0.0,-0.946,22,Jawun Evans,PG
17.5,1.1,-3.6,13.0,2.0,-0.5,.327,.242,69,1402,2.7,-1.7,-3.1,11.5,2.0,13.9,7.9,.483,Tyreke Evans,26.4,-0.6,0.3,.010,29,Tyreke Evans,SG
,,,,,,,,,,,,,,,,,,,,,,,,,
24.1,0.6,-4.0,8.3,0.7,-1.4,.257,.357,42,664,2.7,0.2,-2.6,11.2,1.0,15.7,5.5,.516,Dante Exum,21.3,-0.3,1.0,.069,23,Dante Exum,PG
4.6,2.7,-1.2,23.4,0.9,-1.0,.094,.374,37,728,14.4,2.1,-0.2,21.6,1.1,9.7,18.8,.622,Kenneth Faried,20.3,0.2,2.9,.193,29,Kenneth Faried,C
2.8,2.7,-3.5,25.7,0.2,-1.5,.119,.381,12,118,13.4,0.2,-2.0,20.5,0.8,10.9,19.6,.622,Kenneth Faried,19.6,0.0,0.4,.168,29,Kenneth Faried,C
4.9,2.6,-0.7,23.0,0.7,-0.9,.090,.372,25,610,14.6,1.8,0.1,21.8,1.2,9.4,18.7,.622,Kenneth Faried,20.4,0.2,2.5,.198,29,Kenneth Faried,C
8.0,4.8,4.3,21.3,3.5,3.2,.126,.368,76,1766,12.9,4.4,1.1,21.8,1.5,10.5,17.2,.624,Derrick Favors,19.4,2.8,7.9,.215,27,Derrick Favors,C
7.2,0.8,-3.5,20.5,0.4,-1.1,.022,.408,60,746,11.4,0.9,-2.5,13.4,0.7,13.5,15.9,.568,Cristiano Felício,14.3,-0.3,1.4,.088,26,Cristiano Felício,C
18.7,1.3,-4.2,8.4,0.4,-1.9,.452,.096,33,379,1.1,0.3,-2.3,11.2,1.2,9.0,4.6,.505,Raymond Felton,16.6,-0.2,0.7,.087,34,Raymond Felton,PG
4.8,0.7,-1.9,6.0,1.6,-0.5,.673,.118,74,1931,1.7,1.2,-1.5,6.4,1.0,9.4,3.8,.566,Terrance Ferguson,10.6,0.0,2.8,.070,20,Terrance Ferguson,SG
17.0,0.3,-2.3,9.5,0.6,-1.8,.423,.190,71,1067,1.2,1.3,-0.5,12.7,1.6,9.5,5.3,.550,Yogi Ferrell,16.3,-0.1,1.9,.087,25,Yogi Ferrell,PG
6.9,1.5,0.2,13.4,2.0,1.1,.481,.195,81,1985,7.5,1.2,-1.0,11.0,1.7,11.4,10.5,.530,Dorian Finney-Smith,14.0,1.1,3.3,.079,25,Dorian Finney-Smith,SF
10.6,0.1,-0.7,10.4,1.3,-1.7,.522,.099,82,2293,0.9,2.5,1.0,12.0,1.0,8.8,5.7,.586,Bryn Forbes,17.4,0.7,3.8,.079,25,Bryn Forbes,SG
17.6,0.4,-1.5,9.4,2.5,-1.1,.421,.159,81,2553,1.6,0.8,-0.4,12.3,1.4,11.9,5.4,.536,Evan Fournier,22.1,0.3,3.2,.061,26,Evan Fournier,SG
33.2,1.5,1.1,10.8,2.5,0.0,.211,.378,81,2546,1.7,3.2,1.1,18.1,2.4,15.0,6.2,.544,De'Aaron Fox,24.5,2.0,5.6,.106,21,De'Aaron Fox,PG
3.3,0.0,-12.9,4.9,0.0,-4.5,.286,.190,10,44,7.2,-0.2,-8.4,1.2,1.1,4.2,6.1,.330,Melvin Frazier,23.5,-0.1,-0.1,-0.133,22,Melvin Frazier,SG
27.6,0.4,-2.3,11.5,0.7,-1.3,.387,.207,59,1120,3.9,1.3,-1.0,11.7,1.2,21.1,7.7,.544,Tim Frazier,13.3,-0.1,2.0,.084,28,Tim Frazier,PG
28.0,0.4,-2.2,11.8,0.4,-1.3,.395,.210,47,909,3.7,1.1,-0.9,11.6,1.3,22.0,7.8,.552,Tim Frazier,12.3,0.0,1.5,.081,28,Tim Frazier,PG
26.0,0.4,-2.7,10.0,0.3,-1.0,.364,.197,12,211,4.6,0.2,-1.7,11.8,1.1,18.2,7.5,.523,Tim Frazier,17.4,0.0,0.4,.097,28,Tim Frazier,PG
17.5,0.0,-11.1,10.4,0.0,-3.5,.448,.207,6,65,1.7,-0.2,-7.6,3.6,2.2,13.6,6.0,.348,Jimmer Fredette,24.2,-0.1,-0.2,-0.166,29,Jimmer Fredette,SG
8.6,1.3,-4.8,16.4,0.0,-2.9,.675,.120,36,341,1.2,0.1,-1.9,8.9,0.9,9.5,8.5,.524,Channing Frye,17.5,-0.2,0.1,.016,35,Channing Frye,C
19.5,0.9,-3.1,10.6,0.4,-0.1,.090,.239,19,427,6.6,-0.1,-2.9,10.5,1.9,12.7,8.7,.452,Markelle Fultz,19.3,-0.1,0.3,.035,20,Markelle Fultz,SG
13.2,0.9,2.9,18.1,1.8,-1.2,.421,.459,68,2059,2.9,6.4,4.2,21.0,1.1,8.5,10.7,.633,Danilo Gallinari,23.8,2.6,8.2,.191,30,Danilo Gallinari,SF
7.3,0.4,-1.3,7.9,1.3,-1.6,.647,.164,80,1745,3.0,2.1,0.2,10.7,1.0,3.7,5.4,.534,Langston Galloway,16.1,0.3,3.4,.094,27,Langston Galloway,SG
18.0,1.3,-8.4,5.1,0.0,-4.4,.296,.148,4,63,0.0,0.0,-4.0,9.8,0.8,6.5,2.5,.452,Billy Garrett,20.9,-0.1,0.0,-0.019,24,Billy Garrett,SG
22.2,3.2,2.8,25.1,4.0,3.1,.314,.291,79,2436,3.6,2.0,-0.3,16.7,1.7,13.6,14.3,.546,Marc Gasol,20.7,3.0,6.0,.118,34,Marc Gasol,C
22.6,3.3,2.7,25.5,2.8,3.0,.324,.294,53,1788,3.5,1.0,-0.3,16.9,1.7,13.4,14.3,.541,Marc Gasol,22.3,2.1,3.9,.104,34,Marc Gasol,C
21.2,2.9,3.2,24.0,1.2,3.5,.278,.278,26,648,4.1,0.9,-0.3,16.0,1.8,14.6,14.3,.565,Marc Gasol,16.3,0.9,2.1,.157,34,Marc Gasol,C
,,,,,,,,,,,,,,,,,,,,,,,,,
19.1,3.5,0.6,34.2,0.5,2.7,.138,.426,30,360,6.7,0.5,-2.1,16.7,0.7,12.5,20.6,.529,Pau Gasol,15.6,0.2,1.1,.142,38,Pau Gasol,C
20.2,3.6,1.5,34.4,0.5,2.8,.114,.432,27,330,7.3,0.6,-1.4,18.0,0.7,11.8,21.0,.544,Pau Gasol,15.8,0.3,1.1,.160,38,Pau Gasol,C
7.7,2.8,-9.1,31.9,0.1,1.6,.500,.333,3,30,0.0,-0.1,-10.7,1.7,0.0,22.5,16.9,.291,Pau Gasol,12.4,-0.1,0.0,-0.063,38,Pau Gasol,C
14.7,1.6,1.0,23.9,2.2,0.8,.247,.197,69,1842,3.8,2.2,0.2,17.5,1.4,12.3,13.9,.583,Rudy Gay,22.1,1.4,4.4,.115,32,Rudy Gay,PF
17.7,1.0,5.5,19.6,4.9,0.7,.469,.335,77,2841,3.7,7.0,4.7,23.3,2.8,10.0,11.4,.583,Paul George,29.5,5.3,11.9,.201,28,Paul George,SF
7.3,2.0,1.0,18.3,1.4,0.2,.063,.330,70,1686,10.8,3.7,0.8,17.8,1.5,10.6,14.5,.612,Taj Gibson,17.2,1.3,5.1,.144,33,Taj Gibson,PF
15.2,2.3,-2.1,20.1,1.0,0.9,.017,.261,58,820,8.1,0.0,-3.0,14.4,1.8,15.8,14.0,.526,Harry Giles,23.2,0.0,1.0,.056,20,Harry Giles,PF
17.8,1.6,-0.3,8.3,1.9,0.2,.194,.272,82,2174,2.9,1.5,-0.6,13.4,2.1,15.0,5.7,.554,Shai Gilgeous-Alexander,18.3,0.9,3.3,.074,20,Shai Gilgeous-Alexander,PG
9.6,5.8,7.0,30.2,5.7,5.1,.000,.733,81,2577,13.2,8.7,2.0,24.6,1.2,12.1,21.9,.682,Rudy Gobert,17.8,5.9,14.4,.268,26,Rudy Gobert,C
32.1,0.0,-10.9,3.8,0.0,-6.4,.261,.478,16,57,1.9,0.0,-4.5,8.3,0.0,9.7,2.8,.413,Brandon Goodwin,23.1,-0.1,0.0,.021,23,Brandon Goodwin,PG
16.6,1.8,1.0,18.4,3.3,1.2,.332,.242,78,2633,5.2,1.8,-0.2,15.1,1.1,12.3,11.7,.538,Aaron Gordon,21.8,2.0,5.1,.093,23,Aaron Gordon,PF
9.4,1.1,-2.9,6.9,1.0,-2.9,.640,.162,68,2158,0.9,1.7,0.0,12.2,0.9,8.2,3.8,.549,Eric Gordon,22.0,-0.5,2.6,.059,30,Eric Gordon,SG
12.0,2.5,-1.1,26.5,0.8,1.4,.000,.258,47,751,9.8,0.6,-2.5,12.8,0.4,19.4,18.4,.562,Marcin Gortat,14.4,0.2,1.4,.089,34,Marcin Gortat,C
24.8,0.3,-4.3,8.6,0.3,-2.7,.560,.213,46,676,1.6,0.2,-1.6,10.3,1.7,11.3,5.0,.459,Devonte' Graham,17.0,-0.4,0.5,.035,23,Devonte' Graham,PG
6.5,0.8,-2.9,12.3,0.6,-0.1,.670,.115,35,715,3.4,-0.1,-2.8,6.1,0.9,7.8,7.9,.458,Treveon Graham,12.8,-0.2,0.5,.033,25,Treveon Graham,SG
