APct,BPct,Box +-,DRB PCT,DWS,"Deff, Box +-",FG3A PerFGA,FTA PerFGA,GP,MP,ORB PCT,OWS,Off. Box +-,PER,SPct,TO Pct,TRB PCT,TS %,Teams,USG %,VORP,WS,WSPer48,age,name,position
9.6,2.6,0.2,26.1,1.7,0.2,.005,.217,71,2183,11.1,4.1,-0.1,20.5,1.3,11.7,18.5,.608,Deandre Ayton,21.2,1.2,5.8,.128,20,Deandre Ayton,C
9.2,0.6,-3.5,11.7,0.3,-2.4,.339,.179,43,759,1.1,0.9,-1.2,11.7,0.8,6.1,6.3,.570,Dwayne Bacon,16.8,-0.3,1.2,.073,23,Dwayne Bacon,SG
5.9,3.2,-1.8,20.8,1.6,-0.7,.136,.371,62,1567,10.4,2.0,-1.2,18.9,1.0,10.7,15.5,.562,Marvin Bagley,24.2,0.1,3.6,.110,19,Marvin Bagley,PF
12.8,0.6,-6.6,7.1,0.1,-0.7,.650,.300,15,152,0.7,-0.2,-5.9,2.5,1.9,18.1,3.8,.309,Ron Baker,7.8,-0.2,-0.1,-0.034,25,Ron Baker,SG
16.1,0.0,-6.0,6.0,0.0,-1.4,.563,.375,11,107,1.0,0.0,-4.6,4.4,2.3,13.9,3.4,.376,Ron Baker,8.6,-0.1,0.0,.002,25,Ron Baker,SG
5.1,1.9,-8.1,9.8,0.0,0.8,1.000,.000,4,45,0.0,-0.1,-8.8,-2.0,1.1,33.3,4.8,.000,Ron Baker,5.7,-0.1,-0.1,-0.120,25,Ron Baker,SG
16.6,1.7,-10.7,14.4,0.1,-1.4,.273,.333,16,94,2.3,-0.4,-9.3,1.3,0.5,27.0,8.5,.396,Wade Baldwin,23.3,-0.2,-0.3,-0.153,22,Wade Baldwin,PG
23.8,1.1,0.5,14.0,1.7,1.5,.500,.105,47,1423,4.0,-0.2,-0.9,11.7,2.3,17.8,9.1,.487,Lonzo Ball,16.9,0.9,1.6,.052,21,Lonzo Ball,PG
7.4,7.0,-0.2,24.0,1.4,3.1,.288,.259,47,766,8.8,0.3,-3.3,14.9,0.8,13.7,16.3,.539,Mohamed Bamba,17.8,0.4,1.7,.106,20,Mohamed Bamba,C
47.5,0.1,-1.1,11.6,0.6,-2.2,.332,.203,38,752,1.9,0.4,1.1,16.3,1.4,14.7,6.8,.495,J.J. Barea,28.1,0.2,1.0,.064,34,J.J. Barea,PG
6.7,0.4,-2.3,12.7,1.6,-1.8,.429,.271,77,2533,2.4,2.0,-0.6,12.8,0.9,7.9,7.5,.550,Harrison Barnes,20.9,-0.2,3.6,.068,26,Harrison Barnes,PF-SF
6.3,0.6,-3.0,11.5,1.1,-2.1,.434,.276,49,1584,2.4,0.8,-0.9,13.1,1.0,7.8,7.0,.538,Harrison Barnes,23.7,-0.4,1.9,.059,26,Harrison Barnes,PF
7.5,0.2,-1.2,14.8,0.5,-1.2,.419,.258,28,949,2.2,1.1,-0.1,12.3,0.8,8.0,8.4,.578,Harrison Barnes,16.3,0.2,1.7,.084,26,Harrison Barnes,SF
14.6,1.6,-2.3,15.3,1.1,-0.5,.426,.161,43,1189,2.9,0.1,-1.8,11.0,0.7,11.7,9.1,.501,Will Barton,20.0,-0.1,1.2,.049,28,Will Barton,SG
4.6,2.4,-3.1,14.4,0.4,0.0,.366,.197,30,503,3.4,0.0,-3.2,9.6,1.7,8.3,8.8,.489,Keita Bates-Diop,14.1,-0.1,0.3,.032,23,Keita Bates-Diop,SF
