name,position,age,Teams,GP,MP,PER,TS %,FG3A PerFGA%,Fta PerFGA%,VORP,Usg Pct,OWS,DWS,WS,WS Per 48,Off. Box +-,Deff. Box +-,Box +-,ORB Pct,DRB Pct,TRB Pct,As. Pct,Stl Pct,Blk Pct,TO Pct
Tariq Abdul-Wahad,SG,28,Tariq Abdul-Wahad,14,204,12.4,.470,.017,.103,0.1,15.0,0.2,0.2,0.4,.104,-1.2,0.7,-0.5,7.6,14.0,10.8,15.4,1.5,1.1,10.3
Shareef Abdur-Rahim,PF,26,Shareef Abdur-Rahim,81,3087,19.9,.566,.051,.457,2.8,24.2,7.4,2.3,9.7,.151,2.1,-0.4,1.7,6.7,17.8,12.5,14.7,1.5,0.9,13.0
Courtney Alexander,PG,25,Courtney Alexander,66,1360,9.3,.459,.113,.289,-1.2,21.3,0.1,1.0,1.1,.040,-3.2,-2.3,-5.5,3.3,6.8,5.0,9.8,1.2,0.3,10.7
Malik Allen,PF,24,Malik Allen,80,2318,9.9,.455,.005,.153,-1.1,19.7,-1.7,2.6,0.9,.018,-4.6,0.6,-3.9,6.5,14.9,10.6,4.4,0.9,2.6,13.2
Ray Allen,SG,27,Ray Allen,76,2880,21.3,.565,.391,.253,4.2,27.8,7.6,1.5,9.1,.152,5.6,-1.8,3.7,3.8,11.8,7.8,21.6,1.9,0.4,11.6
Ray Allen,SG,27,Ray Allen,47,1683,19.9,.564,.387,.243,1.6,27.8,3.8,0.5,4.3,.123,4.5,-2.6,1.9,3.1,12.1,7.6,17.5,1.8,0.5,11.6
Ray Allen,SG,27,Ray Allen,29,1197,23.3,.567,.396,.268,2.5,27.7,3.8,1.0,4.8,.193,7.1,-0.7,6.4,4.7,11.4,8.0,27.3,2.1,0.2,11.5
Rafer Alston,PG,26,Rafer Alston,47,980,14.4,.510,.388,.161,0.1,20.7,0.7,0.5,1.2,.059,0.6,-2.1,-1.5,2.3,10.4,6.2,34.0,2.1,1.1,19.3
John Amaechi,C,32,John Amaechi,50,474,3.1,.351,.000,.441,-0.7,17.0,-1.1,0.4,-0.7,-0.070,-7.0,-0.5,-7.5,6.9,12.5,9.8,6.8,1.6,1.1,19.4
Chris Andersen,C,24,Chris Andersen,59,907,14.0,.440,.004,.491,-0.2,19.9,-0.5,1.7,1.1,.059,-4.8,2.1,-2.7,13.3,22.3,17.6,6.3,1.7,5.3,14.8
