name,position,age,Teams,GP,GS,MP,FG PP,FGA PP,FG %,FG3 PP,FG3A PP,FG3 %,FG2 PP,FG2A PP,FG2 %,FT PP,FTA PP,FT %,ORB PP,DRB PP,TRB PP,APP,SPP,BPP,TO PP,Fouls PP,PPP,Off. Ra
Mahmoud Abdul-Rauf,PG,27,Mahmoud Abdul-Rauf,75,51,2131,10.2,22.9,.445,2.3,6.1,.382,7.8,16.8,.468,2.8,3.4,.846,0.4,2.6,3.0,4.7,1.4,0.1,2.9,4.3,25.5,105
Shareef Abdur-Rahim,PF,20,Shareef Abdur-Rahim,80,71,2802,10.7,23.5,.453,0.1,0.5,.259,10.5,23.0,.457,7.5,10.1,.746,4.2,6.6,10.7,3.4,1.5,1.5,4.4,3.9,28.9,102
Rafael Addison,SF,32,Rafael Addison,41,3,355,7.5,18.6,.402,1.2,3.1,.400,6.3,15.6,.402,3.4,4.3,.786,2.9,4.0,6.9,5.2,1.2,0.5,2.6,7.9,19.5,103
Cory Alexander,PG,23,Cory Alexander,80,6,1454,7.3,18.5,.396,3.6,9.5,.373,3.8,9.0,.420,3.6,4.9,.736,1.1,3.6,4.7,9.6,3.1,0.6,5.5,5.6,21.8,101
Jerome Allen,SG,24,Jerome Allen,76,1,943,4.4,12.5,.353,1.7,5.3,.323,2.7,7.2,.375,2.4,4.1,.583,1.4,4.1,5.5,8.6,1.8,0.2,3.9,4.8,12.9,95
Jerome Allen,SG,24,Jerome Allen,51,1,692,4.4,11.5,.388,1.8,4.6,.390,2.7,6.9,.386,2.1,3.7,.574,1.0,4.1,5.1,8.5,2.1,0.0,4.4,5.2,12.8,95
Jerome Allen,SG,24,Jerome Allen,25,0,251,4.3,15.3,.284,1.4,7.0,.206,2.9,8.3,.350,3.1,5.2,.600,2.5,4.3,6.8,8.9,0.8,0.8,2.7,3.5,13.2,94
Ray Allen,SG,21,Ray Allen,82,81,2532,8.3,19.2,.430,2.5,6.3,.393,5.8,12.9,.448,4.3,5.3,.823,2.1,4.8,6.9,4.4,1.6,0.2,3.2,4.6,23.3,109
Derrick Alston,C,24,Derrick Alston,2,0,11,0.0,25.1,.000,0.0,0.0,,0.0,25.1,.000,0.0,10.1,.000,15.1,5.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,35
Ashraf Amaya,PF,25,Ashraf Amaya,31,0,144,4.3,14.4,.300,0.4,0.4,1.000,4.0,14.1,.282,5.4,10.1,.536,6.9,11.9,18.8,1.1,2.5,1.1,3.6,10.5,14.4,86
Greg Anderson,C,32,Greg Anderson,82,48,1659,4.3,8.7,.496,0.0,0.0,.000,4.3,8.6,.498,2.1,3.1,.667,5.2,9.6,14.8,1.1,2.1,2.2,2.4,7.5,10.7,105
Kenny Anderson,PG,26,Kenny Anderson,82,81,3081,8.3,19.5,.427,2.3,6.3,.361,6.0,13.2,.458,5.7,7.5,.768,1.6,4.7,6.2,10.0,2.8,0.3,3.3,3.8,24.6,117
Nick Anderson,SG,29,Nick Anderson,63,61,2163,7.2,18.2,.397,3.6,10.2,.353,3.6,8.0,.453,1.0,2.4,.404,1.7,6.0,7.6,4.6,3.0,0.8,2.2,4.0,19.0,104
Shandon Anderson,SG,23,Shandon Anderson,65,0,1066,7.4,15.9,.462,1.2,2.4,.511,6.2,13.6,.454,3.4,5.0,.687,2.6,6.4,9.0,2.5,1.4,0.4,3.7,5.7,19.3,99
Willie Anderson,SG,30,Willie Anderson,28,1,303,5.2,11.5,.453,1.4,3.4,.421,3.8,8.1,.467,3.1,3.6,.850,2.7,4.8,7.5,6.1,2.5,0.7,3.4,6.5,14.9,111
Greg Anthony,PG,29,Greg Anthony,65,44,1863,5.8,14.8,.393,2.6,6.9,.370,3.2,7.8,.413,3.8,5.2,.730,0.7,4.6,5.4,11.9,3.8,0.1,3.8,3.6,17.9,108
B.J. Armstrong,PG,29,B.J. Armstrong,49,17,1020,7.6,16.7,.453,1.3,4.6,.278,6.3,12.1,.519,3.5,4.0,.861,0.4,3.4,3.8,6.5,1.3,0.1,2.7,2.9,19.9,110
Darrell Armstrong,PG,28,Darrell Armstrong,67,0,1010,7.1,18.6,.383,3.0,9.7,.304,4.1,8.8,.470,4.9,5.7,.868,1.9,2.2,4.1,9.4,3.3,0.5,5.3,6.1,22.1,103
Vincent Askew,SG,30,Vincent Askew,43,0,838,5.2,12.0,.435,0.5,1.5,.292,4.8,10.4,.457,4.5,5.7,.795,1.6,4.7,6.3,5.8,1.1,0.4,3.0,7.9,15.4,107
Vincent Askew,SG,30,Vincent Askew,1,0,7,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0,
Vincent Askew,SG,30,Vincent Askew,41,0,822,5.2,12.0,.432,0.5,1.6,.292,4.7,10.4,.453,4.5,5.6,.791,1.6,4.8,6.4,5.9,1.1,0.4,2.8,8.0,15.3,109
Vincent Askew,SG,30,Vincent Askew,1,0,9,11.5,17.3,.667,0.0,0.0,,11.5,17.3,.667,11.5,11.5,1.000,0.0,0.0,0.0,0.0,0.0,0.0,23.1,0.0,34.6,66
Keith Askins,SF,29,Keith Askins,78,30,1773,4.2,9.8,.433,2.1,5.3,.401,2.1,4.5,.469,1.2,1.8,.672,2.6,5.7,8.3,2.3,1.6,0.6,1.8,6.0,11.8,111
Stacey Augmon,SG,28,Stacey Augmon,60,10,942,6.0,12.6,.477,0.0,0.0,,6.0,12.6,.477,4.0,5.6,.711,2.7,5.2,7.9,3.2,2.4,1.0,3.7,5.0,16.0,100
Stacey Augmon,SG,28,Stacey Augmon,20,3,292,6.0,15.0,.403,0.0,0.0,,6.0,15.0,.403,5.4,8.0,.683,2.7,6.8,9.5,2.9,1.9,1.9,5.3,5.6,17.5,87
Stacey Augmon,SG,28,Stacey Augmon,40,7,650,6.0,11.6,.517,0.0,0.0,,6.0,11.6,.517,3.3,4.5,.732,2.7,4.5,7.2,3.3,2.6,0.6,3.0,4.7,15.3,108
Isaac Austin,C,27,Isaac Austin,82,17,1881,9.3,18.5,.502,0.0,0.1,.000,9.3,18.4,.505,4.3,6.5,.664,3.9,9.9,13.8,2.9,1.3,1.2,4.7,7.1,22.9,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vin Baker,PF,25,Vin Baker,78,78,3159,10.7,21.2,.505,0.3,0.9,.278,10.5,20.3,.515,6.1,8.8,.687,4.5,9.1,13.6,3.6,1.4,1.9,4.2,4.7,27.8,108
Charles Barkley,PF,33,Charles Barkley,53,53,2009,8.7,18.0,.484,1.5,5.3,.283,7.2,12.7,.569,7.5,10.8,.694,5.5,13.1,18.7,6.5,1.8,0.7,3.9,4.0,26.5,117
Dana Barros,PG,29,Dana Barros,24,8,708,7.8,17.9,.435,3.0,7.4,.410,4.7,10.5,.453,2.6,3.0,.860,0.4,3.0,3.4,5.7,1.8,0.4,2.8,2.4,21.2,109
