name,position,age,Teams,GP,MP,PER,TS %,FG3A PerFGA%,Fta PerFGA%,VORP,Usg Pct,OWS,DWS,WS,WS Per 48,Off. Box +-,Deff. Box +-,Box +-,ORB Pct,DRB Pct,TRB Pct,As. Pct,Stl Pct,Blk Pct,TO Pct
Quincy Acy,SF,23,Quincy Acy,63,847,10.1,.520,.106,.376,0.2,10.1,0.6,0.9,1.5,.086,-2.5,1.4,-1.1,9.5,19.5,14.4,4.9,1.4,2.5,15.4
Quincy Acy,SF,23,Quincy Acy,7,61,17.2,.542,.357,.571,0.1,14.5,0.1,0.1,0.2,.188,0.5,3.7,4.1,9.5,19.2,14.3,10.1,3.4,3.9,10.2
Quincy Acy,SF,23,Quincy Acy,56,786,9.6,.518,.079,.354,0.1,9.8,0.5,0.7,1.3,.078,-2.8,1.2,-1.5,9.5,19.5,14.4,4.4,1.2,2.4,16.0
Steven Adams,C,20,Steven Adams,81,1197,11.2,.541,.000,.735,0.7,11.7,0.9,1.9,2.9,.114,-2.1,2.4,0.3,14.1,17.1,15.6,4.9,1.7,3.9,22.5
Jeff Adrien,PF,27,Jeff Adrien,53,961,17.4,.553,.000,.433,0.2,17.3,1.6,1.1,2.7,.134,-1.4,0.3,-1.1,11.8,24.8,18.2,6.8,1.3,3.0,10.6
Jeff Adrien,PF,27,Jeff Adrien,25,256,14.9,.559,.000,.625,0.2,10.6,0.4,0.5,0.9,.170,-2.5,2.9,0.4,14.5,24.4,19.4,4.1,1.4,4.6,13.6
Jeff Adrien,PF,27,Jeff Adrien,28,705,18.4,.552,.000,.400,0.1,19.7,1.2,0.6,1.8,.121,-0.9,-0.7,-1.6,10.9,25.0,17.7,7.7,1.3,2.4,10.1
Arron Afflalo,SG,28,Arron Afflalo,73,2552,16.0,.574,.297,.332,0.9,23.3,4.3,1.0,5.3,.099,1.7,-2.3,-0.6,1.4,10.2,5.8,16.9,0.7,0.1,11.2
Alexis Ajinça,C,25,Alexis Ajinça,56,951,14.6,.589,.004,.269,0.3,16.3,1.2,0.9,2.1,.104,-1.5,0.8,-0.7,11.3,22.7,16.9,6.6,1.3,4.1,18.4
Cole Aldrich,C,25,Cole Aldrich,46,330,19.1,.620,.000,.492,0.3,13.0,0.6,0.6,1.2,.178,-2.6,3.8,1.2,12.8,33.8,23.0,6.4,1.3,8.1,19.5
LaMarcus Aldridge,PF,28,LaMarcus Aldridge,69,2498,21.8,.507,.011,.253,1.5,29.8,4.0,3.5,7.5,.144,-0.4,0.7,0.3,7.2,25.5,16.5,13.0,1.3,1.9,7.2
Lavoy Allen,PF,24,Lavoy Allen,65,1072,12.5,.470,.043,.167,-0.2,14.6,0.6,0.9,1.5,.066,-3.1,0.3,-2.8,11.7,20.0,15.7,10.1,1.1,2.4,12.0
Lavoy Allen,PF,24,Lavoy Allen,51,960,11.9,.464,.049,.150,-0.3,14.3,0.4,0.7,1.1,.053,-3.3,0.1,-3.2,11.5,20.0,15.6,10.2,1.1,2.2,12.4
Lavoy Allen,PF,24,Lavoy Allen,14,112,17.5,.521,.000,.294,0.1,17.3,0.2,0.2,0.4,.180,-1.7,2.2,0.4,13.7,20.1,17.1,9.0,0.9,4.1,9.4
Ray Allen,SG,38,Ray Allen,73,1936,12.8,.590,.569,.214,1.0,16.8,2.5,1.5,4.1,.101,1.3,-1.2,0.1,1.6,11.4,6.7,11.1,1.5,0.4,12.4
Tony Allen,SG,32,Tony Allen,55,1278,15.6,.531,.114,.293,1.4,20.1,0.5,2.1,2.7,.100,-0.1,2.4,2.3,7.3,12.0,9.6,11.7,3.8,1.2,16.2
Al-Farouq Aminu,SF,23,Al-Farouq Aminu,80,2045,13.2,.516,.097,.277,0.9,14.3,1.3,1.8,3.1,.072,-1.4,1.0,-0.3,7.2,21.2,14.1,8.4,2.1,1.6,13.7
Lou Amundson,PF,31,Lou Amundson,19,185,9.1,.446,.000,.750,0.0,13.9,-0.1,0.2,0.1,.024,-3.4,2.1,-1.3,17.3,17.2,17.3,4.7,2.5,5.0,24.8
Lou Amundson,PF,31,Lou Amundson,18,184,9.2,.446,.000,.750,0.0,14.0,-0.1,0.2,0.1,.024,-3.4,2.1,-1.3,17.4,17.3,17.4,4.7,2.5,5.0,24.8
Lou Amundson,PF,31,Lou Amundson,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,.029,-7.3,1.0,-6.3,0.0,0.0,0.0,0.0,0.0,0.0,
Chris Andersen,C,35,Chris Andersen,72,1396,18.5,.683,.044,.615,1.3,13.8,3.8,2.2,6.0,.205,0.1,1.5,1.6,12.1,21.7,17.1,2.1,1.2,6.1,13.2
Alan Anderson,SF,31,Alan Anderson,78,1773,9.5,.525,.511,.243,-0.1,15.9,0.8,0.9,1.7,.047,-0.8,-1.4,-2.2,2.7,9.1,5.9,7.3,1.4,0.5,10.4
James Anderson,SG,24,James Anderson,80,2309,10.9,.530,.490,.148,-0.3,15.9,0.9,0.9,1.9,.039,-1.2,-1.3,-2.5,2.7,11.7,7.0,9.9,1.6,1.0,12.2
Ryan Anderson,PF,25,Ryan Anderson,22,795,18.8,.572,.463,.175,0.4,22.9,2.2,0.1,2.3,.138,4.3,-4.5,-0.1,9.5,11.3,10.4,3.6,0.7,0.7,5.0
Giannis Antetokounmpo,SF,19,Giannis Antetokounmpo,77,1897,10.8,.518,.282,.483,0.1,15.0,0.1,1.1,1.2,.031,-2.5,0.7,-1.8,4.6,16.3,10.2,12.1,1.7,2.6,19.4
Carmelo Anthony,PF,29,Carmelo Anthony,77,2982,24.4,.561,.253,.329,4.2,32.4,8.1,2.5,10.7,.172,4.6,-1.0,3.6,5.6,19.4,12.3,15.8,1.7,1.5,9.5
Joel Anthony,C,31,Joel Anthony,33,186,8.1,.394,.000,.250,-0.1,9.3,0.0,0.2,0.2,.044,-5.7,1.0,-4.7,9.1,14.6,11.8,1.6,0.8,5.2,7.8
Joel Anthony,C,31,Joel Anthony,12,37,8.0,.436,.000,.333,0.0,10.2,0.0,0.0,0.0,.049,-7.3,0.8,-6.6,7.1,16.4,11.9,0.0,0.0,9.4,12.7
Joel Anthony,C,31,Joel Anthony,21,149,8.1,.384,.000,.231,-0.1,9.1,0.0,0.1,0.1,.043,-5.3,1.1,-4.2,9.6,14.1,11.8,1.9,1.0,4.1,6.5
Pero Antić,C,31,Pero Antić,50,925,11.7,.545,.582,.224,0.1,18.6,0.5,0.9,1.4,.075,-0.5,-0.9,-1.4,7.2,18.9,13.1,9.8,1.0,1.0,14.5
,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Ariza,SF,28,Trevor Ariza,77,2723,15.8,.590,.518,.226,3.6,17.8,4.3,3.7,8.0,.141,2.3,1.1,3.4,4.1,16.3,10.1,10.8,2.4,0.6,12.3
Hilton Armstrong,C,29,Hilton Armstrong,15,97,17.0,.480,.000,.842,0.1,14.5,0.1,0.2,0.3,.162,-2.5,3.1,0.6,21.8,31.0,26.5,7.1,2.1,3.1,18.7
Darrell Arthur,SF,25,Darrell Arthur,68,1161,9.4,.459,.156,.151,-0.2,18.1,-0.5,1.2,0.7,.029,-3.8,1.0,-2.8,4.8,14.7,9.8,8.0,1.6,3.0,11.7
Ömer Aşık,C,27,Ömer Aşık,48,968,14.0,.570,.000,.663,-0.1,13.8,1.0,1.5,2.4,.121,-3.1,0.7,-2.4,12.3,30.1,21.7,3.8,0.7,2.8,19.4
D.J. Augustin,PG,26,D.J. Augustin,71,1939,16.2,.569,.462,.316,1.2,22.4,3.8,2.4,6.2,.154,2.6,-2.2,0.4,0.9,6.7,3.8,28.9,1.5,0.1,13.3
