name,position,age,Teams,GP,GS,MP,FG PP,FGA PP,FG %,FG3 PP,FG3A PP,FG3 %,FG2 PP,FG2A PP,FG2 %,FT PP,FTA PP,FT %,ORB PP,DRB PP,TRB PP,APP,SPP,BPP,TO PP,Fouls PP,PPP,Off. Ra
Jeff Adrien,PF,24,Jeff Adrien,23,0,196,5.9,13.9,.426,0.0,0.0,,5.9,13.9,.426,2.8,4.9,.579,5.9,9.0,15.0,2.6,1.0,1.3,2.3,7.2,14.7,102
Arron Afflalo,SG,25,Arron Afflalo,69,69,2324,6.7,13.5,.498,2.3,5.4,.423,4.5,8.2,.546,3.0,3.5,.847,1.0,4.5,5.4,3.6,0.7,0.7,1.5,3.3,18.7,123
Maurice Ager,SG,26,Maurice Ager,4,0,29,10.3,18.9,.545,5.1,6.9,.750,5.1,12.0,.429,0.0,0.0,,0.0,3.4,3.4,1.7,1.7,0.0,6.9,6.9,25.7,94
Alexis Ajinça,C,22,Alexis Ajinça,34,2,340,9.0,20.3,.444,1.8,5.2,.353,7.2,15.1,.475,2.0,2.7,.722,2.6,9.3,11.9,1.5,1.7,2.9,2.7,11.1,21.8,98
Alexis Ajinça,C,22,Alexis Ajinça,10,2,75,8.4,22.4,.375,2.1,4.9,.429,6.3,17.5,.360,1.4,2.1,.667,3.5,8.4,11.9,1.4,2.1,3.5,0.7,9.1,20.3,97
Alexis Ajinça,C,22,Alexis Ajinça,24,0,265,9.2,19.7,.465,1.8,5.3,.333,7.4,14.4,.514,2.1,2.9,.733,2.3,9.6,11.9,1.6,1.6,2.7,3.3,11.7,22.2,99
Solomon Alabi,C,22,Solomon Alabi,12,0,59,2.6,13.1,.200,0.0,0.0,,2.6,13.1,.200,0.0,1.8,.000,6.1,6.1,12.3,1.8,1.8,1.8,2.6,4.4,5.3,61
Cole Aldrich,C,22,Cole Aldrich,18,0,142,2.9,5.5,.533,0.0,0.0,,2.9,5.5,.533,0.7,1.5,.500,4.7,8.0,12.8,1.5,1.8,2.6,2.9,10.9,6.6,98
LaMarcus Aldridge,PF,25,LaMarcus Aldridge,81,81,3211,12.0,24.1,.500,0.1,0.4,.174,12.0,23.7,.505,6.0,7.5,.791,4.7,7.3,12.1,2.9,1.4,1.6,2.6,3.7,30.1,114
Malik Allen,PF,32,Malik Allen,18,0,178,3.3,9.2,.355,0.0,0.0,,3.3,9.2,.355,0.3,0.6,.500,3.5,5.9,9.5,1.2,0.3,1.2,0.9,8.9,6.8,92
Ray Allen,SG,35,Ray Allen,80,80,2890,8.8,18.0,.491,3.1,6.9,.444,5.7,11.0,.520,3.5,4.0,.881,0.9,4.1,5.0,4.0,1.4,0.3,2.2,2.7,24.3,116
Tony Allen,SG,29,Tony Allen,72,31,1494,8.8,17.2,.510,0.1,0.8,.174,8.6,16.4,.527,4.8,6.4,.753,2.4,4.3,6.7,3.6,4.5,1.5,3.0,5.6,22.5,110
Al-Farouq Aminu,SF,20,Al-Farouq Aminu,81,14,1452,5.7,14.5,.394,1.6,5.1,.315,4.1,9.4,.437,3.3,4.2,.773,2.7,6.8,9.5,2.1,2.1,0.9,3.7,4.3,16.3,94
Lou Amundson,PF,28,Lou Amundson,46,7,691,6.1,13.4,.454,0.0,0.0,,6.1,13.4,.454,2.5,6.4,.391,5.9,7.6,13.6,1.2,1.0,2.4,1.8,6.4,14.7,101
Chris Andersen,C,32,Chris Andersen,45,0,732,5.6,9.4,.599,0.0,0.1,.000,5.6,9.3,.603,5.9,9.3,.637,5.1,9.9,15.0,1.4,1.6,4.0,1.7,5.4,17.2,129
David Andersen,PF,30,David Andersen,40,0,373,8.0,17.2,.463,1.1,3.3,.348,6.8,14.0,.490,2.0,3.1,.636,2.8,9.1,12.0,1.9,0.7,1.3,3.1,5.7,19.1,97
David Andersen,PF,30,David Andersen,11,0,150,7.9,16.2,.489,1.0,3.4,.300,6.9,12.8,.541,2.4,2.4,1.000,2.8,9.0,11.7,2.4,1.0,1.0,2.8,3.8,19.3,107
David Andersen,PF,30,David Andersen,29,0,223,8.0,18.0,.446,1.2,3.2,.385,6.8,14.8,.459,1.7,3.6,.467,2.9,9.2,12.1,1.5,0.5,1.5,3.4,7.0,18.9,90
James Anderson,SF,21,James Anderson,26,2,286,5.6,14.7,.383,3.3,8.4,.391,2.4,6.4,.371,2.5,3.3,.778,0.4,3.8,4.2,3.3,0.5,1.1,2.4,4.4,17.1,102
Ryan Anderson,PF,22,Ryan Anderson,64,14,1424,8.3,19.4,.430,5.0,12.6,.393,3.4,6.8,.500,3.5,4.3,.812,4.8,8.3,13.1,1.9,1.1,1.4,1.8,5.1,25.2,122
Carmelo Anthony,SF,26,Carmelo Anthony,77,77,2751,12.5,27.4,.455,1.7,4.6,.378,10.8,22.9,.470,9.3,11.0,.838,2.2,8.1,10.3,4.0,1.2,0.8,3.8,4.1,36.0,109
Carmelo Anthony,SF,26,Carmelo Anthony,50,50,1774,12.4,27.4,.452,1.2,3.6,.333,11.2,23.8,.470,9.7,11.8,.823,2.2,8.6,10.8,4.0,1.2,0.9,4.0,3.8,35.6,107
