name,Teams,age,Restricted FGM,Restricted FGA,Restricted FG%,Paint FGM,Paint FGA,Paint FG%,Mid FGM,Mid FGA,Mid FG%,Left Corner FGM,Left Corner FGA,Left Corner FG%,Right Corner FGM,Right Corner FGA,Right Corner FG%,Above Break FGM,Above Break FGA,Above Break FG%
Damion Lee,SCW,26,2.5,3.8,67.0,1.0,2.4,43.1,1.4,3.5,39.8,0.5,1.2,42.9,0.3,0.7,35.3,1.3,3.3,39.7
Daniel Dixon,NAS,25,1.3,2.2,58.7,0.4,1.1,34.4,0.4,1.1,40.6,0.3,0.8,31.8,0.2,0.5,46.2,0.8,2.9,28.6
Daniel Hamilton,RGV,23,3.2,5.8,55.2,1.8,3.4,52.9,0.2,0.4,50.0,0.6,1.0,60.0,0.2,0.6,33.3,0.4,2.6,15.4
Daniel Ochefu,STO,25,3.8,5.4,71.3,1.9,3.8,49.0,0.3,0.6,40.0,0.0,0.1,50.0,0.0,0.1,25.0,0.0,0.1,0.0
Danuel House Jr.,RGV,26,3.4,5.7,59.2,0.3,0.9,29.4,0.2,0.5,44.4,0.2,0.6,36.4,0.3,1.0,33.3,2.3,7.1,32.3
Darel Poirier,CAP,22,2.0,3.3,61.5,1.1,2.1,50.6,0.2,0.8,26.7,0.0,0.1,0.0,0.0,0.2,0.0,0.4,1.0,40.0
Darius Johnson-Odom,IWA,29,4.6,6.4,71.8,0.6,1.9,31.4,0.7,2.0,36.7,0.0,0.3,18.2,0.2,0.5,40.9,1.7,4.8,35.2
Darius Morris,SCW,28,2.2,3.9,55.2,1.1,2.9,37.8,0.9,2.0,43.3,0.2,0.5,38.9,0.1,0.3,22.2,1.3,4.4,28.9
Daryl Macon,TEX,23,2.2,3.3,66.2,0.7,2.3,31.3,1.8,4.4,40.6,0.2,0.3,50.0,0.1,0.2,25.0,1.4,4.3,32.6
Davon Reed,FWN,24,1.9,3.4,56.9,0.6,1.5,36.5,0.9,2.6,33.7,0.1,0.4,23.1,0.1,0.1,66.7,1.6,4.9,32.9
Daxter Miles Jr.,NAS,24,1.9,2.9,64.6,0.3,0.8,42.1,0.3,0.9,29.5,0.1,0.3,31.3,0.2,0.4,40.0,1.1,4.1,27.6
De'Anthony Melton,NAS,21,2.0,3.7,54.5,1.5,2.7,56.3,1.5,3.5,42.9,0.2,0.2,100,0.0,0.2,0.0,1.8,7.2,25.6
DeAndre Daniels,TEX,27,1.8,2.9,60.9,0.3,0.5,50.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.3,1.6,15.4
DeAndre Liggins,SXF,31,0.7,1.2,58.6,0.1,0.7,17.6,0.7,1.3,56.3,0.1,0.4,20.0,0.2,0.7,23.5,1.9,4.6,42.1
DeJuan Blair,AUS,30,2.3,3.9,59.6,0.7,1.8,35.7,0.3,0.9,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeVaughn Akoon-Purcell,DEL,26,2.0,6.5,30.8,0.5,1.0,50.0,1.0,2.5,40.0,0.5,0.5,100,0.0,0.0,0.0,3.0,5.5,54.5
Demarcus Holland,ACC,25,1.4,2.5,55.3,0.6,1.3,41.2,0.4,1.0,36.8,0.2,0.4,40.0,0.3,0.6,50.0,0.2,0.9,17.6
Demetre Rivers,MNE,23,0.5,0.5,100,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0
Demetri McCamey,AUS,30,0.6,1.2,55.2,0.1,0.4,30.0,0.7,1.4,50.0,0.1,0.1,66.7,0.0,0.0,0.0,0.5,2.0,26.0
Demetrius Denzel-Dyson,FWN,24,0.6,1.2,47.1,0.1,0.5,21.1,0.3,0.8,38.2,0.4,0.9,45.5,0.3,0.6,52.2,0.7,1.9,36.6
Demetrius Jackson,DEL,24,4.5,7.1,63.2,0.6,1.9,33.3,0.0,0.5,0.0,0.1,0.6,20.0,0.1,1.0,12.5,1.6,4.5,36.1
Deng Adel,CTN,22,2.4,4.1,58.6,0.5,1.5,29.8,0.8,2.1,40.8,0.1,0.4,35.7,0.1,0.3,30.0,0.9,2.8,32.0
Deonte Burton,OKL,25,3.6,5.6,64.2,0.8,2.2,34.6,0.3,1.2,27.6,0.2,0.4,44.4,0.1,0.2,60.0,1.0,3.7,28.1
Deonte Burton,SLC,27,0.8,1.5,52.4,0.4,1.3,27.3,0.3,0.8,35.3,0.0,0.1,33.3,0.0,0.1,50.0,0.6,1.9,31.6
Derek Cooke Jr.,RAP,27,3.3,5.9,56.2,0.2,1.0,25.6,0.0,0.2,18.2,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Griffin,SBL,25,2.0,3.2,64.6,0.4,0.8,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Desi Rodriguez,ACC,23,2.2,3.6,62.3,0.7,1.9,35.2,0.3,0.9,31.8,0.3,0.6,44.4,0.2,0.6,32.1,0.4,2.0,21.6
Devin Davis,LAK,24,1.6,2.4,68.0,0.4,1.2,35.3,0.2,0.5,45.5,0.0,0.1,50.0,0.1,0.1,66.7,0.3,1.0,29.3
Devin Robinson,CAP,24,4.4,5.3,82.1,1.6,3.4,48.0,0.6,1.7,36.8,0.0,0.1,0.0,0.3,0.7,50.0,0.8,2.9,27.0
Devin Sweetney,CAP,31,0.6,1.2,47.4,0.3,0.7,36.4,0.1,0.1,100,0.0,0.3,0.0,0.1,0.1,100,0.5,1.7,30.8
Devon Baulkman,WES,27,0.8,1.6,51.6,0.2,0.6,30.4,0.8,1.9,41.3,0.3,0.9,30.6,0.1,0.6,26.3,0.7,1.7,40.9
Devon Bookert,AUS,26,0.2,0.3,50.0,0.3,0.6,42.9,0.3,0.7,50.0,0.0,0.1,0.0,0.1,0.2,50.0,0.6,1.7,35.0
Devon Hall,OKL,23,0.4,1.5,26.7,0.0,0.5,0.0,0.2,0.2,100,0.4,0.8,57.1,0.1,0.4,25.0,1.4,3.4,41.2
Devonte' Graham,GBO,24,2.0,3.5,56.5,0.8,2.1,37.0,1.5,2.8,51.4,0.2,0.6,37.5,0.2,0.3,50.0,3.4,8.9,37.9
Deyonta Davis,SCW,22,3.0,3.9,75.7,0.5,1.2,42.0,1.2,2.7,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dez Wells,OKL,27,3.0,5.0,59.8,1.0,2.4,39.2,0.3,0.8,32.3,0.2,0.7,34.6,0.1,0.4,21.4,0.3,0.8,38.7
Diamond Stone,RGV,22,2.7,3.9,67.7,0.6,1.4,44.4,0.4,0.8,42.3,0.0,0.0,0.0,0.0,0.1,0.0,0.5,1.6,31.5
Dikembe Dixson,CAP,22,0.7,1.0,66.7,0.2,0.4,40.0,0.2,0.6,28.6,0.1,0.6,20.0,0.5,0.5,100,0.4,0.7,50.0
Donte DiVincenzo,WIS,22,2.8,4.3,64.7,0.3,0.5,50.0,0.8,1.5,50.0,0.0,0.3,0.0,0.0,0.5,0.0,1.8,5.8,30.4
Donte Grantham,OKL,24,1.4,2.4,57.7,0.3,1.0,29.4,0.1,0.5,16.7,0.1,0.4,14.3,0.2,0.4,41.7,1.8,4.8,38.9
Donte Ingram,TEX,22,0.5,0.6,74.1,0.1,0.4,33.3,0.2,0.6,30.4,0.2,0.7,23.1,0.1,0.3,40.0,0.4,1.3,30.4
Doral Moore,MHU,22,3.4,4.8,72.3,0.4,1.1,33.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Eubanks,AUS,22,4.0,5.2,77.0,1.9,3.4,56.4,0.8,1.7,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Gordon,LIN,28,2.3,3.7,61.5,0.5,1.3,40.9,0.0,0.1,25.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.7,20.0
Duane Notice,RAP,24,1.7,3.2,52.0,0.2,1.0,20.8,0.1,0.3,50.0,0.3,0.6,48.1,0.2,0.7,35.5,1.0,2.8,37.4
Duje Dukan,CAP,27,1.1,1.7,62.3,0.5,1.2,41.7,0.4,0.7,54.5,0.1,0.2,33.3,0.1,0.1,66.7,0.8,2.3,33.3
Duke Mondy,SXF,28,0.1,0.6,25.0,0.4,1.4,25.0,0.9,1.7,50.0,0.2,0.5,42.9,0.5,1.1,50.0,0.6,2.1,30.0
Duncan Robinson,SXF,25,1.8,2.4,73.8,0.4,1.1,40.0,0.4,1.1,40.0,0.3,0.6,50.0,0.6,1.1,58.3,3.8,8.1,47.2
Dusty Hannahs,MHU,25,1.6,2.7,59.1,1.2,2.7,44.3,0.7,1.3,51.5,0.2,0.6,42.9,0.3,0.6,42.3,1.3,3.1,40.9
Dwayne Bacon,GBO,23,4.4,7.5,58.6,1.4,3.7,38.1,0.9,2.8,33.3,0.1,0.4,28.6,0.1,0.4,28.6,1.3,5.4,23.9
Dzanan Musa,LIN,20,3.3,5.4,60.3,1.2,3.1,37.8,0.1,0.5,11.1,0.0,0.3,10.0,0.2,0.4,57.1,2.0,5.7,35.6
Edmond Sumner,FWN,23,4.5,6.9,64.4,1.0,3.1,31.3,0.6,1.5,42.1,0.1,0.4,30.0,0.2,0.5,30.8,1.8,4.9,36.7
Elie Okobo,NAS,21,1.6,2.6,60.9,1.0,1.9,52.9,0.9,2.1,42.1,0.1,0.1,100,0.2,0.4,50.0,2.4,8.8,27.8
Elijah Brown,GRD,24,0.5,0.9,55.6,0.1,0.7,14.3,0.9,1.4,64.3,0.1,0.4,33.3,0.1,0.4,25.0,0.3,2.0,15.0
Elijah Stewart,STO,23,0.6,0.8,72.7,0.1,0.6,23.5,0.1,0.3,30.0,0.2,0.5,40.0,0.0,0.3,0.0,0.4,1.5,27.7
Emanuel Terry,SXF,22,3.8,5.7,65.9,0.7,2.0,35.9,0.1,0.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Stuteville,NAS,24,2.0,2.9,68.5,0.5,1.4,33.3,0.2,0.4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evan Smotrycz,IWA,27,0.2,0.4,53.8,0.1,0.3,33.3,0.2,0.7,28.6,0.1,0.4,33.3,0.2,0.5,44.4,0.5,1.4,35.7
Evan Taylor,ACC,23,0.6,1.3,46.2,0.1,0.4,25.0,0.0,0.3,0.0,0.2,0.8,22.2,0.5,0.7,62.5,0.3,0.8,31.3
Ferrakohn Hall,WCB,28,1.6,2.7,59.7,0.2,0.7,32.4,0.4,1.1,32.1,0.1,0.2,60.0,0.3,0.5,50.0,0.5,1.5,35.2
Frank Jackson,TEX,21,6.0,9.0,66.7,1.5,3.5,42.9,1.0,1.3,80.0,0.0,0.0,0.0,0.3,0.5,50.0,1.5,6.0,25.0
Gabe Vincent,STO,23,0.5,1.0,44.0,0.5,1.2,44.8,1.0,2.2,47.2,0.3,0.7,38.5,0.1,0.4,28.6,1.0,3.4,28.0
Gabe York,LAK,25,1.6,2.5,64.7,0.7,1.7,39.7,0.5,1.3,35.8,0.3,0.8,37.5,0.2,0.3,54.5,2.6,7.1,36.2
Gary Clark,RGV,24,1.4,1.6,90.9,0.4,1.3,33.3,0.1,0.1,100,0.4,0.7,60.0,0.3,0.7,40.0,1.4,5.9,24.4
Gary Payton II,RGV,26,5.2,8.4,62.4,0.7,2.3,29.2,0.2,0.5,40.0,0.1,0.2,60.0,0.0,0.3,14.3,0.9,3.5,24.7
Gary Talton,SXF,29,0.0,1.0,0.0,0.5,2.0,25.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,50.0
Gary Trent Jr.,TEX,20,3.7,6.3,57.9,1.7,3.0,55.6,1.2,3.5,33.3,0.8,1.0,83.3,0.2,0.5,33.3,4.0,8.5,47.1
George King,NAS,25,2.0,3.2,63.8,0.8,2.0,41.0,0.4,1.1,33.3,0.6,0.9,64.7,0.6,1.0,55.3,1.1,3.3,34.3
Georges Niang,SLC,26,3.0,4.3,69.2,2.0,4.0,50.0,0.7,1.7,40.0,1.3,1.3,100,0.0,1.0,0.0,1.7,5.3,31.3
Gerard Tarin,SXF,22,0.7,1.2,57.1,0.4,0.7,56.3,0.0,0.0,0.0,0.1,0.1,50.0,0.2,0.4,40.0,0.1,0.2,40.0
Grayson Allen,SLC,23,1.7,2.1,80.0,0.5,1.5,33.3,0.3,0.8,33.3,0.3,1.3,26.7,0.3,0.4,60.0,2.3,5.3,42.2
Guerschon Yabusele,MNE,23,5.0,6.0,83.3,0.0,1.0,0.0,0.0,1.0,0.0,-,-,-,0.0,2.0,0.0,1.0,4.0,25.0
Gyorgy Goloman,WES,23,0.7,1.1,58.9,0.2,0.6,28.1,0.2,0.3,57.1,0.1,0.1,60.0,0.0,0.0,0.0,0.5,1.6,34.2
Hakim Warrick,IWA,36,2.8,3.7,74.8,0.8,1.7,46.6,0.6,1.4,41.7,0.0,0.0,100,0.1,0.2,66.7,0.0,0.0,0.0
Hamidou Diallo,OKL,20,5.0,7.8,63.8,0.5,3.0,16.7,0.5,1.5,33.3,0.7,0.8,80.0,0.0,0.7,0.0,0.5,2.3,21.4
Harry Giles III,STO,21,3.3,4.3,76.5,2.3,6.0,37.5,1.8,3.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.8,72.7
Harry Rafferty,SXF,25,0.5,1.0,50.0,0.0,0.3,0.0,0.3,0.3,100,0.3,0.5,50.0,0.0,0.3,0.0,0.3,2.0,12.5
Haywood Highsmith,DEL,22,2.0,3.3,59.9,0.7,1.7,42.3,0.2,0.8,28.6,0.6,1.0,60.0,0.1,0.7,15.6,0.9,3.1,29.4
Henry Ellenson,GRD,22,2.1,3.4,63.0,0.9,2.3,38.9,0.5,2.1,23.5,0.1,0.9,14.3,0.3,0.9,28.6,1.8,4.4,40.0
Hollis Thompson,NAS,28,2.5,4.0,61.2,1.2,3.2,36.8,1.2,3.0,38.5,0.1,0.4,36.4,0.4,0.6,57.9,1.0,3.4,30.7
Ike Anigbogu,FWN,20,2.9,5.2,54.5,1.0,2.5,37.7,0.7,1.8,39.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ike Nwamu,FWN,26,1.2,1.8,65.3,0.1,0.5,9.5,0.1,0.6,18.2,0.3,0.7,37.0,0.1,0.3,45.5,0.8,3.0,28.4
Isaac Bonga,SBL,19,2.0,3.7,55.3,0.8,2.1,38.5,0.4,1.1,36.4,0.1,0.3,44.4,0.1,0.4,36.4,0.8,2.4,33.3
Isaac Haas,SLC,23,2.6,3.6,72.9,1.3,2.4,53.2,0.1,0.4,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaac Hamilton,CTN,25,0.5,0.7,66.7,0.1,0.5,18.8,0.1,0.6,15.8,0.2,0.3,57.1,0.1,0.6,23.1,0.1,0.6,11.1
Isaac Humphries,ERI,21,3.2,4.9,66.2,0.8,1.8,46.3,0.2,0.6,30.8,0.1,0.3,40.0,0.2,0.4,38.9,0.3,1.0,33.3
Isaiah Armwood,CAP,28,2.3,3.2,72.2,0.6,1.6,39.3,0.3,0.9,31.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0
Isaiah Briscoe,LAK,23,3.0,5.5,54.5,1.0,1.5,66.7,1.0,2.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0
Isaiah Cousins,SLC,25,2.0,3.2,62.4,1.0,2.7,38.1,1.2,3.2,36.6,0.2,0.4,50.0,0.1,0.3,36.4,1.5,3.9,38.8
Isaiah Hartenstein,RGV,21,6.3,8.2,77.1,0.7,1.7,39.5,0.2,0.2,80.0,0.0,0.1,33.3,0.0,0.0,0.0,0.6,2.3,27.1
Isaiah Hicks,WES,24,3.9,5.8,66.9,0.9,2.4,36.9,0.9,2.4,38.5,0.1,0.2,50.0,0.0,0.1,0.0,0.7,2.3,31.1
Isaiah Whitehead,GRD,24,3.4,6.0,57.0,1.8,4.3,41.7,0.6,2.2,25.5,0.2,0.4,36.4,0.2,0.6,33.3,1.0,3.5,28.7
Isaiah Wilkins,GBO,23,0.6,1.1,56.4,0.2,0.5,45.5,0.1,0.3,30.8,0.3,0.6,43.3,0.3,0.7,37.5,0.2,0.7,24.2
Ismael Sanogo,LIN,22,0.5,0.9,55.0,0.1,0.4,22.2,0.0,0.1,0.0,0.1,0.6,22.2,0.1,0.3,20.0,0.3,0.7,35.3
Ismaila Kane,MHU,21,0.2,0.5,46.2,0.0,0.2,20.0,0.0,0.2,25.0,0.1,0.4,16.7,0.1,0.2,50.0,0.0,0.3,14.3
Ivan Rabb,MHU,22,4.7,6.9,68.8,1.1,1.9,61.5,1.7,4.3,40.0,0.0,0.3,0.0,0.0,0.2,0.0,1.4,3.6,40.0
J.J. Avila,ACC,27,1.4,1.9,71.4,0.5,1.0,51.2,0.1,0.3,21.4,0.1,0.2,44.4,0.1,0.3,50.0,0.3,0.9,37.5
J.P. Macura,GBO,24,2.9,5.1,56.9,0.5,1.2,41.7,0.2,0.3,60.0,0.4,1.1,39.4,0.2,0.7,23.8,1.7,4.4,37.9
JaCorey Williams,CTN,25,4.6,6.7,67.7,1.8,4.4,40.5,0.1,0.3,25.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.1,0.0
JaKarr Sampson,WCB,26,5.2,7.6,68.7,1.0,2.4,43.9,1.4,2.8,50.0,0.1,0.3,25.0,0.0,0.2,25.0,0.8,2.7,30.8
Jacob Evans,SCW,22,1.9,3.0,63.5,0.8,2.2,34.8,1.0,2.3,41.7,0.2,0.5,40.0,0.0,0.5,0.0,0.7,1.9,35.0
Jacobi Boykins,RGV,24,0.8,1.5,51.2,0.2,0.3,75.0,0.1,0.2,33.3,0.3,0.8,36.4,0.3,0.8,33.3,1.5,4.0,36.9
Jairus Lyles,SLC,23,1.2,2.1,56.3,1.0,2.8,36.2,0.2,1.5,14.7,0.1,0.3,50.0,0.2,0.2,70.0,1.4,3.7,38.8
Jaleel Cousins,SCW,25,0.5,0.7,73.7,0.0,0.4,0.0,0.1,0.2,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,100
Jalen Jones,CTN,26,1.8,3.8,46.7,0.8,3.8,20.0,0.3,0.3,100,0.0,0.3,0.0,0.0,0.3,0.0,0.8,2.5,30.0
