Bird Rights,Remaining,Teams,Year1,Year2,Year3,Year4,Year5,Year6,name
Cap Space,"$18,089,887",Kent Bazemore,"$18,089,887","$19,269,662",,,,,Kent Bazemore
Cap Space,"$17,868,852",Evan Turner,"$17,868,852","$18,606,557",,,,,Evan Turner
,,,,,,,,,
,,,,,,,,,
Bird Rights,"$36,008,695",Draymond Green,"$17,469,565","$18,539,130",,,,,Draymond Green
Bird Rights,"$36,008,695",Tristan Thompson,"$17,469,565","$18,539,130",,,,,Tristan Thompson
Cap space,"$35,475,000",Tim Hardaway,"$17,325,000","$18,150,000","$18,975,000",,,,Tim Hardaway
Bird Rights,"$35,130,434",Reggie Jackson,"$17,043,478","$18,086,956",,,,,Reggie Jackson
Cap Space,"$34,000,000",Evan Fournier,"$17,000,000","$17,000,000","$17,000,000",,,,Evan Fournier
Cap Space,"$34,000,000",Bismack Biyombo,"$17,000,000","$17,000,000",,,,,Bismack Biyombo
,"$16,000,000",Derrick Favors,"$16,900,000","$16,900,000",,,,,Derrick Favors
1st Round Pick,"$61,539,326",Jonas Valančiūnas,"$16,539,326",,,,,,Jonas Valančiūnas
1st Round Pick,"$74,000,000",Gary Harris,"$16,517,857","$17,839,286","$19,160,714","$20,482,143",,,Gary Harris
Cap Space,"$32,720,000",Timofey Mozgov,"$16,000,000","$5,573,333","$5,573,333","$5,573,334",,,Timofey Mozgov
Bird Rights,"$16,000,000",Andre Iguodala,"$16,000,000","$17,185,185",,,,,Andre Iguodala
Cap Space,"$31,394,205",Ian Mahinmi,"$15,944,154","$15,450,051",,,,,Ian Mahinmi
1st Round Pick,"$46,500,000",Dennis Schröder,"$15,500,000","$15,500,000","$15,500,000",,,,Dennis Schröder
Cap Space,"$15,400,000",DeMarre Carroll,"$15,400,000",,,,,,DeMarre Carroll
,"$87,380,061",Clint Capela,"$15,293,104","$16,456,522","$17,500,000","$18,543,478","$19,586,957",,Clint Capela
1st Round Pick,"$48,687,640",Gorgui Dieng,"$15,170,787","$16,229,213","$17,287,640",,,,Gorgui Dieng
,"$20,200,000",Pau Gasol,"$15,100,000","$5,100,000",,,,,Pau Gasol
Bird Rights,"$85,000,000",Eric Bledsoe,"$15,000,000","$15,625,000","$16,875,000","$18,125,000","$19,375,000",,Eric Bledsoe
Cap Space,"$15,000,000",Trevor Ariza,"$15,000,000",,,,,,Trevor Ariza
1st Round Pick,"$14,975,000",Ricky Rubio,"$14,975,000",,,,,,Ricky Rubio
,,,,,,,,,
,,,,,,,,,
Bird Rights,"$194,800,000",Tobias Harris,"$14,800,000",,,,,,Tobias Harris
Bird Rights,"$19,090,000",J.R. Smith,"$14,720,000","$1,456,667","$1,456,667","$1,456,666",,,J.R. Smith
Cap space,"$30,001,100",James Johnson,"$14,651,700","$15,349,400","$16,047,100",,,,James Johnson
,"$30,275,000",Brandon Knight,"$14,631,250","$15,643,750",,,,,Brandon Knight
Cap Space,"$14,357,750",Robin Lopez,"$14,357,750",,,,,,Robin Lopez
,"$29,324,067",Luol Deng,"$14,354,067","$4,990,000","$4,990,000","$4,990,000",,,Luol Deng
Cap Space,"$29,093,750",Marvin Williams,"$14,087,500","$15,006,250",,,,,Marvin Williams
Cap space,"$14,000,000",Taj Gibson,"$14,000,000",,,,,,Taj Gibson
Bird Rights,"$13,764,045",Thaddeus Young,"$13,764,045",,,,,,Thaddeus Young
,"$13,764,045",Kenneth Faried,"$13,764,045",,,,,,Kenneth Faried
,"$13,585,000",Tyson Chandler,"$13,585,000",,,,,,Tyson Chandler
,"$13,565,218",Marcin Gortat,"$13,565,218",,,,,,Marcin Gortat
1st Round Pick,"$43,415,730",Cody Zeller,"$13,528,090","$14,471,910","$15,415,730",,,,Cody Zeller
Cap Space,"$27,558,105",Eric Gordon,"$13,500,375","$14,057,730",,,,,Eric Gordon
,"$13,071,063",Jeremy Lin,"$13,071,063",,,,,,Jeremy Lin
Bird Rights,"$35,863,638",Joe Ingles,"$13,045,455","$11,954,546","$10,863,637",,,,Joe Ingles
Bird Rights,"$150,103,448",Khris Middleton,"$13,000,000",,,,,,Khris Middleton
1st Round Pick,"$26,000,000",Michael Kidd-Gilchrist,"$13,000,000","$13,000,000",,,,,Michael Kidd-Gilchrist
Cap space,"$26,958,904",Mason Plumlee,"$12,917,808","$14,041,096",,,,,Mason Plumlee
,"$12,800,562",Wilson Chandler,"$12,800,562",,,,,,Wilson Chandler
,,,,,,,,,
,,,,,,,,,
Bird Rights,"$112,750,000",Nikola Vučević,"$12,750,000",,,,,,Nikola Vučević
Cap Space,"$25,937,500",Jordan Clarkson,"$12,500,000","$13,437,500",,,,,Jordan Clarkson
Cap space,"$12,500,000",Nikola Mirotić,"$12,500,000",,,,,,Nikola Mirotić
