name,position,age,Teams,GP,MP,PER,TS %,FG3A PerFGA%,Fta PerFGA%,VORP,Usg Pct,OWS,DWS,WS,WS Per 48,Off. Box +-,Deff. Box +-,Box +-,ORB Pct,DRB Pct,TRB Pct,As. Pct,Stl Pct,Blk Pct,TO Pct
Quincy Acy,PF,25,Quincy Acy,59,876,14.7,.629,.229,.318,0.5,13.1,1.8,0.7,2.5,.137,0.2,0.0,0.2,8.1,15.1,11.6,4.4,1.6,2.2,10.0
Jordan Adams,SG,21,Jordan Adams,2,15,17.3,.427,.167,.833,0.0,30.5,0.0,0.0,0.0,.015,-2.9,4.8,1.9,0.0,15.9,7.6,31.9,10.3,0.0,19.6
Steven Adams,C,22,Steven Adams,80,2014,15.5,.621,.000,.460,2.1,12.6,4.2,2.3,6.5,.155,0.8,1.3,2.1,12.5,16.1,14.4,4.3,1.0,3.3,14.1
Arron Afflalo,SG,30,Arron Afflalo,71,2371,10.9,.531,.298,.164,-0.2,17.9,1.8,0.9,2.7,.055,-0.6,-1.8,-2.4,1.1,11.0,6.1,9.9,0.5,0.3,8.7
Alexis Ajinça,C,27,Alexis Ajinça,59,861,13.8,.514,.003,.197,-0.5,20.4,0.2,0.9,1.0,.058,-4.3,-0.2,-4.5,9.3,25.9,17.3,5.8,1.1,3.4,13.6
Cole Aldrich,C,27,Cole Aldrich,60,800,21.3,.626,.000,.373,1.4,18.4,1.4,2.0,3.5,.209,-1.0,5.8,4.8,11.9,27.1,19.6,10.0,2.9,6.7,19.6
LaMarcus Aldridge,PF,30,LaMarcus Aldridge,74,2261,22.4,.565,.015,.289,2.2,25.9,5.6,4.5,10.1,.215,0.7,1.1,1.8,9.2,22.2,15.9,8.1,0.9,2.8,7.8
Cliff Alexander,PF,20,Cliff Alexander,8,36,11.6,.500,.000,.000,0.0,13.3,0.0,0.0,0.0,.052,-5.7,-1.3,-7.0,6.0,12.1,9.0,0.0,1.4,4.4,9.1
Lavoy Allen,PF,26,Lavoy Allen,79,1599,12.4,.532,.000,.197,0.6,13.0,1.6,2.1,3.7,.110,-2.1,1.4,-0.6,11.1,17.8,14.5,7.1,0.8,2.1,14.6
Tony Allen,SG,34,Tony Allen,64,1620,12.9,.505,.090,.294,0.8,16.8,0.5,1.9,2.4,.072,-1.5,1.4,-0.1,7.0,14.1,10.4,6.9,3.5,1.0,12.8
Al-Farouq Aminu,SF,25,Al-Farouq Aminu,82,2341,12.7,.533,.485,.217,1.3,16.9,1.7,2.3,4.0,.082,-0.4,0.7,0.2,4.5,18.6,11.5,8.8,1.5,1.8,13.2
Lou Amundson,PF,33,Lou Amundson,29,204,6.7,.401,.000,.509,-0.2,17.7,-0.3,0.2,-0.1,-0.014,-5.3,0.4,-5.0,12.5,13.7,13.1,8.8,1.5,2.6,18.8
Chris Andersen,C,37,Chris Andersen,27,402,15.3,.598,.194,.500,0.3,10.8,0.8,0.4,1.3,.149,-0.3,1.1,0.8,9.9,18.2,13.9,4.4,1.9,2.9,9.3
Chris Andersen,C,37,Chris Andersen,7,36,17.6,.553,.500,.400,0.0,17.5,0.1,0.1,0.1,.165,0.4,2.6,3.0,9.8,18.3,14.2,12.2,1.4,6.4,14.5
Chris Andersen,C,37,Chris Andersen,20,366,15.1,.605,.145,.516,0.2,10.2,0.7,0.4,1.1,.148,-0.4,0.9,0.6,9.9,18.2,13.9,3.7,2.0,2.5,8.4
Alan Anderson,SG,33,Alan Anderson,13,192,9.2,.495,.627,.254,0.0,15.4,0.2,0.2,0.3,.078,-1.2,-1.7,-2.8,0.6,15.5,7.9,10.3,1.0,0.4,3.0
James Anderson,SG,26,James Anderson,51,721,6.0,.469,.483,.163,-0.4,13.7,-0.6,0.4,-0.3,-0.017,-3.9,-0.3,-4.2,2.0,10.9,6.5,7.7,1.4,1.6,18.0
Justin Anderson,SF,22,Justin Anderson,55,647,12.3,.522,.474,.314,0.1,15.8,0.3,0.8,1.1,.083,-2.5,1.3,-1.2,3.1,19.3,11.2,6.8,1.5,3.2,10.8
Kyle Anderson,SF,22,Kyle Anderson,78,1245,12.9,.528,.125,.281,1.2,14.4,0.7,2.8,3.5,.133,-1.9,3.7,1.8,2.4,19.4,11.2,13.7,2.5,1.8,15.1
Ryan Anderson,PF,27,Ryan Anderson,66,2008,17.2,.546,.385,.245,0.3,24.7,3.1,0.8,3.9,.092,1.5,-2.9,-1.4,7.0,15.2,10.9,6.1,0.9,1.0,8.0
Giannis Antetokounmpo,PG,21,Giannis Antetokounmpo,80,2823,18.8,.566,.108,.404,3.2,22.3,4.2,2.9,7.1,.121,1.0,1.5,2.4,4.6,20.0,12.4,20.0,1.7,3.4,14.8
Thanasis Antetokounmpo,SF,23,Thanasis Antetokounmpo,2,6,32.9,.750,.250,.000,0.0,30.2,0.0,0.0,0.0,.291,6.3,-10.5,-4.1,0.0,17.9,9.1,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,
Carmelo Anthony,SF,31,Carmelo Anthony,72,2530,20.3,.530,.237,.308,2.9,29.7,3.9,2.5,6.4,.121,2.8,-0.2,2.6,4.3,19.5,12.0,21.9,1.3,1.1,10.6
Joel Anthony,C,33,Joel Anthony,19,96,14.1,.666,.000,.800,0.1,7.0,0.2,0.2,0.4,.177,-2.8,5.0,2.2,8.8,15.4,11.9,1.4,1.1,9.5,12.9
Keith Appling,PG,23,Keith Appling,5,27,-4.8,.338,.375,.250,-0.1,19.5,-0.1,0.0,-0.1,-0.199,-10.3,-2.7,-13.0,0.0,4.2,2.1,5.0,1.9,0.0,25.3
Trevor Ariza,SF,30,Trevor Ariza,81,2859,12.9,.551,.581,.187,2.5,15.7,3.1,2.3,5.4,.090,1.2,0.3,1.5,2.6,11.6,7.1,10.0,2.8,0.8,10.8
Darrell Arthur,PF,27,Darrell Arthur,70,1516,12.5,.514,.239,.108,0.6,16.7,1.0,1.3,2.3,.072,-1.2,0.8,-0.3,6.2,15.4,10.7,10.0,1.8,2.6,11.4
Ömer Aşık,C,29,Ömer Aşık,68,1178,11.0,.551,.000,.574,-0.7,11.4,0.7,1.0,1.7,.070,-4.0,-0.2,-4.2,10.9,28.7,19.5,3.1,0.9,1.6,19.7
D.J. Augustin,PG,28,D.J. Augustin,62,1178,13.9,.575,.480,.366,0.1,18.0,2.0,0.6,2.6,.106,1.0,-2.7,-1.7,0.8,8.0,4.4,25.3,1.6,0.3,17.1
D.J. Augustin,PG,28,D.J. Augustin,34,519,8.7,.522,.504,.281,-0.2,13.6,0.4,0.3,0.7,.065,-1.4,-1.9,-3.3,1.1,7.6,4.5,16.7,1.2,0.3,18.1
D.J. Augustin,PG,28,D.J. Augustin,28,659,18.0,.601,.467,.410,0.3,21.5,1.6,0.3,1.9,.139,2.8,-3.3,-0.5,0.5,8.4,4.4,32.0,1.9,0.2,16.6
Jeff Ayres,C,28,Jeff Ayres,17,107,8.3,.585,.043,.261,-0.1,13.4,0.1,0.1,0.2,.077,-4.7,0.1,-4.6,4.1,18.1,11.2,6.9,0.0,2.2,19.0
Luke Babbitt,SF,26,Luke Babbitt,47,845,11.6,.526,.377,.173,-0.2,17.5,0.8,0.3,1.1,.064,-0.9,-2.0,-2.9,3.2,16.7,9.7,9.6,0.6,0.7,6.9
