name,position,age,Teams,GP,GS,MP,FG PP,FGA PP,FG %,FG3 PP,FG3A PP,FG3 %,FG2 PP,FG2A PP,FG2 %,FT PP,FTA PP,FT %,ORB PP,DRB PP,TRB PP,APP,SPP,BPP,TO PP,Fouls PP,PPP,Off. Ra
Mahmoud Abdul-Rauf,PG,31,Mahmoud Abdul-Rauf,41,0,486,12.9,26.5,.488,0.4,1.5,.286,12.5,25.0,.500,2.4,3.1,.759,0.5,2.2,2.7,8.2,1.0,0.1,2.8,5.4,28.7,104
Tariq Abdul-Wahad,SG,26,Tariq Abdul-Wahad,29,12,420,5.3,13.7,.387,0.5,1.2,.400,4.8,12.5,.386,2.6,4.4,.583,1.7,5.6,7.3,2.7,1.7,1.6,4.2,6.7,13.7,79
Shareef Abdur-Rahim,SF,24,Shareef Abdur-Rahim,81,81,3241,9.8,20.7,.472,0.2,1.0,.188,9.6,19.6,.487,7.2,8.6,.834,2.8,9.0,11.9,4.0,1.5,1.2,3.7,3.8,26.9,106
Cory Alexander,PG,27,Cory Alexander,26,0,227,4.1,12.7,.321,0.9,3.6,.250,3.2,9.1,.350,2.7,4.1,.667,0.0,5.7,5.7,8.2,3.6,0.0,5.7,6.6,11.8,77
Courtney Alexander,PG,23,Courtney Alexander,65,24,1382,8.9,21.4,.417,0.6,1.7,.370,8.3,19.7,.421,4.6,5.6,.820,1.6,3.8,5.3,2.3,1.7,0.2,2.8,5.2,23.1,96
Courtney Alexander,PG,23,Courtney Alexander,38,6,472,6.8,19.4,.348,0.3,1.1,.300,6.4,18.3,.351,3.6,4.9,.733,2.2,4.7,6.9,2.3,1.7,0.3,2.3,8.3,17.5,86
Courtney Alexander,PG,23,Courtney Alexander,27,18,910,10.1,22.5,.448,0.8,2.0,.389,9.3,20.4,.454,5.1,6.0,.857,1.3,3.3,4.6,2.3,1.7,0.1,3.1,3.6,26.1,101
Ray Allen,SG,25,Ray Allen,82,82,3129,10.5,21.8,.480,3.4,7.8,.433,7.1,14.0,.506,5.8,6.5,.888,1.7,5.4,7.1,6.2,2.1,0.3,3.4,3.2,30.1,119
Rafer Alston,PG,24,Rafer Alston,37,2,288,5.4,15.2,.357,1.4,5.4,.267,4.0,9.8,.407,1.6,2.4,.692,0.7,4.9,5.6,12.3,2.4,0.0,3.6,4.9,13.9,98
John Amaechi,C,30,John Amaechi,82,36,1710,7.1,17.8,.400,0.0,0.2,.000,7.1,17.6,.405,5.3,8.4,.631,2.3,5.8,8.1,2.2,0.8,0.9,3.7,5.3,19.6,89
Derek Anderson,SG,26,Derek Anderson,82,82,2859,7.7,18.6,.416,1.9,4.7,.399,5.8,13.9,.422,6.4,7.5,.851,1.4,5.4,6.8,5.6,2.2,0.3,3.1,3.5,23.8,109
Kenny Anderson,PG,30,Kenny Anderson,33,28,849,5.4,13.9,.388,0.7,2.0,.333,4.7,11.8,.397,3.6,4.3,.831,1.0,3.5,4.5,8.2,2.7,0.1,3.2,3.8,15.0,100
