name,position,age,Teams,GP,MP,PER,TS %,FG3A PerFGA%,Fta PerFGA%,VORP,Usg Pct,OWS,DWS,WS,WS Per 48,Off. Box +-,Deff. Box +-,Box +-,ORB Pct,DRB Pct,TRB Pct,As. Pct,Stl Pct,Blk Pct,TO Pct
Tariq Abdul-Wahad,SG,27,Tariq Abdul-Wahad,24,441,9.8,.418,.014,.224,-0.1,19.1,-0.3,0.3,0.0,-0.003,-3.5,0.3,-3.2,10.1,11.6,10.8,8.8,2.4,1.7,14.3
Tariq Abdul-Wahad,SG,27,Tariq Abdul-Wahad,20,417,10.3,.424,.014,.221,-0.1,19.7,-0.2,0.3,0.0,.005,-3.2,0.0,-3.2,10.2,11.2,10.7,8.7,2.3,1.6,13.1
Tariq Abdul-Wahad,SG,27,Tariq Abdul-Wahad,4,24,0.3,.000,.000,.500,0.0,10.2,-0.1,0.0,-0.1,-0.128,-9.1,6.1,-3.0,9.4,18.2,13.9,10.4,4.3,3.0,55.1
Shareef Abdur-Rahim,PF,25,Shareef Abdur-Rahim,77,2980,19.8,.536,.054,.403,3.0,27.0,4.1,3.1,7.2,.116,1.2,0.8,2.0,7.6,19.2,13.3,15.1,1.7,2.0,14.1
Courtney Alexander,SG,24,Courtney Alexander,56,1325,13.6,.521,.038,.255,0.0,20.4,1.6,0.6,2.2,.080,-0.5,-1.6,-2.1,3.7,9.3,6.5,11.3,1.4,0.4,10.2
Victor Alexander,C,32,Victor Alexander,15,97,9.2,.367,.039,.157,-0.2,28.9,-0.3,0.1,-0.1,-0.073,-7.9,-3.5,-11.4,8.6,26.6,17.6,11.5,0.0,0.7,8.4
Malik Allen,PF,23,Malik Allen,12,161,15.0,.469,.020,.196,0.0,17.0,0.2,0.3,0.5,.141,-2.3,0.9,-1.4,11.0,16.6,13.8,5.5,1.0,3.8,3.5
Ray Allen,SG,26,Ray Allen,69,2525,21.6,.598,.460,.213,4.0,26.2,7.6,1.3,8.9,.169,6.4,-2.2,4.3,3.9,10.1,7.1,19.4,1.9,0.5,11.2
Rafer Alston,PG,25,Rafer Alston,50,600,13.9,.434,.372,.152,-0.2,19.0,0.3,0.5,0.7,.059,-1.1,-2.1,-3.3,2.0,11.4,6.9,36.4,2.8,0.2,16.4
John Amaechi,PF,31,John Amaechi,54,586,5.4,.412,.000,.633,-0.9,20.6,-1.0,0.3,-0.7,-0.056,-6.2,-2.1,-8.3,10.6,11.8,11.2,7.8,0.6,1.4,20.6
Chris Andersen,C,23,Chris Andersen,24,262,13.8,.417,.054,.378,0.0,17.0,0.0,0.3,0.3,.058,-4.1,2.2,-1.9,15.8,17.4,16.5,4.2,1.4,7.9,13.1
Derek Anderson,SG,27,Derek Anderson,70,1860,15.5,.538,.373,.340,1.3,19.4,3.8,1.5,5.3,.137,2.0,-1.1,0.9,2.9,9.1,6.0,18.6,2.0,0.3,11.0
Kenny Anderson,PG,31,Kenny Anderson,76,2430,13.6,.472,.046,.184,1.0,16.7,1.7,3.5,5.2,.103,-1.5,1.1,-0.3,2.5,10.1,6.2,28.1,3.0,0.3,13.3
Nick Anderson,SG,34,Nick Anderson,15,219,4.9,.375,.632,.118,-0.3,19.5,-0.6,0.2,-0.4,-0.080,-5.7,-1.1,-6.9,0.5,16.3,8.4,10.2,1.4,1.9,14.9
Shandon Anderson,SG,28,Shandon Anderson,82,1596,8.0,.489,.378,.287,-0.3,15.1,-0.9,1.3,0.4,.013,-3.2,0.4,-2.9,4.1,13.9,9.0,7.7,1.6,0.7,18.8
Greg Anthony,PG,34,Greg Anthony,60,1514,12.6,.460,.343,.192,-0.3,18.6,0.2,0.9,1.1,.036,-0.7,-2.0,-2.7,1.7,8.5,5.1,30.8,2.7,0.2,15.4
Greg Anthony,PG,34,Greg Anthony,36,961,14.2,.475,.314,.244,0.0,18.0,0.6,0.6,1.2,.059,0.2,-2.0,-1.8,1.9,9.0,5.3,35.7,2.7,0.3,15.4
Greg Anthony,PG,34,Greg Anthony,24,553,10.0,.436,.388,.112,-0.3,19.7,-0.4,0.3,0.0,-0.004,-2.1,-2.1,-4.3,1.3,7.6,4.6,22.4,2.7,0.1,15.4
Gilbert Arenas,PG,20,Gilbert Arenas,47,1155,17.0,.562,.294,.417,0.9,20.1,2.1,0.7,2.7,.114,2.3,-1.1,1.2,3.7,8.7,6.1,24.8,3.0,0.6,17.6
