name,position,age,Teams,GP,GS,MP,FG PP,FGA PP,FG %,FG3 PP,FG3A PP,FG3 %,FG2 PP,FG2A PP,FG2 %,FT PP,FTA PP,FT %,ORB PP,DRB PP,TRB PP,APP,SPP,BPP,TO PP,Fouls PP,PPP,Off. Ra
Arron Afflalo,SG,24,Arron Afflalo,82,75,2221,6.2,13.3,.465,2.5,5.7,.434,3.7,7.7,.488,1.6,2.2,.735,1.3,4.4,5.7,3.1,1.0,0.7,1.7,5.1,16.5,114
Alexis Ajinça,C,21,Alexis Ajinça,6,0,30,8.9,17.7,.500,0.0,0.0,,8.9,17.7,.500,0.0,1.8,.000,1.8,5.3,7.1,0.0,1.8,1.8,3.5,8.9,17.7,81
LaMarcus Aldridge,PF,24,LaMarcus Aldridge,78,78,2922,10.8,21.9,.495,0.1,0.3,.313,10.7,21.6,.498,4.3,5.7,.757,3.6,8.1,11.7,3.0,1.3,0.9,1.9,4.3,26.1,113
Joe Alexander,SF,23,Joe Alexander,8,0,29,1.8,10.7,.167,0.0,1.8,.000,1.8,8.9,.200,3.6,5.3,.667,3.6,5.3,8.9,3.6,1.8,1.8,0.0,16.0,7.1,88
Malik Allen,PF,31,Malik Allen,51,3,456,5.1,12.9,.397,0.1,0.7,.167,5.0,12.2,.409,1.3,1.4,.923,4.0,5.1,9.1,1.8,1.2,0.6,2.4,7.6,11.7,93
Ray Allen,SG,34,Ray Allen,80,80,2819,8.6,18.1,.477,2.7,7.4,.363,5.9,10.7,.556,4.3,4.7,.913,0.8,3.9,4.7,3.9,1.2,0.5,2.4,3.4,24.2,115
Tony Allen,SG,28,Tony Allen,54,8,889,7.6,14.9,.510,0.0,0.3,.000,7.6,14.6,.520,4.2,7.0,.605,3.1,5.5,8.5,4.2,3.5,1.1,3.9,6.4,19.4,101
Rafer Alston,PG,33,Rafer Alston,52,38,1421,5.8,16.6,.348,2.2,6.3,.345,3.6,10.4,.349,2.2,3.0,.728,0.5,4.3,4.8,6.6,1.9,0.4,3.5,3.8,15.9,89
Rafer Alston,PG,33,Rafer Alston,27,13,766,6.5,19.0,.343,1.9,6.0,.322,4.6,13.0,.353,3.0,3.7,.815,0.6,4.5,5.1,7.1,1.9,0.3,4.2,3.4,18.0,87
Rafer Alston,PG,33,Rafer Alston,25,25,655,4.9,13.8,.355,2.5,6.6,.370,2.5,7.2,.341,1.2,2.2,.556,0.3,4.1,4.4,5.9,1.9,0.4,2.8,4.3,13.5,93
Lou Amundson,PF,27,Lou Amundson,79,0,1168,6.6,11.9,.551,0.0,0.0,.000,6.6,11.9,.553,2.9,5.3,.545,5.5,9.4,14.9,1.3,1.0,3.1,2.5,7.3,16.0,113
Chris Andersen,PF,31,Chris Andersen,76,0,1695,4.2,7.5,.566,0.0,0.1,.000,4.2,7.4,.573,4.9,7.1,.695,4.4,10.0,14.4,1.0,1.3,4.3,1.8,5.1,13.4,126
David Andersen,C,29,David Andersen,63,0,891,8.4,19.5,.432,1.5,4.5,.346,6.9,15.0,.458,2.6,3.8,.687,3.1,8.8,11.9,2.5,0.9,0.7,2.1,6.8,21.0,103
Antonio Anderson,SF,24,Antonio Anderson,1,0,15,3.4,10.3,.333,0.0,0.0,,3.4,10.3,.333,0.0,0.0,,3.4,0.0,3.4,0.0,0.0,0.0,3.4,3.4,6.9,66
Ryan Anderson,PF,21,Ryan Anderson,63,6,911,9.7,22.2,.436,4.5,12.1,.370,5.2,10.1,.514,4.1,4.7,.866,4.0,7.6,11.6,2.1,1.4,0.8,3.2,4.6,27.9,112
Carmelo Anthony,SF,25,Carmelo Anthony,69,69,2634,13.2,28.9,.458,1.1,3.6,.316,12.1,25.3,.478,9.8,11.8,.830,2.9,5.8,8.7,4.3,1.7,0.6,4.0,4.3,37.4,110
Joel Anthony,C,27,Joel Anthony,80,16,1322,3.1,6.4,.478,0.0,0.0,,3.1,6.4,.478,2.7,3.7,.717,5.0,5.1,10.1,0.5,0.8,4.4,1.8,6.4,8.8,112
Gilbert Arenas,PG,28,Gilbert Arenas,32,32,1169,11.3,27.6,.411,2.8,8.1,.348,8.5,19.5,.437,6.9,9.3,.739,0.8,5.2,6.0,10.3,1.8,0.4,5.2,4.3,32.3,103
Trevor Ariza,SF,24,Trevor Ariza,72,71,2629,7.6,19.4,.394,2.6,7.9,.334,5.0,11.5,.436,2.9,4.4,.649,1.5,6.3,7.8,5.4,2.4,0.8,3.1,3.1,20.8,99
Hilton Armstrong,PF-C,25,Hilton Armstrong,33,0,335,4.3,12.2,.354,0.0,0.2,.000,4.3,12.0,.359,2.3,4.9,.469,4.2,8.3,12.5,3.2,2.3,1.8,3.4,9.1,10.9,83
