APP,BPP,DRB PP,FG %,FG PP,FG2 %,FG2 PP,FG2A PP,FG3 %,FG3 PP,FG3A PP,FGA PP,FT %,FT PP,FTA PP,Fouls PP,GP,GS,MP,ORB PP,Off. Ra,PPP,SPP,TO PP,TRB PP,Teams,age,name,position
1.2,0.4,3.9,.395,5.0,.443,1.4,3.1,.380,3.7,9.7,12.7,.848,1.7,2.0,5.4,75,8,1134,1.1,116,15.4,1.7,1.1,5.0,Álex Abrines,24,Álex Abrines,SG
2.0,1.0,7.8,.356,4.6,.384,1.0,2.6,.349,3.6,10.4,13.0,.817,1.8,2.1,5.3,70,8,1359,1.4,99,14.7,1.2,2.1,9.2,Quincy Acy,27,Quincy Acy,PF
1.8,1.6,6.0,.629,8.9,.631,8.9,14.2,.000,0.0,0.0,14.2,.559,3.2,5.7,4.3,76,76,2487,7.7,125,21.1,1.8,2.6,13.7,Steven Adams,24,Steven Adams,C
3.7,1.5,9.7,.512,6.4,.523,6.4,12.2,.000,0.0,0.3,12.5,.721,4.7,6.6,5.1,69,19,1368,4.3,116,17.5,1.2,2.4,14.0,Bam Adebayo,20,Bam Adebayo,C
2.2,0.6,4.5,.401,4.7,.413,2.7,6.6,.386,1.9,5.0,11.6,.846,1.6,1.9,4.0,53,3,682,0.3,98,12.8,0.3,1.5,4.7,Arron Afflalo,32,Arron Afflalo,SG
3.1,1.0,12.2,.333,5.1,.333,5.1,15.3,,0.0,0.0,15.3,.333,2.0,6.1,11.2,21,0,49,3.1,85,12.2,2.0,1.0,15.3,Cole Aldrich,29,Cole Aldrich,C
3.1,1.8,7.8,.510,13.8,.526,13.3,25.3,.293,0.5,1.9,27.1,.837,6.7,8.0,3.2,75,75,2509,5.0,118,34.9,0.9,2.2,12.8,LaMarcus Aldridge,32,LaMarcus Aldridge,C
1.7,3.0,8.2,.589,7.9,.599,7.7,12.9,.333,0.2,0.5,13.4,.776,3.8,5.0,5.0,72,31,1441,4.9,119,19.8,0.9,2.8,13.1,Jarrett Allen,19,Jarrett Allen,C
5.6,0.9,3.3,.273,2.8,.545,2.8,5.1,.000,0.0,5.1,10.3,.778,3.3,4.2,7.0,18,1,107,1.9,78,8.9,1.4,4.2,5.1,Kadeem Allen,25,Kadeem Allen,PG
1.6,0.5,4.7,.484,7.7,.506,7.0,13.8,.333,0.7,2.1,15.9,.524,1.9,3.7,8.6,22,0,273,3.5,95,18.0,1.9,3.3,8.2,Tony Allen,36,Tony Allen,SF
2.0,1.0,10.3,.395,5.5,.432,2.5,5.8,.369,3.0,8.1,14.0,.738,1.4,1.9,3.3,69,67,2072,2.3,105,15.5,1.9,1.9,12.6,Al-Farouq Aminu,27,Al-Farouq Aminu,PF
2.3,0.6,6.3,.431,8.1,.535,4.9,9.2,.330,3.2,9.5,18.7,.737,2.6,3.5,5.0,38,0,519,2.3,110,21.9,1.4,1.5,8.6,Justin Anderson,24,Justin Anderson,SF
5.2,1.5,8.0,.527,5.9,.556,5.4,9.7,.333,0.5,1.5,11.2,.712,2.7,3.7,2.9,74,67,1978,2.1,114,14.9,2.9,2.4,10.1,Kyle Anderson,24,Kyle Anderson,SF
1.7,0.6,6.8,.431,5.9,.539,2.2,4.0,.386,3.7,9.7,13.7,.774,2.1,2.7,3.6,66,50,1725,2.7,121,17.6,0.7,1.2,9.4,Ryan Anderson,29,Ryan Anderson,PF
