name,position,age,Teams,GP,MP,PER,TS %,FG3A PerFGA%,Fta PerFGA%,VORP,Usg Pct,OWS,DWS,WS,WS Per 48,Off. Box +-,Deff. Box +-,Box +-,ORB Pct,DRB Pct,TRB Pct,As. Pct,Stl Pct,Blk Pct,TO Pct
Shareef Abdur-Rahim,PF,27,Shareef Abdur-Rahim,85,2684,19.9,.557,.032,.407,1.6,24.4,6.1,2.0,8.1,.145,1.3,-1.0,0.3,8.2,19.0,13.6,12.3,1.4,1.0,12.9
Shareef Abdur-Rahim,PF,27,Shareef Abdur-Rahim,53,1956,21.2,.568,.029,.423,1.5,24.8,5.3,1.3,6.6,.163,2.1,-1.1,1.0,8.2,20.3,14.3,12.6,1.2,0.7,12.3
Shareef Abdur-Rahim,PF,27,Shareef Abdur-Rahim,32,728,16.5,.522,.042,.360,0.1,23.3,0.9,0.6,1.5,.098,-0.9,-0.5,-1.4,7.9,15.5,11.8,11.5,1.8,1.8,14.8
Malik Allen,PF,25,Malik Allen,45,616,10.5,.449,.000,.167,-0.4,18.3,-0.1,0.8,0.7,.051,-4.7,0.2,-4.6,7.9,14.7,11.3,4.7,1.1,3.6,11.3
Ray Allen,SG,28,Ray Allen,56,2152,21.7,.566,.372,.266,3.3,27.8,6.5,0.4,6.9,.153,5.9,-1.8,4.0,3.8,11.8,7.8,23.3,1.8,0.4,12.1
Rafer Alston,PG,27,Rafer Alston,82,2581,13.7,.509,.568,.175,2.1,17.3,3.1,2.8,5.9,.110,1.6,-0.4,1.2,1.2,9.1,5.1,24.9,2.4,0.6,13.5
Chris Andersen,PF,25,Chris Andersen,71,1029,14.4,.486,.005,.527,0.7,12.7,0.5,1.9,2.4,.111,-3.7,4.2,0.5,9.6,23.3,16.3,5.1,1.7,7.8,16.1
Derek Anderson,SG,29,Derek Anderson,51,1810,15.1,.499,.423,.307,1.1,20.5,2.7,0.9,3.6,.097,1.9,-1.6,0.3,1.7,10.2,6.0,21.1,2.0,0.1,11.5
Kenny Anderson,PG,33,Kenny Anderson,44,905,11.1,.473,.016,.188,-0.1,17.1,0.4,1.1,1.5,.079,-2.3,-0.4,-2.6,2.5,8.2,5.3,24.2,1.6,0.4,15.3
Shandon Anderson,SG,30,Shandon Anderson,80,1974,10.1,.500,.227,.285,0.1,17.7,0.2,1.5,1.7,.042,-1.6,-0.1,-1.7,3.1,9.7,6.5,10.2,1.8,0.7,15.7
