Player,Team,Season,Season Type,Games,AbvBrk3_Usage,MR_Usage,Paint_Usage,RA_Usage,RC3_Usage,LC3_Usage,BC_Usage,AbvBrk3%,MR%,Paint%,RA%,RC3%,LC3%,BC3%
Player,Team,Season,Season Type,Games,Above the Break 3-Usage,Mid-Range-Usage,In The Paint (Non-RA)-Usage,Restricted Area-Usage,Right Corner 3-Usage,Left Corner 3-Usage,Backcourt-Usage,Above the Break 3 %,Mid-Range %,In The Paint (Non-RA) %,Restricted Area %,Right Corner 3 %,Left Corner 3 %,Backcourt %
DJ Mbenga,Mavericks,2004-2005,REG,14,0.00,14.29,42.86,42.86,0.00,0.00,0.00,0.000,0.000,0.333,0.667,0.000,0.000,0.000
Luis Flores,"Warriors, Nuggets",2004-2005,REG,16,34.48,31.03,10.34,24.14,0.00,0.00,0.00,0.500,0.556,0.333,0.429,0.000,0.000,0.000
Matt Freije,Hornets,2004-2005,REG,23,29.92,40.94,6.30,10.24,4.72,5.51,2.36,0.289,0.308,0.500,0.231,0.167,0.286,0.000
Pape Sow,Raptors,2004-2005,REG,27,0.00,24.14,18.97,56.90,0.00,0.00,0.00,0.000,0.071,0.364,0.545,0.000,0.000,0.000
Ha Seung-Jin,Trail Blazers,2004-2005,REG,19,0.00,4.35,17.39,78.26,0.00,0.00,0.00,0.000,0.000,0.000,0.556,0.000,0.000,0.000
Bernard Robinson,Bobcats,2004-2005,REG,31,6.17,33.33,8.64,48.15,2.47,0.00,1.23,0.400,0.333,0.143,0.590,0.500,0.000,0.000
Trevor Ariza,Knicks,2004-2005,REG,80,0.77,39.33,7.46,49.87,1.03,1.29,0.26,0.000,0.333,0.241,0.572,0.500,0.200,0.000
Justin Reed,Celtics,2004-2005,REG,22,3.45,41.38,10.34,37.93,0.00,6.90,0.00,0.000,0.583,0.667,0.545,0.000,0.000,0.000
Chris Duhon,Bulls,2004-2005,REG,82,45.90,9.43,9.84,26.64,3.28,4.71,0.20,0.348,0.261,0.396,0.369,0.313,0.435,0.000
Royal Ivey,Hawks,2004-2005,REG,62,3.03,38.89,22.73,33.84,0.51,0.00,1.01,0.333,0.364,0.400,0.537,1.000,0.000,0.000
Antonio Burks,Grizzlies,2004-2005,REG,24,13.33,48.33,8.33,25.00,0.00,1.67,3.33,0.375,0.552,0.000,0.600,0.000,0.000,0.000
Andre Emmett,Grizzlies,2004-2005,REG,8,0.00,33.33,16.67,50.00,0.00,0.00,0.00,0.000,0.500,0.000,0.333,0.000,0.000,0.000
Donta Smith,Hawks,2004-2005,REG,38,15.93,22.12,20.35,38.05,0.88,2.65,0.00,0.278,0.360,0.174,0.581,0.000,0.333,0.000
Lionel Chalmers,Clippers,2004-2005,REG,36,32.00,24.80,7.20,28.80,1.60,4.00,1.60,0.300,0.452,0.333,0.361,0.000,0.000,0.000
Peter Ramos,Wizards,2004-2005,REG,6,0.00,60.00,0.00,40.00,0.00,0.00,0.00,0.000,0.500,0.000,0.500,0.000,0.000,0.000
Jackson Vroman,"Suns, Hornets",2004-2005,REG,46,1.01,24.62,11.06,62.81,0.50,0.00,0.00,0.000,0.306,0.364,0.472,0.000,0.000,0.000
Anderson Varejao,Cavaliers,2004-2005,REG,54,0.52,27.46,15.03,56.48,0.00,0.52,0.00,0.000,0.377,0.379,0.624,0.000,0.000,0.000
David Harrison,Pacers,2004-2005,REG,43,0.00,20.65,21.20,58.15,0.00,0.00,0.00,0.000,0.500,0.436,0.654,0.000,0.000,0.000
Beno Udrih,Spurs,2004-2005,REG,80,20.00,31.03,10.51,22.82,7.44,7.69,0.51,0.385,0.372,0.415,0.607,0.517,0.400,0.000
Sasha Vujacic,Lakers,2004-2005,REG,35,36.75,21.37,5.13,19.66,4.27,10.26,2.56,0.233,0.280,0.000,0.391,0.400,0.417,0.000
Kevin Martin,Kings,2004-2005,REG,45,15.38,30.77,17.09,30.77,2.56,3.42,0.00,0.167,0.389,0.350,0.528,0.333,0.250,0.000
Tony Allen,Celtics,2004-2005,REG,77,2.58,21.71,9.30,60.98,3.10,2.07,0.26,0.300,0.393,0.167,0.564,0.417,0.500,0.000
Delonte West,Celtics,2004-2005,REG,38,25.81,29.68,1.29,26.45,10.97,5.81,0.00,0.400,0.348,0.500,0.610,0.353,0.222,0.000
Viktor Khryapa,Trail Blazers,2004-2005,REG,32,5.65,45.16,8.06,37.90,0.00,3.23,0.00,0.429,0.339,0.200,0.617,0.000,0.250,0.000
Pavel Podkolzin,Mavericks,2004-2005,REG,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jameer Nelson,Magic,2004-2005,REG,79,15.76,42.52,5.41,29.62,3.66,2.87,0.16,0.273,0.453,0.353,0.586,0.348,0.500,0.000
Dorell Wright,Heat,2004-2005,REG,3,27.27,45.45,0.00,18.18,9.09,0.00,0.00,0.000,0.200,0.000,1.000,0.000,0.000,0.000
J.R. Smith,Hornets,2004-2005,REG,76,30.75,31.68,6.15,24.60,2.67,4.01,0.13,0.283,0.367,0.413,0.587,0.300,0.333,0.000
Josh Smith,Hawks,2004-2005,REG,74,1.83,31.89,12.62,51.66,1.00,0.66,0.33,0.091,0.313,0.237,0.617,0.333,0.250,0.000
Kirk Snyder,Jazz,2004-2005,REG,68,13.11,33.54,2.44,38.11,6.10,5.79,0.91,0.256,0.209,0.125,0.544,0.450,0.526,0.000
Al Jefferson,Celtics,2004-2005,REG,71,0.27,13.28,27.91,57.99,0.00,0.27,0.27,0.000,0.408,0.495,0.579,0.000,0.000,0.000
Kris Humphries,Jazz,2004-2005,REG,67,1.39,39.72,16.72,41.46,0.35,0.35,0.00,0.250,0.307,0.271,0.555,1.000,0.000,0.000
Sebastian Telfair,Trail Blazers,2004-2005,REG,68,10.93,44.42,10.47,29.30,2.79,1.63,0.47,0.191,0.387,0.289,0.524,0.417,0.286,0.000
Robert Swift,SuperSonics,2004-2005,REG,16,0.00,36.36,45.45,18.18,0.00,0.00,0.00,0.000,0.500,0.400,0.500,0.000,0.000,0.000
Andris Biedrins,Warriors,2004-2005,REG,30,1.28,3.85,17.95,76.92,0.00,0.00,0.00,0.000,0.000,0.286,0.683,0.000,0.000,0.000
Luke Jackson,Cavaliers,2004-2005,REG,10,18.52,48.15,7.41,22.22,0.00,3.70,0.00,0.800,0.231,0.500,0.333,0.000,0.000,0.000
Andre Iguodala,76ers,2004-2005,REG,82,12.45,17.77,9.52,46.70,9.16,4.40,0.00,0.368,0.320,0.288,0.690,0.300,0.292,0.000
Rafael Araujo,Raptors,2004-2005,REG,59,1.14,33.14,18.29,46.86,0.57,0.00,0.00,0.500,0.328,0.281,0.573,0.000,0.000,0.000
Luol Deng,Bulls,2004-2005,REG,61,10.85,35.97,10.23,35.66,4.81,2.48,0.00,0.214,0.366,0.288,0.630,0.355,0.313,0.000
Josh Childress,Hawks,2004-2005,REG,80,2.80,21.50,6.23,63.55,2.34,2.96,0.62,0.167,0.290,0.300,0.581,0.133,0.421,0.000
Devin Harris,Mavericks,2004-2005,REG,76,26.78,24.59,6.01,33.61,2.73,5.46,0.82,0.316,0.389,0.455,0.553,0.300,0.500,0.000
Shaun Livingston,Clippers,2004-2005,REG,30,0.93,43.72,23.72,31.63,0.00,0.00,0.00,0.000,0.415,0.333,0.485,0.000,0.000,0.000
Ben Gordon,Bulls,2004-2005,REG,82,22.06,37.22,13.92,17.52,5.11,3.98,0.19,0.378,0.397,0.469,0.405,0.481,0.476,0.000
Emeka Okafor,Bobcats,2004-2005,REG,73,0.10,42.87,20.34,36.69,0.00,0.00,0.00,0.000,0.321,0.358,0.644,0.000,0.000,0.000
Dwight Howard,Magic,2004-2005,REG,82,0.30,13.00,24.96,61.74,0.00,0.00,0.00,0.000,0.261,0.426,0.615,0.000,0.000,0.000
Keith McLeod,Jazz,2004-2005,REG,53,16.67,49.02,7.35,25.98,0.25,0.25,0.49,0.265,0.375,0.167,0.425,0.000,0.000,0.000
Brandin Knight,Rockets,2004-2005,REG,1,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Alex Garcia,Hornets,2004-2005,REG,8,21.15,23.08,3.85,38.46,7.69,5.77,0.00,0.364,0.250,0.000,0.500,0.000,0.333,0.000
Matt Carroll,Bobcats,2004-2005,REG,25,10.00,51.11,10.56,16.67,6.67,5.00,0.00,0.278,0.370,0.316,0.567,0.583,0.111,0.000
Linton Johnson,Spurs,2004-2005,REG,2,0.00,0.00,50.00,0.00,50.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Josh Davis,76ers,2004-2005,REG,41,36.04,8.11,1.80,42.34,2.70,9.01,0.00,0.375,0.111,0.000,0.468,0.333,0.300,0.000
Yuta Tabuse,Suns,2004-2005,REG,4,16.67,50.00,0.00,33.33,0.00,0.00,0.00,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Britton Johnsen,Pacers,2004-2005,REG,6,13.64,50.00,4.55,27.27,0.00,4.55,0.00,0.000,0.364,0.000,0.333,0.000,0.000,0.000
Ronald Dupree,Pistons,2004-2005,REG,46,0.79,33.86,6.30,58.27,0.00,0.79,0.00,1.000,0.302,0.125,0.622,0.000,0.000,0.000
Kirk Penney,Clippers,2004-2005,REG,4,33.33,66.67,0.00,0.00,0.00,0.00,0.00,0.000,0.500,0.000,0.000,0.000,0.000,0.000
Quinton Ross,Clippers,2004-2005,REG,78,0.80,49.06,11.26,38.61,0.00,0.00,0.27,0.333,0.355,0.405,0.542,0.000,0.000,0.000
Udonis Haslem,Heat,2004-2005,REG,80,0.16,41.19,8.11,50.08,0.00,0.00,0.47,0.000,0.443,0.365,0.654,0.000,0.000,0.000
Marquis Daniels,Mavericks,2004-2005,REG,60,4.37,27.98,25.20,39.68,1.19,1.19,0.40,0.182,0.355,0.402,0.560,0.167,0.333,0.000
Theron Smith,Bobcats,2004-2005,REG,33,3.68,53.68,3.68,33.82,2.21,2.21,0.74,0.400,0.219,0.600,0.478,0.000,0.333,0.000
Brandon Hunter,Magic,2004-2005,REG,30,0.00,9.59,32.88,57.53,0.00,0.00,0.00,0.000,0.286,0.375,0.619,0.000,0.000,0.000
Kyle Korver,76ers,2004-2005,REG,82,54.41,16.34,3.95,6.32,6.46,12.52,0.00,0.383,0.403,0.467,0.563,0.469,0.474,0.000
James Jones,Pacers,2004-2005,REG,75,36.16,31.13,5.66,11.01,11.32,4.72,0.00,0.365,0.364,0.444,0.457,0.528,0.333,0.000
Mo Williams,Bucks,2004-2005,REG,80,10.45,48.03,9.63,28.90,1.36,1.49,0.14,0.312,0.441,0.521,0.460,0.500,0.273,0.000
Matt Bonner,Raptors,2004-2005,REG,82,14.47,47.30,11.88,20.95,3.46,1.94,0.00,0.418,0.548,0.527,0.608,0.500,0.333,0.000
Keith Bogans,Bobcats,2004-2005,REG,74,15.55,33.14,11.63,30.23,4.22,5.09,0.15,0.299,0.382,0.288,0.457,0.414,0.371,0.000
Zaza Pachulia,Bucks,2004-2005,REG,74,0.00,17.51,12.71,69.49,0.00,0.00,0.28,0.000,0.339,0.533,0.467,0.000,0.000,0.000
Willie Green,76ers,2004-2005,REG,57,20.09,35.93,10.64,28.61,2.13,2.36,0.24,0.224,0.289,0.289,0.562,0.556,0.600,0.000
Steve Blake,Wizards,2004-2005,REG,44,29.57,34.41,5.91,9.68,8.60,10.75,1.08,0.455,0.250,0.182,0.389,0.313,0.300,0.000
Luke Walton,Lakers,2004-2005,REG,61,21.67,12.22,11.11,42.78,4.44,7.78,0.00,0.205,0.455,0.400,0.519,0.625,0.214,0.000
Jason Kapono,Bobcats,2004-2005,REG,81,16.24,54.55,6.26,10.43,7.60,4.92,0.00,0.394,0.377,0.429,0.471,0.451,0.424,0.000
Maciej Lampe,"Suns, Hornets",2004-2005,REG,37,3.03,50.76,19.70,26.52,0.00,0.00,0.00,0.500,0.358,0.308,0.429,0.000,0.000,0.000
Josh Howard,Mavericks,2004-2005,REG,76,10.09,27.99,16.27,41.24,2.14,2.14,0.13,0.325,0.338,0.504,0.624,0.294,0.118,0.000
Leandro Barbosa,Suns,2004-2005,REG,63,30.51,14.97,8.47,37.29,3.39,4.80,0.56,0.380,0.358,0.400,0.652,0.250,0.412,0.000
Kendrick Perkins,Celtics,2004-2005,REG,60,0.00,16.81,20.17,63.03,0.00,0.00,0.00,0.000,0.250,0.375,0.560,0.000,0.000,0.000
Ndudi Ebi,Timberwolves,2004-2005,REG,2,4.76,28.57,14.29,52.38,0.00,0.00,0.00,0.000,0.167,0.667,0.727,0.000,0.000,0.000
Carlos Delfino,Pistons,2004-2005,REG,30,19.66,27.35,3.42,39.32,5.13,3.42,1.71,0.348,0.313,0.250,0.478,0.167,0.000,0.000
Brian Cook,Lakers,2004-2005,REG,72,39.10,31.04,4.50,17.30,3.08,4.98,0.00,0.412,0.382,0.526,0.521,0.462,0.190,0.000
Travis Outlaw,Trail Blazers,2004-2005,REG,59,2.62,46.07,14.98,35.58,0.75,0.00,0.00,0.286,0.398,0.475,0.653,0.500,0.000,0.000
Zoran Planinic,Nets,2004-2005,REG,43,12.64,25.86,13.79,37.36,4.60,3.45,2.30,0.273,0.400,0.458,0.523,0.625,0.667,0.000
Boris Diaw,Hawks,2004-2005,REG,66,9.86,37.07,15.31,30.61,4.42,2.38,0.34,0.103,0.385,0.378,0.622,0.308,0.286,0.000
Dahntay Jones,Grizzlies,2004-2005,REG,52,3.68,30.00,6.84,31.58,17.89,10.00,0.00,0.000,0.439,0.385,0.500,0.382,0.526,0.000
Sasha Pavlovic,Cavaliers,2004-2005,REG,65,13.41,36.23,6.16,29.35,5.80,9.06,0.00,0.405,0.360,0.529,0.556,0.250,0.440,0.000
David West,Hornets,2004-2005,REG,30,1.74,38.95,15.70,42.44,0.58,0.00,0.58,0.333,0.433,0.259,0.507,1.000,0.000,0.000
Zarko Cabarkapa,"Suns, Warriors",2004-2005,REG,40,12.43,26.55,16.95,36.16,2.26,5.08,0.56,0.409,0.468,0.333,0.641,0.250,0.333,0.000
Reece Gaines,"Rockets, Bucks",2004-2005,REG,21,14.00,44.00,2.00,26.00,12.00,2.00,0.00,0.143,0.182,1.000,0.615,0.500,0.000,0.000
Luke Ridnour,SuperSonics,2004-2005,REG,82,15.16,42.22,12.72,20.97,4.60,4.33,0.00,0.384,0.404,0.394,0.445,0.294,0.438,0.000
Marcus Banks,Celtics,2004-2005,REG,81,15.73,27.62,7.34,44.41,1.75,2.45,0.70,0.333,0.316,0.190,0.512,0.600,0.429,0.000
Nick Collison,SuperSonics,2004-2005,REG,82,0.57,10.76,14.73,73.65,0.28,0.00,0.00,0.000,0.211,0.365,0.623,0.000,0.000,0.000
