Player,Team,Season,Season Type,Games,Less than 8ft. %,8-16 feet %,16-24 feet %,24+ feet %,Back Court Shots %,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots Usage %,Avg. Shot Dis.,Avg Made Shot Dis,Avg Missed Shot Dis
Player,Team,Season,Season Type,Games,Less than 8ft. %,8-16 feet %,16-24 feet %,24+ feet %,Back Court Shots %,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.)
Jae Crowder,"Mavericks, Celtics",2014-2015,REG,82,0.578,0.439,0.368,0.298,0.000,34.25,10.44,17.40,37.55,0.37,14.55,11.43,16.80
Draymond Green,Warriors,2014-2015,REG,79,0.585,0.350,0.340,0.343,0.000,41.97,7.97,7.04,43.03,0.00,13.70,10.70,16.10
Quincy Acy,Knicks,2014-2015,REG,67,0.606,0.435,0.378,0.305,0.000,38.37,13.90,29.61,17.82,0.30,12.40,9.67,14.72
Quincy Miller,"Kings, Pistons",2014-2015,REG,8,0.308,0.000,0.667,0.200,0.000,40.63,3.13,9.38,46.88,0.00,14.94,14.44,15.13
Khris Middleton,Bucks,2014-2015,REG,79,0.560,0.476,0.441,0.408,0.000,25.09,19.56,24.51,30.72,0.12,14.79,13.49,15.94
Will Barton,"Trail Blazers, Nuggets",2014-2015,REG,58,0.543,0.214,0.429,0.277,0.000,52.12,11.90,11.90,23.51,0.57,10.83,7.64,13.18
Mike Scott,Hawks,2014-2015,REG,68,0.593,0.421,0.460,0.347,0.000,29.80,16.78,11.04,41.94,0.44,15.19,12.56,17.29
Justin Hamilton,"Heat, Pelicans, Timberwolves",2014-2015,REG,41,0.561,0.421,0.333,0.323,0.000,60.11,10.67,11.80,17.42,0.00,8.84,6.68,10.82
Darius Miller,Pelicans,2014-2015,REG,5,0.500,0.000,0.000,0.000,0.000,28.57,28.57,28.57,14.29,0.00,14.86,7.00,16.17
Kostas Papanikolaou,Rockets,2014-2015,REG,43,0.472,0.182,0.250,0.292,0.000,36.55,5.58,4.06,53.81,0.00,14.98,12.13,16.52
Kyle O'Quinn,Magic,2014-2015,REG,51,0.657,0.423,0.346,0.286,0.000,46.46,11.50,23.01,18.58,0.44,11.60,8.12,14.90
Furkan Aldemir,76ers,2014-2015,REG,41,0.603,0.250,0.364,0.000,0.000,74.36,5.13,14.10,6.41,0.00,5.58,2.73,8.58
Robbie Hummel,Timberwolves,2014-2015,REG,45,0.737,0.333,0.437,0.314,0.000,22.09,6.98,41.28,29.65,0.00,16.01,12.92,18.63
Robert Sacre,Lakers,2014-2015,REG,67,0.451,0.373,0.411,0.000,0.000,39.87,35.95,23.86,0.33,0.00,9.91,9.17,10.42
Ognjen Kuzmic,Warriors,2014-2015,REG,16,0.667,0.500,1.000,0.000,0.000,50.00,33.33,16.67,0.00,0.00,7.33,7.75,6.50
Hollis Thompson,76ers,2014-2015,REG,71,0.478,0.465,0.250,0.401,0.000,28.91,7.92,10.31,52.85,0.00,16.67,15.61,17.41
Mirza Teletovic,Nets,2014-2015,REG,40,0.516,0.231,0.455,0.323,0.000,28.53,4.08,6.90,60.19,0.31,17.45,15.04,18.95
Chris Copeland,Pacers,2014-2015,REG,50,0.459,0.273,0.304,0.311,0.000,35.16,3.55,7.42,53.87,0.00,15.97,13.73,17.24
Pablo Prigioni,"Knicks, Rockets",2014-2015,REG,67,0.556,0.462,0.583,0.348,0.000,15.86,5.73,5.29,72.25,0.88,20.56,18.47,21.93
Alexey Shved,"76ers, Rockets, Knicks",2014-2015,REG,42,0.500,0.158,0.333,0.348,0.000,42.99,5.67,9.85,40.30,1.19,14.04,11.23,15.89
Kent Bazemore,Hawks,2014-2015,REG,75,0.519,0.182,0.381,0.364,0.000,47.13,6.65,6.34,39.88,0.00,12.44,10.37,13.98
