Player,Team,Season,Season Type,Games,Less than 8ft. %,8-16 feet %,16-24 feet %,24+ feet %,Back Court Shots %,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots Usage %,Avg. Shot Dis.,Avg Made Shot Dis,Avg Missed Shot Dis
Player,Team,Season,Season Type,Games,Less than 8ft. %,8-16 feet %,16-24 feet %,24+ feet %,Back Court Shots %,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.)
Spencer Dinwiddie,Pistons,2014-2015,REG,34,0.379,0.333,0.409,0.190,0.000,34.32,14.20,13.02,37.28,1.18,14.88,11.45,16.36
Nik Stauskas,Kings,2014-2015,REG,73,0.423,0.435,0.373,0.322,0.000,24.40,7.90,17.53,50.17,0.00,17.13,15.79,17.89
Rodney Hood,Jazz,2014-2015,REG,50,0.505,0.482,0.340,0.367,0.000,26.08,15.05,13.44,44.62,0.81,16.39,14.44,17.76
Jordan Adams,Grizzlies,2014-2015,REG,30,0.447,0.714,0.188,0.400,0.000,44.19,8.14,18.60,29.07,0.00,12.52,10.89,13.65
Cleanthony Early,Knicks,2014-2015,REG,38,0.488,0.545,0.200,0.262,0.000,39.25,5.14,16.36,39.25,0.00,14.25,10.64,16.23
Glenn Robinson,"Timberwolves, 76ers",2014-2015,REG,35,0.517,0.500,0.231,0.263,0.000,43.28,8.96,19.40,28.36,0.00,12.81,8.96,15.24
James Young,Celtics,2014-2015,REG,31,0.667,0.500,0.421,0.258,0.000,14.71,1.96,18.63,64.71,0.00,19.75,16.14,21.71
Jerami Grant,76ers,2014-2015,REG,65,0.423,0.200,0.250,0.314,0.000,44.44,4.27,6.84,44.44,0.00,13.60,11.40,14.80
Joe Harris,Cavaliers,2014-2015,REG,51,0.500,0.333,0.500,0.369,0.000,18.33,5.00,6.67,70.00,0.00,18.88,17.77,19.63
Doug McDermott,Bulls,2014-2015,REG,36,0.500,0.000,0.417,0.317,0.000,46.73,3.74,11.21,38.32,0.00,12.81,10.51,14.36
Cory Jefferson,Nets,2014-2015,REG,50,0.548,0.432,0.355,0.143,0.000,50.30,22.16,18.56,8.38,0.60,9.04,6.57,11.05
Sean Kilpatrick,Timberwolves,2014-2015,REG,4,0.400,0.000,1.000,0.308,0.000,25.00,5.00,5.00,65.00,0.00,17.55,16.86,17.92
Earl Barron,Suns,2014-2015,REG,16,0.083,0.444,0.357,0.500,0.000,30.77,23.08,35.90,10.26,0.00,12.38,16.25,10.67
David Stockton,Kings,2014-2015,REG,1,0.000,0.000,0.000,0.000,0.000,0.00,100.00,0.00,0.00,0.00,8.00,0.00,8.00
Andrew Bogut,Warriors,2014-2015,REG,67,0.598,0.400,0.000,0.000,0.000,85.06,14.37,0.57,0.00,0.00,3.31,2.47,4.40
Marvin Williams,Hornets,2014-2015,REG,78,0.575,0.406,0.452,0.360,0.000,21.37,6.45,18.75,53.23,0.20,18.01,15.88,19.59
Chris Paul,Clippers,2014-2015,REG,82,0.555,0.529,0.495,0.397,0.000,17.08,26.13,26.90,29.89,0.00,15.98,15.01,16.90
Raymond Felton,Mavericks,2014-2015,REG,29,0.514,0.455,0.385,0.303,0.000,33.02,10.38,24.53,31.13,0.94,14.64,12.00,16.44
Martell Webster,Wizards,2014-2015,REG,32,0.350,0.200,0.261,0.238,0.000,22.22,5.56,25.56,46.67,0.00,17.29,15.54,17.92
Charlie Villanueva,Mavericks,2014-2015,REG,64,0.477,0.444,0.526,0.376,0.000,23.76,9.94,5.25,61.05,0.00,17.32,16.19,18.12
Channing Frye,Magic,2014-2015,REG,75,0.370,0.400,0.411,0.394,0.000,9.54,4.15,15.15,71.16,0.00,21.43,21.56,21.35
Deron Williams,Nets,2014-2015,REG,68,0.410,0.424,0.351,0.372,0.000,34.46,15.28,19.56,30.31,0.39,13.86,13.05,14.37
Danny Granger,"Heat, Suns",2014-2015,REG,30,0.516,0.471,0.367,0.357,0.000,19.14,10.49,18.52,51.85,0.00,17.60,15.89,18.75
Gerald Green,Suns,2014-2015,REG,74,0.570,0.466,0.389,0.357,0.000,18.25,15.17,16.84,49.36,0.39,17.50,15.44,18.97
Nate Robinson,"Nuggets, Clippers",2014-2015,REG,42,0.483,0.412,0.294,0.277,0.000,22.75,13.33,20.00,43.92,0.00,16.71,14.49,17.88
Jarrett Jack,Nets,2014-2015,REG,80,0.574,0.403,0.455,0.281,0.000,27.29,27.66,27.17,17.01,0.86,13.74,11.72,15.32
Francisco Garcia,Rockets,2014-2015,REG,14,0.600,0.143,0.000,0.227,0.000,15.87,11.11,1.59,69.84,1.59,19.65,15.12,21.33
Jason Maxiell,Hornets,2014-2015,REG,61,0.500,0.322,0.304,0.000,0.000,57.29,30.73,11.98,0.00,0.00,7.09,5.42,8.31
Ian Mahinmi,Pacers,2014-2015,REG,61,0.601,0.250,0.188,0.000,0.000,86.73,5.69,7.58,0.00,0.00,3.66,2.16,5.48
David Lee,Warriors,2014-2015,REG,49,0.566,0.439,0.303,0.000,0.000,70.61,18.21,10.54,0.32,0.32,5.63,4.00,7.34
Brandon Bass,Celtics,2014-2015,REG,82,0.600,0.400,0.457,0.281,0.000,46.85,21.23,27.23,4.69,0.00,9.16,7.43,10.92
CJ Miles,Pacers,2014-2015,REG,70,0.565,0.366,0.391,0.349,0.000,19.47,9.92,16.69,53.33,0.60,18.35,16.18,19.78
Ersan Ilyasova,Bucks,2014-2015,REG,58,0.545,0.400,0.491,0.389,0.000,40.22,6.28,19.39,34.11,0.00,13.36,11.68,14.87
Ronny Turiaf,"Timberwolves, 76ers",2014-2015,REG,2,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Monta Ellis,Mavericks,2014-2015,REG,80,0.550,0.417,0.440,0.286,0.000,36.41,12.04,30.58,20.90,0.07,13.11,11.02,14.78
Louis Williams,Raptors,2014-2015,REG,80,0.519,0.418,0.441,0.342,0.000,20.77,15.49,15.71,47.91,0.11,17.34,15.66,18.48
Amir Johnson,Raptors,2014-2015,REG,75,0.605,0.448,0.478,0.413,0.000,80.71,5.71,4.53,9.06,0.00,5.52,4.38,7.05
Marcin Gortat,Wizards,2014-2015,REG,82,0.644,0.426,0.354,0.000,0.000,67.10,26.32,6.19,0.39,0.00,5.56,4.04,7.55
Ronnie Price,Lakers,2014-2015,REG,43,0.483,0.500,0.222,0.290,0.000,26.91,8.07,16.14,47.98,0.90,16.93,13.61,18.68
Jose Calderon,Knicks,2014-2015,REG,41,0.548,0.359,0.389,0.415,0.000,11.86,11.02,37.01,40.11,0.00,18.44,17.64,19.01
Shavlik Randolph,"Suns, Celtics",2014-2015,REG,21,0.231,1.000,0.500,0.000,0.000,74.29,5.71,5.71,14.29,0.00,7.80,5.78,8.50
Alan Anderson,Nets,2014-2015,REG,74,0.626,0.434,0.297,0.356,0.000,31.66,12.07,8.43,46.70,1.14,15.66,12.34,18.29
Will Bynum,Wizards,2014-2015,REG,7,0.667,0.250,0.333,0.000,0.000,29.03,12.90,29.03,29.03,0.00,14.81,7.80,18.14
Charles Hayes,Raptors,2014-2015,REG,29,0.476,0.500,0.000,0.000,0.000,91.30,8.70,0.00,0.00,0.00,3.15,3.14,3.17
John Lucas III,Pistons,2014-2015,REG,21,0.353,0.455,0.472,0.310,0.000,16.35,21.15,34.62,27.88,0.00,16.83,16.38,17.13
Andrea Bargnani,Knicks,2014-2015,REG,28,0.486,0.468,0.446,0.366,0.000,29.09,26.04,33.52,11.36,0.00,13.03,12.26,13.68
LaMarcus Aldridge,Trail Blazers,2014-2015,REG,71,0.594,0.406,0.416,0.356,0.000,32.01,24.17,36.40,7.35,0.07,12.35,10.72,13.77
Tyrus Thomas,Grizzlies,2014-2015,REG,2,0.000,1.000,0.000,0.000,0.000,0.00,100.00,0.00,0.00,0.00,12.00,12.00,0.00
Randy Foye,Nuggets,2014-2015,REG,50,0.486,0.273,0.286,0.362,0.000,17.91,2.74,13.93,64.68,0.75,19.99,18.47,20.87
Rudy Gay,Kings,2014-2015,REG,68,0.523,0.468,0.391,0.357,0.000,38.72,24.31,17.01,19.69,0.28,11.91,10.36,13.19
JJ Redick,Clippers,2014-2015,REG,78,0.570,0.453,0.507,0.437,0.000,12.90,8.00,30.28,48.83,0.00,19.02,18.41,19.57
Thabo Sefolosha,Hawks,2014-2015,REG,52,0.531,0.400,0.160,0.321,0.000,52.42,6.05,10.08,31.45,0.00,10.88,7.81,13.10
Shawne Williams,"Heat, Pistons",2014-2015,REG,63,0.491,0.368,0.479,0.360,0.000,18.33,6.33,16.00,59.33,0.00,18.30,17.20,19.04
Rajon Rondo,"Celtics, Mavericks",2014-2015,REG,68,0.538,0.366,0.323,0.318,0.000,46.36,11.01,29.30,13.18,0.16,10.88,8.42,12.71
Kyle Lowry,Raptors,2014-2015,REG,70,0.554,0.315,0.387,0.339,0.000,30.92,12.43,18.69,37.77,0.20,15.25,13.02,16.80
Shannon Brown,Heat,2014-2015,REG,5,0.500,0.000,0.000,0.429,0.000,42.11,5.26,15.79,36.84,0.00,12.84,10.14,14.42
Jordan Farmar,Clippers,2014-2015,REG,36,0.524,0.333,0.387,0.361,0.000,13.29,5.70,19.62,61.39,0.00,19.80,18.79,20.43
Joel Freeland,Trail Blazers,2014-2015,REG,48,0.564,0.455,0.375,0.000,0.000,51.66,21.85,26.49,0.00,0.00,8.60,7.30,9.86
Steve Novak,"Jazz, Thunder",2014-2015,REG,35,0.000,0.000,0.375,0.396,0.000,0.00,0.00,14.29,85.71,0.00,23.96,23.77,24.09
PJ Tucker,Suns,2014-2015,REG,78,0.557,0.405,0.403,0.345,0.000,38.59,7.05,12.08,42.28,0.00,13.90,11.38,15.86
Paul Millsap,Hawks,2014-2015,REG,73,0.573,0.310,0.422,0.356,0.000,55.38,12.47,8.92,23.23,0.00,9.84,7.72,11.77
Ryan Hollins,Kings,2014-2015,REG,45,0.703,0.500,0.400,0.000,0.000,80.00,7.50,12.50,0.00,0.00,4.44,3.08,6.96
Lou Amundson,"Cavaliers, Knicks",2014-2015,REG,52,0.436,0.378,0.500,0.000,0.000,76.47,17.65,5.49,0.00,0.39,4.87,4.21,5.37
Jose Juan Barea,Mavericks,2014-2015,REG,77,0.487,0.427,0.407,0.325,0.000,44.78,13.99,10.07,30.97,0.19,12.29,10.35,13.69
Kevin Durant,Thunder,2014-2015,REG,27,0.685,0.534,0.394,0.404,0.000,27.62,22.94,15.81,33.63,0.00,14.32,12.03,16.70
Al Horford,Hawks,2014-2015,REG,76,0.630,0.406,0.494,0.306,0.000,46.74,14.30,35.23,3.73,0.00,10.16,8.68,11.87
Mike Conley,Grizzlies,2014-2015,REG,70,0.517,0.467,0.355,0.392,0.000,40.32,14.06,14.29,30.88,0.46,13.04,11.22,14.51
Jeff Green,"Celtics, Grizzlies",2014-2015,REG,78,0.554,0.366,0.314,0.337,0.000,42.47,15.17,12.34,29.50,0.52,12.56,9.82,14.61
Corey Brewer,"Timberwolves, Rockets",2014-2015,REG,80,0.551,0.386,0.294,0.278,0.000,51.08,8.87,10.77,28.26,1.01,11.15,7.38,13.94
Brandan Wright,"Mavericks, Celtics, Suns",2014-2015,REG,75,0.672,0.488,0.500,0.000,0.000,85.67,11.85,1.65,0.55,0.28,3.35,2.24,5.35
Joakim Noah,Bulls,2014-2015,REG,67,0.476,0.429,0.325,0.000,0.000,78.22,3.28,18.03,0.00,0.47,5.35,4.03,6.41
Spencer Hawes,Clippers,2014-2015,REG,73,0.493,0.388,0.396,0.316,0.000,34.30,11.84,11.59,42.03,0.24,14.80,12.57,16.25
Thaddeus Young,"Timberwolves, Nets",2014-2015,REG,76,0.544,0.363,0.305,0.333,0.000,63.08,12.82,12.20,11.79,0.10,8.11,6.01,9.94
Rodney Stuckey,Pacers,2014-2015,REG,71,0.516,0.428,0.369,0.396,0.000,37.80,20.16,23.34,18.44,0.27,12.08,10.77,13.11
Nick Young,Lakers,2014-2015,REG,42,0.446,0.292,0.352,0.372,0.000,15.55,15.13,22.06,46.85,0.42,18.17,17.57,18.51
Marco Belinelli,Spurs,2014-2015,REG,62,0.465,0.500,0.462,0.376,0.000,18.30,10.21,22.55,48.72,0.21,18.00,16.85,18.84
Jason Smith,Knicks,2014-2015,REG,81,0.423,0.476,0.430,0.357,0.000,23.99,24.49,44.43,7.09,0.00,13.47,13.17,13.70
Jared Dudley,Bucks,2014-2015,REG,72,0.596,0.500,0.500,0.385,0.000,21.04,12.29,21.28,45.39,0.00,16.81,15.22,18.21
Wilson Chandler,Nuggets,2014-2015,REG,78,0.565,0.310,0.317,0.343,0.000,41.03,8.92,8.41,41.54,0.10,13.79,11.09,15.82
Aaron Brooks,Bulls,2014-2015,REG,82,0.465,0.450,0.300,0.392,0.000,40.76,13.59,7.34,37.82,0.49,13.59,12.33,14.50
Arron Afflalo,"Nuggets, Trail Blazers",2014-2015,REG,78,0.508,0.443,0.447,0.354,0.000,21.38,20.70,20.25,37.67,0.00,15.85,14.78,16.64
Tiago Splitter,Spurs,2014-2015,REG,52,0.566,0.438,0.000,0.000,0.000,94.39,5.28,0.33,0.00,0.00,2.74,2.38,3.19
Carl Landry,Kings,2014-2015,REG,70,0.565,0.564,0.410,0.000,0.000,52.62,15.15,32.23,0.00,0.00,8.81,7.52,10.19
Glen Davis,Clippers,2014-2015,REG,74,0.576,0.235,0.234,0.000,0.000,66.67,13.33,18.43,1.18,0.39,6.91,4.05,9.33
Josh McRoberts,Heat,2014-2015,REG,17,0.643,0.667,0.000,0.421,0.000,52.83,5.66,5.66,35.85,0.00,11.32,8.32,14.68
Marc Gasol,Grizzlies,2014-2015,REG,81,0.596,0.437,0.403,0.214,0.000,44.77,29.31,24.32,1.32,0.28,9.62,8.00,11.21
Ramon Sessions,"Kings, Wizards",2014-2015,REG,64,0.429,0.314,0.270,0.317,0.000,54.18,15.79,11.46,18.58,0.00,9.76,7.87,10.88
Joel Anthony,Pistons,2014-2015,REG,48,0.592,0.538,0.000,0.000,0.000,79.03,20.97,0.00,0.00,0.00,3.61,2.36,5.35
CJ Watson,Pacers,2014-2015,REG,57,0.530,0.404,0.411,0.407,0.000,23.98,11.27,22.78,41.25,0.72,16.58,15.24,17.60
Anthony Tolliver,"Suns, Pistons",2014-2015,REG,76,0.595,0.500,0.333,0.366,0.000,18.83,2.04,5.34,73.79,0.00,19.53,17.39,21.02
Michael Beasley,Heat,2014-2015,REG,24,0.609,0.435,0.319,0.235,0.000,32.55,29.25,22.17,16.04,0.00,12.14,9.70,14.02
O.J. Mayo,Bucks,2014-2015,REG,71,0.560,0.415,0.354,0.360,0.000,28.57,13.43,18.57,39.29,0.14,15.18,13.01,16.76
Derrick Rose,Bulls,2014-2015,REG,51,0.549,0.333,0.380,0.284,0.143,37.72,14.37,15.45,31.62,0.84,13.66,10.82,15.59
Russell Westbrook,Thunder,2014-2015,REG,67,0.522,0.409,0.365,0.301,0.000,43.07,19.02,18.33,19.43,0.14,11.30,9.08,12.95
Kevin Love,Cavaliers,2014-2015,REG,75,0.509,0.400,0.468,0.367,0.000,36.34,11.03,11.45,41.18,0.00,14.29,12.64,15.56
Danilo Gallinari,Nuggets,2014-2015,REG,59,0.515,0.472,0.358,0.357,0.250,23.94,6.34,16.73,52.29,0.70,17.73,15.89,18.96
Eric Gordon,Pelicans,2014-2015,REG,61,0.416,0.269,0.380,0.450,0.000,31.60,9.67,13.28,45.17,0.29,15.72,15.93,15.57
D.J. Augustin,"Pistons, Thunder",2014-2015,REG,82,0.467,0.400,0.343,0.345,0.000,42.48,9.30,10.39,36.90,0.93,13.68,11.35,15.23
Brook Lopez,Nets,2014-2015,REG,72,0.569,0.477,0.422,0.100,0.000,54.31,25.94,18.74,1.01,0.00,7.94,6.84,9.10
Jerryd Bayless,Bucks,2014-2015,REG,77,0.528,0.418,0.406,0.311,0.000,34.11,10.66,31.98,23.06,0.19,13.54,11.61,14.98
Jason Thompson,Kings,2014-2015,REG,81,0.527,0.439,0.371,0.000,0.000,58.75,15.83,25.18,0.00,0.24,8.33,6.92,9.59
Brandon Rush,Warriors,2014-2015,REG,33,0.308,0.250,0.300,0.111,0.000,24.07,7.41,18.52,50.00,0.00,17.48,14.18,18.33
Robin Lopez,Trail Blazers,2014-2015,REG,59,0.574,0.418,0.387,0.000,0.000,77.35,15.33,7.09,0.23,0.00,4.52,3.41,5.79
Marreese Speights,Warriors,2014-2015,REG,76,0.584,0.463,0.420,0.313,0.000,43.08,12.89,41.19,2.52,0.31,10.66,9.10,12.17
Roy Hibbert,Pacers,2014-2015,REG,76,0.506,0.357,0.440,0.000,0.000,49.01,29.58,21.13,0.28,0.00,8.54,7.80,9.14
JaVale McGee,"Nuggets, 76ers",2014-2015,REG,23,0.645,0.154,0.000,0.000,0.000,78.48,16.46,5.06,0.00,0.00,4.14,1.60,7.03
JJ Hickson,Nuggets,2014-2015,REG,73,0.528,0.301,0.227,0.000,0.000,78.87,15.90,4.79,0.22,0.22,4.29,2.68,5.75
Alexis Ajinca,Pelicans,2014-2015,REG,68,0.595,0.510,0.429,0.000,0.000,59.45,29.88,10.67,0.00,0.00,6.77,6.17,7.50
Ryan Anderson,Pelicans,2014-2015,REG,61,0.539,0.333,0.349,0.344,0.000,28.57,10.08,12.04,48.88,0.42,16.49,14.34,17.91
Courtney Lee,Grizzlies,2014-2015,REG,77,0.556,0.393,0.449,0.411,0.000,21.29,19.24,24.61,34.54,0.32,15.61,14.54,16.47
Kosta Koufos,Grizzlies,2014-2015,REG,81,0.563,0.328,0.333,0.000,0.000,76.70,17.33,5.97,0.00,0.00,4.95,3.84,6.10
Serge Ibaka,Thunder,2014-2015,REG,64,0.597,0.491,0.438,0.381,0.000,30.06,14.71,29.16,26.06,0.00,13.93,12.16,15.55
Nicolas Batum,Trail Blazers,2014-2015,REG,71,0.641,0.373,0.348,0.322,0.000,21.40,8.53,18.73,51.34,0.00,17.42,14.52,19.34
George Hill,Pacers,2014-2015,REG,43,0.617,0.483,0.450,0.361,0.000,32.71,16.26,14.95,35.70,0.37,14.46,12.01,16.69
Darrell Arthur,Nuggets,2014-2015,REG,58,0.603,0.404,0.431,0.239,0.000,19.01,14.84,37.50,28.39,0.26,16.32,14.04,17.86
Nikola Pekovic,Timberwolves,2014-2015,REG,31,0.431,0.349,1.000,0.000,0.000,86.28,13.11,0.61,0.00,0.00,3.79,3.11,4.29
Joey Dorsey,Rockets,2014-2015,REG,69,0.554,0.000,0.000,0.000,0.000,97.89,0.70,0.70,0.00,0.70,2.01,1.08,3.12
Mario Chalmers,Heat,2014-2015,REG,79,0.500,0.417,0.373,0.300,0.125,42.84,10.86,8.90,36.20,1.21,13.12,10.30,15.02
DeAndre Jordan,Clippers,2014-2015,REG,82,0.712,1.000,0.000,0.250,0.000,98.88,0.37,0.00,0.75,0.00,0.92,0.54,1.85
Omer Asik,Pelicans,2014-2015,REG,76,0.527,0.167,0.000,0.000,0.000,98.28,1.47,0.25,0.00,0.00,1.36,0.83,1.94
Luc Mbah a Moute,76ers,2014-2015,REG,67,0.488,0.333,0.373,0.308,0.000,38.68,4.25,25.31,31.60,0.16,13.80,11.48,15.32
Chris Douglas-Roberts,Clippers,2014-2015,REG,12,0.333,0.000,0.000,0.143,0.000,57.14,4.76,4.76,33.33,0.00,10.29,4.80,12.00
Goran Dragic,"Suns, Heat",2014-2015,REG,78,0.651,0.364,0.354,0.347,0.000,49.50,15.07,9.58,25.85,0.00,10.55,7.70,13.41
Henry Walker,Heat,2014-2015,REG,24,0.357,0.400,0.333,0.344,0.000,16.67,2.98,1.79,77.98,0.60,20.71,20.05,21.06
Anthony Morrow,Thunder,2014-2015,REG,74,0.547,0.460,0.481,0.432,0.000,15.55,18.49,13.26,52.70,0.00,17.66,16.82,18.38
Cartier Martin,Pistons,2014-2015,REG,23,0.429,0.333,0.500,0.188,0.000,13.21,5.66,18.87,60.38,1.89,20.38,17.20,21.63
Greg Stiemsma,Raptors,2014-2015,REG,17,0.714,1.000,0.000,0.000,0.000,87.50,12.50,0.00,0.00,0.00,3.50,3.50,3.50
Blake Griffin,Clippers,2014-2015,REG,67,0.602,0.414,0.404,0.417,0.000,48.78,11.19,37.85,2.10,0.09,9.97,8.06,11.88
James Harden,Rockets,2014-2015,REG,81,0.541,0.426,0.337,0.375,0.000,39.71,9.39,13.12,37.78,0.00,13.52,11.43,15.15
Tyreke Evans,Pelicans,2014-2015,REG,79,0.505,0.263,0.386,0.315,0.000,65.73,3.33,11.13,19.19,0.61,8.73,6.61,10.43
Ricky Rubio,Timberwolves,2014-2015,REG,22,0.317,0.435,0.404,0.255,0.000,18.72,10.50,47.49,23.29,0.00,16.11,16.10,16.12
Stephen Curry,Warriors,2014-2015,REG,80,0.632,0.464,0.396,0.450,0.000,26.06,9.44,16.39,47.51,0.60,17.12,15.22,18.91
Jordan Hill,Lakers,2014-2015,REG,70,0.558,0.363,0.394,0.273,0.000,44.02,17.37,37.19,1.42,0.00,10.45,8.74,11.91
DeMar DeRozan,Raptors,2014-2015,REG,60,0.553,0.370,0.350,0.280,0.000,30.22,27.21,33.85,8.52,0.21,12.33,10.35,13.71
Brandon Jennings,Pistons,2014-2015,REG,41,0.471,0.322,0.391,0.362,0.000,37.57,10.87,12.71,38.67,0.18,14.08,12.56,15.10
Gerald Henderson,Hornets,2014-2015,REG,80,0.556,0.406,0.406,0.331,0.000,28.45,22.08,33.41,16.06,0.00,13.17,11.48,14.48
Tyler Hansbrough,Raptors,2014-2015,REG,74,0.544,0.400,0.500,0.143,0.000,89.09,3.03,3.64,4.24,0.00,3.54,2.49,4.68
Earl Clark,Nets,2014-2015,REG,10,0.750,0.000,0.364,0.286,0.000,13.33,3.33,36.67,46.67,0.00,18.73,16.00,20.32
Austin Daye,"Spurs, Hawks",2014-2015,REG,34,0.375,0.385,0.350,0.343,0.000,17.14,18.57,14.29,50.00,0.00,17.36,16.54,17.82
James Johnson,Raptors,2014-2015,REG,70,0.690,0.360,0.400,0.208,0.000,74.55,6.49,6.49,12.47,0.00,6.35,3.51,10.42
Jrue Holiday,Pelicans,2014-2015,REG,40,0.510,0.471,0.352,0.389,0.000,37.91,23.02,13.73,25.34,0.00,12.22,11.02,13.19
Ty Lawson,Nuggets,2014-2015,REG,75,0.543,0.470,0.347,0.352,0.000,33.59,19.98,24.30,21.49,0.65,13.30,11.02,15.06
Jeff Teague,Hawks,2014-2015,REG,73,0.524,0.437,0.405,0.343,0.000,54.90,13.42,8.34,23.34,0.00,10.00,8.07,11.64
Darren Collison,Kings,2014-2015,REG,45,0.580,0.456,0.479,0.380,0.000,31.93,12.48,26.06,28.99,0.55,14.30,12.33,16.09
Omri Casspi,Kings,2014-2015,REG,67,0.551,0.250,0.222,0.400,0.000,68.82,8.63,2.16,20.38,0.00,8.04,6.17,9.82
Taj Gibson,Bulls,2014-2015,REG,62,0.546,0.380,0.415,0.000,0.000,72.19,19.72,8.09,0.00,0.00,5.09,3.79,6.41
DeMarre Carroll,Hawks,2014-2015,REG,70,0.608,0.400,0.463,0.395,0.000,41.04,6.13,6.28,46.55,0.00,13.82,11.51,16.02
Wayne Ellington,Lakers,2014-2015,REG,65,0.535,0.377,0.392,0.370,0.000,20.58,8.59,31.44,39.38,0.00,17.08,15.69,18.05
Toney Douglas,Pelicans,2014-2015,REG,12,0.688,0.000,0.333,0.278,0.000,31.37,15.69,17.65,35.29,0.00,14.82,10.32,17.50
Victor Claver,Trail Blazers,2014-2015,REG,10,0.286,0.000,0.500,0.545,0.000,35.00,0.00,10.00,55.00,0.00,15.70,18.33,13.55
Jeff Ayres,Spurs,2014-2015,REG,51,0.649,0.353,0.250,0.000,0.000,77.89,17.89,4.21,0.00,0.00,3.81,2.33,5.85
Dante Cunningham,Pelicans,2014-2015,REG,66,0.571,0.333,0.426,0.111,0.000,33.04,7.96,56.05,2.65,0.29,13.28,11.53,14.75
DeJuan Blair,Wizards,2014-2015,REG,29,0.532,0.111,0.000,0.000,0.000,82.46,15.79,1.75,0.00,0.00,4.67,3.35,5.77
Jonas Jerebko,"Pistons, Celtics",2014-2015,REG,75,0.535,0.261,0.421,0.386,0.000,41.95,6.07,15.04,36.94,0.00,13.37,11.46,14.91
Jodie Meeks,Pistons,2014-2015,REG,60,0.510,0.467,0.372,0.349,0.000,28.65,14.04,17.60,39.70,0.00,15.31,13.49,16.61
Patrick Beverley,Rockets,2014-2015,REG,56,0.459,0.371,0.235,0.356,0.000,29.51,6.58,3.20,60.71,0.00,16.62,15.35,17.41
Marcus Thornton,"Celtics, Suns",2014-2015,REG,48,0.470,0.286,0.391,0.380,0.000,33.91,6.09,18.55,41.16,0.29,15.37,14.05,16.27
Chase Budinger,Timberwolves,2014-2015,REG,67,0.550,0.356,0.358,0.364,0.000,38.21,11.54,13.59,36.67,0.00,13.53,11.34,15.20
Nick Calathes,Grizzlies,2014-2015,REG,58,0.531,0.306,0.190,0.250,0.000,58.61,14.75,8.61,18.03,0.00,9.06,5.96,11.28
Danny Green,Spurs,2014-2015,REG,81,0.551,0.377,0.347,0.419,0.000,21.14,7.18,9.76,61.79,0.14,18.04,16.85,18.96
A.J. Price,"Pacers, Cavaliers, Suns",2014-2015,REG,26,0.400,0.471,0.452,0.263,0.000,10.95,24.82,22.63,41.61,0.00,17.82,16.29,18.73
Patty Mills,Spurs,2014-2015,REG,51,0.473,0.308,0.438,0.343,0.000,16.37,7.74,21.73,53.87,0.30,18.61,17.42,19.35
Lester Hudson,Clippers,2014-2015,REG,5,0.600,0.000,0.000,0.500,0.000,35.71,7.14,14.29,42.86,0.00,15.14,13.17,16.63
Garrett Temple,Wizards,2014-2015,REG,52,0.500,0.308,0.360,0.379,0.000,25.88,7.65,14.71,51.18,0.59,16.81,15.44,17.72
Jerel McNeal,Suns,2014-2015,REG,6,0.333,0.250,0.000,0.500,0.000,27.27,36.36,18.18,18.18,0.00,12.00,13.67,11.38
Wesley Matthews,Trail Blazers,2014-2015,REG,60,0.598,0.459,0.453,0.387,0.000,22.47,9.84,8.51,59.18,0.00,17.54,15.79,18.95
Alonzo Gee,"Nuggets, Trail Blazers",2014-2015,REG,54,0.547,0.083,0.273,0.371,0.000,68.82,6.45,5.91,18.82,0.00,7.11,4.66,9.26
Reggie Williams,Spurs,2014-2015,REG,20,0.750,0.400,0.333,0.167,0.000,31.58,13.16,7.89,47.37,0.00,14.66,8.27,18.83
John Wall,Wizards,2014-2015,REG,79,0.578,0.420,0.396,0.310,0.000,34.76,14.51,32.10,18.03,0.60,13.04,10.56,15.03
Evan Turner,Celtics,2014-2015,REG,82,0.502,0.443,0.408,0.277,0.000,33.11,30.56,20.38,15.95,0.00,11.82,10.34,12.93
Derrick Favors,Jazz,2014-2015,REG,74,0.630,0.371,0.341,0.167,0.000,61.34,24.53,13.47,0.66,0.00,6.80,4.82,8.98
Wesley Johnson,Lakers,2014-2015,REG,76,0.631,0.405,0.349,0.354,0.000,20.41,11.43,30.68,37.19,0.29,16.78,14.53,18.37
DeMarcus Cousins,Kings,2014-2015,REG,59,0.521,0.342,0.383,0.250,0.000,64.82,10.69,23.73,0.75,0.00,7.23,5.73,8.55
Ekpe Udoh,Clippers,2014-2015,REG,33,0.545,0.417,0.000,0.000,0.000,45.83,50.00,4.17,0.00,0.00,7.75,7.09,8.31
Greg Monroe,Pistons,2014-2015,REG,69,0.514,0.345,0.351,0.000,0.000,89.21,6.45,4.34,0.00,0.00,3.51,2.65,4.37
Al-Farouq Aminu,Mavericks,2014-2015,REG,74,0.529,0.526,0.120,0.274,0.000,52.94,5.32,7.00,34.73,0.00,10.96,7.17,13.60
