Player,Team,Season,Season Type,Games,AbvBrk3_Usage,MR_Usage,Paint_Usage,RA_Usage,RC3_Usage,LC3_Usage,BC_Usage,AbvBrk3%,MR%,Paint%,RA%,RC3%,LC3%,BC3%
Player,Team,Season,Season Type,Games,Above the Break 3-Usage,Mid-Range-Usage,In The Paint (Non-RA)-Usage,Restricted Area-Usage,Right Corner 3-Usage,Left Corner 3-Usage,Backcourt-Usage,Above the Break 3 %,Mid-Range %,In The Paint (Non-RA) %,Restricted Area %,Right Corner 3 %,Left Corner 3 %,Backcourt %
Aaron Brooks,"Rockets, Nuggets",2013-2014,REG,72,35.28,14.29,18.59,24.27,3.61,3.10,0.86,0.380,0.386,0.333,0.489,0.333,0.556,0.200
Wilson Chandler,Nuggets,2013-2014,REG,62,29.13,17.62,9.62,25.20,9.49,8.40,0.54,0.312,0.354,0.366,0.608,0.386,0.452,0.000
Jared Dudley,Clippers,2013-2014,REG,74,30.49,32.51,5.83,11.43,14.57,5.16,0.00,0.316,0.497,0.462,0.608,0.446,0.391,0.000
Jason Smith,Pelicans,2013-2014,REG,31,0.00,74.11,7.80,18.09,0.00,0.00,0.00,0.000,0.450,0.455,0.529,0.000,0.000,0.000
Marco Belinelli,Spurs,2013-2014,REG,80,29.35,30.36,7.77,19.71,5.61,6.76,0.43,0.426,0.436,0.444,0.693,0.462,0.447,0.000
Nick Young,Lakers,2013-2014,REG,64,28.01,30.48,11.70,18.45,6.52,4.72,0.11,0.365,0.413,0.375,0.616,0.466,0.405,0.000
Rodney Stuckey,Pistons,2013-2014,REG,73,4.10,37.40,20.98,31.30,2.58,3.17,0.47,0.171,0.370,0.385,0.603,0.500,0.259,0.000
Thaddeus Young,76ers,2013-2014,REG,79,18.47,17.15,16.13,43.96,0.70,3.59,0.00,0.308,0.336,0.377,0.603,0.333,0.304,0.000
Spencer Hawes,"76ers, Cavaliers",2013-2014,REG,80,32.16,15.18,16.99,32.96,0.45,2.15,0.11,0.423,0.396,0.373,0.570,0.000,0.421,0.000
Joakim Noah,Bulls,2013-2014,REG,80,0.00,22.88,19.25,57.63,0.00,0.13,0.13,0.000,0.377,0.357,0.555,0.000,0.000,0.000
Brandan Wright,Mavericks,2013-2014,REG,58,0.00,7.85,24.47,67.67,0.00,0.00,0.00,0.000,0.423,0.444,0.790,0.000,0.000,0.000
Corey Brewer,Timberwolves,2013-2014,REG,81,9.53,13.00,9.16,51.73,8.29,7.67,0.62,0.234,0.286,0.378,0.648,0.299,0.323,0.200
Jeff Green,Celtics,2013-2014,REG,82,24.00,25.70,12.89,27.58,5.47,3.93,0.43,0.327,0.316,0.331,0.625,0.422,0.348,0.000
Mike Conley,Grizzlies,2013-2014,REG,73,22.91,23.69,18.64,29.42,2.43,2.43,0.49,0.381,0.426,0.396,0.587,0.360,0.240,0.000
Al Horford,Hawks,2013-2014,REG,29,0.00,43.57,19.05,34.76,1.43,1.19,0.00,0.000,0.481,0.450,0.753,0.333,0.400,0.000
Kevin Durant,Thunder,2013-2014,REG,81,27.43,30.15,16.29,24.47,1.13,0.47,0.06,0.391,0.444,0.404,0.775,0.368,0.500,0.000
Greg Oden,Heat,2013-2014,REG,23,0.00,6.12,22.45,71.43,0.00,0.00,0.00,0.000,0.000,0.273,0.686,0.000,0.000,0.000
Michael Harris,Jazz,2013-2014,REG,20,1.64,59.02,9.84,27.87,0.00,1.64,0.00,0.000,0.361,0.667,0.706,0.000,0.000,0.000
Jose Juan Barea,Timberwolves,2013-2014,REG,79,31.86,19.36,12.50,32.93,0.46,2.90,0.00,0.306,0.370,0.341,0.491,0.333,0.421,0.000
Lou Amundson,"Pelicans, Bulls",2013-2014,REG,19,0.00,3.13,12.50,84.38,0.00,0.00,0.00,0.000,0.000,0.250,0.556,0.000,0.000,0.000
Ryan Hollins,Clippers,2013-2014,REG,61,0.00,2.78,23.61,73.61,0.00,0.00,0.00,0.000,0.500,0.471,0.830,0.000,0.000,0.000
Paul Millsap,Hawks,2013-2014,REG,74,16.05,20.63,18.82,40.31,2.48,1.53,0.19,0.357,0.319,0.431,0.600,0.308,0.438,0.500
PJ Tucker,Suns,2013-2014,REG,81,3.75,14.17,14.98,39.90,15.15,11.89,0.16,0.261,0.333,0.402,0.510,0.355,0.479,0.000
Solomon Jones,Magic,2013-2014,REG,11,0.00,58.82,5.88,35.29,0.00,0.00,0.00,0.000,0.400,0.000,0.333,0.000,0.000,0.000
Steve Novak,Raptors,2013-2014,REG,54,57.53,15.07,0.68,0.68,8.22,17.81,0.00,0.429,0.364,0.000,0.000,0.667,0.308,0.000
Joel Freeland,Trail Blazers,2013-2014,REG,52,1.24,37.27,15.53,45.96,0.00,0.00,0.00,0.000,0.450,0.280,0.581,0.000,0.000,0.000
Jordan Farmar,Lakers,2013-2014,REG,41,34.44,25.62,6.34,24.24,3.31,6.06,0.00,0.400,0.366,0.348,0.443,0.667,0.500,0.000
Shannon Brown,"Spurs, Knicks",2013-2014,REG,29,3.03,45.45,9.09,42.42,0.00,0.00,0.00,0.000,0.167,0.167,0.643,0.000,0.000,0.000
Kyle Lowry,Raptors,2013-2014,REG,79,40.65,16.94,13.06,23.70,2.04,3.43,0.19,0.383,0.333,0.383,0.594,0.273,0.405,0.500
Rajon Rondo,Celtics,2013-2014,REG,30,22.57,20.29,16.00,38.00,2.29,0.57,0.29,0.291,0.437,0.268,0.519,0.250,0.500,0.000
Shawne Williams,Lakers,2013-2014,REG,36,36.84,14.21,2.63,16.32,13.16,16.32,0.53,0.314,0.556,0.200,0.484,0.360,0.355,0.000
Ronnie Brewer,"Rockets, Bulls",2013-2014,REG,24,13.33,20.00,6.67,20.00,13.33,26.67,0.00,0.000,0.000,0.000,0.667,0.000,0.250,0.000
Thabo Sefolosha,Thunder,2013-2014,REG,61,19.71,15.88,6.18,33.24,12.06,12.94,0.00,0.284,0.370,0.238,0.602,0.317,0.364,0.000
Hilton Armstrong,Warriors,2013-2014,REG,14,0.00,36.84,10.53,52.63,0.00,0.00,0.00,0.000,0.286,0.000,0.700,0.000,0.000,0.000
JJ Redick,Clippers,2013-2014,REG,35,33.17,34.67,7.04,11.81,5.78,7.54,0.00,0.356,0.493,0.286,0.681,0.435,0.533,0.000
Rudy Gay,"Kings, Raptors",2013-2014,REG,73,12.98,33.50,19.93,29.86,2.21,1.53,0.00,0.340,0.390,0.438,0.611,0.308,0.278,0.000
Randy Foye,Nuggets,2013-2014,REG,81,46.29,18.40,6.86,17.83,4.69,5.49,0.46,0.368,0.416,0.300,0.558,0.463,0.438,0.000
LaMarcus Aldridge,Trail Blazers,2013-2014,REG,69,0.91,63.18,14.34,21.43,0.00,0.07,0.07,0.231,0.422,0.363,0.643,0.000,0.000,0.000
Andrea Bargnani,Knicks,2013-2014,REG,42,21.12,37.25,17.73,23.51,0.00,0.40,0.00,0.274,0.455,0.438,0.576,0.000,0.500,0.000
John Lucas III,Jazz,2013-2014,REG,42,28.42,29.47,14.74,11.58,7.89,7.89,0.00,0.278,0.357,0.179,0.545,0.400,0.267,0.000
Charles Hayes,"Kings, Raptors",2013-2014,REG,61,0.00,3.85,43.08,52.31,0.00,0.00,0.77,0.000,0.400,0.286,0.559,0.000,0.000,0.000
Will Bynum,Pistons,2013-2014,REG,56,13.26,27.91,19.07,38.60,0.00,0.93,0.23,0.351,0.350,0.329,0.572,0.000,0.000,0.000
Alan Anderson,Nets,2013-2014,REG,78,31.75,20.62,8.45,19.79,9.48,9.48,0.41,0.370,0.380,0.293,0.625,0.217,0.370,0.000
Shavlik Randolph,Suns,2013-2014,REG,14,0.00,0.00,14.29,85.71,0.00,0.00,0.00,0.000,0.000,0.000,0.583,0.000,0.000,0.000
Jose Calderon,Mavericks,2013-2014,REG,81,46.26,30.75,2.94,9.49,3.07,7.22,0.27,0.436,0.426,0.273,0.648,0.565,0.500,0.000
Ronnie Price,Magic,2013-2014,REG,31,38.04,25.00,7.61,20.65,5.43,2.17,1.09,0.257,0.304,0.714,0.368,0.000,0.000,0.000
Marcin Gortat,Wizards,2013-2014,REG,81,0.12,28.81,26.19,44.88,0.00,0.00,0.00,1.000,0.388,0.418,0.711,0.000,0.000,0.000
Amir Johnson,Raptors,2013-2014,REG,77,8.17,15.20,22.88,51.14,1.96,0.65,0.00,0.340,0.441,0.486,0.687,0.083,0.500,0.000
Ryan Gomes,Thunder,2013-2014,REG,5,0.00,62.50,12.50,0.00,12.50,12.50,0.00,0.000,0.400,1.000,0.000,0.000,0.000,0.000
Andray Blatche,Nets,2013-2014,REG,73,5.04,34.72,13.80,43.47,1.48,0.74,0.74,0.294,0.350,0.398,0.638,0.300,0.400,0.000
Louis Williams,Hawks,2013-2014,REG,60,32.05,24.14,12.98,16.02,4.67,9.53,0.61,0.348,0.328,0.469,0.620,0.565,0.234,0.000
Monta Ellis,Mavericks,2013-2014,REG,82,12.52,31.77,16.82,35.05,0.94,2.82,0.08,0.269,0.387,0.372,0.603,0.417,0.583,0.000
Ronny Turiaf,Timberwolves,2013-2014,REG,31,0.00,2.80,15.89,81.31,0.00,0.00,0.00,0.000,0.333,0.353,0.655,0.000,0.000,0.000
Ersan Ilyasova,Bucks,2013-2014,REG,55,20.03,37.13,8.46,31.78,1.55,1.04,0.00,0.293,0.395,0.327,0.538,0.222,0.167,0.000
CJ Miles,Cavaliers,2013-2014,REG,51,37.75,18.87,11.27,18.38,5.15,8.09,0.49,0.370,0.429,0.435,0.560,0.524,0.455,0.000
Brandon Bass,Celtics,2013-2014,REG,82,0.41,43.86,16.69,38.62,0.14,0.14,0.14,0.667,0.459,0.364,0.571,0.000,0.000,0.000
David Lee,Warriors,2013-2014,REG,69,0.10,16.62,30.07,53.21,0.00,0.00,0.00,0.000,0.374,0.431,0.623,0.000,0.000,0.000
Ian Mahinmi,Pacers,2013-2014,REG,77,0.00,17.46,9.52,72.49,0.00,0.00,0.53,0.000,0.303,0.389,0.540,0.000,0.000,0.000
Jason Maxiell,Magic,2013-2014,REG,34,0.00,38.10,34.29,27.62,0.00,0.00,0.00,0.000,0.350,0.528,0.483,0.000,0.000,0.000
Francisco Garcia,Rockets,2013-2014,REG,55,43.34,9.56,5.46,19.45,12.63,9.56,0.00,0.323,0.250,0.375,0.632,0.541,0.250,0.000
Jarrett Jack,Cavaliers,2013-2014,REG,80,17.48,44.70,18.77,10.03,3.87,4.44,0.72,0.320,0.394,0.450,0.586,0.407,0.419,0.000
Nate Robinson,Nuggets,2013-2014,REG,44,30.55,25.33,9.40,25.07,5.22,4.44,0.00,0.333,0.351,0.250,0.656,0.450,0.588,0.000
Gerald Green,Suns,2013-2014,REG,82,36.42,27.16,6.97,15.22,6.77,7.26,0.20,0.374,0.388,0.529,0.660,0.397,0.534,0.000
Danny Granger,"Pacers, 76ers, Clippers",2013-2014,REG,41,27.69,23.78,11.40,23.13,6.19,7.82,0.00,0.306,0.370,0.229,0.535,0.368,0.417,0.000
Andrew Bynum,"Cavaliers, Pacers",2013-2014,REG,26,0.00,28.00,38.22,33.78,0.00,0.00,0.00,0.000,0.333,0.419,0.487,0.000,0.000,0.000
Deron Williams,Nets,2013-2014,REG,64,30.45,27.93,14.25,20.39,3.49,3.21,0.28,0.358,0.465,0.412,0.610,0.360,0.478,0.000
Channing Frye,Suns,2013-2014,REG,82,49.61,23.01,8.74,12.72,3.21,2.31,0.39,0.383,0.458,0.471,0.626,0.280,0.278,0.000
