name,position,age,Teams,GP,GS,MP,FG PP,FGA PP,FG %,FG3 PP,FG3A PP,FG3 %,FG2 PP,FG2A PP,FG2 %,FT PP,FTA PP,FT %,ORB PP,DRB PP,TRB PP,APP,SPP,BPP,TO PP,Fouls PP,PPP,Off. Ra
Tariq Abdul-Wahad,SG,25,Tariq Abdul-Wahad,61,56,1578,8.6,20.3,.424,0.1,0.7,.130,8.5,19.6,.435,4.6,6.1,.756,3.2,6.0,9.2,3.1,1.9,0.9,3.3,4.6,21.9,98
Tariq Abdul-Wahad,SG,25,Tariq Abdul-Wahad,46,46,1205,9.1,21.1,.433,0.1,0.9,.095,9.0,20.2,.447,4.7,6.2,.762,3.2,6.6,9.8,2.9,2.2,0.7,3.6,4.7,23.0,98
Tariq Abdul-Wahad,SG,25,Tariq Abdul-Wahad,15,10,373,6.9,17.8,.389,0.1,0.3,.500,6.8,17.5,.388,4.2,5.7,.738,3.3,3.8,7.1,3.5,0.8,1.6,2.6,4.2,18.2,96
Shareef Abdur-Rahim,SF,23,Shareef Abdur-Rahim,82,82,3223,9.7,20.9,.465,0.5,1.6,.302,9.3,19.3,.478,7.3,9.0,.809,3.6,9.9,13.5,4.4,1.5,1.4,4.1,4.0,27.2,108
Cory Alexander,PG,26,Cory Alexander,29,2,329,4.3,15.1,.286,1.4,5.4,.257,2.9,9.7,.302,2.6,3.4,.773,1.2,5.2,6.5,8.9,3.7,0.3,4.3,6.0,12.6,84
Ray Allen,SG,24,Ray Allen,82,82,3070,10.8,23.8,.455,2.9,6.9,.423,7.9,16.9,.468,6.0,6.7,.887,1.4,4.7,6.1,5.2,1.9,0.3,3.1,3.2,30.5,115
Rafer Alston,PG,23,Rafer Alston,27,0,361,3.9,13.6,.284,0.4,2.0,.214,3.4,11.6,.296,0.4,0.6,.750,0.7,2.6,3.3,10.0,1.7,0.0,4.2,4.2,8.6,76
John Amaechi,C,29,John Amaechi,80,53,1684,9.0,20.5,.437,0.0,0.2,.167,8.9,20.3,.439,6.5,8.5,.766,1.8,6.0,7.8,2.8,1.0,1.1,4.1,4.7,24.5,98
Derek Anderson,SG,25,Derek Anderson,64,58,2201,8.8,20.0,.438,1.3,4.1,.309,7.5,15.8,.472,6.3,7.2,.877,1.9,4.1,6.0,5.1,2.1,0.3,3.9,3.5,25.1,105
Kenny Anderson,PG,29,Kenny Anderson,82,82,2593,8.5,19.3,.440,1.7,4.3,.386,6.8,15.0,.456,3.8,5.0,.775,1.1,3.3,4.4,8.2,2.7,0.2,2.5,4.5,22.5,112
