name,position,age,Teams,GP,GS,MP,FG PP,FGA PP,FG %,FG3 PP,FG3A PP,FG3 %,FG2 PP,FG2A PP,FG2 %,FT PP,FTA PP,FT %,ORB PP,DRB PP,TRB PP,APP,SPP,BPP,TO PP,Fouls PP,PPP,Off. Ra
Shareef Abdur-Rahim,C,30,Shareef Abdur-Rahim,80,45,2015,7.8,16.4,.474,0.1,0.5,.150,7.7,15.9,.484,4.3,5.9,.726,3.1,6.9,10.0,2.7,1.3,1.0,2.9,6.1,19.9,103
Hassan Adams,SG,22,Hassan Adams,61,8,495,8.0,14.3,.556,0.0,0.1,.000,8.0,14.2,.560,2.5,3.8,.667,3.7,4.5,8.2,1.4,1.8,0.4,2.3,5.0,18.5,109
Maurice Ager,SG,22,Maurice Ager,32,1,214,5.5,17.5,.314,1.3,3.8,.333,4.3,13.8,.309,5.0,8.3,.606,0.3,5.0,5.3,1.8,1.0,0.8,3.8,6.8,17.3,79
LaMarcus Aldridge,C,21,LaMarcus Aldridge,63,22,1392,9.4,18.7,.503,0.0,0.1,.000,9.4,18.6,.505,3.2,4.5,.722,5.6,6.6,12.2,0.9,0.9,2.8,1.7,7.3,22.1,113
Malik Allen,PF,28,Malik Allen,60,1,638,8.6,20.7,.415,0.0,0.1,.000,8.6,20.6,.416,2.2,2.7,.824,3.4,6.2,9.6,1.3,1.4,1.3,1.7,6.8,19.4,96
Ray Allen,SG,31,Ray Allen,55,55,2219,11.9,27.2,.438,3.9,10.4,.372,8.0,16.7,.479,6.6,7.3,.903,1.3,4.5,5.8,5.4,1.9,0.3,3.6,2.7,34.3,112
Tony Allen,SG,25,Tony Allen,33,18,805,8.6,16.8,.514,0.5,2.1,.242,8.1,14.6,.553,6.8,8.7,.784,2.3,5.8,8.0,3.6,3.2,0.8,4.9,5.6,24.6,105
Rafer Alston,PG,30,Rafer Alston,82,82,3040,6.7,17.8,.375,3.3,9.2,.363,3.3,8.5,.389,2.3,3.1,.734,0.5,4.4,4.9,7.7,2.2,0.2,3.0,3.4,18.9,103
Lou Amundson,PF,24,Lou Amundson,11,0,89,3.6,8.9,.400,0.0,0.0,,3.6,8.9,.400,2.4,5.9,.400,7.7,8.9,16.6,0.6,0.6,4.8,3.0,8.9,9.5,91
Lou Amundson,PF,24,Lou Amundson,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Lou Amundson,PF,24,Lou Amundson,10,0,87,3.6,9.1,.400,0.0,0.0,,3.6,9.1,.400,2.4,6.1,.400,7.9,9.1,17.0,0.6,0.6,4.9,3.0,9.1,9.7,91
Alan Anderson,SG,24,Alan Anderson,17,0,256,7.5,16.5,.457,1.0,4.1,.250,6.5,12.4,.525,3.9,4.7,.826,2.2,4.3,6.5,4.3,1.4,0.0,4.5,6.7,20.0,97
Derek Anderson,SF,32,Derek Anderson,50,32,1190,5.5,12.9,.429,2.4,6.7,.355,3.2,6.2,.507,4.1,4.6,.877,1.3,3.7,5.0,5.8,2.3,0.3,2.5,5.0,17.5,116
Carmelo Anthony,SF,22,Carmelo Anthony,65,65,2486,13.7,28.8,.476,0.8,3.0,.268,12.9,25.8,.499,9.1,11.3,.808,2.8,4.9,7.7,4.9,1.5,0.5,4.6,4.0,37.3,109
Rafael Araújo,C,26,Rafael Araújo,28,0,248,5.7,13.7,.415,0.0,0.0,,5.7,13.7,.415,3.8,6.1,.621,4.6,9.3,13.9,2.1,1.3,0.4,3.6,8.2,15.2,93
Gilbert Arenas,PG,25,Gilbert Arenas,74,73,2942,11.2,26.8,.418,3.6,10.1,.351,7.7,16.7,.459,10.5,12.5,.844,1.1,4.8,5.9,7.7,2.4,0.2,4.1,4.3,36.5,115
Trevor Ariza,SG,21,Trevor Ariza,57,7,1278,8.4,15.5,.539,0.0,0.3,.000,8.4,15.2,.549,4.4,7.1,.620,4.1,6.3,10.4,2.7,2.5,0.8,3.5,5.6,21.2,108
Darrell Armstrong,PG,38,Darrell Armstrong,81,4,1275,6.4,15.4,.414,2.9,8.7,.336,3.4,6.6,.515,3.0,3.8,.785,1.4,4.1,5.5,7.8,2.9,0.2,3.1,4.2,18.6,110
Hilton Armstrong,C,22,Hilton Armstrong,56,5,634,5.7,10.5,.544,0.0,0.0,,5.7,10.5,.544,3.4,5.6,.597,4.9,7.6,12.5,0.8,1.0,2.2,2.9,6.6,14.8,106
Carlos Arroyo,PG,27,Carlos Arroyo,72,5,1304,8.3,19.6,.425,0.6,2.1,.275,7.7,17.5,.443,5.4,6.8,.795,1.3,4.2,5.5,8.3,1.6,0.1,3.7,5.4,22.6,105
Chucky Atkins,PG,32,Chucky Atkins,75,23,2064,7.7,17.8,.434,2.9,7.6,.379,4.8,10.2,.474,6.3,7.7,.810,0.4,3.0,3.5,8.6,1.2,0.1,3.2,3.4,24.5,117
James Augustine,PF,22,James Augustine,2,0,7,7.6,22.9,.333,0.0,0.0,,7.6,22.9,.333,0.0,0.0,,7.6,15.3,22.9,15.3,0.0,0.0,0.0,15.3,15.3,112
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelenna Azubuike,SG,23,Kelenna Azubuike,41,9,669,7.1,15.9,.445,2.5,5.7,.430,4.6,10.2,.454,4.4,5.6,.782,1.9,4.9,6.8,2.0,1.6,0.7,2.8,3.5,21.1,108
Renaldo Balkman,SF,22,Renaldo Balkman,68,1,1064,6.9,13.7,.505,0.2,1.3,.185,6.7,12.3,.540,2.5,4.5,.567,4.8,9.8,14.6,2.2,2.8,2.2,2.4,7.3,16.6,109
Marcus Banks,PG,25,Marcus Banks,45,1,503,8.4,19.6,.429,0.5,2.9,.172,7.9,16.7,.473,4.8,6.0,.800,1.0,2.8,3.8,6.0,2.3,0.3,4.0,7.0,22.1,97
Leandro Barbosa,SG,24,Leandro Barbosa,80,18,2613,10.2,21.3,.476,3.6,8.4,.434,6.5,12.9,.504,3.8,4.5,.845,0.4,3.7,4.1,6.1,1.8,0.3,2.8,4.0,27.7,115
J.J. Barea,PG,22,J.J. Barea,33,1,191,7.9,21.9,.359,1.7,5.9,.286,6.2,16.0,.386,4.5,6.7,.667,2.0,5.1,7.0,6.7,0.3,0.3,3.9,5.3,21.9,94
Andrea Bargnani,PF,21,Andrea Bargnani,65,2,1629,8.5,19.9,.427,3.2,8.5,.373,5.3,11.4,.468,3.7,4.5,.824,1.7,6.5,8.1,1.6,1.0,1.7,3.4,5.7,23.9,99
Matt Barnes,PF,26,Matt Barnes,76,23,1813,7.3,16.8,.438,2.8,7.7,.366,4.5,9.0,.500,2.4,3.3,.732,2.4,6.9,9.3,4.2,1.9,1.1,2.8,5.0,19.9,107
Andre Barrett,PG,24,Andre Barrett,6,0,29,7.1,14.1,.500,0.0,0.0,,7.1,14.1,.500,0.0,0.0,,1.8,7.1,8.8,12.4,0.0,0.0,7.1,7.1,14.1,90
Earl Barron,C,25,Earl Barron,28,0,203,6.3,21.8,.289,0.0,0.3,.000,6.3,21.6,.293,4.5,4.7,.944,5.0,5.8,10.8,1.3,1.6,1.1,2.9,5.5,17.1,81
Brent Barry,SG,35,Brent Barry,75,28,1631,6.6,13.9,.475,4.2,9.4,.446,2.4,4.5,.536,3.4,3.8,.880,0.6,4.7,5.2,4.5,1.8,0.4,2.0,2.9,20.8,126
Brandon Bass,PF,21,Brandon Bass,21,3,162,4.9,14.4,.341,0.0,0.3,.000,4.9,14.1,.349,3.9,5.3,.750,4.3,9.9,14.1,1.0,0.7,1.0,3.3,5.3,13.8,86
Maceo Baston,PF,31,Maceo Baston,47,2,405,6.3,9.7,.645,0.4,0.9,.429,5.9,8.8,.667,4.7,6.0,.787,2.7,6.8,9.5,2.1,1.5,2.3,4.1,8.3,17.7,113
Esteban Batista,PF,23,Esteban Batista,13,0,81,5.3,10.5,.500,0.0,0.0,,5.3,10.5,.500,2.6,4.6,.571,4.6,15.1,19.8,2.6,2.0,0.0,2.6,8.6,13.2,105
Tony Battie,PF,30,Tony Battie,66,66,1575,6.0,12.2,.489,0.0,0.0,.000,6.0,12.2,.490,1.8,2.6,.675,3.1,8.5,11.7,1.2,1.0,1.0,2.1,6.3,13.7,103
Shane Battier,SF,28,Shane Battier,82,82,2988,5.2,11.6,.446,2.8,6.6,.421,2.4,5.0,.480,1.6,2.0,.779,1.2,4.8,6.0,3.1,1.4,1.1,1.3,3.4,14.7,119
Charlie Bell,SG,27,Charlie Bell,82,64,2848,7.8,17.8,.437,2.3,6.6,.352,5.5,11.2,.488,2.4,3.1,.780,1.0,3.3,4.3,4.5,1.8,0.1,1.9,3.9,20.3,110
