Player,Team,Season,Season Type,Games,AbvBrk3_Usage,MR_Usage,Paint_Usage,RA_Usage,RC3_Usage,LC3_Usage,BC_Usage,AbvBrk3%,MR%,Paint%,RA%,RC3%,LC3%,BC3%
Player,Team,Season,Season Type,Games,Above the Break 3-Usage,Mid-Range-Usage,In The Paint (Non-RA)-Usage,Restricted Area-Usage,Right Corner 3-Usage,Left Corner 3-Usage,Backcourt-Usage,Above the Break 3 %,Mid-Range %,In The Paint (Non-RA) %,Restricted Area %,Right Corner 3 %,Left Corner 3 %,Backcourt %
Dairis Bertans,Pelicans,2018-2019,REG,12,57.45,25.53,2.13,0.00,8.51,6.38,0.00,0.296,0.167,0.000,0.000,0.500,0.000,0.000
Cameron Reynolds,Timberwolves,2018-2019,REG,18,47.95,12.33,6.85,12.33,9.59,10.96,0.00,0.429,0.444,0.600,0.333,0.143,0.625,0.000
Haywood Highsmith,76ers,2018-2019,REG,5,30.00,0.00,20.00,30.00,10.00,10.00,0.00,0.333,0.000,1.000,0.333,0.000,0.000,0.000
Isaac Humphries,Hawks,2018-2019,REG,5,28.57,9.52,4.76,33.33,9.52,14.29,0.00,0.167,0.000,0.000,0.429,1.000,0.000,0.000
Drew Eubanks,Spurs,2018-2019,REG,23,0.00,15.38,50.00,34.62,0.00,0.00,0.00,0.000,0.250,0.769,0.444,0.000,0.000,0.000
Chris Chiozza,Rockets,2018-2019,REG,7,37.50,12.50,12.50,12.50,12.50,12.50,0.00,0.333,0.000,0.000,0.000,1.000,0.000,0.000
Jemerrio Jones,Lakers,2018-2019,REG,6,30.30,9.09,9.09,51.52,0.00,0.00,0.00,0.200,0.000,0.000,0.588,0.000,0.000,0.000
Emanuel Terry,"Suns, Heat",2018-2019,REG,3,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.000,0.000,0.000,0.571,0.000,0.000,0.000
Ryan Broekhoff,Mavericks,2018-2019,REG,41,49.59,5.79,4.13,17.36,11.57,10.74,0.83,0.367,0.429,0.400,0.667,0.500,0.462,0.000
DeVaughn Akoon-Purcell,Nuggets,2018-2019,REG,7,30.00,10.00,0.00,50.00,10.00,0.00,0.00,0.000,0.000,0.000,0.600,0.000,0.000,0.000
Zach Lofton,Pistons,2018-2019,REG,1,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Brandon Goodwin,Nuggets,2018-2019,REG,16,26.09,17.39,21.74,34.78,0.00,0.00,0.00,0.333,0.000,0.000,0.500,0.000,0.000,0.000
BJ Johnson,"Hawks, Kings",2018-2019,REG,7,16.67,27.78,11.11,22.22,0.00,16.67,5.56,0.333,0.600,1.000,0.250,0.000,0.667,0.000
Joe Chealey,Hornets,2018-2019,REG,1,0.00,33.33,33.33,33.33,0.00,0.00,0.00,0.000,0.000,1.000,0.000,0.000,0.000,0.000
Yuta Watanabe,Grizzlies,2018-2019,REG,15,19.61,19.61,27.45,21.57,1.96,9.80,0.00,0.100,0.200,0.286,0.636,1.000,0.000,0.000
Johnathan Williams,Lakers,2018-2019,REG,23,0.00,4.63,20.37,73.15,0.93,0.00,0.93,0.000,0.400,0.318,0.696,0.000,0.000,0.000
Daryl Macon,Mavericks,2018-2019,REG,8,37.04,33.33,14.81,11.11,3.70,0.00,0.00,0.500,0.222,0.250,0.667,0.000,0.000,0.000
Angel Delgado,Clippers,2018-2019,REG,2,0.00,0.00,20.00,80.00,0.00,0.00,0.00,0.000,0.000,0.000,0.250,0.000,0.000,0.000
Thomas Welsh,Nuggets,2018-2019,REG,11,53.85,30.77,7.69,7.69,0.00,0.00,0.00,0.429,0.500,1.000,1.000,0.000,0.000,0.000
Jaylen Adams,Hawks,2018-2019,REG,33,53.21,8.26,9.17,15.60,11.01,1.83,0.92,0.397,0.444,0.200,0.412,0.167,0.000,0.000
J.P. Macura,Hornets,2018-2019,REG,2,33.33,0.00,11.11,44.44,0.00,11.11,0.00,0.000,0.000,0.000,0.750,0.000,0.000,0.000
Jared Terrell,Timberwolves,2018-2019,REG,13,33.33,25.64,10.26,20.51,7.69,2.56,0.00,0.231,0.500,0.250,0.250,0.000,1.000,0.000
Deonte Burton,Thunder,2018-2019,REG,32,18.29,10.98,12.20,43.90,6.10,8.54,0.00,0.400,0.333,0.300,0.528,0.200,0.143,0.000
