name,position,age,Teams,GP,GS,MPG,FG PG,FGA PG,FG %,FG3 PG,FG3A PG,FG3 %,FG2 PG,FG2A PG,FG2 %,EFG %,FT PG,FTA PG,FT %,ORB PG,DRB PG,TRB PG,APG,SPG,BPG,TO PG,Fouls PG,PPG
Quincy Acy,PF,25,Quincy Acy,59,29,14.8,2.0,3.6,.556,0.3,0.8,.388,1.7,2.8,.606,.600,0.8,1.2,.735,1.1,2.1,3.2,0.5,0.5,0.4,0.5,1.7,5.2
Jordan Adams,SG,21,Jordan Adams,2,0,7.5,1.0,3.0,.333,0.0,0.5,.000,1.0,2.5,.400,.333,1.5,2.5,.600,0.0,1.0,1.0,1.5,1.5,0.0,1.0,1.0,3.5
Steven Adams,C,22,Steven Adams,80,80,25.2,3.3,5.3,.613,0.0,0.0,,3.3,5.3,.613,.613,1.4,2.5,.582,2.7,3.9,6.7,0.8,0.5,1.1,1.1,2.8,8.0
Arron Afflalo,SG,30,Arron Afflalo,71,57,33.4,5.0,11.3,.443,1.3,3.4,.382,3.7,7.9,.469,.500,1.5,1.8,.840,0.3,3.4,3.7,2.0,0.4,0.1,1.2,2.0,12.8
Alexis Ajinça,C,27,Alexis Ajinça,59,17,14.6,2.5,5.3,.476,0.0,0.0,.000,2.5,5.3,.478,.476,0.9,1.1,.839,1.3,3.3,4.6,0.5,0.3,0.6,0.9,2.3,6.0
Cole Aldrich,C,27,Cole Aldrich,60,5,13.3,2.2,3.8,.596,0.0,0.0,,2.2,3.8,.596,.596,1.0,1.4,.714,1.4,3.4,4.8,0.8,0.8,1.1,1.1,2.3,5.5
LaMarcus Aldridge,PF,30,LaMarcus Aldridge,74,74,30.6,7.2,14.1,.513,0.0,0.2,.000,7.2,13.9,.521,.513,3.5,4.1,.858,2.4,6.2,8.5,1.5,0.5,1.1,1.3,2.0,18.0
Cliff Alexander,PF,20,Cliff Alexander,8,0,4.5,0.6,1.3,.500,0.0,0.0,,0.6,1.3,.500,.500,0.0,0.0,,0.3,0.5,0.8,0.0,0.1,0.3,0.1,0.1,1.3
Lavoy Allen,PF,26,Lavoy Allen,79,28,20.2,2.4,4.7,.516,0.0,0.0,,2.4,4.7,.516,.516,0.6,0.9,.630,2.1,3.3,5.4,1.0,0.3,0.5,0.9,1.9,5.4
Tony Allen,SG,34,Tony Allen,64,57,25.3,3.4,7.3,.458,0.2,0.7,.357,3.1,6.7,.468,.474,1.4,2.2,.652,1.6,3.0,4.6,1.1,1.7,0.3,1.2,2.7,8.4
Al-Farouq Aminu,SF,25,Al-Farouq Aminu,82,82,28.5,3.6,8.8,.416,1.5,4.3,.361,2.1,4.5,.468,.503,1.4,1.9,.737,1.2,4.9,6.1,1.7,0.9,0.6,1.5,2.1,10.2
Lou Amundson,PF,33,Lou Amundson,29,0,7.0,0.7,1.8,.358,0.0,0.0,,0.7,1.8,.358,.358,0.5,0.9,.519,0.8,0.9,1.7,0.4,0.2,0.2,0.5,1.5,1.8
Chris Andersen,C,37,Chris Andersen,27,15,14.9,1.4,2.7,.528,0.1,0.5,.286,1.3,2.1,.586,.556,0.9,1.3,.694,1.3,2.3,3.6,0.4,0.6,0.5,0.3,1.1,3.9
Alan Anderson,SG,33,Alan Anderson,13,0,14.8,1.6,4.5,.356,0.9,2.8,.324,0.7,1.7,.409,.458,0.8,1.2,.733,0.1,2.0,2.1,1.1,0.3,0.1,0.2,1.9,5.0
James Anderson,SG,26,James Anderson,51,15,14.1,1.3,3.5,.376,0.5,1.7,.267,0.9,1.8,.478,.441,0.4,0.6,.759,0.3,1.4,1.7,0.8,0.4,0.3,0.8,1.1,3.5
Justin Anderson,SF,22,Justin Anderson,55,9,11.8,1.3,3.2,.406,0.4,1.5,.265,0.9,1.7,.533,.469,0.8,1.0,.800,0.3,2.1,2.4,0.5,0.3,0.5,0.4,0.8,3.8
Kyle Anderson,SF,22,Kyle Anderson,78,11,16.0,1.8,3.8,.468,0.2,0.5,.324,1.6,3.3,.488,.488,0.8,1.1,.747,0.3,2.8,3.1,1.6,0.8,0.4,0.8,1.2,4.5
Ryan Anderson,PF,27,Ryan Anderson,66,7,30.4,6.0,14.1,.427,2.0,5.4,.366,4.0,8.7,.466,.498,3.0,3.5,.873,2.0,4.0,6.0,1.1,0.6,0.4,1.4,1.7,17.0
Giannis Antetokounmpo,PG,21,Giannis Antetokounmpo,80,79,35.3,6.4,12.7,.506,0.4,1.4,.257,6.1,11.3,.537,.520,3.7,5.1,.724,1.4,6.2,7.7,4.3,1.2,1.4,2.6,3.2,16.9
Thanasis Antetokounmpo,SF,23,Thanasis Antetokounmpo,2,0,3.0,1.5,2.0,.750,0.0,0.5,.000,1.5,1.5,1.000,.750,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,3.0
Carmelo Anthony,SF,31,Carmelo Anthony,72,72,35.1,7.9,18.2,.434,1.5,4.3,.339,6.4,13.8,.463,.474,4.6,5.6,.829,1.4,6.4,7.7,4.2,0.9,0.5,2.4,2.5,21.8
Joel Anthony,C,33,Joel Anthony,19,0,5.1,0.3,0.5,.600,0.0,0.0,,0.3,0.5,.600,.600,0.3,0.4,.750,0.4,0.7,1.1,0.1,0.1,0.6,0.1,0.8,0.9
Keith Appling,PG,23,Keith Appling,5,0,5.4,0.4,1.6,.250,0.0,0.6,.000,0.4,1.0,.400,.250,0.4,0.4,1.000,0.0,0.2,0.2,0.2,0.2,0.0,0.6,1.0,1.2
Trevor Ariza,SF,30,Trevor Ariza,81,81,35.3,4.4,10.6,.416,2.3,6.2,.371,2.1,4.4,.478,.523,1.6,2.0,.783,0.8,3.7,4.5,2.3,2.0,0.3,1.4,2.2,12.7
Darrell Arthur,PF,27,Darrell Arthur,70,16,21.7,3.2,7.0,.452,0.6,1.7,.385,2.5,5.3,.473,.498,0.6,0.8,.755,1.2,3.0,4.2,1.4,0.8,0.7,0.9,2.6,7.5
Ömer Aşık,C,29,Ömer Aşık,68,64,17.3,1.5,2.9,.533,0.0,0.0,,1.5,2.9,.533,.533,0.9,1.6,.545,1.8,4.3,6.1,0.4,0.3,0.3,0.9,1.8,4.0
