Player,Team,Season,Season Type,Games,AbvBrk3_Usage,MR_Usage,Paint_Usage,RA_Usage,RC3_Usage,LC3_Usage,BC_Usage,AbvBrk3%,MR%,Paint%,RA%,RC3%,LC3%,BC3%
Player,Team,Season,Season Type,Games,Above the Break 3-Usage,Mid-Range-Usage,In The Paint (Non-RA)-Usage,Restricted Area-Usage,Right Corner 3-Usage,Left Corner 3-Usage,Backcourt-Usage,Above the Break 3 %,Mid-Range %,In The Paint (Non-RA) %,Restricted Area %,Right Corner 3 %,Left Corner 3 %,Backcourt %
Makhtar N'Diaye,Grizzlies,1998-1999,REG,4,0.00,50.00,25.00,25.00,0.00,0.00,0.00,0.000,0.000,0.000,1.000,0.000,0.000,0.000
Kelly McCarty,Nuggets,1998-1999,REG,2,0.00,33.33,0.00,66.67,0.00,0.00,0.00,0.000,0.000,0.000,1.000,0.000,0.000,0.000
Adonis Jordan,Bucks,1998-1999,REG,4,25.00,50.00,0.00,0.00,25.00,0.00,0.00,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Brad Miller,Hornets,1998-1999,REG,37,0.72,17.39,10.87,70.29,0.72,0.00,0.00,1.000,0.292,0.200,0.691,0.000,0.000,0.000
Jonathan Kerner,Magic,1998-1999,REG,1,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Damon Jones,"Nets, Celtics",1998-1999,REG,23,40.34,24.37,5.04,18.49,3.36,8.40,0.00,0.396,0.345,0.167,0.318,0.250,0.500,0.000
J.R. Henderson,Grizzlies,1998-1999,REG,30,5.21,15.63,18.75,60.42,0.00,0.00,0.00,0.400,0.200,0.278,0.431,0.000,0.000,0.000
Cory Carr,Bulls,1998-1999,REG,42,12.96,48.61,14.35,23.15,0.00,0.93,0.00,0.179,0.286,0.387,0.480,0.000,0.000,0.000
Ryan Stack,Cavaliers,1998-1999,REG,18,0.00,43.24,16.22,40.54,0.00,0.00,0.00,0.000,0.500,0.000,0.400,0.000,0.000,0.000
Tyson Wheeler,Nuggets,1998-1999,REG,1,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.000,0.000,0.000,0.000,0.000,1.000,0.000
Andrae Patterson,Timberwolves,1998-1999,REG,34,4.12,32.99,21.65,40.21,0.00,1.03,0.00,0.000,0.281,0.381,0.667,0.000,0.000,0.000
Toby Bailey,Suns,1998-1999,REG,27,4.65,39.53,11.63,43.02,1.16,0.00,0.00,0.250,0.324,0.100,0.568,0.000,0.000,0.000
Sean Marks,Raptors,1998-1999,REG,8,0.00,50.00,12.50,37.50,0.00,0.00,0.00,0.000,0.500,1.000,0.667,0.000,0.000,0.000
Jahidi White,Wizards,1998-1999,REG,20,0.00,3.13,15.63,81.25,0.00,0.00,0.00,0.000,0.000,0.200,0.615,0.000,0.000,0.000
Miles Simon,Magic,1998-1999,REG,5,40.00,40.00,0.00,20.00,0.00,0.00,0.00,0.000,0.000,0.000,1.000,0.000,0.000,0.000
Cuttino Mobley,Rockets,1998-1999,REG,49,32.84,27.65,8.40,27.41,1.73,1.73,0.25,0.376,0.411,0.235,0.586,0.143,0.143,1.000
Korleone Young,Pistons,1998-1999,REG,3,20.00,10.00,0.00,50.00,10.00,10.00,0.00,0.000,0.000,0.000,0.800,0.000,1.000,0.000
Casey Shaw,76ers,1998-1999,REG,8,0.00,12.50,50.00,37.50,0.00,0.00,0.00,0.000,0.000,0.000,0.333,0.000,0.000,0.000
Jerome James,Kings,1998-1999,REG,16,0.00,29.17,50.00,20.83,0.00,0.00,0.00,0.000,0.429,0.250,0.600,0.000,0.000,0.000
Bruno Sundov,Mavericks,1998-1999,REG,3,0.00,85.71,0.00,14.29,0.00,0.00,0.00,0.000,0.333,0.000,0.000,0.000,0.000,0.000
Shammond Williams,Hawks,1998-1999,REG,2,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jelani McCoy,SuperSonics,1998-1999,REG,26,0.00,10.53,26.32,63.16,0.00,0.00,0.00,0.000,0.500,0.600,0.833,0.000,0.000,0.000
Rashard Lewis,SuperSonics,1998-1999,REG,19,5.77,26.92,23.08,40.38,0.00,3.85,0.00,0.333,0.071,0.333,0.619,0.000,0.000,0.000
