name,position,age,Teams,GP,MP,PER,TS %,FG3A PerFGA%,Fta PerFGA%,VORP,Usg Pct,OWS,DWS,WS,WS Per 48,Off. Box +-,Deff. Box +-,Box +-,ORB Pct,DRB Pct,TRB Pct,As. Pct,Stl Pct,Blk Pct,TO Pct
Shareef Abdur-Rahim,PF,29,Shareef Abdur-Rahim,72,1961,17.2,.588,.035,.440,1.4,20.1,4.0,2.2,6.2,.152,0.4,0.4,0.9,6.4,14.8,10.6,13.2,1.3,1.6,12.5
Alex Acker,SG,23,Alex Acker,5,35,-2.4,.281,.313,.000,-0.1,27.2,-0.2,0.0,-0.2,-0.230,-10.4,-1.9,-12.3,3.4,13.7,8.5,17.9,1.6,0.0,20.0
Malik Allen,PF,27,Malik Allen,54,701,11.5,.504,.004,.154,-0.3,19.2,0.0,1.0,1.0,.068,-3.9,0.0,-3.9,7.2,15.7,11.5,4.9,1.0,1.8,11.4
Ray Allen,SG,30,Ray Allen,78,3022,22.2,.590,.435,.239,4.2,27.4,9.8,-0.3,9.5,.150,6.7,-3.1,3.6,2.8,10.6,6.6,17.2,1.8,0.4,10.2
Tony Allen,PG,24,Tony Allen,51,978,12.9,.554,.124,.489,0.2,18.8,0.6,1.0,1.7,.082,-1.6,0.2,-1.4,4.1,9.6,6.9,11.2,2.7,1.4,16.8
Rafer Alston,PG,29,Rafer Alston,63,2431,12.6,.475,.423,.194,1.7,18.8,0.2,3.1,3.4,.067,0.1,0.7,0.8,1.8,10.4,6.1,30.8,2.3,0.5,16.4
Chris Andersen,C,27,Chris Andersen,32,570,14.1,.562,.000,1.051,0.1,13.9,0.6,0.7,1.3,.112,-2.8,1.3,-1.5,12.4,20.2,16.2,1.7,0.8,5.9,15.4
Alan Anderson,SF,23,Alan Anderson,36,564,10.4,.520,.320,.227,-0.2,18.2,0.2,0.3,0.4,.037,-1.9,-1.8,-3.7,4.4,10.3,7.2,9.3,1.0,0.6,13.9
Derek Anderson,SG,31,Derek Anderson,43,1047,10.8,.496,.442,.366,0.1,18.2,0.5,1.1,1.6,.074,-1.2,-0.4,-1.5,2.4,13.3,8.0,15.7,1.2,0.5,13.3
Derek Anderson,SG,31,Derek Anderson,20,582,12.5,.527,.387,.422,0.2,19.8,0.3,0.7,1.0,.084,-1.0,0.2,-0.8,2.5,14.1,8.4,16.1,1.4,0.6,15.3
Derek Anderson,SG,31,Derek Anderson,23,465,8.7,.453,.515,.292,-0.1,16.3,0.2,0.4,0.6,.061,-1.4,-1.1,-2.5,2.4,12.4,7.6,15.1,0.9,0.3,10.4
Shandon Anderson,SF,32,Shandon Anderson,48,638,6.2,.470,.151,.143,-0.2,11.4,-0.1,0.7,0.5,.039,-3.7,0.4,-3.3,3.5,11.1,7.5,6.9,1.4,0.7,15.2
Martynas Andriuškevičius,C,19,Martynas Andriuškevičius,6,9,15.5,.000,.000,.000,0.0,5.1,0.0,0.0,0.0,.155,-6.8,6.8,0.1,13.0,39.8,26.3,0.0,11.9,0.0,0.0
Carmelo Anthony,SF,21,Carmelo Anthony,80,2941,22.0,.563,.097,.451,2.6,32.0,6.8,2.6,9.4,.153,3.0,-1.6,1.5,4.9,10.7,7.8,14.3,1.5,1.1,10.4
Rafael Araújo,C,25,Rafael Araújo,52,601,4.5,.385,.007,.193,-0.8,15.3,-1.2,0.4,-0.8,-0.066,-6.9,-0.6,-7.5,8.4,21.5,14.6,3.7,2.1,0.8,21.1
Gilbert Arenas,PG,24,Gilbert Arenas,80,3384,23.8,.581,.324,.479,6.4,30.5,11.0,2.6,13.6,.193,6.9,-1.4,5.5,2.0,7.8,4.8,27.0,2.5,0.6,12.8
Trevor Ariza,SF,20,Trevor Ariza,57,999,11.8,.468,.022,.562,0.3,15.8,-0.1,1.0,0.9,.043,-2.1,1.5,-0.6,9.6,17.1,13.3,9.8,3.0,0.9,18.0
Trevor Ariza,SF,20,Trevor Ariza,36,709,10.2,.459,.021,.527,0.3,14.4,-0.4,0.6,0.3,.020,-2.3,2.0,-0.3,8.3,15.3,11.7,10.4,3.2,1.0,20.4
Trevor Ariza,SF,20,Trevor Ariza,21,290,15.8,.485,.025,.625,0.0,19.3,0.2,0.4,0.6,.101,-1.6,0.2,-1.4,12.7,21.5,17.3,8.3,2.6,0.5,13.6
Darrell Armstrong,PG,37,Darrell Armstrong,62,622,7.3,.444,.375,.328,-0.1,15.4,-0.7,0.7,0.0,.003,-3.1,0.2,-2.9,3.6,12.0,7.8,20.6,2.4,0.4,28.4
Carlos Arroyo,PG-SG,26,Carlos Arroyo,77,1194,15.6,.512,.053,.362,-0.1,20.7,1.6,1.1,2.7,.107,-0.6,-1.7,-2.3,3.3,9.8,6.6,31.6,1.7,0.2,15.9
Carlos Arroyo,PG,26,Carlos Arroyo,50,600,12.5,.433,.038,.369,-0.3,18.0,0.3,0.7,1.0,.079,-2.6,-1.4,-4.0,4.7,9.2,6.9,39.3,1.8,0.4,19.8
Carlos Arroyo,SG,26,Carlos Arroyo,27,594,18.8,.569,.063,.357,0.2,23.4,1.3,0.4,1.7,.135,1.3,-2.0,-0.6,1.9,10.3,6.2,23.8,1.7,0.1,12.9
Chucky Atkins,PG-SG,31,Chucky Atkins,71,1713,12.9,.526,.478,.284,0.2,20.2,2.1,1.4,3.6,.100,0.9,-2.4,-1.6,1.6,6.8,4.2,20.0,1.4,0.1,11.9
Chucky Atkins,SG,31,Chucky Atkins,28,552,10.4,.498,.529,.178,-0.1,17.6,0.4,0.2,0.6,.056,0.0,-2.8,-2.8,2.5,7.2,4.7,19.8,1.3,0.0,13.8
Chucky Atkins,PG,31,Chucky Atkins,43,1161,14.1,.537,.456,.331,0.3,21.5,1.7,1.2,2.9,.121,1.3,-2.3,-1.0,1.2,6.6,3.9,20.1,1.4,0.1,11.1
Stacey Augmon,SF,37,Stacey Augmon,36,385,7.6,.412,.000,.411,-0.1,12.0,0.0,0.3,0.3,.033,-3.5,0.4,-3.1,5.9,10.9,8.5,9.0,1.7,1.2,11.3
Vin Baker,C,34,Vin Baker,8,85,11.2,.589,.000,1.200,0.0,17.4,0.0,0.2,0.1,.072,-5.7,2.8,-2.8,2.9,22.2,13.0,7.0,2.5,3.5,28.2
,,,,,,,,,,,,,,,,,,,,,,,,,
