name,position,age,Teams,GP,MP,PER,TS %,FG3A PerFGA%,Fta PerFGA%,VORP,Usg Pct,OWS,DWS,WS,WS Per 48,Off. Box +-,Deff. Box +-,Box +-,ORB Pct,DRB Pct,TRB Pct,As. Pct,Stl Pct,Blk Pct,TO Pct
Alex Acker,SG,26,Alex Acker,25,199,10.4,.448,.263,.132,-0.2,20.1,-0.1,0.1,0.0,-0.011,-3.6,-2.4,-6.0,4.5,9.6,7.0,10.2,1.3,1.5,8.0
Alex Acker,SG,26,Alex Acker,7,20,16.0,.379,.364,.182,0.0,28.3,0.0,0.0,0.0,.009,-3.2,1.0,-2.3,0.0,12.0,5.9,9.1,5.5,3.9,0.0
Alex Acker,SG,26,Alex Acker,18,179,9.8,.460,.246,.123,-0.2,19.2,-0.1,0.0,0.0,-0.013,-3.6,-2.8,-6.4,5.0,9.3,7.1,10.3,0.9,1.2,9.3
Hassan Adams,SG,24,Hassan Adams,12,52,0.4,.352,.000,.462,-0.1,17.4,-0.2,0.0,-0.2,-0.144,-10.6,-1.3,-12.0,2.3,13.4,7.9,2.8,1.0,1.5,20.4
Arron Afflalo,SG,23,Arron Afflalo,74,1234,8.9,.548,.357,.237,-0.1,14.5,0.8,1.0,1.8,.069,-1.7,-0.7,-2.4,2.8,10.1,6.4,5.5,1.3,0.8,11.5
Maurice Ager,SG,24,Maurice Ager,20,97,2.2,.365,.140,.186,-0.3,24.4,-0.3,0.0,-0.3,-0.133,-8.5,-4.3,-12.8,3.6,8.7,6.1,5.3,0.6,1.7,7.9
Blake Ahearn,PG,24,Blake Ahearn,3,19,12.9,.581,.667,.333,0.0,20.1,0.0,0.0,0.1,.149,0.6,-1.8,-1.1,0.0,6.2,3.1,16.0,2.9,0.0,12.7
Alexis Ajinça,PF,20,Alexis Ajinça,31,182,7.0,.430,.029,.406,-0.3,24.2,-0.3,0.3,-0.1,-0.018,-8.1,-1.2,-9.3,6.2,14.2,10.2,2.8,2.1,2.7,12.9
LaMarcus Aldridge,PF,23,LaMarcus Aldridge,81,3004,19.1,.529,.023,.269,3.0,23.7,6.1,3.3,9.5,.151,1.2,0.7,1.9,9.5,15.6,12.5,9.3,1.4,2.0,8.0
Joe Alexander,SF,22,Joe Alexander,59,716,10.1,.494,.188,.339,-0.2,20.9,-0.3,0.7,0.4,.030,-3.4,0.2,-3.3,6.9,12.3,9.5,9.5,1.1,3.4,15.6
Malik Allen,PF,30,Malik Allen,49,579,7.3,.435,.006,.124,-0.4,15.4,-0.2,0.5,0.3,.024,-4.5,-0.1,-4.6,6.8,14.5,10.5,9.5,0.6,1.7,10.0
Ray Allen,SG,33,Ray Allen,79,2876,17.3,.624,.467,.239,4.3,20.8,7.4,3.7,11.1,.186,4.3,-0.3,3.9,2.9,8.6,5.9,12.6,1.3,0.4,10.4
Tony Allen,SG,27,Tony Allen,46,887,12.9,.541,.095,.384,0.4,21.5,-0.2,1.8,1.6,.085,-2.7,2.5,-0.3,3.2,10.7,7.1,12.0,3.2,2.1,18.8
Morris Almond,SG,23,Morris Almond,25,255,7.3,.498,.210,.321,-0.3,19.1,-0.1,0.2,0.1,.010,-4.7,-2.1,-6.8,4.2,12.6,8.4,4.2,0.8,1.2,14.8
