name,position,age,Teams,GP,MP,PER,TS %,FG3A PerFGA%,Fta PerFGA%,VORP,Usg Pct,OWS,DWS,WS,WS Per 48,Off. Box +-,Deff. Box +-,Box +-,ORB Pct,DRB Pct,TRB Pct,As. Pct,Stl Pct,Blk Pct,TO Pct
Mahmoud Abdul-Rauf,PG,31,Mahmoud Abdul-Rauf,41,486,16.7,.514,.057,.118,-0.3,26.8,0.7,0.0,0.7,.070,0.8,-5.3,-4.5,1.2,4.7,2.9,32.7,1.0,0.1,9.1
Tariq Abdul-Wahad,SG,26,Tariq Abdul-Wahad,29,420,5.8,.438,.090,.324,-0.4,17.1,-0.7,0.3,-0.4,-0.049,-5.9,0.0,-5.9,3.6,11.8,7.6,8.1,1.7,2.1,21.1
Shareef Abdur-Rahim,SF,24,Shareef Abdur-Rahim,81,3241,19.1,.549,.050,.415,3.5,24.6,5.6,2.9,8.5,.126,1.3,0.9,2.2,6.2,19.6,13.0,14.3,1.5,1.6,13.2
Cory Alexander,PG,27,Cory Alexander,26,227,6.3,.407,.286,.321,-0.2,17.3,-0.5,0.3,-0.1,-0.031,-5.9,-0.1,-6.1,0.0,12.5,6.1,23.5,3.6,0.0,28.1
Courtney Alexander,PG,23,Courtney Alexander,65,1382,11.6,.484,.080,.262,-0.8,23.2,0.3,0.5,0.8,.027,-1.8,-2.5,-4.4,3.5,8.4,5.9,8.0,1.7,0.3,10.5
Courtney Alexander,PG,23,Courtney Alexander,38,472,6.8,.404,.056,.253,-0.5,21.1,-0.5,0.4,-0.1,-0.013,-4.8,-1.8,-6.6,4.9,9.9,7.5,6.9,1.7,0.5,9.6
Courtney Alexander,PG,23,Courtney Alexander,27,910,14.2,.519,.091,.266,-0.3,24.3,0.9,0.1,0.9,.048,-0.3,-2.9,-3.2,2.8,7.6,5.1,8.6,1.7,0.2,10.9
Ray Allen,SG,25,Ray Allen,82,3129,22.9,.610,.357,.299,6.0,24.4,11.5,2.2,13.7,.211,6.5,-0.9,5.6,3.7,11.8,7.8,20.4,2.1,0.5,12.1
Rafer Alston,PG,24,Rafer Alston,37,288,12.1,.429,.357,.155,-0.2,17.2,0.1,0.2,0.3,.055,-1.8,-2.7,-4.5,1.6,10.6,6.1,34.6,2.4,0.0,18.2
John Amaechi,C,30,John Amaechi,82,1710,8.7,.455,.012,.471,-2.1,21.7,-1.3,1.4,0.0,.001,-5.1,-1.8,-6.9,4.9,12.7,8.7,7.0,0.8,1.2,14.8
Derek Anderson,SG,26,Derek Anderson,82,2859,17.1,.542,.255,.405,4.0,21.9,5.6,4.3,9.9,.166,2.6,1.0,3.6,3.1,10.9,7.2,18.1,2.2,0.3,12.4
Kenny Anderson,PG,30,Kenny Anderson,33,849,12.2,.476,.145,.313,-0.3,16.6,0.4,0.7,1.1,.063,-2.0,-1.3,-3.2,2.1,8.2,5.0,26.5,2.7,0.2,16.8
Nick Anderson,SG,33,Nick Anderson,21,169,6.4,.333,.684,.000,0.0,16.7,-0.3,0.3,0.0,-0.011,-4.0,0.9,-3.1,2.0,13.7,8.0,11.0,3.0,1.6,10.9
Shandon Anderson,SG,27,Shandon Anderson,82,2396,11.9,.528,.288,.319,1.6,15.4,1.9,2.0,3.9,.078,-0.2,0.8,0.6,3.6,12.3,8.0,12.5,1.8,1.2,16.3
Greg Anthony,PG,33,Greg Anthony,58,856,12.0,.525,.628,.138,0.3,16.9,0.9,0.7,1.6,.090,1.0,-1.7,-0.6,3.0,5.4,4.3,14.8,2.5,0.3,13.8
Darrell Armstrong,PG,32,Darrell Armstrong,75,2767,18.6,.535,.402,.249,3.8,21.0,5.8,2.9,8.7,.151,4.0,-0.5,3.5,3.7,10.2,6.9,31.3,2.5,0.3,15.2
Chucky Atkins,PG,26,Chucky Atkins,81,2363,12.2,.481,.356,.137,0.1,21.2,1.2,1.6,2.8,.057,0.3,-2.2,-1.8,1.2,6.7,3.9,24.3,1.4,0.1,12.9
Stacey Augmon,SG,32,Stacey Augmon,66,1182,12.3,.511,.015,.327,0.6,13.9,1.3,1.2,2.5,.102,-1.0,0.9,-0.2,6.3,9.7,8.0,12.7,2.2,1.3,13.6
Isaac Austin,C,31,Isaac Austin,52,845,8.3,.393,.089,.148,-0.7,18.5,-1.3,0.9,-0.5,-0.026,-5.8,0.6,-5.2,6.8,23.1,15.0,11.2,1.2,1.9,15.8
William Avery,PG,21,William Avery,55,463,9.0,.482,.410,.250,-0.5,20.0,-0.2,0.2,0.0,-0.003,-3.0,-3.7,-6.7,1.2,6.0,3.6,24.0,1.5,0.6,22.0
Dalibor Bagarić,C,20,Dalibor Bagarić,35,259,3.3,.304,.015,.431,-0.4,17.6,-0.9,0.2,-0.7,-0.121,-9.3,0.6,-8.7,9.7,16.2,12.8,6.2,1.9,4.6,21.4
Vin Baker,PF,29,Vin Baker,76,2129,13.0,.481,.019,.391,-0.9,23.8,0.6,1.2,1.8,.040,-2.4,-1.3,-3.7,9.7,13.5,11.6,7.0,0.9,2.5,14.1
,,,,,,,,,,,,,,,,,,,,,,,,,
Erick Barkley,PG,22,Erick Barkley,8,38,10.3,.432,.364,.000,0.0,33.0,-0.1,0.0,-0.1,-0.075,-3.4,-3.6,-7.0,0.0,9.1,4.7,28.8,2.8,0.0,18.5
Dana Barros,PG,33,Dana Barros,60,1079,14.3,.534,.255,.194,0.0,20.4,1.4,0.8,2.3,.101,0.0,-2.1,-2.1,0.6,8.9,4.7,18.0,1.4,0.1,11.8
Brent Barry,SG,29,Brent Barry,67,1778,16.6,.660,.571,.257,2.3,13.5,4.6,1.2,5.8,.157,3.5,-0.3,3.2,2.1,11.4,6.8,19.4,2.4,0.6,16.2
Jon Barry,SG,31,Jon Barry,62,1010,12.4,.550,.518,.286,0.2,14.9,1.5,0.9,2.4,.114,0.0,-1.4,-1.4,1.8,8.1,5.0,19.0,1.4,0.4,15.6
