name,position,age,Teams,GP,MP,PER,TS %,FG3A PerFGA%,Fta PerFGA%,VORP,Usg Pct,OWS,DWS,WS,WS Per 48,Off. Box +-,Deff. Box +-,Box +-,ORB Pct,DRB Pct,TRB Pct,As. Pct,Stl Pct,Blk Pct,TO Pct
Shareef Abdur-Rahim,PF,31,Shareef Abdur-Rahim,6,51,5.5,.317,.000,.286,0.0,14.7,0.0,0.0,0.0,-0.005,-3.6,-2.1,-5.7,14.2,9.1,11.6,11.1,1.0,0.0,6.0
Arron Afflalo,SG,22,Arron Afflalo,75,970,10.2,.494,.199,.361,0.1,15.2,0.5,1.4,1.9,.092,-2.3,0.6,-1.6,4.4,12.5,8.4,8.1,1.8,0.7,10.9
Maurice Ager,SG,23,Maurice Ager,26,165,1.8,.363,.292,.185,-0.4,21.3,-0.4,0.0,-0.4,-0.114,-6.8,-4.5,-11.3,2.8,6.3,4.6,8.0,0.0,0.4,7.9
Maurice Ager,SG,23,Maurice Ager,12,77,-4.4,.253,.296,.222,-0.2,19.8,-0.3,0.0,-0.3,-0.181,-9.6,-3.5,-13.1,1.6,4.4,3.0,7.4,0.0,1.0,9.2
Maurice Ager,SG,23,Maurice Ager,14,88,7.1,.443,.289,.158,-0.2,22.7,-0.1,0.0,-0.1,-0.056,-4.4,-5.4,-9.8,3.9,7.9,5.9,8.4,0.0,0.0,6.9
Blake Ahearn,PG,23,Blake Ahearn,12,177,9.0,.495,.596,.544,-0.2,23.2,-0.1,0.1,0.0,-0.006,-2.8,-2.8,-5.6,0.7,12.4,6.4,17.2,1.8,0.0,18.5
LaMarcus Aldridge,PF,22,LaMarcus Aldridge,76,2649,18.5,.523,.006,.257,1.8,25.3,3.5,2.8,6.2,.113,0.1,0.7,0.8,9.8,15.8,12.8,8.8,1.1,2.8,8.9
Malik Allen,PF,29,Malik Allen,73,1096,9.8,.500,.006,.076,-0.5,16.1,0.1,0.9,1.0,.045,-3.6,-0.3,-3.9,7.0,13.6,10.4,6.8,0.9,2.2,11.7
Malik Allen,PF,29,Malik Allen,48,763,10.1,.489,.008,.050,-0.6,17.9,-0.2,0.5,0.4,.023,-4.3,-0.9,-5.1,6.4,13.1,9.7,6.8,1.0,2.1,10.7
Malik Allen,PF,29,Malik Allen,25,333,9.1,.540,.000,.182,0.1,11.8,0.3,0.4,0.7,.096,-2.2,1.0,-1.1,8.6,14.8,11.8,6.7,0.6,2.2,15.4
Ray Allen,SG,32,Ray Allen,73,2624,16.4,.584,.458,.240,3.4,21.6,5.6,4.1,9.7,.177,3.2,-0.1,3.1,3.6,8.3,6.1,14.6,1.3,0.5,10.4
Tony Allen,SG,26,Tony Allen,75,1373,10.7,.527,.147,.465,0.2,19.6,-0.1,2.8,2.7,.093,-3.2,1.8,-1.4,3.1,11.0,7.3,13.1,2.4,1.3,18.9
Lance Allred,C,26,Lance Allred,3,10,-1.0,.307,.000,.500,0.0,22.1,0.0,0.0,0.0,-0.125,-12.6,-7.1,-19.7,0.0,11.8,5.7,0.0,0.0,0.0,0.0
Morris Almond,SG,22,Morris Almond,9,39,2.0,.368,.267,.400,-0.1,22.5,-0.1,0.0,-0.1,-0.081,-6.9,-4.0,-11.0,0.0,6.2,3.1,10.5,1.3,0.0,10.2
Rafer Alston,PG,31,Rafer Alston,74,2526,13.2,.492,.440,.148,1.9,20.7,1.0,4.0,5.0,.095,0.2,0.7,1.0,1.3,10.2,5.8,25.2,2.1,0.5,14.0
Lou Amundson,PF,25,Lou Amundson,16,64,7.4,.472,.000,.438,-0.1,14.9,0.0,0.0,0.1,.043,-4.5,-4.3,-8.8,12.9,9.4,11.1,0.0,0.8,1.2,9.5
Chris Andersen,C,29,Chris Andersen,5,34,6.1,.342,.000,.571,-0.1,13.3,-0.1,0.1,0.0,.012,-10.4,0.8,-9.6,6.7,24.6,15.5,0.0,0.0,9.2,10.2
Derek Anderson,SG,33,Derek Anderson,28,396,10.0,.497,.416,.304,-0.2,19.3,0.0,0.3,0.3,.032,-1.9,-1.8,-3.7,2.6,12.6,7.5,17.8,1.6,0.2,15.0
Carmelo Anthony,SF,23,Carmelo Anthony,77,2806,21.1,.568,.111,.398,2.6,30.2,5.2,3.0,8.2,.140,2.2,-0.6,1.6,7.0,14.9,11.0,16.1,1.7,1.0,12.7
Joel Anthony,PF,25,Joel Anthony,24,498,8.8,.521,.000,.817,-0.2,9.4,0.1,0.4,0.6,.054,-4.8,1.4,-3.4,9.0,13.4,11.2,0.9,1.0,5.0,17.2
Gilbert Arenas,PG,26,Gilbert Arenas,13,425,18.2,.529,.398,.490,0.3,31.1,0.2,0.4,0.6,.070,2.3,-1.6,0.7,1.6,12.8,7.0,27.4,2.9,0.2,17.1
Trevor Ariza,SF,22,Trevor Ariza,35,546,16.1,.568,.132,.551,0.5,15.6,0.9,0.9,1.8,.157,0.0,1.8,1.8,6.4,15.4,11.1,11.8,2.9,1.5,12.0
Trevor Ariza,SF,22,Trevor Ariza,11,115,12.7,.479,.097,.484,0.0,17.0,0.0,0.2,0.2,.085,-3.4,1.9,-1.5,5.2,18.3,12.0,10.7,2.2,1.9,11.7
Trevor Ariza,SF,22,Trevor Ariza,24,431,17.1,.594,.143,.571,0.5,15.3,0.9,0.7,1.6,.176,0.9,1.8,2.7,6.7,14.6,10.8,12.0,3.0,1.3,12.0
Darrell Armstrong,PG,39,Darrell Armstrong,50,549,8.7,.499,.627,.273,-0.1,13.7,-0.2,0.5,0.3,.024,-2.6,-0.4,-3.0,3.6,10.6,7.1,20.5,2.7,0.3,25.0
Hilton Armstrong,C,23,Hilton Armstrong,65,732,7.7,.498,.000,.473,-0.2,15.1,-0.5,1.0,0.5,.032,-5.1,1.8,-3.3,10.1,16.0,13.0,4.4,1.1,3.6,24.8
,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Arroyo,PG,28,Carlos Arroyo,62,1269,12.8,.547,.241,.293,-0.1,17.0,1.7,1.1,2.8,.107,-0.8,-1.4,-2.2,0.9,9.0,5.1,26.6,1.1,0.1,16.4
Chucky Atkins,SG,33,Chucky Atkins,24,352,8.9,.449,.648,.074,-0.2,16.4,0.1,0.2,0.3,.040,-1.1,-2.9,-4.0,0.9,8.4,4.8,18.7,1.2,0.2,7.4
James Augustine,PF,23,James Augustine,25,149,10.8,.533,.000,.235,0.0,13.4,0.1,0.2,0.3,.098,-2.2,-0.3,-2.6,12.9,10.4,11.6,2.1,1.7,1.0,13.8
Kelenna Azubuike,SG,24,Kelenna Azubuike,81,1732,13.5,.534,.332,.235,0.2,17.2,2.3,1.1,3.4,.094,-0.3,-1.2,-1.5,6.4,14.0,10.0,6.1,1.3,1.4,8.2
Renaldo Balkman,SF,23,Renaldo Balkman,65,952,11.5,.492,.065,.511,0.3,12.5,0.4,0.9,1.3,.065,-2.4,1.8,-0.6,9.6,16.4,12.9,6.5,2.4,2.4,14.0
Marcus Banks,PG,26,Marcus Banks,36,569,12.6,.579,.534,.183,0.0,19.7,0.5,0.3,0.8,.068,0.1,-2.2,-2.1,0.9,8.3,4.6,17.7,1.3,1.6,15.2
Marcus Banks,PG,26,Marcus Banks,24,310,10.1,.539,.596,.147,0.0,19.1,0.1,0.2,0.3,.046,-0.4,-2.2,-2.6,1.2,5.7,3.6,11.3,1.3,1.7,12.1
Marcus Banks,PG,26,Marcus Banks,12,259,15.5,.631,.451,.232,0.0,20.4,0.4,0.1,0.5,.093,0.7,-2.2,-1.5,0.5,11.3,5.8,25.5,1.2,1.5,18.9
Leandro Barbosa,SG,25,Leandro Barbosa,82,2421,15.8,.575,.413,.209,1.6,22.8,3.9,1.6,5.5,.109,2.4,-1.8,0.6,2.0,8.2,5.4,13.5,1.5,0.5,9.5
J.J. Barea,PG,23,J.J. Barea,44,460,11.7,.515,.318,.206,-0.1,22.3,0.0,0.5,0.5,.052,-1.5,-1.8,-3.2,1.0,10.5,5.9,20.6,1.6,0.2,15.9
Andrea Bargnani,PF,22,Andrea Bargnani,78,1861,10.6,.495,.360,.233,-0.5,22.5,-0.3,1.6,1.4,.036,-1.9,-1.2,-3.0,3.2,15.2,9.2,7.4,0.7,1.6,9.9
Matt Barnes,PF,27,Matt Barnes,73,1414,12.9,.510,.410,.179,0.6,16.7,1.0,1.3,2.3,.077,-0.7,0.5,-0.2,6.8,18.1,12.3,13.5,1.6,1.9,15.1
Andre Barrett,PG,25,Andre Barrett,4,25,12.5,.510,.600,.400,-0.1,12.7,0.0,0.0,0.0,.078,-2.1,-8.4,-10.5,0.0,4.7,2.3,44.3,0.0,0.0,14.5
Earl Barron,C,26,Earl Barron,46,889,9.4,.446,.040,.266,-1.3,22.0,-1.0,0.6,-0.4,-0.019,-5.5,-2.2,-7.7,8.9,17.9,13.3,5.8,1.1,0.7,11.6
Brent Barry,SF,36,Brent Barry,31,554,16.7,.655,.700,.125,0.8,16.1,1.5,0.8,2.3,.203,3.7,-0.1,3.6,2.6,9.0,5.9,16.1,1.7,0.4,9.6
Brandon Bass,C,22,Brandon Bass,79,1557,15.9,.564,.008,.400,0.4,19.8,2.4,1.9,4.3,.132,-1.0,0.0,-1.0,9.2,16.3,12.9,6.1,0.8,2.3,12.4
