Player,Team,Season,Season Type,Games,AbvBrk3_Usage,MR_Usage,Paint_Usage,RA_Usage,RC3_Usage,LC3_Usage,BC_Usage,AbvBrk3%,MR%,Paint%,RA%,RC3%,LC3%,BC3%
Player,Team,Season,Season Type,Games,Above the Break 3-Usage,Mid-Range-Usage,In The Paint (Non-RA)-Usage,Restricted Area-Usage,Right Corner 3-Usage,Left Corner 3-Usage,Backcourt-Usage,Above the Break 3 %,Mid-Range %,In The Paint (Non-RA) %,Restricted Area %,Right Corner 3 %,Left Corner 3 %,Backcourt %
Tarence Kinsey,Grizzlies,2006-2007,REG,48,7.24,46.05,8.55,30.26,4.28,3.29,0.33,0.227,0.457,0.385,0.565,0.385,0.300,0.000
Lou Amundson,"Jazz, Sixers",2006-2007,REG,11,0.00,13.33,6.67,80.00,0.00,0.00,0.00,0.000,0.000,0.000,0.500,0.000,0.000,0.000
Allan Ray,Celtics,2006-2007,REG,47,25.48,27.41,3.86,23.94,6.18,13.13,0.00,0.409,0.352,0.200,0.403,0.375,0.441,0.000
Chris Quinn,Heat,2006-2007,REG,42,40.46,22.90,15.27,18.32,0.76,1.53,0.76,0.358,0.367,0.500,0.292,0.000,0.500,0.000
Will Blalock,Pistons,2006-2007,REG,14,10.00,13.33,13.33,56.67,3.33,3.33,0.00,0.333,0.000,0.250,0.412,0.000,0.000,0.000
Damir Markota,Bucks,2006-2007,REG,30,26.92,32.69,5.77,30.77,3.85,0.00,0.00,0.357,0.235,0.000,0.563,0.500,0.000,0.000
Hassan Adams,Nets,2006-2007,REG,60,0.74,25.19,5.19,68.89,0.00,0.00,0.00,0.000,0.441,0.000,0.645,0.000,0.000,0.000
Ryan Hollins,Bobcats,2006-2007,REG,27,0.00,8.33,22.22,69.44,0.00,0.00,0.00,0.000,0.000,0.125,0.760,0.000,0.000,0.000
Leon Powe,Celtics,2006-2007,REG,62,1.13,13.56,22.03,63.28,0.00,0.00,0.00,0.000,0.375,0.359,0.500,0.000,0.000,0.000
Paul Millsap,Jazz,2006-2007,REG,82,0.75,15.33,15.08,68.84,0.00,0.00,0.00,0.333,0.361,0.367,0.599,0.000,0.000,0.000
