Player,Team,Season,Season Type,Games,AbvBrk3_Usage,MR_Usage,Paint_Usage,RA_Usage,RC3_Usage,LC3_Usage,BC_Usage,AbvBrk3%,MR%,Paint%,RA%,RC3%,LC3%,BC3%
Player,Team,Season,Season Type,Games,Above the Break 3-Usage,Mid-Range-Usage,In The Paint (Non-RA)-Usage,Restricted Area-Usage,Right Corner 3-Usage,Left Corner 3-Usage,Backcourt-Usage,Above the Break 3 %,Mid-Range %,In The Paint (Non-RA) %,Restricted Area %,Right Corner 3 %,Left Corner 3 %,Backcourt %
Gary Trent,"Trail Blazers, Raptors",1997-1998,REG,54,1.19,30.30,24.16,43.17,0.40,0.59,0.20,0.167,0.333,0.393,0.633,1.000,0.333,0.000
Arvydas Sabonis,Trail Blazers,1997-1998,REG,73,12.11,15.62,27.48,44.55,0.00,0.24,0.00,0.270,0.357,0.441,0.636,0.000,0.000,0.000
Michael Finley,Mavericks,1997-1998,REG,82,11.43,46.11,14.62,23.19,1.40,2.99,0.27,0.331,0.392,0.423,0.642,0.381,0.467,0.000
Chris Carr,Timberwolves,1997-1998,REG,51,19.91,40.93,13.05,18.58,4.65,2.88,0.00,0.267,0.400,0.424,0.619,0.429,0.462,0.000
Mario Bennett,Lakers,1997-1998,REG,45,1.48,5.93,8.89,83.70,0.00,0.00,0.00,0.500,0.125,0.083,0.681,0.000,0.000,0.000
Jerry Stackhouse,"76ers, Pistons",1997-1998,REG,79,17.03,30.67,10.87,38.46,1.74,1.13,0.10,0.235,0.371,0.283,0.629,0.294,0.273,0.000
David Vaughn,"Warriors, Bulls, Nets",1997-1998,REG,39,0.68,41.22,15.54,42.57,0.00,0.00,0.00,0.000,0.361,0.261,0.603,0.000,0.000,0.000
Kevin Garnett,Timberwolves,1997-1998,REG,82,1.08,55.99,19.10,23.59,0.15,0.00,0.08,0.214,0.431,0.453,0.679,0.500,0.000,0.000
Mark Davis,76ers,1997-1998,REG,71,2.46,27.87,11.48,58.20,0.00,0.00,0.00,0.000,0.250,0.179,0.613,0.000,0.000,0.000
Shawn Respert,"Raptors, Mavericks",1997-1998,REG,56,22.53,42.66,6.83,18.77,3.75,5.46,0.00,0.303,0.552,0.150,0.491,0.364,0.438,0.000
Kurt Thomas,Mavericks,1997-1998,REG,5,0.00,35.56,33.33,31.11,0.00,0.00,0.00,0.000,0.188,0.333,0.643,0.000,0.000,0.000
Voshon Lenard,Heat,1997-1998,REG,81,25.64,32.08,7.49,16.86,9.95,7.96,0.00,0.388,0.398,0.344,0.576,0.435,0.397,0.000
Brent Barry,"Clippers, Heat",1997-1998,REG,58,39.13,19.96,10.08,24.51,3.95,2.37,0.00,0.399,0.248,0.392,0.629,0.250,0.500,0.000
Eddie Johnson,Rockets,1997-1998,REG,74,29.04,38.97,6.62,19.12,4.78,1.47,0.00,0.335,0.410,0.444,0.577,0.346,0.250,0.000
Fred Hoiberg,Pacers,1997-1998,REG,65,32.43,37.84,2.25,21.62,1.80,4.05,0.00,0.389,0.333,0.000,0.521,0.250,0.333,0.000
Travis Best,Pacers,1997-1998,REG,82,12.50,48.54,11.25,25.63,0.63,0.83,0.63,0.317,0.356,0.296,0.659,0.333,0.000,0.333
Eldridge Recasner,Hawks,1997-1998,REG,59,28.98,41.81,9.73,15.71,2.43,1.33,0.00,0.412,0.460,0.432,0.535,0.545,0.333,0.000
Sam Mack,Grizzlies,1997-1998,REG,57,34.17,28.26,7.16,16.46,6.62,7.33,0.00,0.340,0.285,0.275,0.609,0.595,0.561,0.000
Joe Smith,"Warriors, 76ers",1997-1998,REG,79,0.65,58.22,17.38,23.64,0.00,0.09,0.00,0.000,0.414,0.285,0.605,0.000,0.000,0.000
Andrew DeClercq,Celtics,1997-1998,REG,81,0.29,6.18,13.82,79.71,0.00,0.00,0.00,0.000,0.238,0.404,0.535,0.000,0.000,0.000
Don Reid,Pistons,1997-1998,REG,67,0.00,11.93,19.89,68.18,0.00,0.00,0.00,0.000,0.286,0.429,0.608,0.000,0.000,0.000
Theo Ratliff,"Pistons, 76ers",1997-1998,REG,82,0.00,28.36,21.31,50.34,0.00,0.00,0.00,0.000,0.402,0.346,0.647,0.000,0.000,0.000
Michael Curry,Bucks,1997-1998,REG,82,2.15,61.48,7.18,29.19,0.00,0.00,0.00,0.444,0.409,0.400,0.615,0.000,0.000,0.000
Antonio McDyess,Suns,1997-1998,REG,81,0.11,38.08,12.73,48.98,0.00,0.00,0.11,0.000,0.414,0.322,0.689,0.000,0.000,0.000
Cherokee Parks,Timberwolves,1997-1998,REG,79,0.00,45.88,14.48,39.42,0.00,0.00,0.22,0.000,0.432,0.338,0.638,0.000,0.000,0.000
Bob Sura,Cavaliers,1997-1998,REG,46,22.51,17.32,8.66,48.48,0.87,1.73,0.43,0.327,0.275,0.350,0.446,0.500,0.250,0.000
Jason Caffey,"Bulls, Warriors",1997-1998,REG,80,0.43,28.76,21.67,49.14,0.00,0.00,0.00,0.000,0.373,0.297,0.638,0.000,0.000,0.000
George Zidek,"Nuggets, SuperSonics",1997-1998,REG,12,3.45,31.03,24.14,37.93,0.00,3.45,0.00,1.000,0.222,0.143,0.273,0.000,0.000,0.000
Eric Williams,Nuggets,1997-1998,REG,4,0.00,40.98,24.59,34.43,0.00,0.00,0.00,0.000,0.360,0.400,0.429,0.000,0.000,0.000
Reggie Jordan,Timberwolves,1997-1998,REG,57,0.88,10.62,9.73,78.76,0.00,0.00,0.00,0.000,0.333,0.182,0.539,0.000,0.000,0.000
Alan Henderson,Hawks,1997-1998,REG,69,0.53,32.67,19.12,47.41,0.13,0.13,0.00,0.500,0.374,0.333,0.622,1.000,0.000,0.000
Matt Bullard,Rockets,1997-1998,REG,66,49.87,28.79,6.68,6.94,3.34,4.37,0.00,0.423,0.446,0.385,0.778,0.462,0.353,0.000
Jamal Mashburn,Heat,1997-1998,REG,48,13.17,29.81,19.24,30.16,3.64,3.99,0.00,0.276,0.424,0.387,0.575,0.286,0.348,0.000
Jon Barry,Lakers,1997-1998,REG,48,45.19,27.88,1.92,11.54,2.88,9.62,0.96,0.277,0.414,0.000,0.667,0.667,0.300,0.000
Jason Kidd,Suns,1997-1998,REG,82,23.28,36.79,8.73,27.71,1.75,1.40,0.35,0.330,0.383,0.387,0.563,0.400,0.083,0.000
J.R. Reid,Hornets,1997-1998,REG,79,2.20,61.32,14.78,21.38,0.31,0.00,0.00,0.286,0.410,0.511,0.574,1.000,0.000,0.000
Popeye Jones,"Raptors, Celtics",1997-1998,REG,14,2.36,59.06,7.09,31.50,0.00,0.00,0.00,0.667,0.320,0.444,0.550,0.000,0.000,0.000
Howard Eisley,Jazz,1997-1998,REG,82,20.23,35.65,14.45,27.36,1.35,0.96,0.00,0.371,0.395,0.480,0.514,0.571,0.800,0.000
Andrew Lang,Bucks,1997-1998,REG,57,0.70,25.87,32.87,40.56,0.00,0.00,0.00,0.000,0.216,0.340,0.517,0.000,0.000,0.000
Chuck Person,Spurs,1997-1998,REG,61,50.00,19.10,5.78,7.29,5.53,12.06,0.25,0.347,0.408,0.217,0.517,0.273,0.354,0.000
Vin Baker,SuperSonics,1997-1998,REG,82,0.26,24.31,23.97,51.20,0.09,0.00,0.17,0.000,0.353,0.423,0.691,0.000,0.000,0.500
Bo Outlaw,Magic,1997-1998,REG,82,0.74,12.55,14.21,72.51,0.00,0.00,0.00,0.250,0.191,0.247,0.679,0.000,0.000,0.000
Lucious Harris,Nets,1997-1998,REG,50,16.38,45.76,4.52,27.68,3.95,1.69,0.00,0.276,0.420,0.250,0.429,0.429,0.333,0.000
Wesley Person,Cavaliers,1997-1998,REG,82,33.23,29.47,8.78,15.26,4.60,8.67,0.00,0.421,0.411,0.333,0.719,0.341,0.506,0.000
Pervis Ellison,Celtics,1997-1998,REG,33,0.00,7.14,17.14,75.71,0.00,0.00,0.00,0.000,0.600,0.500,0.585,0.000,0.000,0.000
Lamond Murray,Clippers,1997-1998,REG,79,10.16,36.38,11.99,36.18,1.12,4.07,0.10,0.380,0.358,0.322,0.713,0.091,0.350,0.000
Zan Tabak,"Raptors, Celtics",1997-1998,REG,57,0.33,49.34,15.46,34.87,0.00,0.00,0.00,0.000,0.340,0.511,0.632,0.000,0.000,0.000
Juwan Howard,Wizards,1997-1998,REG,64,0.20,51.46,21.80,26.54,0.00,0.00,0.00,0.000,0.445,0.394,0.574,0.000,0.000,0.000
Carlos Rogers,"Raptors, Trail Blazers",1997-1998,REG,21,2.20,14.29,25.27,58.24,0.00,0.00,0.00,0.000,0.077,0.261,0.755,0.000,0.000,0.000
Tony Dumas,Cavaliers,1997-1998,REG,6,16.67,8.33,16.67,41.67,0.00,16.67,0.00,1.000,0.000,0.000,0.800,0.000,0.000,0.000
