name,position,age,Teams,GP,GS,MP,FG PP,FGA PP,FG %,FG3 PP,FG3A PP,FG3 %,FG2 PP,FG2A PP,FG2 %,FT PP,FTA PP,FT %,ORB PP,DRB PP,TRB PP,APP,SPP,BPP,TO PP,Fouls PP,PPP,Off. Ra
Tariq Abdul-Wahad,SG,27,Tariq Abdul-Wahad,24,12,441,6.6,17.7,.374,0.1,0.2,.500,6.5,17.4,.372,2.9,4.0,.727,4.9,5.2,10.1,2.9,2.4,1.2,3.2,6.7,16.2,90
Tariq Abdul-Wahad,SG,27,Tariq Abdul-Wahad,20,12,417,7.0,18.5,.379,0.1,0.3,.500,6.9,18.2,.378,3.1,4.1,.750,5.0,5.0,9.9,2.8,2.3,1.1,3.1,6.5,17.2,92
Tariq Abdul-Wahad,SG,27,Tariq Abdul-Wahad,4,0,24,0.0,4.3,.000,0.0,0.0,,0.0,4.3,.000,0.0,2.2,.000,4.3,8.6,12.9,4.3,4.3,2.2,6.5,10.8,0.0,41
Shareef Abdur-Rahim,PF,25,Shareef Abdur-Rahim,77,77,2980,10.5,22.7,.461,0.4,1.2,.300,10.1,21.5,.470,7.3,9.2,.801,3.5,8.7,12.2,4.2,1.7,1.4,4.4,3.8,28.7,105
Courtney Alexander,SG,24,Courtney Alexander,56,28,1325,9.1,19.4,.470,0.2,0.7,.278,8.9,18.7,.478,4.0,5.0,.810,1.8,4.3,6.1,3.5,1.4,0.3,2.5,4.6,22.5,106
Victor Alexander,C,32,Victor Alexander,15,0,97,9.9,28.0,.353,0.0,1.1,.000,9.9,26.9,.367,2.2,4.4,.500,3.8,12.1,15.9,3.3,0.0,0.5,2.7,3.3,22.0,80
Malik Allen,PF,23,Malik Allen,12,2,161,7.5,17.4,.431,0.0,0.3,.000,7.5,17.1,.440,2.7,3.4,.800,5.1,7.8,13.0,1.7,1.0,2.7,0.7,5.5,17.7,108
Ray Allen,SG,26,Ray Allen,69,67,2525,11.2,24.2,.462,4.8,11.1,.434,6.3,13.1,.485,4.5,5.2,.873,1.7,4.9,6.6,5.7,1.9,0.4,3.4,3.3,31.7,116
Rafer Alston,PG,25,Rafer Alston,50,7,600,5.9,16.9,.346,2.4,6.3,.380,3.5,10.6,.325,1.6,2.6,.621,0.9,5.5,6.4,12.7,2.8,0.2,3.5,3.7,15.7,99
John Amaechi,PF,31,John Amaechi,54,0,586,4.9,15.1,.325,0.0,0.0,,4.9,15.1,.325,6.1,9.5,.638,4.7,5.2,9.9,2.6,0.6,0.9,5.0,5.8,15.9,83
