name,position,age,Teams,GP,MP,PER,TS %,FG3A PerFGA%,Fta PerFGA%,VORP,Usg Pct,OWS,DWS,WS,WS Per 48,Off. Box +-,Deff. Box +-,Box +-,ORB Pct,DRB Pct,TRB Pct,As. Pct,Stl Pct,Blk Pct,TO Pct
Leandro Barbosa,SG,29,Leandro Barbosa,42,946,14.2,.518,.244,.200,-0.1,28.0,0.2,0.8,1.0,.052,0.0,-2.2,-2.3,2.6,7.1,4.9,13.3,2.0,0.6,12.1
Leandro Barbosa,SG,29,Leandro Barbosa,22,436,13.4,.496,.322,.180,0.1,23.2,0.2,0.5,0.7,.076,0.2,-1.6,-1.4,3.1,9.5,6.3,13.3,2.4,0.0,11.6
J.J. Barea,PG,27,J.J. Barea,41,1032,14.9,.502,.342,.234,0.2,24.3,0.8,0.4,1.2,.056,1.1,-2.4,-1.3,1.5,10.8,6.1,39.0,1.0,0.0,18.3
Andrea Bargnani,C,26,Andrea Bargnani,31,1032,17.9,.538,.238,.357,0.3,28.7,1.3,0.9,2.2,.104,0.8,-1.5,-0.8,2.8,16.6,9.8,11.6,0.9,1.2,11.0
Matt Barnes,SF,31,Matt Barnes,63,1440,15.5,.554,.357,.331,1.7,16.4,2.4,1.8,4.3,.142,1.1,1.5,2.6,7.9,18.3,13.3,13.8,1.3,2.4,14.1
Earl Barron,C,30,Earl Barron,2,9,4.7,.500,.000,.000,0.0,20.5,0.0,0.0,0.0,.054,-2.0,-8.3,-10.3,12.6,0.0,6.3,0.0,0.0,0.0,0.0
Brandon Bass,PF,26,Brandon Bass,59,1868,14.1,.524,.000,.258,0.4,19.8,1.5,3.2,4.7,.122,-2.1,1.1,-1.1,6.3,16.3,11.5,5.1,1.0,2.2,8.5
Tony Battie,C,35,Tony Battie,27,295,7.3,.398,.020,.078,-0.1,9.0,0.0,0.5,0.5,.076,-5.7,1.8,-3.9,3.0,22.3,12.6,7.6,0.7,1.5,7.0
Shane Battier,SF,33,Shane Battier,65,1499,9.7,.504,.627,.127,1.4,10.7,1.2,2.1,3.3,.104,0.2,1.5,1.7,4.6,7.7,6.2,8.0,2.2,1.8,10.7
Nicolas Batum,SF,23,Nicolas Batum,59,1791,17.3,.575,.427,.248,1.9,20.5,3.3,1.4,4.8,.127,2.3,0.0,2.3,5.2,12.6,8.8,7.9,1.7,2.6,11.2
