Player,Team,Season,Season Type,Games,AbvBrk3_Usage,MR_Usage,Paint_Usage,RA_Usage,RC3_Usage,LC3_Usage,BC_Usage,AbvBrk3%,MR%,Paint%,RA%,RC3%,LC3%,BC3%
Player,Team,Season,Season Type,Games,Above the Break 3-Usage,Mid-Range-Usage,In The Paint (Non-RA)-Usage,Restricted Area-Usage,Right Corner 3-Usage,Left Corner 3-Usage,Backcourt-Usage,Above the Break 3 %,Mid-Range %,In The Paint (Non-RA) %,Restricted Area %,Right Corner 3 %,Left Corner 3 %,Backcourt %
Jodie Meeks,"Bucks, Sixers",2009-2010,REG,60,37.45,24.72,3.00,22.85,5.62,5.99,0.37,0.320,0.348,0.250,0.607,0.200,0.375,1.000
Derrick Brown,Bobcats,2009-2010,REG,57,1.36,21.09,7.48,66.67,2.72,0.68,0.00,0.000,0.290,0.455,0.531,0.250,1.000,0.000
Jonas Jerebko,Pistons,2009-2010,REG,80,14.10,12.60,13.76,54.56,2.32,2.32,0.33,0.341,0.421,0.277,0.605,0.143,0.357,0.000
Jon Brockman,Kings,2009-2010,REG,52,0.00,13.59,13.59,72.82,0.00,0.00,0.00,0.000,0.286,0.429,0.600,0.000,0.000,0.000
DeJuan Blair,Spurs,2009-2010,REG,82,0.20,7.07,17.58,74.95,0.00,0.00,0.20,0.000,0.457,0.379,0.609,0.000,0.000,0.000
Sam Young,Grizzlies,2009-2010,REG,80,7.65,28.77,14.89,45.07,1.81,1.81,0.00,0.184,0.350,0.405,0.594,0.333,0.111,0.000
DaJuan Summers,Pistons,2009-2010,REG,44,16.15,33.08,5.38,29.23,6.15,10.00,0.00,0.333,0.233,0.286,0.500,0.375,0.385,0.000
Dante Cunningham,Trail Blazers,2009-2010,REG,63,0.00,67.76,5.61,25.70,0.00,0.00,0.93,0.000,0.462,0.417,0.618,0.000,0.000,0.000
Jermaine Taylor,Rockets,2009-2010,REG,31,8.40,20.17,10.08,51.26,4.20,5.88,0.00,0.100,0.250,0.250,0.508,0.200,0.429,0.000
Jeff Ayres,Trail Blazers,2009-2010,REG,39,0.00,29.23,12.31,58.46,0.00,0.00,0.00,0.000,0.526,0.500,0.763,0.000,0.000,0.000
Toney Douglas,Knicks,2009-2010,REG,56,35.29,20.46,5.37,29.41,3.58,5.12,0.77,0.377,0.413,0.571,0.574,0.357,0.550,0.000
Wayne Ellington,Timberwolves,2009-2010,REG,76,26.34,36.38,7.37,20.09,7.14,2.46,0.22,0.373,0.344,0.364,0.644,0.469,0.455,0.000
DeMarre Carroll,Grizzlies,2009-2010,REG,71,2.25,53.15,10.36,33.78,0.00,0.45,0.00,0.000,0.373,0.174,0.533,0.000,0.000,0.000
Taj Gibson,Bulls,2009-2010,REG,82,0.00,37.04,14.47,48.49,0.00,0.00,0.00,0.000,0.399,0.462,0.577,0.000,0.000,0.000
Byron Mullens,Thunder,2009-2010,REG,13,0.00,52.63,15.79,31.58,0.00,0.00,0.00,0.000,0.300,0.333,0.500,0.000,0.000,0.000
Rodrigue Beaubois,Mavericks,2009-2010,REG,56,29.10,13.38,12.04,37.79,2.01,5.35,0.33,0.414,0.400,0.444,0.690,0.500,0.375,0.000
Omri Casspi,Kings,2009-2010,REG,77,20.98,22.92,18.15,28.72,5.51,3.42,0.30,0.312,0.364,0.377,0.637,0.459,0.609,0.000
Darren Collison,Hornets,2009-2010,REG,76,11.03,36.12,15.21,34.09,1.77,1.52,0.25,0.368,0.470,0.392,0.554,0.714,0.333,0.000
