Player,Team,Season,Season Type,Games,AbvBrk3_Usage,MR_Usage,Paint_Usage,RA_Usage,RC3_Usage,LC3_Usage,BC_Usage,AbvBrk3%,MR%,Paint%,RA%,RC3%,LC3%,BC3%
Player,Team,Season,Season Type,Games,Above the Break 3-Usage,Mid-Range-Usage,In The Paint (Non-RA)-Usage,Restricted Area-Usage,Right Corner 3-Usage,Left Corner 3-Usage,Backcourt-Usage,Above the Break 3 %,Mid-Range %,In The Paint (Non-RA) %,Restricted Area %,Right Corner 3 %,Left Corner 3 %,Backcourt %
Milos Teodosic,Clippers,2017-2018,REG,45,58.89,21.67,7.22,6.67,2.50,3.06,0.00,0.377,0.449,0.500,0.625,0.667,0.182,0.000
Monte Morris,Nuggets,2017-2018,REG,3,16.67,0.00,16.67,66.67,0.00,0.00,0.00,0.000,0.000,1.000,0.750,0.000,0.000,0.000
Devin Robinson,Wizards,2017-2018,REG,1,0.00,33.33,0.00,66.67,0.00,0.00,0.00,0.000,0.000,0.000,0.500,0.000,0.000,0.000
Damyean Dotson,Knicks,2017-2018,REG,44,31.68,26.71,8.70,22.36,2.48,7.45,0.62,0.333,0.488,0.571,0.583,0.750,0.167,0.000
Kobi Simmons,Grizzlies,2017-2018,REG,32,12.17,24.87,18.52,35.98,3.17,3.70,1.59,0.304,0.213,0.400,0.662,0.000,0.571,0.000
Sterling Brown,Bucks,2017-2018,REG,54,23.90,13.66,10.24,31.71,8.29,11.71,0.49,0.347,0.429,0.286,0.492,0.353,0.375,0.000
Charles Cooke,Pelicans,2017-2018,REG,13,28.57,14.29,14.29,14.29,7.14,21.43,0.00,0.000,0.000,0.500,0.000,1.000,0.000,0.000
Davon Reed,Suns,2017-2018,REG,21,43.42,23.68,7.89,18.42,3.95,2.63,0.00,0.333,0.167,0.500,0.357,0.000,0.000,0.000
Luke Kornet,Knicks,2017-2018,REG,20,56.00,10.40,5.60,20.80,3.20,4.00,0.00,0.357,0.231,0.143,0.654,0.750,0.000,0.000
Isaiah Hicks,Knicks,2017-2018,REG,18,8.33,16.67,16.67,54.17,1.39,2.78,0.00,0.167,0.333,0.250,0.615,0.000,0.500,0.000
Kadeem Allen,Celtics,2017-2018,REG,18,31.82,9.09,4.55,36.36,9.09,9.09,0.00,0.000,0.500,0.000,0.625,0.000,0.000,0.000
Jabari Bird,Celtics,2017-2018,REG,13,19.23,7.69,3.85,61.54,7.69,0.00,0.00,0.200,0.000,0.000,0.750,1.000,0.000,0.000
Chris Boucher,Warriors,2017-2018,REG,1,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jacob Wiley,Nets,2017-2018,REG,5,0.00,25.00,0.00,25.00,25.00,25.00,0.00,0.000,0.000,0.000,0.000,0.000,1.000,0.000
Mike James,"Suns, Pelicans",2017-2018,REG,36,26.88,21.25,18.44,29.69,0.94,2.50,0.31,0.233,0.265,0.475,0.537,0.667,0.500,0.000
Tyler Dorsey,Hawks,2017-2018,REG,56,43.23,17.45,10.16,20.31,3.39,4.69,0.78,0.367,0.373,0.179,0.513,0.462,0.278,0.000
Thomas Bryant,Lakers,2017-2018,REG,15,33.33,19.05,4.76,28.57,4.76,9.52,0.00,0.143,0.500,0.000,0.833,0.000,0.000,0.000
Dillon Brooks,Grizzlies,2017-2018,REG,82,26.68,19.69,15.54,30.57,3.89,2.72,0.91,0.364,0.322,0.408,0.627,0.500,0.190,0.000
Sindarius Thornwell,Clippers,2017-2018,REG,73,12.45,9.87,19.31,45.06,5.58,6.87,0.86,0.379,0.435,0.422,0.457,0.385,0.438,0.000
Frank Mason,Kings,2017-2018,REG,52,19.21,23.95,21.32,32.11,0.79,1.58,1.05,0.384,0.363,0.333,0.434,0.333,0.333,0.000
Wes Iwundu,Magic,2017-2018,REG,62,9.63,20.18,15.60,43.12,2.75,8.72,0.00,0.143,0.318,0.353,0.617,0.333,0.211,0.000
Edmond Sumner,Pacers,2017-2018,REG,1,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.000,0.000,0.000,1.000,0.000,0.000,0.000
Johnathan Motley,Mavericks,2017-2018,REG,11,5.33,13.33,29.33,49.33,0.00,1.33,1.33,0.250,0.400,0.455,0.676,0.000,0.000,0.000
Dwayne Bacon,Hornets,2017-2018,REG,53,12.44,43.01,15.03,19.69,5.18,4.66,0.00,0.208,0.337,0.345,0.605,0.400,0.222,0.000
PJ Dozier,Thunder,2017-2018,REG,2,0.00,50.00,0.00,50.00,0.00,0.00,0.00,0.000,0.000,0.000,1.000,0.000,0.000,0.000
Alec Peters,Suns,2017-2018,REG,20,54.05,5.41,2.70,13.51,9.46,14.86,0.00,0.325,0.500,1.000,0.600,0.143,0.364,0.000
Josh Hart,Lakers,2017-2018,REG,63,42.05,7.55,4.85,35.04,3.77,6.74,0.00,0.372,0.321,0.222,0.654,0.429,0.560,0.000
Ivan Rabb,Grizzlies,2017-2018,REG,36,0.00,36.18,15.13,48.68,0.00,0.00,0.00,0.000,0.473,0.478,0.662,0.000,0.000,0.000
Kyle Kuzma,Lakers,2017-2018,REG,77,33.56,11.94,15.26,30.82,3.62,4.70,0.10,0.364,0.344,0.481,0.581,0.432,0.354,0.000
Tyler Lydon,Nuggets,2017-2018,REG,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Semi Ojeleye,Celtics,2017-2018,REG,73,33.51,7.45,5.85,20.21,19.15,13.83,0.00,0.270,0.286,0.364,0.447,0.417,0.308,0.000
Derrick White,Spurs,2017-2018,REG,17,36.36,18.18,21.21,21.21,3.03,0.00,0.00,0.583,0.333,0.429,0.429,1.000,0.000,0.000
Caleb Swanigan,Trail Blazers,2017-2018,REG,27,12.50,14.29,17.86,53.57,0.00,1.79,0.00,0.143,0.250,0.300,0.533,0.000,0.000,0.000
Justin Patton,Timberwolves,2017-2018,REG,1,0.00,50.00,50.00,0.00,0.00,0.00,0.00,0.000,1.000,0.000,0.000,0.000,0.000,0.000
OG Anunoby,Raptors,2017-2018,REG,74,25.43,3.18,2.60,37.86,15.03,15.90,0.00,0.284,0.182,0.111,0.672,0.500,0.382,0.000
Jarrett Allen,Nets,2017-2018,REG,72,0.25,4.79,20.91,70.53,1.26,2.02,0.25,0.000,0.263,0.446,0.668,0.600,0.250,0.000
Ike Anigbogu,Pacers,2017-2018,REG,11,0.00,66.67,11.11,22.22,0.00,0.00,0.00,0.000,0.500,0.000,0.500,0.000,0.000,0.000
TJ Leaf,Pacers,2017-2018,REG,53,20.59,14.71,13.24,41.18,5.15,5.15,0.00,0.464,0.350,0.278,0.607,0.571,0.143,0.000
Bam Adebayo,Heat,2017-2018,REG,69,0.59,9.71,19.71,68.53,0.00,0.29,1.18,0.000,0.333,0.254,0.627,0.000,0.000,0.000
Terrance Ferguson,Thunder,2017-2018,REG,61,34.32,8.88,2.96,17.16,15.38,21.30,0.00,0.241,0.600,0.200,0.690,0.269,0.528,0.000
D.J. Wilson,Bucks,2017-2018,REG,22,25.00,18.75,12.50,37.50,0.00,6.25,0.00,0.250,0.000,1.000,0.833,0.000,1.000,0.000
Jawun Evans,Clippers,2017-2018,REG,48,13.83,26.09,19.76,32.81,1.98,4.35,1.19,0.314,0.303,0.380,0.422,0.200,0.273,0.000
Jordan Bell,Warriors,2017-2018,REG,55,2.19,11.48,14.75,71.58,0.00,0.00,0.00,0.000,0.476,0.481,0.695,0.000,0.000,0.000
Tony Bradley,Jazz,2017-2018,REG,9,9.09,9.09,45.45,36.36,0.00,0.00,0.00,0.000,0.000,0.200,0.500,0.000,0.000,0.000
John Collins,Hawks,2017-2018,REG,74,1.65,12.27,13.00,66.30,3.11,3.30,0.37,0.333,0.328,0.380,0.691,0.294,0.389,0.000
Justin Jackson,Kings,2017-2018,REG,68,25.78,21.48,14.56,19.81,7.64,10.26,0.48,0.269,0.422,0.443,0.759,0.313,0.419,0.000
Zach Collins,Trail Blazers,2017-2018,REG,66,27.08,17.71,13.19,30.21,6.25,5.21,0.35,0.282,0.294,0.395,0.575,0.389,0.400,0.000
Lauri Markkanen,Bulls,2017-2018,REG,68,40.84,16.94,9.16,27.38,2.44,3.13,0.12,0.366,0.356,0.278,0.657,0.333,0.333,0.000
Donovan Mitchell,Jazz,2017-2018,REG,79,35.39,12.92,17.69,28.93,2.72,2.20,0.15,0.322,0.403,0.390,0.617,0.378,0.600,0.000
Luke Kennard,Pistons,2017-2018,REG,73,35.05,26.24,16.34,15.48,5.59,1.29,0.00,0.423,0.492,0.316,0.569,0.423,0.167,0.000
Frank Ntilikina,Knicks,2017-2018,REG,78,25.80,36.40,12.40,19.80,2.40,2.40,0.80,0.318,0.335,0.258,0.556,0.250,0.500,0.000
Dennis Smith Jr.,Mavericks,2017-2018,REG,69,30.72,20.45,10.57,35.81,0.59,1.66,0.20,0.315,0.306,0.241,0.568,0.500,0.235,0.000
Josh Jackson,Suns,2017-2018,REG,77,17.06,18.78,19.85,38.09,2.90,3.00,0.32,0.264,0.377,0.341,0.572,0.222,0.321,0.000
De'Aaron Fox,Kings,2017-2018,REG,73,14.43,29.86,23.09,27.85,1.63,2.89,0.25,0.313,0.357,0.342,0.599,0.308,0.304,0.000
Jayson Tatum,Celtics,2017-2018,REG,80,21.56,25.51,9.46,36.17,3.83,3.47,0.00,0.394,0.437,0.278,0.589,0.594,0.483,0.000
